# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=31 Rmt= 1.283 Rnm= 1.379 K  shell
# # Pot 1 Z=31 Rmt= 1.274 Rnm= 1.360
# # Pot 2 Z= 8 Rmt= 0.991 Rnm= 1.061
# # Gam_ch=2.082E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-4.505E+00 kf=2.288E+00 Vint=-1.765E+01 Rs_int= 1.585
# # PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      3.00     2   1.9212
#           2       0.00000     83.10      3.00     2   2.0766
#           3       0.00000     12.74      1.00     2   2.8317
#           4       0.00000     35.03      3.00     2   2.9371
#           5       0.00000     26.00      3.00     2   3.3143
#           6       0.00000     24.72      3.00     2   3.3556
#           7       0.00000      9.12      6.00     3   3.3573
#           8       0.00000      9.66      6.00     3   3.3923
#           9       0.00000      7.83      6.00     3   3.4154
#          10       0.00000      7.68      6.00     3   3.4246
#          11       0.00000      6.85      6.00     3   3.4675
#          12       0.00000      6.82      6.00     3   3.4675
#          13       0.00000      6.29      6.00     3   3.4925
#          14       0.00000     21.76      3.00     2   3.5197
#          15       0.00000     14.11      6.00     3   3.5783
#          16       0.00000     40.74      6.00     2   3.6452
#          17       0.00000     18.46      3.00     2   3.7416
#          18       0.00000     12.76      6.00     3   3.8215
#          19       0.00000     13.21      6.00     3   3.8215
#          20       0.00000      7.90      3.00     4   3.8424
#          22       0.00000      5.75      1.00     2   3.8848
#          23       0.00000      7.41      6.00     3   3.9541
#          24       0.00000     26.23      6.00     3   3.9735
#          25       0.00000     28.48      6.00     4   3.9979
#          26       0.00000      4.92      3.00     4   3.9979
#          27       0.00000      4.96      3.00     4   3.9979
#          28       0.00000     14.89      3.00     2   4.0460
#          29       0.00000     12.49     12.00     3   4.1370
#          30       0.00000      5.51      3.00     4   4.1533
#          31       0.00000      6.45      6.00     3   4.2479
#          32       0.00000     12.25      3.00     2   4.3393
#          34       0.00000      4.35      6.00     3   4.3995
#          35       0.00000      9.30     12.00     3   4.4125
#          36       0.00000      7.45      6.00     3   4.4197
#          37       0.00000     18.66      6.00     3   4.4459
#          38       0.00000     11.28      3.00     2   4.4674
#          39       0.00000      6.24      6.00     3   4.4779
#          40       0.00000     18.94      6.00     3   4.5527
#          41       0.00000      9.23      3.00     4   4.5525
#          42       0.00000     10.53      3.00     2   4.5768
#          43       0.00000      9.69      3.00     4   4.6379
#          44       0.00000     20.19      6.00     2   4.6442
#          47       0.00000      5.35      6.00     4   4.7079
#          48       0.00000      6.07      6.00     3   4.7513
#          49       0.00000      6.83      6.00     3   4.7513
#          50       0.00000     11.35      6.00     3   4.7524
#          53       0.00000     18.02     12.00     3   4.8638
#          54       0.00000      8.68      3.00     2   4.8928
#          55       0.00000     20.02      6.00     3   4.9012
#          57       0.00000     11.68      3.00     4   4.9097
#          58       0.00000      6.71      6.00     4   4.9281
#          59       0.00000      4.82      3.00     4   4.9281
#          60       0.00000     11.69      4.00     2   4.9825
#          61       0.00000      5.85      2.00     2   4.9825
#          62       0.00000      6.92      6.00     4   5.0835
#          65       0.00000      7.08      6.00     3   5.1297
#          66       0.00000      4.11      4.00     3   5.1297
#          69       0.00000      7.07      3.00     2   5.2466
#          70       0.00000      4.04      6.00     4   5.2768
#          73       0.00000      4.63      6.00     3   5.3188
#          74       0.00000      5.87      6.00     3   5.3188
#          75       0.00000     14.57      6.00     2   5.3221
#          77       0.00000      4.18      6.00     3   5.4176
#          78       0.00000      5.40      6.00     3   5.4287
#          80       0.00000      6.33      3.00     2   5.4447
#          81       0.00000      5.83      6.00     3   5.4592
#          82       0.00000      5.40      6.00     3   5.4592
#          83       0.00000      5.03      6.00     3   5.4592
#          84       0.00000      4.43      6.00     3   5.5055
#          85       0.00000      5.89      6.00     3   5.5055
#          86       0.00000      6.09      3.00     2   5.5141
#          87       0.00000      4.39      6.00     3   5.5585
#          91       0.00000      5.77      3.00     2   5.6133
#          96       0.00000      5.70      6.00     3   5.6575
#          98       0.00000      5.57      6.00     3   5.6676
#         106       0.00000     11.79      6.00     2   5.7309
#    76/ 101 paths used
#  xsedge+50, used to normalize mu           2.0760E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   10376.299     -4.505   0.000 -8.93678E-02  6.53226E-01 -5.43817E-01
   10376.308     -4.495   0.050 -7.37163E-02  6.60884E-01 -5.38104E-01
   10376.337     -4.467   0.100 -5.80131E-02  6.68542E-01 -5.32351E-01
   10376.384     -4.419   0.150 -1.07778E-02  6.91415E-01 -5.14910E-01
   10376.451     -4.352   0.200  3.68984E-02  7.14288E-01 -4.97117E-01
   10376.537     -4.267   0.250  1.15139E-01  7.50537E-01 -4.66953E-01
   10376.641     -4.162   0.300  1.94473E-01  7.86786E-01 -4.35899E-01
   10376.765     -4.038   0.350  2.99809E-01  8.30800E-01 -3.91555E-01
   10376.908     -3.895   0.400  4.06908E-01  8.74815E-01 -3.45730E-01
   10377.070     -3.733   0.450  5.32302E-01  9.18071E-01 -2.85802E-01
   10377.251     -3.552   0.500  6.59784E-01  9.61326E-01 -2.24001E-01
   10377.451     -3.352   0.550  7.98776E-01  9.97094E-01 -1.47823E-01
   10377.670     -3.133   0.600  9.39410E-01  1.03286E+00 -6.98959E-02
   10377.908     -2.895   0.650  1.08799E+00  1.05911E+00  2.16925E-02
   10378.165     -2.638   0.700  1.23660E+00  1.08535E+00  1.14071E-01
   10378.442     -2.362   0.750  1.39067E+00  1.10302E+00  2.18007E-01
   10378.737     -2.066   0.800  1.54175E+00  1.12069E+00  3.20699E-01
   10379.051     -1.752   0.850  1.69475E+00  1.13163E+00  4.31340E-01
   10379.385     -1.419   0.900  1.84037E+00  1.14256E+00  5.37551E-01
   10379.737     -1.066   0.950  1.98243E+00  1.14843E+00  6.46563E-01
   10380.108     -0.695   1.000  2.11160E+00  1.15429E+00  7.46927E-01
   10380.499     -0.304   1.050  2.23032E+00  1.15639E+00  8.43802E-01
   10380.909      0.105   1.100  2.33020E+00  1.15849E+00  9.27143E-01
   10381.337      0.534   1.150  2.41218E+00  1.15780E+00  1.00008E+00
   10381.785      0.982   1.200  2.46973E+00  1.15710E+00  1.05452E+00
   10382.252      1.448   1.250  2.50262E+00  1.15435E+00  1.09182E+00
   10382.737      1.934   1.300  2.50694E+00  1.15159E+00  1.10640E+00
   10383.242      2.439   1.350  2.48166E+00  1.14734E+00  1.09832E+00
   10383.766      2.963   1.400  2.42633E+00  1.14309E+00  1.06517E+00
   10384.309      3.506   1.450  2.33994E+00  1.13778E+00  1.00639E+00
   10384.871      4.068   1.500  2.22608E+00  1.13247E+00  9.23418E-01
   10385.452      4.649   1.550  2.08436E+00  1.12647E+00  8.15783E-01
   10386.052      5.249   1.600  1.92293E+00  1.12046E+00  6.89355E-01
   10386.671      5.868   1.650  1.74262E+00  1.11406E+00  5.44608E-01
   10387.309      6.506   1.700  1.55564E+00  1.10765E+00  3.91515E-01
   10387.967      7.163   1.750  1.36415E+00  1.10108E+00  2.31843E-01
   10388.643      7.840   1.800  1.18260E+00  1.09451E+00  7.82959E-02
   10389.338      8.535   1.850  1.01370E+00  1.08795E+00 -6.65330E-02
   10390.053      9.249   1.900  8.71129E-01  1.08139E+00 -1.89964E-01
   10390.786      9.983   1.950  7.56504E-01  1.07496E+00 -2.89959E-01
   10391.538     10.735   2.000  6.78977E-01  1.06853E+00 -3.57484E-01
   10392.310     11.507   2.050  6.36585E-01  1.06270E+00 -3.93788E-01
   10393.101     12.297   2.100  6.32710E-01  1.05688E+00 -3.94758E-01
   10393.910     13.107   2.150  6.61634E-01  1.05106E+00 -3.65002E-01
   10394.739     13.936   2.200  7.15036E-01  1.04523E+00 -3.11711E-01
   10395.587     14.783   2.250  7.87229E-01  1.04027E+00 -2.40278E-01
   10396.453     15.650   2.300  8.64873E-01  1.03530E+00 -1.62794E-01
   10397.339     16.536   2.350  9.36407E-01  1.03034E+00 -9.02563E-02
   10398.244     17.441   2.400  9.92307E-01  1.02537E+00 -3.19615E-02
   10399.168     18.365   2.450  1.03209E+00  1.02412E+00  7.74015E-03
   10400.111     19.308   2.500  1.04209E+00  1.02286E+00  1.87584E-02
   10401.073     20.270   2.550  1.02408E+00  1.02161E+00  2.42471E-03
   10402.054     21.251   2.600  9.84186E-01  1.02035E+00 -3.56256E-02
   10403.054     22.251   2.650  9.31859E-01  1.02132E+00 -8.83377E-02
   10404.073     23.270   2.700  8.79167E-01  1.02229E+00 -1.41670E-01
   10405.112     24.308   2.750  8.34031E-01  1.02325E+00 -1.87766E-01
   10406.169     25.366   2.800  8.01505E-01  1.02422E+00 -2.21546E-01
   10407.245     26.442   2.850  7.78518E-01  1.02236E+00 -2.43309E-01
   10408.340     27.537   2.900  7.67259E-01  1.02050E+00 -2.53468E-01
   10409.455     28.652   2.950  7.67969E-01  1.01865E+00 -2.51672E-01
