# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.361 Rnm= 1.416 K  shell
# # Pot 1 Z=62 Rmt= 1.691 Rnm= 1.737
# # Pot 2 Z=27 Rmt= 1.375 Rnm= 1.434
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.634E+01 kf=1.975E+00 Vint=-2.396E+01 Rs_int= 1.837
# # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 293.00  Debye_temp= 264.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.01196    100.00      6.00     2   2.4522
#           2       0.01029     51.07      3.00     2   2.8879
#           3       0.01406     35.79      3.00     2   2.8879
#           4       0.01355      8.27     12.00     3   3.7027
#           5       0.01439      7.85     12.00     3   3.8961
#           6       0.01667     11.59      2.00     2   3.9640
#           7       0.01692     56.59     12.00     2   4.3038
#           8       0.01633      7.50     12.00     3   4.4342
#           9       0.01670     15.17     24.00     3   4.6285
#          10       0.01699     14.92     12.00     3   4.7957
#          11       0.01690      6.69     16.00     3   4.8220
#          12       0.01221     32.91      6.00     2   4.9044
#          13       0.01713     20.11      6.00     2   4.9044
#          14       0.01713     47.42     12.00     3   4.9044
#          16       0.04783      5.39      6.00     4   4.9044
#          17       0.01713     39.15      6.00     4   4.9044
#    16/  17 paths used
#  xsedge+50, used to normalize mu           2.8876E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7718.435    -16.329   0.050  2.53839E-01  3.24428E-01 -1.27376E-01
    7718.463    -16.300   0.100  2.60127E-01  3.29594E-01 -1.25067E-01
    7718.511    -16.252   0.150  2.79252E-01  3.45013E-01 -1.17602E-01
    7718.578    -16.186   0.200  2.99187E-01  3.60432E-01 -1.08799E-01
    7718.664    -16.100   0.250  3.31725E-01  3.84401E-01 -9.25636E-02
    7718.768    -15.995   0.300  3.65899E-01  4.08371E-01 -7.38334E-02
    7718.892    -15.871   0.350  4.08911E-01  4.36169E-01 -4.66995E-02
    7719.035    -15.729   0.400  4.53524E-01  4.63966E-01 -1.76357E-02
    7719.197    -15.567   0.450  5.00607E-01  4.90590E-01  1.66216E-02
    7719.378    -15.386   0.500  5.47826E-01  5.17214E-01  4.99284E-02
    7719.578    -15.186   0.550  5.91607E-01  5.40869E-01  8.11228E-02
    7719.797    -14.967   0.600  6.32582E-01  5.64525E-01  1.06714E-01
    7720.035    -14.728   0.650  6.64743E-01  5.85721E-01  1.21282E-01
    7720.292    -14.471   0.700  6.90094E-01  6.06917E-01  1.25011E-01
    7720.569    -14.195   0.750  7.01038E-01  6.26520E-01  1.09539E-01
    7720.864    -13.900   0.800  7.01564E-01  6.46122E-01  7.97456E-02
    7721.178    -13.585   0.850  6.83892E-01  6.64694E-01  2.70058E-02
    7721.511    -13.252   0.900  6.55557E-01  6.83265E-01 -3.81368E-02
    7721.864    -12.900   0.950  6.11630E-01  7.01034E-01 -1.20414E-01
    7722.235    -12.528   1.000  5.63200E-01  7.18804E-01 -2.05173E-01
    7722.626    -12.138   1.050  5.10781E-01  7.35762E-01 -2.90607E-01
    7723.035    -11.728   1.100  4.65806E-01  7.52720E-01 -3.63205E-01
    7723.464    -11.299   1.150  4.32553E-01  7.68720E-01 -4.17529E-01
    7723.912    -10.852   1.200  4.17982E-01  7.84720E-01 -4.47066E-01
    7724.378    -10.385   1.250  4.24860E-01  7.99564E-01 -4.48978E-01
    7724.864     -9.899   1.300  4.53514E-01  8.14407E-01 -4.25170E-01
    7725.369     -9.394   1.350  5.01765E-01  8.27921E-01 -3.78471E-01
    7725.893     -8.871   1.400  5.65141E-01  8.41435E-01 -3.15864E-01
    7726.436     -8.328   1.450  6.37704E-01  8.53444E-01 -2.43452E-01
    7726.998     -7.766   1.500  7.13878E-01  8.65453E-01 -1.68864E-01
    7727.579     -7.185   1.550  7.87523E-01  8.75868E-01 -9.73637E-02
    7728.179     -6.585   1.600  8.54944E-01  8.86282E-01 -3.41709E-02
    7728.798     -5.965   1.650  9.12242E-01  8.95041E-01  1.85933E-02
    7729.436     -5.327   1.700  9.58946E-01  9.03800E-01  5.91015E-02
    7730.093     -4.670   1.750  9.93645E-01  9.10918E-01  8.80735E-02
    7730.770     -3.994   1.800  1.01869E+00  9.18036E-01  1.06452E-01
    7731.465     -3.298   1.850  1.03390E+00  9.23560E-01  1.16146E-01
    7732.179     -2.584   1.900  1.04282E+00  9.29084E-01  1.19161E-01
    7732.913     -1.851   1.950  1.04539E+00  9.33057E-01  1.17322E-01
    7733.665     -1.098   2.000  1.04497E+00  9.37030E-01  1.12387E-01
    7734.437     -0.327   2.050  1.04069E+00  9.38976E-01  1.05819E-01
