# # Once                                                         FEFF 9.6.4  
# # POT  SCF  20  4.9850   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=26 Rmt= 1.408 Rnm= 1.456 K  shell
# # Pot 1 Z=26 Rmt= 1.415 Rnm= 1.464
# # Pot 2 Z=45 Rmt= 1.403 Rnm= 1.452
# # Gam_ch=1.309E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.274E+01 kf=2.064E+00 Vint=-2.188E+01 Rs_int= 1.757
# # PATH  Rmax= 8.973,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp=   5.00  Debye_temp= 380.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00226    100.00      8.00     2   2.5884
#           2       0.00322     45.28      6.00     2   2.9888
#           3       0.00297     24.46     48.00     3   4.0828
#           4       0.00230      6.68     24.00     3   4.0828
#           5       0.00339     40.92     12.00     2   4.2268
#           6       0.00212      8.16     24.00     3   4.7018
#           7       0.00327     31.77     48.00     3   4.7018
#           8       0.00254     70.91     24.00     2   4.9564
#           9       0.00366      8.58     48.00     3   5.1022
#          10       0.00327     16.17      8.00     2   5.1768
#          11       0.00178     12.41      8.00     3   5.1768
#          12       0.00327     58.76     16.00     3   5.1768
#          13       0.00178     10.42      8.00     4   5.1768
#          14       0.00904      4.30      8.00     4   5.1768
#          15       0.00327     61.28      8.00     4   5.1768
#          16       0.00495      4.77     24.00     4   5.1768
#          17       0.00272     13.01     48.00     3   5.2668
#          18       0.00272     22.08     48.00     3   5.2668
#          19       0.00255     36.86     48.00     3   5.2668
#          20       0.00378      5.01     48.00     4   5.5772
#          21       0.00378      4.64     24.00     4   5.5772
#          22       0.00316      9.22     24.00     4   5.5772
#          23       0.00733      5.59     48.00     4   5.5772
#          24       0.00302      8.87     96.00     3   5.8858
#          25       0.00250     18.24     96.00     3   5.8858
#          26       0.00302     13.77     96.00     3   5.8858
#          27       0.00330      8.19      6.00     2   5.9776
#          28       0.00330      4.02      6.00     3   5.9776
#          29       0.00330     18.29     12.00     3   5.9776
#          31       0.00330     12.88      6.00     4   5.9776
#          32       0.00362      7.45     48.00     4   6.1962
#          33       0.00362      8.09     48.00     4   6.1962
#          34       0.00311     10.79     48.00     4   6.3608
#          35       0.00311      8.44     48.00     4   6.3608
#          36       0.00265      8.66     48.00     3   6.4508
#          37       0.00259     34.20     24.00     2   6.5140
#          38       0.00268     13.13     48.00     3   6.6646
#          39       0.00259     29.14     48.00     3   6.6646
#          40       0.00268     16.42     48.00     3   6.6646
#    39/  40 paths used
#  xsedge+50, used to normalize mu           3.2113E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7117.790    -12.730   0.050 -1.41930E-01  3.06341E-01 -8.36197E-01
    7117.818    -12.701   0.100 -1.15591E-01  3.11687E-01 -7.95610E-01
    7117.866    -12.653   0.150 -3.85593E-02  3.27567E-01 -6.78108E-01
    7117.932    -12.587   0.200  3.83564E-02  3.43448E-01 -5.62065E-01
    7118.018    -12.501   0.250  1.58060E-01  3.67622E-01 -3.82714E-01
    7118.123    -12.396   0.300  2.74942E-01  3.91796E-01 -2.11565E-01
    7118.247    -12.272   0.350  4.16758E-01  4.18666E-01 -3.41308E-03
    7118.390    -12.129   0.400  5.48395E-01  4.45535E-01  1.81919E-01
    7118.552    -11.968   0.450  6.81984E-01  4.70033E-01  3.69488E-01
    7118.733    -11.787   0.500  7.94311E-01  4.94531E-01  5.15214E-01
    7118.933    -11.587   0.550  8.88938E-01  5.15448E-01  6.31337E-01
    7119.152    -11.367   0.600  9.51631E-01  5.36365E-01  6.90595E-01
    7119.390    -11.129   0.650  9.83962E-01  5.54674E-01  7.00990E-01
    7119.647    -10.872   0.700  9.79270E-01  5.72983E-01  6.51636E-01
    7119.923    -10.596   0.750  9.40236E-01  5.89784E-01  5.51289E-01
    7120.218    -10.301   0.800  8.68492E-01  6.06586E-01  4.04237E-01
    7120.533     -9.986   0.850  7.68444E-01  6.22570E-01  2.20682E-01
    7120.866     -9.653   0.900  6.50809E-01  6.38555E-01  1.81783E-02
    7121.219     -9.301   0.950  5.21214E-01  6.54079E-01 -1.93153E-01
    7121.590     -8.929   1.000  3.97433E-01  6.69603E-01 -3.87916E-01
    7121.981     -8.539   1.050  2.85132E-01  6.84753E-01 -5.58355E-01
    7122.390     -8.129   1.100  2.03419E-01  6.99904E-01 -6.80300E-01
    7122.819     -7.700   1.150  1.55799E-01  7.14652E-01 -7.51161E-01
    7123.266     -7.253   1.200  1.54690E-01  7.29401E-01 -7.58023E-01
    7123.733     -6.786   1.250  1.98670E-01  7.43637E-01 -7.05806E-01
    7124.219     -6.300   1.300  2.86935E-01  7.57874E-01 -5.99104E-01
    7124.724     -5.795   1.350  4.11423E-01  7.71429E-01 -4.50268E-01
    7125.248     -5.272   1.400  5.57797E-01  7.84985E-01 -2.79441E-01
    7125.791     -4.729   1.450  7.13275E-01  7.97698E-01 -1.02240E-01
    7126.353     -4.167   1.500  8.57610E-01  8.10411E-01  5.62929E-02
    7126.934     -3.586   1.550  9.79484E-01  8.22124E-01  1.85096E-01
    7127.534     -2.986   1.600  1.06489E+00  8.33836E-01  2.68090E-01
    7128.153     -2.366   1.650  1.11126E+00  8.44409E-01  3.05881E-01
    7128.791     -1.728   1.700  1.11939E+00  8.54981E-01  2.99473E-01
    7129.448     -1.071   1.750  1.09810E+00  8.64305E-01  2.62082E-01
    7130.124     -0.395   1.800  1.06083E+00  8.73628E-01  2.07725E-01
