# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=24 Rmt= 1.312 Rnm= 1.398 K  shell
# # Pot 1 Z=24 Rmt= 1.322 Rnm= 1.412
# # Pot 2 Z= 8 Rmt= 1.014 Rnm= 1.083
# # Gam_ch=1.087E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.138E+01 kf=2.201E+00 Vint=-2.034E+01 Rs_int= 1.648
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.0244
#           2       0.00000     36.54      6.00     2   3.0910
#           3       0.00000     15.04     12.00     3   3.3489
#           4       0.00000      8.63     12.00     3   3.5555
#           5       0.00000     14.49     12.00     3   3.5815
#           6       0.00000     14.00     12.00     3   3.5909
#           7       0.00000     26.05      6.00     2   3.6016
#           8       0.00000     22.12      6.00     2   3.7330
#           9       0.00000     21.15      6.00     2   3.7976
#          10       0.00000     20.51     12.00     3   3.8093
#          11       0.00000      7.02      6.00     4   4.0170
#          12       0.00000     17.97      6.00     3   4.0489
#          13       0.00000     20.77      6.00     4   4.0489
#          14       0.00000     11.53      6.00     4   4.0489
#          15       0.00000      6.26      6.00     4   4.0720
#          16       0.00000      6.13      6.00     4   4.0909
#          17       0.00000     11.62     12.00     3   4.2199
#          18       0.00000     10.02     12.00     3   4.2389
#          19       0.00000     15.66      6.00     2   4.2563
#          20       0.00000      7.48     12.00     3   4.4064
#          21       0.00000      7.49     12.00     3   4.4388
#          22       0.00000      8.52     12.00     3   4.4406
#          23       0.00000     18.54     12.00     3   4.4492
#          24       0.00000      7.96     12.00     3   4.4681
#          25       0.00000      8.68      6.00     4   4.6422
#          27       0.00000      9.55     12.00     4   4.6733
#          28       0.00000     13.75      6.00     2   4.7184
#          30       0.00000     10.77     24.00     4   4.8800
#          31       0.00000     10.55      6.00     2   4.9253
#          32       0.00000      8.27     12.00     3   4.9574
#          33       0.00000      8.39     12.00     3   4.9615
#          34       0.00000     13.81     12.00     3   5.0044
#          35       0.00000      4.69      6.00     4   5.0836
#          36       0.00000      8.15     12.00     4   5.0866
#          37       0.00000      5.74     12.00     4   5.1126
#          42       0.00000      5.68     12.00     4   5.1220
#          43       0.00000     11.18     12.00     3   5.1413
#          44       0.00000      8.15     12.00     4   5.2204
#          45       0.00000      4.69     12.00     3   5.2379
#          46       0.00000      5.55     12.00     3   5.2379
#          47       0.00000      4.36     12.00     3   5.2703
#          48       0.00000      8.67      6.00     2   5.2871
#          49       0.00000     18.48     12.00     3   5.3221
#          50       0.00000      8.47      6.00     2   5.3329
#          51       0.00000     10.54      6.00     4   5.3572
#          52       0.00000      4.91      6.00     4   5.3572
#          54       0.00000      4.52     12.00     3   5.4638
#          55       0.00000      4.32     12.00     3   5.4759
#          56       0.00000      5.74     12.00     3   5.4776
#          57       0.00000      6.44     12.00     3   5.4911
#          58       0.00000      6.61     12.00     4   5.4950
#          59       0.00000      6.63     12.00     4   5.5126
#          60       0.00000      4.58     12.00     3   5.5428
#          62       0.00000      6.09     12.00     3   5.5558
#          63       0.00000      8.39     12.00     3   5.5594
#          64       0.00000      6.44     12.00     5   5.5741
#          67       0.00000      5.35     12.00     4   5.6261
#          69       0.00000     17.42     12.00     2   5.6407
#          71       0.00000      6.55     12.00     3   5.6582
#          72       0.00000      5.82     12.00     3   5.6797
#          73       0.00000      5.64     12.00     4   5.6988
#          74       0.00000     11.55     12.00     3   5.7107
#          75       0.00000      8.81     12.00     3   5.7524
#          78       0.00000      6.10     12.00     4   5.7671
#          79       0.00000      5.18      6.00     4   5.7806
#          83       0.00000      5.10     12.00     5   5.8338
#          88       0.00000      7.54     24.00     3   5.8418
#          89       0.00000      4.22     12.00     5   5.8569
#          90       0.00000      6.80     12.00     3   5.8577
#          94       0.00000      6.42      6.00     2   5.8828
#          95       0.00000      4.13     12.00     3   5.9219
#          96       0.00000     15.21     12.00     2   5.9359
#          97       0.00000      4.64     12.00     4   5.9693
#          98       0.00000     13.13     12.00     3   5.9867
#          99       0.00000     12.77     12.00     3   5.9915
#    75/  84 paths used
#  xsedge+50, used to normalize mu           3.9044E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    5994.679    -11.384   0.000  1.16453E-01  3.11440E-01 -3.46081E-01
    5994.688    -11.374   0.050  1.31016E-01  3.18156E-01 -3.31574E-01
    5994.717    -11.346   0.100  1.45355E-01  3.24871E-01 -3.17512E-01
    5994.764    -11.298   0.150  1.86338E-01  3.44550E-01 -2.78386E-01
    5994.831    -11.232   0.200  2.25443E-01  3.64229E-01 -2.42951E-01
    5994.917    -11.146   0.250  2.82255E-01  3.92959E-01 -1.92161E-01
    5995.022    -11.041   0.300  3.34627E-01  4.21690E-01 -1.49862E-01
    5995.145    -10.917   0.350  3.91435E-01  4.51253E-01 -1.01799E-01
    5995.288    -10.774   0.400  4.41578E-01  4.80816E-01 -6.60307E-02
    5995.450    -10.612   0.450  4.88014E-01  5.05907E-01 -2.96935E-02
    5995.631    -10.432   0.500  5.26735E-01  5.30998E-01 -6.97784E-03
    5995.831    -10.231   0.550  5.60958E-01  5.51695E-01  1.49196E-02
    5996.050    -10.012   0.600  5.87254E-01  5.72393E-01  2.35650E-02
    5996.288     -9.774   0.650  6.09650E-01  5.90389E-01  3.00085E-02
    5996.546     -9.517   0.700  6.23729E-01  6.08385E-01  2.34943E-02
    5996.822     -9.241   0.750  6.32076E-01  6.24961E-01  1.06937E-02
    5997.117     -8.946   0.800  6.30321E-01  6.41537E-01 -1.65497E-02
    5997.431     -8.631   0.850  6.18320E-01  6.57412E-01 -5.65825E-02
    5997.765     -8.298   0.900  5.93748E-01  6.73287E-01 -1.12973E-01
    5998.117     -7.945   0.950  5.53682E-01  6.88763E-01 -1.88180E-01
    5998.489     -7.574   1.000  4.99747E-01  7.04240E-01 -2.79512E-01
    5998.879     -7.183   1.050  4.27959E-01  7.19387E-01 -3.90807E-01
    5999.289     -6.774   1.100  3.45462E-01  7.34535E-01 -5.12069E-01
    5999.717     -6.345   1.150  2.49818E-01  7.49285E-01 -6.45341E-01
    6000.165     -5.898   1.200  1.54100E-01  7.64034E-01 -7.73922E-01
    6000.632     -5.431   1.250  5.96013E-02  7.78263E-01 -8.96056E-01
    6001.118     -4.945   1.300 -1.65307E-02  7.92492E-01 -9.91512E-01
    6001.622     -4.440   1.350 -6.91904E-02  8.06017E-01 -1.05529E+00
    6002.146     -3.916   1.400 -8.19436E-02  8.19542E-01 -1.06968E+00
    6002.689     -3.374   1.450 -4.88546E-02  8.32195E-01 -1.02995E+00
    6003.251     -2.812   1.500  3.87345E-02  8.44848E-01 -9.28601E-01
    6003.832     -2.231   1.550  1.82566E-01  8.56464E-01 -7.66002E-01
    6004.432     -1.630   1.600  3.77054E-01  8.68080E-01 -5.50832E-01
    6005.051     -1.011   1.650  6.15414E-01  8.78518E-01 -2.91718E-01
    6005.690     -0.373   1.700  8.76453E-01  8.88956E-01 -1.37041E-02
    6006.347      0.284   1.750  1.14489E+00  8.98103E-01  2.67805E-01
    6007.023      0.960   1.800  1.39081E+00  9.07249E-01  5.19591E-01
    6007.718      1.656   1.850  1.59715E+00  9.15011E-01  7.26993E-01
    6008.433      2.370   1.900  1.73889E+00  9.22772E-01  8.62746E-01
    6009.166      3.103   1.950  1.80739E+00  9.29039E-01  9.22600E-01
    6009.919      3.856   2.000  1.79661E+00  9.35307E-01  8.98951E-01
    6010.690      4.627   2.050  1.71282E+00  9.39503E-01  8.04069E-01
    6011.481      5.418   2.100  1.57327E+00  9.43699E-01  6.52136E-01
    6012.290      6.228   2.150  1.40458E+00  9.47896E-01  4.71277E-01
    6013.119      7.056   2.200  1.23552E+00  9.52092E-01  2.91392E-01
    6013.967      7.904   2.250  1.07978E+00  9.52400E-01  1.31037E-01
    6014.834      8.771   2.300  9.72952E-01  9.52707E-01  2.08392E-02
    6015.719      9.657   2.350  9.26642E-01  9.53015E-01 -2.71641E-02
    6016.624     10.562   2.400  9.39294E-01  9.53323E-01 -1.44588E-02
    6017.548     11.485   2.450  9.98753E-01  9.50802E-01  4.94276E-02
    6018.491     12.428   2.500  1.08121E+00  9.48282E-01  1.37038E-01
    6019.453     13.390   2.550  1.15938E+00  9.45761E-01  2.20258E-01
    6020.434     14.371   2.600  1.21096E+00  9.43241E-01  2.76078E-01
    6021.434     15.372   2.650  1.22716E+00  9.48830E-01  2.85811E-01
    6022.453     16.391   2.700  1.21307E+00  9.54419E-01  2.64480E-01
    6023.492     17.429   2.750  1.17574E+00  9.60008E-01  2.19672E-01
    6024.549     18.486   2.800  1.12506E+00  9.65597E-01  1.61691E-01
    6025.625     19.563   2.850  1.06893E+00  9.68679E-01  1.01394E-01
    6026.721     20.658   2.900  1.01078E+00  9.71762E-01  3.93577E-02
