# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  4.9750   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.331 Rnm= 1.373 K  shell
# # Pot 1 Z=62 Rmt= 1.658 Rnm= 1.681
# # Pot 2 Z=27 Rmt= 1.341 Rnm= 1.382
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.790E+01 kf=2.072E+00 Vint=-2.783E+01 Rs_int= 1.750
# # PATH  Rmax= 4.975,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 332.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00751    100.00      1.00     2   2.2947
#           2       0.00837    241.60      1.00     2   2.5425
#           3       0.00837     17.66      1.00     2   2.5425
#           4       0.00837     23.41      1.00     2   2.5425
#           5       0.00855    145.80      1.00     2   2.5970
#           6       0.00855     36.14      1.00     2   2.5970
#           7       0.00855     53.81      1.00     2   2.5970
#           8       0.00862    239.10      1.00     2   2.6210
#           9       0.00862     14.67      1.00     2   2.6210
#          10       0.00862    150.80      1.00     2   2.6210
#          11       0.00862     15.06      1.00     2   2.6210
#          12       0.00862     37.97      1.00     2   2.6210
#          13       0.00862     42.59      1.00     2   2.6210
#          14       0.00677     90.49      1.00     2   2.8707
#          16       0.00931     30.30      2.00     3   3.7667
#          17       0.00932     15.74      2.00     3   3.7667
#          18       0.00932     11.00      2.00     3   3.7667
#          19       0.00931      7.00      2.00     3   3.7667
#          20       0.00932     18.14      2.00     3   3.7667
#          21       0.00931     16.86      2.00     3   3.7667
#          25       0.00931      6.49      2.00     3   3.7667
#          26       0.00932      5.60      2.00     3   3.7667
#          27       0.00934     33.56      2.00     3   3.7746
#          29       0.00934      5.42      2.00     3   3.7746
#          30       0.00945     17.35      2.00     3   3.8239
#          34       0.01072     61.85      1.00     2   3.9604
#          35       0.01072     31.64      1.00     2   3.9604
#          36       0.01077     75.74      1.00     2   4.0917
#          38       0.01077      8.93      1.00     2   4.0917
#          39       0.01079     81.61      1.00     2   4.1584
#          40       0.01079     62.16      1.00     2   4.1584
#          44       0.01079     18.70      1.00     2   4.1584
#          45       0.01081     62.49      1.00     2   4.2006
#          47       0.01081     37.48      1.00     2   4.2006
#          48       0.01081      6.04      1.00     2   4.2006
#          49       0.01081     35.61      1.00     2   4.2006
#          50       0.01081     17.17      1.00     2   4.2006
#          51       0.01061     13.66      2.00     3   4.3988
#          52       0.01061      7.17      2.00     3   4.3988
#          55       0.01061     14.83      2.00     3   4.3988
#          56       0.01061      8.86      2.00     3   4.3988
#          57       0.01069     10.86      2.00     3   4.4917
#          58       0.01069     10.70      2.00     3   4.4917
#          59       0.01069      5.91      2.00     3   4.4917
#          60       0.01069     18.28      2.00     3   4.4917
#          62       0.01069      4.14      2.00     3   4.4917
#          63       0.01073     23.93      2.00     3   4.5354
#          65       0.01073     19.84      2.00     3   4.5354
#          66       0.01073      5.38      2.00     3   4.5354
#          69       0.01075     20.02      2.00     3   4.5684
#          70       0.01075     14.21      2.00     3   4.5684
#          71       0.01075      5.04      2.00     3   4.5685
#          73       0.01075      9.20      2.00     3   4.5685
#          75       0.03003      5.99      1.00     4   4.5894
#          76       0.00779     70.49      1.00     2   4.9197
#          78       0.00779     41.29      1.00     2   4.9197
#          79       0.00779      8.50      1.00     2   4.9197
#          80       0.00779     33.76      1.00     2   4.9197
#          81       0.00779     14.40      1.00     2   4.9197
#          82       0.01094     15.53      2.00     3   4.9591
#          83       0.01094      9.01      2.00     3   4.9591
#    61/  65 paths used
#  xsedge+50, used to normalize mu           2.9273E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7719.439    -17.889   0.050  3.15280E-01  3.13315E-01  3.56883E-03
    7719.468    -17.860   0.100  3.25316E-01  3.18306E-01  1.27098E-02
    7719.515    -17.813   0.150  3.54506E-01  3.33195E-01  3.84505E-02
    7719.582    -17.746   0.200  3.83040E-01  3.48084E-01  6.27654E-02
    7719.668    -17.660   0.250  4.26312E-01  3.71081E-01  9.83917E-02
    7719.772    -17.556   0.300  4.67533E-01  3.94079E-01  1.29837E-01
    7719.896    -17.432   0.350  5.14001E-01  4.20391E-01  1.63709E-01
    7720.039    -17.289   0.400  5.56021E-01  4.46703E-01  1.89174E-01
    7720.201    -17.127   0.450  5.91433E-01  4.71316E-01  2.05161E-01
    7720.382    -16.946   0.500  6.19416E-01  4.95930E-01  2.08213E-01
    7720.582    -16.746   0.550  6.34636E-01  5.17133E-01  1.95153E-01
    7720.801    -16.527   0.600  6.40831E-01  5.38336E-01  1.67711E-01
    7721.039    -16.289   0.650  6.34533E-01  5.56721E-01  1.25219E-01
    7721.296    -16.032   0.700  6.19584E-01  5.75106E-01  7.04124E-02
    7721.573    -15.755   0.750  5.92862E-01  5.91729E-01  1.76181E-03
    7721.868    -15.460   0.800  5.59529E-01  6.08352E-01 -7.46161E-02
    7722.182    -15.146   0.850  5.16630E-01  6.23959E-01 -1.61037E-01
    7722.516    -14.812   0.900  4.71606E-01  6.39567E-01 -2.47493E-01
    7722.868    -14.460   0.950  4.22734E-01  6.54559E-01 -3.35286E-01
    7723.239    -14.088   1.000  3.78747E-01  6.69551E-01 -4.12956E-01
    7723.630    -13.698   1.050  3.39595E-01  6.84099E-01 -4.80267E-01
    7724.040    -13.288   1.100  3.13158E-01  6.98648E-01 -5.27752E-01
    7724.468    -12.860   1.150  3.00061E-01  7.12769E-01 -5.54984E-01
    7724.916    -12.412   1.200  3.04974E-01  7.26890E-01 -5.57470E-01
    7725.383    -11.945   1.250  3.27387E-01  7.40512E-01 -5.36589E-01
    7725.868    -11.460   1.300  3.67526E-01  7.54134E-01 -4.93767E-01
    7726.373    -10.955   1.350  4.22952E-01  7.67143E-01 -4.32609E-01
    7726.897    -10.431   1.400  4.90214E-01  7.80151E-01 -3.58719E-01
    7727.440     -9.888   1.450  5.65816E-01  7.92415E-01 -2.76246E-01
    7728.002     -9.326   1.500  6.44861E-01  8.04680E-01 -1.92020E-01
    7728.583     -8.745   1.550  7.24538E-01  8.16074E-01 -1.08522E-01
    7729.183     -8.145   1.600  8.00385E-01  8.27469E-01 -3.16909E-02
    7729.802     -7.526   1.650  8.71184E-01  8.37870E-01  3.85228E-02
    7730.440     -6.888   1.700  9.33855E-01  8.48270E-01  9.78143E-02
    7731.098     -6.230   1.750  9.88396E-01  8.57608E-01  1.47951E-01
    7731.774     -5.554   1.800  1.03313E+00  8.66946E-01  1.86099E-01
    7732.469     -4.859   1.850  1.06813E+00  8.75122E-01  2.14270E-01
    7733.184     -4.144   1.900  1.09296E+00  8.83298E-01  2.30763E-01
    7733.917     -3.411   1.950  1.10718E+00  8.90253E-01  2.37076E-01
    7734.669     -2.658   2.000  1.11144E+00  8.97209E-01  2.32480E-01
    7735.441     -1.887   2.050  1.10433E+00  9.02393E-01  2.18062E-01
    7736.232     -1.096   2.100  1.08795E+00  9.07577E-01  1.93822E-01
    7737.041     -0.287   2.150  1.06388E+00  9.12761E-01  1.61604E-01
    7737.870      0.542   2.200  1.03415E+00  9.17946E-01  1.23663E-01
    7738.718      1.390   2.250  9.94766E-01  9.20248E-01  7.92139E-02
    7739.584      2.256   2.300  9.55490E-01  9.22550E-01  3.49763E-02
    7740.470      3.142   2.350  9.19865E-01  9.24853E-01 -5.29041E-03
    7741.375      4.047   2.400  8.90849E-01  9.27155E-01 -3.84668E-02
    7742.299      4.971   2.450  8.74065E-01  9.32285E-01 -6.15399E-02
    7743.242      5.914   2.500  8.66303E-01  9.37415E-01 -7.49920E-02
    7744.204      6.876   2.550  8.67254E-01  9.42545E-01 -7.92141E-02
    7745.185      7.857   2.600  8.75555E-01  9.47675E-01 -7.57008E-02
    7746.185      8.857   2.650  8.84434E-01  9.52168E-01 -7.08242E-02
    7747.204      9.876   2.700  8.97849E-01  9.56662E-01 -6.12603E-02
    7748.243     10.915   2.750  9.14207E-01  9.61156E-01 -4.87154E-02
    7749.300     11.972   2.800  9.31899E-01  9.65650E-01 -3.48879E-02
    7750.376     13.048   2.850  9.47090E-01  9.68366E-01 -2.19268E-02
    7751.471     14.144   2.900  9.62166E-01  9.71082E-01 -9.16147E-03
    7752.586     15.258   2.950  9.76370E-01  9.73798E-01  2.63536E-03
    7753.719     16.391   3.000  9.89257E-01  9.76514E-01  1.30170E-02
    7754.872     17.544   3.050  9.99394E-01  9.78491E-01  2.13010E-02
    7756.043     18.716   3.100  1.00860E+00  9.80469E-01  2.86002E-02
    7757.234     19.906   3.150  1.01696E+00  9.82447E-01  3.50125E-02
    7758.444     21.116   3.200  1.02447E+00  9.84424E-01  4.05280E-02
    7759.672     22.345   3.250  1.02961E+00  9.85240E-01  4.48263E-02
    7760.920     23.592   3.300  1.03416E+00  9.86055E-01  4.85020E-02
    7762.187     24.859   3.350  1.03763E+00  9.86870E-01  5.10918E-02
    7763.473     26.145   3.400  1.03937E+00  9.87685E-01  5.19283E-02
    7764.778     27.450   3.450  1.03901E+00  9.88427E-01  5.07619E-02
    7766.102     28.774   3.500  1.03588E+00  9.89170E-01  4.68303E-02
    7767.445     30.117   3.550  1.02942E+00  9.89912E-01  3.95720E-02
    7768.807     31.479   3.600  1.01935E+00  9.90655E-01  2.87078E-02
    7770.188     32.860   3.650  1.00571E+00  9.90754E-01  1.49486E-02
    7771.588     34.260   3.700  9.89422E-01  9.90854E-01 -1.43001E-03
    7773.007     35.679   3.750  9.71324E-01  9.90954E-01 -1.95803E-02
    7774.446     37.118   3.800  9.52597E-01  9.91054E-01 -3.83209E-02
    7775.903     38.575   3.850  9.35375E-01  9.91471E-01 -5.58551E-02
    7777.379     40.051   3.900  9.20431E-01  9.91888E-01 -7.10973E-02
    7778.875     41.547   3.950  9.09086E-01  9.92305E-01 -8.27384E-02
    7780.389     43.061   4.000  9.02452E-01  9.92722E-01 -8.96822E-02
    7781.923     44.595   4.050  9.01501E-01  9.92918E-01 -9.07532E-02
    7783.475     46.147   4.100  9.06253E-01  9.93113E-01 -8.61651E-02
    7785.047     47.719   4.150  9.16521E-01  9.93309E-01 -7.61169E-02
    7786.638     49.310   4.200  9.31660E-01  9.93505E-01 -6.12584E-02
    7788.247     50.919   4.250  9.51144E-01  9.93837E-01 -4.22623E-02
    7789.876     52.548   4.300  9.72982E-01  9.94170E-01 -2.09609E-02
    7791.524     54.196   4.350  9.95579E-01  9.94503E-01  1.06372E-03
    7793.191     55.863   4.400  1.01730E+00  9.94835E-01  2.21990E-02
    7794.877     57.549   4.450  1.03677E+00  9.95233E-01  4.10246E-02
    7796.582     59.254   4.500  1.05238E+00  9.95630E-01  5.60120E-02
    7798.306     60.978   4.550  1.06326E+00  9.96027E-01  6.63333E-02
    7800.049     62.721   4.600  1.06909E+00  9.96424E-01  7.16508E-02
    7801.811     64.483   4.650  1.06934E+00  9.96616E-01  7.16917E-02
    7803.592     66.264   4.700  1.06522E+00  9.96808E-01  6.74227E-02
    7805.392     68.064   4.750  1.05782E+00  9.97000E-01  5.99211E-02
    7807.212     69.884   4.800  1.04841E+00  9.97192E-01  5.04445E-02
    7809.050     71.722   4.850  1.03794E+00  9.97343E-01  3.99757E-02
    7810.907     73.579   4.900  1.02792E+00  9.97494E-01  2.99648E-02
    7812.784     75.456   4.950  1.01915E+00  9.97645E-01  2.11692E-02
    7814.679     77.351   5.000  1.01192E+00  9.97796E-01  1.39066E-02
    7816.594     79.266   5.050  1.00587E+00  9.97762E-01  7.98399E-03
    7818.527     81.199   5.100  1.00083E+00  9.97729E-01  3.05131E-03
    7820.480     83.152   5.150  9.96031E-01  9.97695E-01 -1.63836E-03
    7822.451     85.124   5.200  9.90676E-01  9.97662E-01 -6.87881E-03
    7824.442     87.114   5.250  9.83907E-01  9.97423E-01 -1.33143E-02
    7826.452     89.124   5.300  9.75650E-01  9.97184E-01 -2.12205E-02
    7828.481     91.153   5.350  9.66008E-01  9.96946E-01 -3.04977E-02
    7830.529     93.201   5.400  9.55555E-01  9.96707E-01 -4.05821E-02
    7832.596     95.268   5.450  9.45196E-01  9.96272E-01 -5.03963E-02
    7834.682     97.354   5.500  9.36315E-01  9.95836E-01 -5.87625E-02
    7836.787     99.459   5.550  9.30251E-01  9.95401E-01 -6.43546E-02
    7838.911    101.583   5.600  9.28201E-01  9.94965E-01 -6.59867E-02
    7841.054    103.726   5.650  9.30945E-01  9.94319E-01 -6.26802E-02
    7843.216    105.888   5.700  9.38857E-01  9.93672E-01 -5.42532E-02
    7845.397    108.069   5.750  9.51620E-01  9.93025E-01 -4.10099E-02
    7847.597    110.269   5.800  9.68305E-01  9.92378E-01 -2.38608E-02
    7849.817    112.489   5.850  9.87447E-01  9.91637E-01 -4.15690E-03
    7852.055    114.727   5.900  1.00721E+00  9.90897E-01  1.62036E-02
    7854.312    116.985   5.950  1.02570E+00  9.90156E-01  3.53289E-02
    7856.589    119.261   6.000  1.04114E+00  9.89415E-01  5.14639E-02
    7858.884    121.557   6.050  1.05186E+00  9.88530E-01  6.30720E-02
    7861.199    123.871   6.100  1.05717E+00  9.87644E-01  6.93173E-02
    7863.533    126.205   6.150  1.05687E+00  9.86759E-01  6.99730E-02
    7865.885    128.557   6.200  1.05135E+00  9.85874E-01  6.54160E-02
    7868.257    130.929   6.250  1.04150E+00  9.84988E-01  5.65267E-02
    7870.648    133.320   6.300  1.02858E+00  9.84103E-01  4.45292E-02
    7873.058    135.730   6.350  1.01395E+00  9.83218E-01  3.07998E-02
    7875.486    138.159   6.400  9.98954E-01  9.82333E-01  1.66783E-02
    7877.934    140.606   6.450  9.84743E-01  9.81447E-01  3.31049E-03
    7880.401    143.073   6.500  9.72152E-01  9.80562E-01 -8.45670E-03
    7882.887    145.559   6.550  9.61724E-01  9.79662E-01 -1.80594E-02
    7885.392    148.065   6.600  9.53580E-01  9.78763E-01 -2.53829E-02
    7887.917    150.589   6.650  9.47597E-01  9.77863E-01 -3.05414E-02
    7890.460    153.132   6.700  9.43502E-01  9.76964E-01 -3.38058E-02
    7893.022    155.694   6.750  9.40965E-01  9.76064E-01 -3.55011E-02
    7895.603    158.275   6.800  9.39694E-01  9.75165E-01 -3.59187E-02
    7898.203    160.876   6.850  9.39483E-01  9.74265E-01 -3.52620E-02
    7900.823    163.495   6.900  9.40232E-01  9.73365E-01 -3.36302E-02
    7903.461    166.133   6.950  9.41922E-01  9.72466E-01 -3.10378E-02
    7906.119    168.791   7.000  9.44576E-01  9.71566E-01 -2.74592E-02
    7908.795    171.467   7.050  9.48224E-01  9.70712E-01 -2.29074E-02
    7911.491    174.163   7.100  9.52833E-01  9.69858E-01 -1.73644E-02
    7914.205    176.878   7.150  9.58248E-01  9.69004E-01 -1.09837E-02
    7916.939    179.611   7.200  9.64213E-01  9.68150E-01 -4.02551E-03
    7919.692    182.364   7.250  9.70388E-01  9.67296E-01  3.16497E-03
    7922.464    185.136   7.300  9.76389E-01  9.66442E-01  1.01956E-02
    7925.254    187.926   7.350  9.81834E-01  9.65588E-01  1.66723E-02
    7928.064    190.736   7.400  9.86379E-01  9.64734E-01  2.22403E-02
    7930.893    193.565   7.450  9.89749E-01  9.63880E-01  2.66145E-02
    7933.741    196.413   7.500  9.91755E-01  9.63026E-01  2.95935E-02
    7936.608    199.280   7.550  9.92289E-01  9.62102E-01  3.11390E-02
    7939.494    202.166   7.600  9.91270E-01  9.61177E-01  3.10837E-02
    7942.399    205.071   7.650  9.88742E-01  9.60253E-01  2.94682E-02
    7945.323    207.996   7.700  9.84810E-01  9.59329E-01  2.63941E-02
    7948.267    210.939   7.750  9.79626E-01  9.58405E-01  2.20127E-02
    7951.229    213.901   7.800  9.73386E-01  9.57480E-01  1.65212E-02
    7954.210    216.882   7.850  9.66331E-01  9.56556E-01  1.01673E-02
    7957.211    219.883   7.900  9.58758E-01  9.55632E-01  3.25611E-03
    7960.230    222.902   7.950  9.51021E-01  9.54708E-01 -3.84590E-03
    7963.268    225.941   8.000  9.43522E-01  9.53783E-01 -1.07183E-02
    7966.326    228.998   8.050  9.36521E-01  9.52760E-01 -1.69872E-02
    7969.403    232.075   8.100  9.30586E-01  9.51737E-01 -2.21562E-02
    7972.498    235.170   8.150  9.26097E-01  9.50713E-01 -2.58248E-02
    7975.613    238.285   8.200  9.23328E-01  9.49690E-01 -2.76952E-02
    7978.747    241.419   8.250  9.22414E-01  9.48666E-01 -2.76201E-02
    7981.899    244.571   8.300  9.23313E-01  9.47643E-01 -2.56349E-02
    7985.071    247.743   8.350  9.25802E-01  9.46619E-01 -2.19663E-02
    7988.262    250.934   8.400  9.29497E-01  9.45596E-01 -1.70116E-02
    7991.472    254.144   8.450  9.33903E-01  9.44573E-01 -1.12909E-02
    7994.701    257.373   8.500  9.38475E-01  9.43549E-01 -5.37784E-03
    7997.949    260.621   8.550  9.42669E-01  9.42490E-01  1.89639E-04
    8001.216    263.888   8.600  9.46146E-01  9.41431E-01  5.00915E-03
    8004.502    267.174   8.650  9.48615E-01  9.40372E-01  8.76850E-03
    8007.807    270.479   8.700  9.49953E-01  9.39312E-01  1.13335E-02
    8011.131    273.804   8.750  9.50208E-01  9.38253E-01  1.27483E-02
    8014.475    277.147   8.800  9.49560E-01  9.37194E-01  1.32039E-02
    8017.837    280.509   8.850  9.48276E-01  9.36135E-01  1.29804E-02
    8021.218    283.890   8.900  9.46639E-01  9.35076E-01  1.23774E-02
    8024.619    287.291   8.950  9.44883E-01  9.34016E-01  1.16468E-02
    8028.038    290.710   9.000  9.43154E-01  9.32957E-01  1.09427E-02
