# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=26 Rmt= 1.310 Rnm= 1.356 K  shell
# # Pot 1 Z=26 Rmt= 1.331 Rnm= 1.382
# # Pot 2 Z=14 Rmt= 1.326 Rnm= 1.375
# # Gam_ch=1.309E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.685E+01 kf=2.151E+00 Vint=-2.767E+01 Rs_int= 1.686
# # PATH  Rmax=11.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   2.4260
#           2       0.00000    100.00      4.00     2   2.4260
#           3       0.00000    111.90      6.00     2   2.8013
#           4       0.00000     28.21     24.00     3   3.8266
#           5       0.00000     15.18     24.00     3   3.8266
#           6       0.00000     19.80     24.00     3   3.8266
#           7       0.00000    102.40     12.00     2   3.9616
#           8       0.00000      9.47     12.00     3   4.4068
#           9       0.00000      6.36     12.00     3   4.4068
#          10       0.00000     32.08     24.00     3   4.4068
#          11       0.00000     37.49     24.00     3   4.4068
#          12       0.00000     69.22     12.00     2   4.6454
#          13       0.00000     47.80     12.00     2   4.6454
#          14       0.00000      9.20     24.00     3   4.7821
#          15       0.00000     25.76     48.00     3   4.7821
#          16       0.00000     41.31      8.00     2   4.8520
#          17       0.00000     15.89      8.00     3   4.8520
#          18       0.00000     55.54      8.00     3   4.8520
#          19       0.00000     62.37      8.00     3   4.8520
#          20       0.00000     17.36      8.00     4   4.8520
#          21       0.00000      5.79      4.00     4   4.8520
#          22       0.00000     44.65      4.00     4   4.8520
#          23       0.00000      5.68     12.00     4   4.8520
#          25       0.00000     49.27      4.00     4   4.8520
#          26       0.00000      5.18     12.00     4   4.8520
#          27       0.00000      7.22     12.00     4   4.8520
#          28       0.00000      6.38     24.00     4   4.8520
#          29       0.00000     19.30     24.00     3   4.9363
#          30       0.00000     15.69     24.00     3   4.9363
#          31       0.00000     15.37     24.00     3   4.9363
#          32       0.00000     31.27     24.00     3   4.9363
#          33       0.00000     14.70     24.00     3   4.9363
#          34       0.00000     39.76     24.00     3   4.9363
#          35       0.00000      6.82     24.00     4   5.2273
#          38       0.00000      4.36     12.00     4   5.2273
#          39       0.00000      6.98     12.00     4   5.2273
#          41       0.00000      6.41     12.00     4   5.2273
#          42       0.00000      7.64     24.00     4   5.2273
#          43       0.00000      4.98     24.00     4   5.2273
#          44       0.00000     11.15     48.00     3   5.5165
#          45       0.00000     17.69     48.00     3   5.5165
#          46       0.00000      5.32     48.00     3   5.5165
#          47       0.00000     15.48     48.00     3   5.5165
#          48       0.00000     17.66     48.00     3   5.5165
#          49       0.00000     20.90     48.00     3   5.5165
#          50       0.00000     21.22      6.00     2   5.6026
#          51       0.00000     10.78      6.00     3   5.6026
#          52       0.00000     51.39     12.00     3   5.6026
#          53       0.00000     10.20      6.00     4   5.6026
#          54       0.00000      4.76      6.00     4   5.6026
#          55       0.00000     36.98      6.00     4   5.6026
#          56       0.00000      8.26     48.00     3   5.8074
#          57       0.00000     12.90     48.00     3   5.8074
#          58       0.00000     11.63     48.00     3   5.8074
#          59       0.00000      7.28     24.00     4   5.8074
#          60       0.00000      8.56     24.00     4   5.8074
#          61       0.00000      9.25     24.00     4   5.8074
#          62       0.00000     10.23     24.00     4   5.8074
#          63       0.00000      9.95     24.00     3   5.9617
#          64       0.00000      5.76     24.00     3   5.9617
#          65       0.00000      6.43     24.00     4   5.9617
#          66       0.00000      7.45     24.00     4   5.9617
#          67       0.00000     13.90     24.00     4   5.9617
#          69       0.00000      5.23     24.00     4   5.9617
#          70       0.00000      8.97     48.00     3   6.0460
#          71       0.00000     33.56     12.00     2   6.1052
#          72       0.00000     20.40     12.00     2   6.1053
#          73       0.00000     17.72     24.00     3   6.2464
#          74       0.00000     12.92     24.00     3   6.2464
#          75       0.00000     18.78     24.00     3   6.2464
#          76       0.00000     17.37     24.00     3   6.2464
#          77       0.00000     18.45     24.00     3   6.2464
#          78       0.00000     11.89     24.00     3   6.2464
#    73/  75 paths used
#  xsedge+50, used to normalize mu           3.2125E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7120.334    -16.845   0.050 -1.93620E-01  3.15964E-01 -9.02615E-01
    7120.362    -16.816   0.100 -1.79926E-01  3.21561E-01 -8.87018E-01
    7120.410    -16.769   0.150 -1.40027E-01  3.37999E-01 -8.41951E-01
    7120.477    -16.702   0.200 -9.99888E-02  3.54436E-01 -7.97018E-01
    7120.562    -16.616   0.250 -3.84984E-02  3.79349E-01 -7.27817E-01
    7120.667    -16.512   0.300  2.23203E-02  4.04261E-01 -6.60724E-01
    7120.791    -16.388   0.350  9.37162E-02  4.31671E-01 -5.79190E-01
    7120.934    -16.245   0.400  1.62085E-01  4.59080E-01 -5.04299E-01
    7121.096    -16.083   0.450  2.29121E-01  4.83618E-01 -4.27180E-01
    7121.277    -15.902   0.500  2.90122E-01  5.08155E-01 -3.61824E-01
    7121.477    -15.702   0.550  3.44166E-01  5.28570E-01 -3.01946E-01
    7121.696    -15.483   0.600  3.90175E-01  5.48985E-01 -2.56623E-01
    7121.934    -15.245   0.650  4.29034E-01  5.66347E-01 -2.18610E-01
    7122.191    -14.988   0.700  4.59902E-01  5.83710E-01 -1.94241E-01
    7122.467    -14.711   0.750  4.86340E-01  5.99241E-01 -1.74323E-01
    7122.763    -14.416   0.800  5.06362E-01  6.14771E-01 -1.64778E-01
    7123.077    -14.102   0.850  5.24571E-01  6.29287E-01 -1.56529E-01
    7123.410    -13.768   0.900  5.38102E-01  6.43804E-01 -1.55427E-01
    7123.763    -13.416   0.950  5.50806E-01  6.57757E-01 -1.54607E-01
    7124.134    -13.045   1.000  5.59804E-01  6.71711E-01 -1.59082E-01
    7124.525    -12.654   1.050  5.67160E-01  6.85294E-01 -1.65090E-01
    7124.934    -12.244   1.100  5.71297E-01  6.98878E-01 -1.75321E-01
    7125.363    -11.816   1.150  5.72652E-01  7.12137E-01 -1.88486E-01
    7125.811    -11.368   1.200  5.72024E-01  7.25396E-01 -2.03857E-01
    7126.277    -10.901   1.250  5.69078E-01  7.38288E-01 -2.21286E-01
    7126.763    -10.416   1.300  5.67133E-01  7.51179E-01 -2.36875E-01
    7127.268     -9.911   1.350  5.65767E-01  7.63608E-01 -2.50727E-01
    7127.792     -9.387   1.400  5.69712E-01  7.76037E-01 -2.57532E-01
    7128.335     -8.844   1.450  5.78224E-01  7.87896E-01 -2.57956E-01
    7128.897     -8.282   1.500  5.95825E-01  7.99755E-01 -2.47343E-01
    7129.478     -7.701   1.550  6.20464E-01  8.10922E-01 -2.27949E-01
    7130.078     -7.101   1.600  6.55622E-01  8.22090E-01 -1.96635E-01
    7130.697     -6.482   1.650  6.98538E-01  8.32446E-01 -1.56284E-01
    7131.335     -5.844   1.700  7.48359E-01  8.42802E-01 -1.08922E-01
    7131.992     -5.186   1.750  8.03347E-01  8.52245E-01 -5.57960E-02
    7132.669     -4.510   1.800  8.63180E-01  8.61688E-01  1.68395E-03
    7133.364     -3.815   1.850  9.23508E-01  8.70133E-01  5.97101E-02
    7134.078     -3.101   1.900  9.79602E-01  8.78577E-01  1.11983E-01
    7134.812     -2.367   1.950  1.02870E+00  8.85924E-01  1.57025E-01
    7135.564     -1.615   2.000  1.06359E+00  8.93270E-01  1.85880E-01
    7136.336     -0.843   2.050  1.08105E+00  8.99013E-01  1.97535E-01
    7137.126     -0.053   2.100  1.07617E+00  9.04756E-01  1.84951E-01
    7137.936      0.757   2.150  1.05068E+00  9.10499E-01  1.50404E-01
    7138.765      1.586   2.200  1.01016E+00  9.16242E-01  1.00197E-01
    7139.612      2.433   2.250  9.58889E-01  9.19209E-01  4.22444E-02
    7140.479      3.300   2.300  9.14307E-01  9.22176E-01 -8.35957E-03
    7141.365      4.186   2.350  8.88375E-01  9.25143E-01 -3.89763E-02
    7142.270      5.091   2.400  8.88824E-01  9.28110E-01 -4.15569E-02
    7143.194      6.015   2.450  9.20068E-01  9.31072E-01 -1.16245E-02
    7144.137      6.958   2.500  9.68830E-01  9.34035E-01  3.67034E-02
    7145.099      7.920   2.550  1.02103E+00  9.36997E-01  8.85180E-02
    7146.080      8.901   2.600  1.06321E+00  9.39960E-01  1.29649E-01
    7147.080      9.901   2.650  1.08402E+00  9.45267E-01  1.45318E-01
    7148.099     10.920   2.700  1.08845E+00  9.50573E-01  1.43774E-01
    7149.137     11.958   2.750  1.07862E+00  9.55880E-01  1.27437E-01
    7150.195     13.016   2.800  1.05915E+00  9.61187E-01  1.01279E-01
    7151.271     14.092   2.850  1.03595E+00  9.64371E-01  7.37475E-02
