# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=57 Rmt= 1.821 Rnm= 1.821 L3 shell
# # Pot 1 Z=57 Rmt= 1.891 Rnm= 1.891
# # Pot 2 Z=14 Rmt= 1.358 Rnm= 1.412
# # Pot 3 Z=26 Rmt= 1.366 Rnm= 1.420
# # Gam_ch=3.160E+00 D-H exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.648E+01 kf=2.095E+00 Vint=-2.532E+01 Rs_int= 1.731
# # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      3.00     2   3.3214
#           2       0.00000    634.70     21.00     2   3.3214
#           3       0.00000     11.25     12.00     3   4.5109
#           4       0.00000     34.90     36.00     3   4.5109
#           5       0.00000      9.36     12.00     3   4.5983
#           6       0.00000     25.60     36.00     3   4.5983
#           7       0.00000      4.60      6.00     3   4.6085
#           8       0.00000     12.40     18.00     3   4.6085
#           9       0.00000    109.40      8.00     2   4.9602
#     9/   9 paths used
#  xsedge+50, used to normalize mu           8.5355E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    5487.864    -16.484   0.000  1.18219E+00  1.26978E+00 -2.93915E-02
    5487.873    -16.475   0.050  1.19184E+00  1.28022E+00 -2.93628E-02
    5487.902    -16.446   0.100  1.20148E+00  1.29067E+00 -2.93385E-02
    5487.949    -16.399   0.150  1.23378E+00  1.32223E+00 -2.82724E-02
    5488.016    -16.332   0.200  1.26620E+00  1.35380E+00 -2.72270E-02
    5488.102    -16.246   0.250  1.32332E+00  1.40618E+00 -2.46438E-02
    5488.207    -16.142   0.300  1.38071E+00  1.45855E+00 -2.21939E-02
    5488.330    -16.018   0.350  1.46118E+00  1.52879E+00 -1.83256E-02
    5488.473    -15.875   0.400  1.54164E+00  1.59904E+00 -1.48242E-02
    5488.635    -15.713   0.450  1.63760E+00  1.67983E+00 -1.04581E-02
    5488.816    -15.532   0.500  1.73249E+00  1.76062E+00 -6.68964E-03
    5489.016    -15.332   0.550  1.82896E+00  1.84056E+00 -2.71513E-03
    5489.235    -15.113   0.600  1.92305E+00  1.92049E+00  5.90353E-04
    5489.473    -14.875   0.650  2.00144E+00  1.98670E+00  3.46441E-03
    5489.731    -14.618   0.700  2.07658E+00  2.05292E+00  5.67132E-03
    5490.007    -14.341   0.750  2.11744E+00  2.09456E+00  5.75855E-03
    5490.302    -14.046   0.800  2.15654E+00  2.13619E+00  5.38694E-03
    5490.616    -13.732   0.850  2.16322E+00  2.14695E+00  4.59568E-03
    5490.950    -13.398   0.900  2.17504E+00  2.15770E+00  5.24535E-03
    5491.302    -13.046   0.950  2.16247E+00  2.13743E+00  8.13224E-03
    5491.674    -12.674   1.000  2.15843E+00  2.11716E+00  1.44630E-02
    5492.064    -12.284   1.050  2.13978E+00  2.07161E+00  2.56514E-02
    5492.474    -11.874   1.100  2.12715E+00  2.02606E+00  4.10729E-02
    5492.902    -11.446   1.150  2.10573E+00  1.96447E+00  6.14794E-02
    5493.350    -10.998   1.200  2.08405E+00  1.90288E+00  8.48918E-02
    5493.817    -10.531   1.250  2.05624E+00  1.83459E+00  1.10786E-01
    5494.303    -10.046   1.300  2.02173E+00  1.76631E+00  1.36797E-01
    5494.807     -9.541   1.350  1.98187E+00  1.69864E+00  1.60954E-01
    5495.331     -9.017   1.400  1.93119E+00  1.63098E+00  1.81697E-01
    5495.874     -8.474   1.450  1.87595E+00  1.56854E+00  1.96206E-01
    5496.436     -7.912   1.500  1.80873E+00  1.50611E+00  2.04301E-01
    5497.017     -7.331   1.550  1.73849E+00  1.45125E+00  2.03171E-01
    5497.617     -6.731   1.600  1.65750E+00  1.39639E+00  1.93939E-01
    5498.236     -6.112   1.650  1.57602E+00  1.34985E+00  1.74776E-01
    5498.875     -5.474   1.700  1.48684E+00  1.30331E+00  1.47799E-01
    5499.532     -4.816   1.750  1.40038E+00  1.26500E+00  1.12621E-01
    5500.208     -4.140   1.800  1.31065E+00  1.22669E+00  7.22298E-02
    5500.903     -3.445   1.850  1.22855E+00  1.19777E+00  2.70986E-02
    5501.618     -2.730   1.900  1.14789E+00  1.16885E+00 -1.88941E-02
    5502.351     -1.997   1.950  1.07890E+00  1.15029E+00 -6.55711E-02
    5503.104     -1.245   2.000  1.01728E+00  1.13173E+00 -1.07143E-01
    5503.875     -0.473   2.050  9.69386E-01  1.11670E+00 -1.40573E-01
    5504.666      0.318   2.100  9.31564E-01  1.10166E+00 -1.65519E-01
    5505.475      1.127   2.150  9.05190E-01  1.08663E+00 -1.80105E-01
    5506.304      1.956   2.200  8.89416E-01  1.07160E+00 -1.84553E-01
    5507.152      2.804   2.250  8.83009E-01  1.05791E+00 -1.80085E-01
    5508.019      3.670   2.300  8.83379E-01  1.04423E+00 -1.68375E-01
    5508.904      4.556   2.350  8.88677E-01  1.03054E+00 -1.51021E-01
    5509.809      5.461   2.400  8.97015E-01  1.01686E+00 -1.29776E-01
    5510.733      6.385   2.450  9.06069E-01  1.00622E+00 -1.09596E-01
    5511.676      7.328   2.500  9.16403E-01  9.95590E-01 -8.75722E-02
    5512.638      8.290   2.550  9.26746E-01  9.84956E-01 -6.50649E-02
    5513.619      9.271   2.600  9.36104E-01  9.74322E-01 -4.31823E-02
    5514.619     10.271   2.650  9.57249E-01  9.68960E-01 -1.32381E-02
    5515.639     11.290   2.700  9.75740E-01  9.63598E-01  1.37331E-02
    5516.677     12.329   2.750  9.90845E-01  9.58235E-01  3.68997E-02
    5517.734     13.386   2.800  1.00229E+00  9.52873E-01  5.59417E-02
    5518.810     14.462   2.850  1.01920E+00  9.53928E-01  7.34353E-02
    5519.906     15.558   2.900  1.03016E+00  9.54984E-01  8.40604E-02
    5521.020     16.672   2.950  1.03530E+00  9.56039E-01  8.80963E-02
    5522.154     17.805   3.000  1.03501E+00  9.57095E-01  8.60749E-02
    5523.306     18.958   3.050  1.03028E+00  9.60351E-01  7.65951E-02
    5524.478     20.130   3.100  1.01877E+00  9.63608E-01  5.99213E-02
    5525.668     21.320   3.150  1.00307E+00  9.66864E-01  3.90001E-02
    5526.878     22.530   3.200  9.86030E-01  9.70121E-01  1.69952E-02
    5528.107     23.759   3.250  9.64362E-01  9.74888E-01 -1.11427E-02
    5529.354     25.006   3.300  9.45484E-01  9.79655E-01 -3.58492E-02
    5530.621     26.273   3.350  9.34568E-01  9.84421E-01 -5.18370E-02
    5531.907     27.559   3.400  9.34972E-01  9.89188E-01 -5.58770E-02
    5533.212     28.864   3.450  9.39156E-01  9.92828E-01 -5.49190E-02
    5534.536     30.188   3.500  9.56860E-01  9.96467E-01 -4.02389E-02
    5535.879     31.531   3.550  9.86921E-01  1.00011E+00 -1.33006E-02
    5537.241     32.893   3.600  1.02477E+00  1.00375E+00  2.10560E-02
    5538.622     34.274   3.650  1.05850E+00  1.00542E+00  5.29720E-02
    5540.022     35.674   3.700  1.08846E+00  1.00708E+00  8.09006E-02
    5541.442     37.093   3.750  1.10824E+00  1.00875E+00  9.85317E-02
    5542.880     38.532   3.800  1.11251E+00  1.01042E+00  1.00730E-01
    5544.337     39.989   3.850  1.09684E+00  1.00962E+00  8.60752E-02
    5545.814     41.465   3.900  1.06562E+00  1.00881E+00  5.60626E-02
    5547.309     42.961   3.950  1.02203E+00  1.00800E+00  1.38479E-02
    5548.823     44.475   4.000  9.71719E-01  1.00720E+00 -3.50195E-02
    5550.357     46.009   4.050  9.22476E-01  1.00428E+00 -8.09897E-02
    5551.910     47.561   4.100  8.81571E-01  1.00136E+00 -1.18961E-01
    5553.481     49.133   4.150  8.54509E-01  9.98439E-01 -1.43374E-01
