# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=26 Rmt= 1.314 Rnm= 1.359 K  shell
# # Pot 1 Z=57 Rmt= 1.829 Rnm= 1.829
# # Pot 2 Z=14 Rmt= 1.358 Rnm= 1.411
# # Pot 3 Z=26 Rmt= 1.368 Rnm= 1.423
# # Gam_ch=1.309E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.638E+01 kf=2.096E+00 Vint=-2.512E+01 Rs_int= 1.731
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      3.00     2   2.4720
#           2       0.00000    287.50      9.00     2   2.4720
#           3       0.00000     29.16     24.00     3   3.7489
#           4       0.00000     32.02     24.00     3   3.7489
#           5       0.00000      5.97      6.00     3   3.8695
#           6       0.00000      5.44      6.00     3   3.8695
#           7       0.00000    140.00     12.00     2   3.9444
#           8       0.00000     14.93      6.00     3   4.3978
#           9       0.00000     29.77     18.00     3   4.3978
#          10       0.00000     21.74     12.00     3   4.4954
#          11       0.00000     47.11     36.00     3   4.4954
#          12       0.00000      4.78      6.00     3   4.5110
#          13       0.00000      6.25      6.00     3   4.5110
#          14       0.00000      5.99      6.00     3   4.5886
#          15       0.00000     11.28     12.00     3   4.5886
#          16       0.00000     34.00     30.00     3   4.5886
#          17       0.00000     86.04     12.00     2   4.7861
#          18       0.00000     51.38      6.00     3   4.8186
#          19       0.00000    100.70     18.00     3   4.8186
#          20       0.00000     29.01      3.00     4   4.8511
#          22       0.00000     42.42      9.00     4   4.8511
#          23       0.00000     16.26      6.00     3   4.9439
#          24       0.00000     23.16      6.00     3   4.9439
#          25       0.00000     15.47      6.00     4   4.9440
#          26       0.00000     20.75      6.00     4   4.9439
#          27       0.00000      4.34      3.00     4   4.9440
#          29       0.00000     18.19      9.00     4   4.9440
#          30       0.00000     13.42     30.00     4   4.9439
#          31       0.00000      9.64     24.00     4   4.9440
#          32       0.00000     13.23     24.00     4   4.9440
#          33       0.00000     84.55      8.00     2   4.9602
#          34       0.00000      8.70     12.00     4   5.0258
#          35       0.00000      6.02     12.00     4   5.0258
#          36       0.00000     16.15     24.00     4   5.0258
#          37       0.00000      4.20      6.00     4   5.0463
#          38       0.00000      4.52     18.00     4   5.0463
#          39       0.00000      4.04     12.00     3   5.3155
#          40       0.00000      9.14     36.00     3   5.3155
#          41       0.00000      7.14     12.00     3   5.3420
#          42       0.00000     29.76     12.00     3   5.3768
#          43       0.00000     50.04     36.00     3   5.3768
#          44       0.00000     17.07     48.00     3   5.6422
#          45       0.00000      6.40     12.00     4   5.6747
#          46       0.00000     11.31     36.00     4   5.6747
#          47       0.00000      6.61     12.00     3   5.6854
#          48       0.00000     13.70     36.00     3   5.6854
#          49       0.00000      9.01      3.00     2   5.6881
#          50       0.00000     40.57      9.00     2   5.6881
#          51       0.00000      6.70     18.00     3   5.6941
#          52       0.00000      6.59     12.00     4   5.7179
#          53       0.00000      8.08     24.00     4   5.7179
#          54       0.00000     26.53      6.00     2   5.7276
#          56       0.00000     13.95     36.00     3   5.7368
#          57       0.00000     20.74      6.00     3   5.7624
#          58       0.00000      8.50      6.00     3   5.7624
#          59       0.00000     21.95     12.00     3   5.7624
#          60       0.00000      7.11     18.00     3   5.7714
#          61       0.00000      5.30      6.00     4   5.7933
#          62       0.00000      6.58     18.00     4   5.7933
#          63       0.00000      8.96      3.00     4   5.8366
#          65       0.00000      4.26      6.00     4   5.8366
#          67       0.00000      7.03     36.00     3   5.9040
#          68       0.00000      5.03     12.00     4   5.9365
#          69       0.00000      6.44     24.00     4   5.9365
#    64/  67 paths used
#  xsedge+50, used to normalize mu           3.1304E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7120.896    -16.378   0.000 -1.30837E-01  3.67483E-01 -7.47155E-01
    7120.905    -16.368   0.050 -1.33307E-01  3.74103E-01 -7.59549E-01
    7120.934    -16.340   0.100 -1.35163E-01  3.80723E-01 -7.70986E-01
    7120.982    -16.292   0.150 -1.37353E-01  4.00351E-01 -7.99719E-01
    7121.048    -16.226   0.200 -1.34590E-01  4.19978E-01 -8.20842E-01
    7121.134    -16.140   0.250 -1.23936E-01  4.49772E-01 -8.42598E-01
    7121.239    -16.035   0.300 -1.02473E-01  4.79567E-01 -8.48268E-01
    7121.363    -15.911   0.350 -7.06160E-02  5.12430E-01 -8.40964E-01
    7121.505    -15.768   0.400 -2.46830E-02  5.45293E-01 -8.13714E-01
    7121.667    -15.606   0.450  2.78663E-02  5.74780E-01 -7.71083E-01
    7121.848    -15.426   0.500  9.30886E-02  6.04266E-01 -7.11851E-01
    7122.048    -15.225   0.550  1.59297E-01  6.28803E-01 -6.44673E-01
    7122.267    -15.006   0.600  2.32895E-01  6.53341E-01 -5.69341E-01
    7122.506    -14.768   0.650  3.02562E-01  6.74037E-01 -4.95495E-01
    7122.763    -14.511   0.700  3.72569E-01  6.94733E-01 -4.23380E-01
    7123.039    -14.235   0.750  4.32897E-01  7.12899E-01 -3.62291E-01
    7123.334    -13.940   0.800  4.88021E-01  7.31065E-01 -3.09690E-01
    7123.649    -13.625   0.850  5.36534E-01  7.47498E-01 -2.64682E-01
    7123.982    -13.292   0.900  5.78683E-01  7.63932E-01 -2.28900E-01
    7124.334    -12.940   0.950  6.10036E-01  7.79028E-01 -2.05715E-01
    7124.706    -12.568   1.000  6.19883E-01  7.94124E-01 -2.09004E-01
    7125.096    -12.178   1.050  6.07172E-01  8.08007E-01 -2.37550E-01
    7125.506    -11.768   1.100  5.79587E-01  8.21890E-01 -2.82662E-01
    7125.935    -11.339   1.150  5.48152E-01  8.34528E-01 -3.29824E-01
    7126.382    -10.892   1.200  5.18202E-01  8.47166E-01 -3.74110E-01
    7126.849    -10.425   1.250  4.98140E-01  8.58505E-01 -4.05191E-01
    7127.335     -9.939   1.300  4.92692E-01  8.69843E-01 -4.19328E-01
    7127.839     -9.434   1.350  5.04911E-01  8.79793E-01 -4.12745E-01
    7128.363     -8.910   1.400  5.36131E-01  8.89743E-01 -3.85571E-01
    7128.906     -8.368   1.450  5.82799E-01  8.98273E-01 -3.41193E-01
    7129.468     -7.806   1.500  6.42376E-01  9.06803E-01 -2.83681E-01
    7130.049     -7.225   1.550  7.06848E-01  9.13888E-01 -2.20662E-01
    7130.649     -6.624   1.600  7.72840E-01  9.20972E-01 -1.56853E-01
    7131.268     -6.005   1.650  8.32261E-01  9.26653E-01 -9.94517E-02
    7131.907     -5.367   1.700  8.84499E-01  9.32335E-01 -5.01504E-02
    7132.564     -4.710   1.750  9.25197E-01  9.36686E-01 -1.20020E-02
    7133.240     -4.034   1.800  9.56457E-01  9.41038E-01  1.60507E-02
    7133.935     -3.338   1.850  9.80091E-01  9.44147E-01  3.73319E-02
    7134.650     -2.624   1.900  9.97593E-01  9.47256E-01  5.21625E-02
    7135.383     -1.891   1.950  1.01509E+00  9.49198E-01  6.82012E-02
    7136.136     -1.138   2.000  1.03136E+00  9.51140E-01  8.29381E-02
    7136.907     -0.367   2.050  1.05271E+00  9.51851E-01  1.04304E-01
    7137.698      0.424   2.100  1.07255E+00  9.52561E-01  1.24108E-01
    7138.507      1.234   2.150  1.08944E+00  9.53272E-01  1.40881E-01
    7139.336      2.062   2.200  1.10153E+00  9.53983E-01  1.52681E-01
    7140.184      2.910   2.250  1.10435E+00  9.53244E-01  1.56658E-01
    7141.051      3.777   2.300  1.09500E+00  9.52506E-01  1.47999E-01
    7141.936      4.663   2.350  1.07613E+00  9.51768E-01  1.29411E-01
    7142.841      5.567   2.400  1.05189E+00  9.51029E-01  1.05148E-01
    7143.765      6.491   2.450  1.02404E+00  9.52437E-01  7.48317E-02
    7144.708      7.434   2.500  1.00044E+00  9.53845E-01  4.88156E-02
    7145.670      8.396   2.550  9.85510E-01  9.55252E-01  3.17787E-02
    7146.651      9.377   2.600  9.79725E-01  9.56660E-01  2.42850E-02
    7147.651     10.378   2.650  9.72808E-01  9.58186E-01  1.53865E-02
    7148.671     11.397   2.700  9.72195E-01  9.59712E-01  1.31275E-02
    7149.709     12.435   2.750  9.76032E-01  9.61239E-01  1.55479E-02
    7150.766     13.492   2.800  9.81115E-01  9.62765E-01  1.92742E-02
    7151.842     14.569   2.850  9.83935E-01  9.64324E-01  2.05481E-02
    7152.938     15.664   2.900  9.85125E-01  9.65884E-01  2.01127E-02
    7154.052     16.778   2.950  9.83438E-01  9.67443E-01  1.66789E-02
    7155.186     17.912   3.000  9.78418E-01  9.69002E-01  9.79440E-03
    7156.338     19.064   3.050  9.68413E-01  9.70637E-01 -2.30596E-03
    7157.510     20.236   3.100  9.56595E-01  9.72272E-01 -1.62056E-02
    7158.700     21.427   3.150  9.45087E-01  9.73906E-01 -2.96983E-02
    7159.910     22.636   3.200  9.36073E-01  9.75541E-01 -4.05467E-02
    7161.139     23.865   3.250  9.30110E-01  9.77120E-01 -4.81345E-02
    7162.387     25.113   3.300  9.30657E-01  9.78700E-01 -4.90296E-02
    7163.653     26.380   3.350  9.38828E-01  9.80280E-01 -4.21628E-02
    7164.939     27.665   3.400  9.54572E-01  9.81859E-01 -2.76643E-02
    7166.244     28.970   3.450  9.75522E-01  9.83765E-01 -8.33109E-03
    7167.568     30.294   3.500  1.00066E+00  9.85671E-01  1.50989E-02
    7168.911     31.637   3.550  1.02713E+00  9.87577E-01  3.97286E-02
    7170.273     32.999   3.600  1.05164E+00  9.89483E-01  6.22486E-02
    7171.654     34.381   3.650  1.07019E+00  9.91187E-01  7.88619E-02
    7173.054     35.781   3.700  1.08055E+00  9.92892E-01  8.72339E-02
    7174.474     37.200   3.750  1.08123E+00  9.94597E-01  8.59350E-02
    7175.912     38.638   3.800  1.07186E+00  9.96301E-01  7.47244E-02
    7177.369     40.095   3.850  1.05244E+00  9.98298E-01  5.33814E-02
    7178.846     41.572   3.900  1.02558E+00  1.00029E+00  2.48622E-02
    7180.341     43.067   3.950  9.94518E-01  1.00229E+00 -7.61888E-03
    7181.856     44.582   4.000  9.62973E-01  1.00429E+00 -4.03778E-02
    7183.389     46.115   4.050  9.34609E-01  1.00610E+00 -6.96799E-02
    7184.942     47.668   4.100  9.13359E-01  1.00790E+00 -9.19126E-02
    7186.513     49.239   4.150  9.01403E-01  1.00971E+00 -1.05017E-01
    7188.104     50.830   4.200  8.99551E-01  1.01152E+00 -1.08280E-01
    7189.714     52.440   4.250  9.08106E-01  1.01304E+00 -1.01264E-01
    7191.342     54.069   4.300  9.24545E-01  1.01457E+00 -8.66861E-02
    7192.990     55.716   4.350  9.46051E-01  1.01609E+00 -6.73008E-02
    7194.657     57.383   4.400  9.69540E-01  1.01762E+00 -4.60978E-02
    7196.343     59.069   4.450  9.92599E-01  1.01889E+00 -2.51721E-02
    7198.048     60.774   4.500  1.01216E+00  1.02016E+00 -7.65166E-03
    7199.772     62.498   4.550  1.02692E+00  1.02144E+00  5.23378E-03
    7201.515     64.241   4.600  1.03663E+00  1.02271E+00  1.32784E-02
    7203.277     66.003   4.650  1.04116E+00  1.02335E+00  1.69735E-02
    7205.058     67.785   4.700  1.04254E+00  1.02399E+00  1.76689E-02
    7206.859     69.585   4.750  1.04258E+00  1.02462E+00  1.70901E-02
    7208.678     71.404   4.800  1.04309E+00  1.02526E+00  1.69487E-02
    7210.516     73.242   4.850  1.04468E+00  1.02537E+00  1.83674E-02
    7212.374     75.100   4.900  1.04914E+00  1.02548E+00  2.25072E-02
    7214.250     76.976   4.950  1.05682E+00  1.02559E+00  2.97147E-02
    7216.145     78.872   5.000  1.06738E+00  1.02570E+00  3.96722E-02
    7218.060     80.786   5.050  1.07903E+00  1.02522E+00  5.12496E-02
    7219.993     82.720   5.100  1.09121E+00  1.02474E+00  6.33647E-02
    7221.946     84.672   5.150  1.10214E+00  1.02427E+00  7.43019E-02
    7223.918     86.644   5.200  1.10991E+00  1.02379E+00  8.22347E-02
    7225.908     88.635   5.250  1.11203E+00  1.02282E+00  8.53220E-02
    7227.918     90.644   5.300  1.10804E+00  1.02185E+00  8.25515E-02
    7229.947     92.673   5.350  1.09731E+00  1.02088E+00  7.33152E-02
    7231.995     94.721   5.400  1.07999E+00  1.01991E+00  5.77153E-02
    7234.062     96.788   5.450  1.05672E+00  1.01859E+00  3.67068E-02
    7236.148     98.874   5.500  1.02978E+00  1.01726E+00  1.20811E-02
    7238.253    100.979   5.550  1.00145E+00  1.01593E+00 -1.39884E-02
    7240.377    103.103   5.600  9.74127E-01  1.01460E+00 -3.91805E-02
    7242.520    105.246   5.650  9.49932E-01  1.01303E+00 -6.12092E-02
    7244.682    107.408   5.700  9.30423E-01  1.01147E+00 -7.87731E-02
    7246.863    109.590   5.750  9.16271E-01  1.00990E+00 -9.11913E-02
    7249.064    111.790   5.800  9.07325E-01  1.00833E+00 -9.85800E-02
    7251.283    114.009   5.850  9.03011E-01  1.00677E+00 -1.01470E-01
    7253.521    116.248   5.900  9.02028E-01  1.00520E+00 -1.01108E-01
    7255.779    118.505   5.950  9.03408E-01  1.00364E+00 -9.84231E-02
    7258.055    120.781   6.000  9.06665E-01  1.00207E+00 -9.38811E-02
    7260.351    123.077   6.050  9.12417E-01  1.00076E+00 -8.70713E-02
    7262.665    125.391   6.100  9.21234E-01  9.99443E-01 -7.72120E-02
    7264.999    127.725   6.150  9.34421E-01  9.98129E-01 -6.30000E-02
    7267.352    130.078   6.200  9.53149E-01  9.96816E-01 -4.32520E-02
    7269.723    132.449   6.250  9.77930E-01  9.95502E-01 -1.74335E-02
    7272.114    134.840   6.300  1.00817E+00  9.94188E-01  1.38923E-02
    7274.524    137.250   6.350  1.04193E+00  9.92874E-01  4.88280E-02
    7276.953    139.679   6.400  1.07602E+00  9.91560E-01  8.42135E-02
    7279.401    142.127   6.450  1.10642E+00  9.90247E-01  1.16024E-01
    7281.868    144.594   6.500  1.12892E+00  9.88933E-01  1.40040E-01
    7284.354    147.080   6.550  1.14027E+00  9.88176E-01  1.52302E-01
    7286.859    149.585   6.600  1.13774E+00  9.87418E-01  1.50664E-01
    7289.383    152.109   6.650  1.12114E+00  9.86661E-01  1.34915E-01
    7291.926    154.652   6.700  1.09248E+00  9.85904E-01  1.07025E-01
    7294.488    157.214   6.750  1.05564E+00  9.85146E-01  7.08579E-02
    7297.069    159.796   6.800  1.01569E+00  9.84389E-01  3.14960E-02
    7299.670    162.396   6.850  9.77961E-01  9.83631E-01 -5.71060E-03
    7302.289    165.015   6.900  9.47006E-01  9.82874E-01 -3.61543E-02
    7304.928    167.654   6.950  9.25805E-01  9.82117E-01 -5.68152E-02
    7307.585    170.311   7.000  9.15263E-01  9.81359E-01 -6.67505E-02
    7310.262    172.988   7.050  9.14469E-01  9.80843E-01 -6.70814E-02
    7312.957    175.683   7.100  9.20502E-01  9.80326E-01 -6.05077E-02
    7315.672    178.398   7.150  9.29575E-01  9.79810E-01 -5.08470E-02
    7318.405    181.132   7.200  9.37920E-01  9.79293E-01 -4.19091E-02
    7321.158    183.884   7.250  9.42669E-01  9.78776E-01 -3.66036E-02
    7323.930    186.656   7.300  9.42462E-01  9.78260E-01 -3.63166E-02
    7326.721    189.447   7.350  9.37666E-01  9.77743E-01 -4.06899E-02
    7329.531    192.257   7.400  9.30144E-01  9.77226E-01 -4.78384E-02
    7332.359    195.086   7.450  9.22687E-01  9.76710E-01 -5.49324E-02
    7335.207    197.934   7.500  9.18231E-01  9.76193E-01 -5.89822E-02
    7338.074    200.801   7.550  9.18869E-01  9.75397E-01 -5.75949E-02
    7340.960    203.687   7.600  9.25987E-01  9.74600E-01 -4.95931E-02
    7343.866    206.592   7.650  9.39218E-01  9.73804E-01 -3.53275E-02
    7346.790    209.516   7.700  9.56883E-01  9.73007E-01 -1.64902E-02
    7349.733    212.459   7.750  9.76459E-01  9.72210E-01  4.35092E-03
    7352.695    215.421   7.800  9.95212E-01  9.71414E-01  2.44008E-02
    7355.677    218.403   7.850  1.01084E+00  9.70617E-01  4.12915E-02
    7358.677    221.403   7.900  1.02194E+00  9.69821E-01  5.35725E-02
    7361.696    224.423   7.950  1.02821E+00  9.69024E-01  6.09201E-02
    7364.735    227.461   8.000  1.03036E+00  9.68228E-01  6.40290E-02
    7367.792    230.518   8.050  1.02918E+00  9.67039E-01  6.41369E-02
    7370.869    233.595   8.100  1.02665E+00  9.65850E-01  6.28418E-02
    7373.964    236.691   8.150  1.02377E+00  9.64661E-01  6.11870E-02
    7377.079    239.805   8.200  1.02080E+00  9.63473E-01  5.94366E-02
    7380.213    242.939   8.250  1.01718E+00  9.62284E-01  5.70012E-02
    7383.366    246.092   8.300  1.01171E+00  9.61095E-01  5.26411E-02
    7386.537    249.264   8.350  1.00300E+00  9.59906E-01  4.48893E-02
    7389.728    252.454   8.400  9.89946E-01  9.58718E-01  3.25764E-02
    7392.938    255.664   8.450  9.72186E-01  9.57529E-01  1.53136E-02
    7396.167    258.893   8.500  9.50415E-01  9.56340E-01 -6.19943E-03
    7399.415    262.141   8.550  9.26214E-01  9.54966E-01 -3.01285E-02
    7402.682    265.408   8.600  9.02352E-01  9.53592E-01 -5.37699E-02
    7405.968    268.695   8.650  8.81769E-01  9.52218E-01 -7.40338E-02
    7409.273    272.000   8.700  8.67152E-01  9.50843E-01 -8.80765E-02
    7412.598    275.324   8.750  8.60393E-01  9.49469E-01 -9.38782E-02
    7415.941    278.667   8.800  8.62206E-01  9.48095E-01 -9.06494E-02
    7419.303    282.029   8.850  8.71997E-01  9.46721E-01 -7.89791E-02
    7422.685    285.411   8.900  8.88001E-01  9.45347E-01 -6.06992E-02
    7426.085    288.811   8.950  9.07644E-01  9.43973E-01 -3.85089E-02
    7429.505    292.231   9.000  9.28041E-01  9.42599E-01 -1.54532E-02
    7432.943    295.669   9.050  9.46644E-01  9.41441E-01  5.52949E-03
    7436.401    299.127   9.100  9.61351E-01  9.40284E-01  2.24132E-02
    7439.877    302.603   9.150  9.71047E-01  9.39126E-01  3.39978E-02
    7443.373    306.099   9.200  9.75559E-01  9.37969E-01  4.00816E-02
    7446.888    309.614   9.250  9.75517E-01  9.36812E-01  4.13169E-02
    7450.421    313.148   9.300  9.72083E-01  9.35654E-01  3.89299E-02
    7453.974    316.700   9.350  9.66639E-01  9.34497E-01  3.43881E-02
    7457.546    320.272   9.400  9.60505E-01  9.33340E-01  2.90963E-02
    7461.137    323.863   9.450  9.54731E-01  9.32182E-01  2.41781E-02
    7464.747    327.473   9.500  9.49998E-01  9.31025E-01  2.03668E-02
    7468.376    331.102   9.550  9.46930E-01  9.30065E-01  1.81202E-02
    7472.024    334.750   9.600  9.45141E-01  9.29106E-01  1.72432E-02
    7475.691    338.417   9.650  9.44366E-01  9.28146E-01  1.74570E-02
    7479.377    342.103   9.700  9.44203E-01  9.27186E-01  1.83312E-02
    7483.082    345.809   9.750  9.44163E-01  9.26227E-01  1.93377E-02
    7486.807    349.533   9.800  9.43688E-01  9.25267E-01  1.98783E-02
    7490.550    353.276   9.850  9.42185E-01  9.24308E-01  1.93091E-02
    7494.312    357.039   9.900  9.39065E-01  9.23348E-01  1.69903E-02
    7498.094    360.820   9.950  9.33828E-01  9.22388E-01  1.23776E-02
    7501.894    364.620  10.000  9.26188E-01  9.21429E-01  5.15425E-03
    7505.714    368.440  10.050  9.16077E-01  9.20326E-01 -4.60691E-03
    7509.552    372.278  10.100  9.04114E-01  9.19224E-01 -1.63999E-02
    7513.410    376.136  10.150  8.91230E-01  9.18122E-01 -2.92195E-02
    7517.287    380.013  10.200  8.78777E-01  9.17019E-01 -4.15995E-02
    7521.182    383.908  10.250  8.68352E-01  9.15917E-01 -5.17976E-02
    7525.097    387.823  10.300  8.61532E-01  9.14814E-01 -5.80898E-02
    7529.031    391.757  10.350  8.59547E-01  9.13712E-01 -5.91184E-02
    7532.984    395.710  10.400  8.62994E-01  9.12610E-01 -5.42147E-02
    7536.956    399.682  10.450  8.71642E-01  9.11507E-01 -4.36100E-02
    7540.947    403.673  10.500  8.84407E-01  9.10405E-01 -2.84722E-02
    7544.957    407.683  10.550  8.99506E-01  9.09302E-01 -1.07405E-02
    7548.986    411.712  10.600  9.14774E-01  9.08200E-01  7.21592E-03
    7553.034    415.760  10.650  9.28069E-01  9.07098E-01  2.30454E-02
    7557.101    419.827  10.700  9.37687E-01  9.05995E-01  3.48655E-02
    7561.187    423.913  10.750  9.42675E-01  9.04893E-01  4.16126E-02
    7565.292    428.019  10.800  9.42975E-01  9.03790E-01  4.32065E-02
    7569.417    432.143  10.850  9.39366E-01  9.02688E-01  4.04889E-02
    7573.560    436.286  10.900  9.33214E-01  9.01586E-01  3.49548E-02
    7577.722    440.449  10.950  9.26103E-01  9.00483E-01  2.83463E-02
    7581.904    444.630  11.000  9.19434E-01  8.99381E-01  2.22126E-02
    7586.104    448.831  11.050  9.13849E-01  8.97964E-01  1.76246E-02
    7590.324    453.050  11.100  9.09715E-01  8.96547E-01  1.46339E-02
    7594.563    457.289  11.150  9.06620E-01  8.95129E-01  1.27898E-02
    7598.820    461.546  11.200  9.03719E-01  8.93712E-01  1.11562E-02
    7603.097    465.823  11.250  9.00048E-01  8.92295E-01  8.65732E-03
    7607.393    470.119  11.300  8.94864E-01  8.90878E-01  4.45800E-03
    7611.707    474.434  11.350  8.87917E-01  8.89461E-01 -1.72974E-03
    7616.041    478.768  11.400  8.79576E-01  8.88043E-01 -9.50111E-03
    7620.394    483.120  11.450  8.70774E-01  8.86626E-01 -1.78165E-02
    7624.766    487.492  11.500  8.62780E-01  8.85209E-01 -2.52490E-02
    7629.157    491.883  11.550  8.56871E-01  8.83792E-01 -3.03554E-02
    7633.567    496.293  11.600  8.53980E-01  8.82375E-01 -3.20688E-02
    7637.996    500.723  11.650  8.54434E-01  8.80958E-01 -3.00047E-02
    7642.445    505.171  11.700  8.57835E-01  8.79540E-01 -2.45950E-02
    7646.912    509.638  11.750  8.63137E-01  8.78123E-01 -1.70086E-02
    7651.398    514.124  11.800  8.68897E-01  8.76706E-01 -8.87714E-03
    7655.903    518.629  11.850  8.73626E-01  8.75289E-01 -1.89358E-03
    7660.428    523.154  11.900  8.76161E-01  8.73872E-01  2.61115E-03
    7664.971    527.697  11.950  8.75959E-01  8.72455E-01  4.00334E-03
    7669.534    532.260  12.000  8.73227E-01  8.71037E-01  2.50524E-03
    7674.115    536.841  12.050  8.69004E-01  8.69754E-01 -8.59293E-04
    7678.716    541.442  12.100  8.64485E-01  8.68470E-01 -4.57362E-03
    7683.335    546.061  12.150  8.61153E-01  8.67187E-01 -6.93504E-03
