# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  4.9500   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.348 Rnm= 1.402 K  shell
# # Pot 1 Z=62 Rmt= 1.674 Rnm= 1.720
# # Pot 2 Z=27 Rmt= 1.362 Rnm= 1.420
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.659E+01 kf=2.006E+00 Vint=-2.462E+01 Rs_int= 1.808
# # PATH  Rmax= 4.950,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 332.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00764    100.00      1.00     2   2.4277
#           2       0.00764     98.56      1.00     2   2.4277
#           3       0.00764      8.31      1.00     2   2.4277
#           4       0.00764      8.34      1.00     2   2.4277
#           5       0.00764     33.95      1.00     2   2.4277
#           6       0.00764     32.22      1.00     2   2.4277
#           7       0.00656     10.80      1.00     2   2.8590
#           8       0.00656     37.41      1.00     2   2.8590
#           9       0.00656     35.78      1.00     2   2.8590
#          10       0.00898      4.42      1.00     2   2.8590
#          11       0.00898     27.29      1.00     2   2.8590
#          12       0.00898     26.22      1.00     2   2.8591
#          13       0.00866      9.14      2.00     3   3.6657
#          14       0.00866      9.02      2.00     3   3.6657
#          15       0.00866      4.07      2.00     3   3.6657
#          22       0.00919      6.95      2.00     3   3.8572
#          23       0.00919      6.76      2.00     3   3.8572
#          25       0.01062     36.45      2.00     2   3.9244
#          26       0.01077     26.27      1.00     2   4.2608
#          27       0.01077     26.07      1.00     2   4.2609
#          32       0.01077     16.12      1.00     2   4.2608
#          33       0.01077     15.48      1.00     2   4.2609
#          36       0.01077      8.24      1.00     2   4.2608
#          37       0.01077      7.66      1.00     2   4.2608
#          38       0.01041      5.70      2.00     3   4.3899
#          39       0.01041      5.67      2.00     3   4.3899
#          44       0.01064      7.82      2.00     3   4.5822
#          45       0.01064      7.74      2.00     3   4.5823
#          48       0.01064      5.69      2.00     3   4.5822
#          49       0.01064      5.53      2.00     3   4.5823
#          56       0.01081      9.89      2.00     3   4.7478
#          57       0.01081      9.62      2.00     3   4.7478
#          61       0.01081     15.79      2.00     3   4.7478
#          62       0.00776     28.61      1.00     2   4.8554
#          63       0.00776     28.22      1.00     2   4.8554
#          64       0.01089     18.36      1.00     2   4.8554
#          67       0.01089     18.11      1.00     2   4.8554
#          68       0.00776     10.52      1.00     2   4.8554
#          69       0.00776     10.03      1.00     2   4.8554
#          72       0.01089      6.88      1.00     2   4.8554
#          73       0.01089      6.57      1.00     2   4.8554
#          74       0.01089     40.35      2.00     3   4.8554
#          75       0.01089     39.82      2.00     3   4.8554
#          78       0.01089     15.93      2.00     3   4.8554
#          79       0.01089     15.28      2.00     3   4.8554
#          86       0.03057      4.73      1.00     4   4.8554
#          87       0.03057      4.67      1.00     4   4.8554
#          88       0.01089     33.00      1.00     4   4.8554
#          89       0.01089     32.56      1.00     4   4.8554
#          96       0.01089     12.83      1.00     4   4.8554
#          97       0.01089     12.31      1.00     4   4.8554
#    51/  59 paths used
#  xsedge+50, used to normalize mu           2.8876E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7718.742    -16.577   0.050  3.34071E-01  3.30588E-01  6.10304E-03
    7718.771    -16.549   0.100  3.41410E-01  3.35915E-01  9.60969E-03
    7718.819    -16.501   0.150  3.63241E-01  3.51655E-01  2.01357E-02
    7718.885    -16.434   0.200  3.85216E-01  3.67395E-01  3.07817E-02
    7718.971    -16.349   0.250  4.20373E-01  3.91824E-01  4.88195E-02
    7719.076    -16.244   0.300  4.55668E-01  4.16253E-01  6.67364E-02
    7719.200    -16.120   0.350  4.99252E-01  4.44459E-01  9.15400E-02
    7719.342    -15.977   0.400  5.42251E-01  4.72665E-01  1.14729E-01
    7719.504    -15.815   0.450  5.86401E-01  4.99478E-01  1.41006E-01
    7719.685    -15.634   0.500  6.28134E-01  5.26292E-01  1.62591E-01
    7719.885    -15.434   0.550  6.64973E-01  5.49871E-01  1.80414E-01
    7720.104    -15.215   0.600  6.96561E-01  5.73450E-01  1.89514E-01
    7720.343    -14.977   0.650  7.18316E-01  5.94325E-01  1.87123E-01
    7720.600    -14.720   0.700  7.31420E-01  6.15200E-01  1.72021E-01
    7720.876    -14.444   0.750  7.29752E-01  6.34306E-01  1.38389E-01
    7721.171    -14.148   0.800  7.16847E-01  6.53411E-01  9.01360E-02
    7721.486    -13.834   0.850  6.86139E-01  6.71382E-01  2.05374E-02
    7721.819    -13.501   0.900  6.45244E-01  6.89353E-01 -6.01529E-02
    7722.171    -13.148   0.950  5.89843E-01  7.06446E-01 -1.55826E-01
    7722.543    -12.777   1.000  5.31656E-01  7.23539E-01 -2.51384E-01
    7722.933    -12.386   1.050  4.71115E-01  7.39800E-01 -3.45266E-01
    7723.343    -11.977   1.100  4.20533E-01  7.56061E-01 -4.23066E-01
    7723.772    -11.548   1.150  3.83542E-01  7.71378E-01 -4.80317E-01
    7724.219    -11.100   1.200  3.67875E-01  7.86695E-01 -5.09619E-01
    7724.686    -10.634   1.250  3.75432E-01  8.00916E-01 -5.09357E-01
    7725.172    -10.148   1.300  4.06683E-01  8.15137E-01 -4.81190E-01
    7725.677     -9.643   1.350  4.58545E-01  8.28095E-01 -4.29125E-01
    7726.200     -9.119   1.400  5.25936E-01  8.41052E-01 -3.60752E-01
    7726.743     -8.576   1.450  6.02244E-01  8.52618E-01 -2.83081E-01
    7727.305     -8.014   1.500  6.80890E-01  8.64183E-01 -2.04701E-01
    7727.886     -7.433   1.550  7.55707E-01  8.74246E-01 -1.31007E-01
    7728.486     -6.833   1.600  8.22204E-01  8.84308E-01 -6.79305E-02
    7729.106     -6.214   1.650  8.77470E-01  8.92826E-01 -1.66550E-02
    7729.744     -5.576   1.700  9.20816E-01  9.01344E-01  2.09424E-02
    7730.401     -4.919   1.750  9.52648E-01  9.08332E-01  4.73523E-02
    7731.077     -4.242   1.800  9.75607E-01  9.15319E-01  6.40006E-02
    7731.773     -3.547   1.850  9.91251E-01  9.20808E-01  7.44224E-02
    7732.487     -2.833   1.900  1.00361E+00  9.26297E-01  8.12927E-02
    7733.220     -2.099   1.950  1.01332E+00  9.30303E-01  8.70041E-02
    7733.973     -1.347   2.000  1.02343E+00  9.34309E-01  9.31040E-02
    7734.744     -0.575   2.050  1.03299E+00  9.36382E-01  1.00809E-01
    7735.535      0.215   2.100  1.04143E+00  9.38456E-01  1.07336E-01
    7736.345      1.025   2.150  1.04677E+00  9.40529E-01  1.10614E-01
    7737.173      1.853   2.200  1.04697E+00  9.42602E-01  1.08545E-01
    7738.021      2.701   2.250  1.03870E+00  9.42235E-01  1.00501E-01
    7738.888      3.568   2.300  1.02341E+00  9.41868E-01  8.51057E-02
    7739.774      4.454   2.350  1.00227E+00  9.41501E-01  6.35345E-02
    7740.678      5.359   2.400  9.77696E-01  9.41134E-01  3.82966E-02
    7741.602      6.283   2.450  9.59272E-01  9.45938E-01  1.39587E-02
    7742.545      7.226   2.500  9.42698E-01  9.50742E-01 -8.41703E-03
    7743.507      8.188   2.550  9.30302E-01  9.55547E-01 -2.63975E-02
    7744.488      9.169   2.600  9.23564E-01  9.60351E-01 -3.84456E-02
    7745.489     10.169   2.650  9.18231E-01  9.63048E-01 -4.67388E-02
    7746.508     11.188   2.700  9.18105E-01  9.65744E-01 -4.95774E-02
    7747.546     12.226   2.750  9.22780E-01  9.68441E-01 -4.74191E-02
    7748.603     13.283   2.800  9.31402E-01  9.71137E-01 -4.11787E-02
    7749.679     14.360   2.850  9.39575E-01  9.72783E-01 -3.43358E-02
    7750.775     15.455   2.900  9.49812E-01  9.74429E-01 -2.53944E-02
    7751.889     16.570   2.950  9.61229E-01  9.76075E-01 -1.52803E-02
    7753.023     17.703   3.000  9.72955E-01  9.77721E-01 -4.89482E-03
    7754.175     18.856   3.050  9.82262E-01  9.79195E-01  3.14205E-03
    7755.347     20.027   3.100  9.91176E-01  9.80669E-01  1.07418E-02
    7756.537     21.218   3.150  9.99640E-01  9.82143E-01  1.78494E-02
    7757.747     22.427   3.200  1.00762E+00  9.83617E-01  2.44349E-02
    7758.976     23.656   3.250  1.01337E+00  9.84472E-01  2.93523E-02
    7760.224     24.904   3.300  1.01903E+00  9.85328E-01  3.41483E-02
    7761.490     26.171   3.350  1.02447E+00  9.86183E-01  3.87043E-02
    7762.776     27.457   3.400  1.02939E+00  9.87039E-01  4.27220E-02
    7764.081     28.762   3.450  1.03378E+00  9.88214E-01  4.58745E-02
    7765.405     30.085   3.500  1.03691E+00  9.89389E-01  4.77532E-02
    7766.748     31.428   3.550  1.03831E+00  9.90564E-01  4.78828E-02
    7768.110     32.791   3.600  1.03760E+00  9.91739E-01  4.59068E-02
    7769.491     34.172   3.650  1.03421E+00  9.92558E-01  4.16004E-02
    7770.892     35.572   3.700  1.02865E+00  9.93376E-01  3.51634E-02
    7772.311     36.991   3.750  1.02125E+00  9.94195E-01  2.69097E-02
    7773.749     38.429   3.800  1.01272E+00  9.95013E-01  1.75804E-02
    7775.206     39.887   3.850  1.00388E+00  9.96290E-01  7.51991E-03
    7776.683     41.363   3.900  9.94971E-01  9.97567E-01 -2.56645E-03
    7778.178     42.858   3.950  9.86453E-01  9.98843E-01 -1.22278E-02
    7779.693     44.373   4.000  9.78662E-01  1.00012E+00 -2.11354E-02
    7781.226     45.906   4.050  9.71565E-01  1.00121E+00 -2.91447E-02
    7782.779     47.459   4.100  9.65469E-01  1.00230E+00 -3.61415E-02
    7784.350     49.031   4.150  9.60390E-01  1.00339E+00 -4.21170E-02
    7785.941     50.621   4.200  9.56329E-01  1.00448E+00 -4.70751E-02
    7787.551     52.231   4.250  9.53585E-01  1.00560E+00 -5.07690E-02
    7789.179     53.860   4.300  9.52226E-01  1.00671E+00 -5.31033E-02
    7790.827     55.508   4.350  9.52442E-01  1.00783E+00 -5.38971E-02
    7792.494     57.174   4.400  9.54440E-01  1.00894E+00 -5.29562E-02
    7794.180     58.860   4.450  9.58749E-01  1.00995E+00 -4.96929E-02
    7795.885     60.565   4.500  9.65080E-01  1.01096E+00 -4.44772E-02
    7797.609     62.289   4.550  9.73289E-01  1.01197E+00 -3.74538E-02
    7799.352     64.032   4.600  9.83093E-01  1.01298E+00 -2.89054E-02
    7801.114     65.795   4.650  9.93852E-01  1.01355E+00 -1.90410E-02
    7802.895     67.576   4.700  1.00507E+00  1.01413E+00 -8.74244E-03
    7804.696     69.376   4.750  1.01621E+00  1.01470E+00  1.45794E-03
    7806.515     71.195   4.800  1.02677E+00  1.01527E+00  1.10922E-02
    7808.353     73.034   4.850  1.03595E+00  1.01555E+00  1.96763E-02
    7810.211     74.891   4.900  1.04389E+00  1.01583E+00  2.70682E-02
    7812.087     76.767   4.950  1.05060E+00  1.01610E+00  3.32620E-02
    7813.982     78.663   5.000  1.05616E+00  1.01638E+00  3.83594E-02
    7815.897     80.577   5.050  1.06019E+00  1.01625E+00  4.23745E-02
    7817.831     82.511   5.100  1.06338E+00  1.01612E+00  4.55947E-02
    7819.783     84.463   5.150  1.06580E+00  1.01600E+00  4.80678E-02
    7821.755     86.435   5.200  1.06734E+00  1.01587E+00  4.96920E-02
    7823.746     88.426   5.250  1.06722E+00  1.01535E+00  5.01063E-02
    7825.755     90.436   5.300  1.06557E+00  1.01484E+00  4.90508E-02
    7827.784     92.464   5.350  1.06196E+00  1.01432E+00  4.60974E-02
    7829.832     94.512   5.400  1.05602E+00  1.01381E+00  4.08836E-02
    7831.899     96.579   5.450  1.04714E+00  1.01299E+00  3.31165E-02
    7833.985     98.665   5.500  1.03584E+00  1.01217E+00  2.29782E-02
    7836.090    100.770   5.550  1.02255E+00  1.01135E+00  1.08829E-02
    7838.214    102.894   5.600  1.00802E+00  1.01053E+00 -2.44373E-03
    7840.357    105.037   5.650  9.92963E-01  1.00947E+00 -1.60776E-02
    7842.519    107.200   5.700  9.78859E-01  1.00841E+00 -2.88186E-02
    7844.700    109.381   5.750  9.66768E-01  1.00735E+00 -3.96268E-02
    7846.901    111.581   5.800  9.57520E-01  1.00629E+00 -4.76823E-02
    7849.120    113.800   5.850  9.51685E-01  1.00519E+00 -5.23831E-02
    7851.358    116.039   5.900  9.49273E-01  1.00409E+00 -5.37405E-02
    7853.616    118.296   5.950  9.49898E-01  1.00298E+00 -5.21202E-02
    7855.892    120.573   6.000  9.52859E-01  1.00188E+00 -4.81991E-02
    7858.188    122.868   6.050  9.57496E-01  1.00082E+00 -4.26509E-02
    7860.502    125.183   6.100  9.62674E-01  9.99763E-01 -3.65560E-02
    7862.836    127.516   6.150  9.67737E-01  9.98703E-01 -3.05595E-02
    7865.189    129.869   6.200  9.72358E-01  9.97643E-01 -2.49847E-02
    7867.560    132.241   6.250  9.76572E-01  9.96582E-01 -1.97981E-02
    7869.951    134.631   6.300  9.80725E-01  9.95522E-01 -1.46584E-02
    7872.361    137.041   6.350  9.85348E-01  9.94462E-01 -9.04033E-03
    7874.790    139.470   6.400  9.90980E-01  9.93402E-01 -2.40520E-03
    7877.238    141.918   6.450  9.97992E-01  9.92342E-01  5.61827E-03
    7879.705    144.385   6.500  1.00643E+00  9.91282E-01  1.50823E-02
    7882.191    146.871   6.550  1.01630E+00  9.90503E-01  2.57091E-02
    7884.696    149.376   6.600  1.02647E+00  9.89725E-01  3.66533E-02
    7887.220    151.900   6.650  1.03578E+00  9.88946E-01  4.67639E-02
    7889.763    154.443   6.700  1.04294E+00  9.88167E-01  5.47471E-02
    7892.325    157.006   6.750  1.04676E+00  9.87389E-01  5.93953E-02
    7894.907    159.587   6.800  1.04634E+00  9.86610E-01  5.98154E-02
    7897.507    162.187   6.850  1.04131E+00  9.85832E-01  5.56098E-02
    7900.126    164.807   6.900  1.03187E+00  9.85053E-01  4.69740E-02
    7902.765    167.445   6.950  1.01882E+00  9.84274E-01  3.46922E-02
    7905.422    170.102   7.000  1.00342E+00  9.83496E-01  2.00303E-02
    7908.099    172.779   7.050  9.87293E-01  9.82853E-01  4.46714E-03
    7910.794    175.474   7.100  9.71988E-01  9.82211E-01 -1.02955E-02
    7913.509    178.189   7.150  9.58943E-01  9.81569E-01 -2.28079E-02
    7916.242    180.923   7.200  9.49173E-01  9.80927E-01 -3.20390E-02
    7918.995    183.675   7.250  9.43146E-01  9.80284E-01 -3.75073E-02
    7921.767    186.447   7.300  9.40758E-01  9.79642E-01 -3.93072E-02
    7924.558    189.238   7.350  9.41413E-01  9.79000E-01 -3.80317E-02
    7927.368    192.048   7.400  9.44183E-01  9.78357E-01 -3.46115E-02
    7930.197    194.877   7.450  9.48017E-01  9.77715E-01 -3.01058E-02
    7933.044    197.725   7.500  9.51954E-01  9.77073E-01 -2.54882E-02
    7935.912    200.592   7.550  9.54970E-01  9.76216E-01 -2.15868E-02
    7938.798    203.478   7.600  9.57028E-01  9.75359E-01 -1.86497E-02
    7941.703    206.383   7.650  9.58215E-01  9.74503E-01 -1.65924E-02
    7944.627    209.307   7.700  9.58957E-01  9.73646E-01 -1.49836E-02
    7947.570    212.250   7.750  9.59879E-01  9.72789E-01 -1.31870E-02
    7950.532    215.213   7.800  9.61625E-01  9.71933E-01 -1.05420E-02
    7953.514    218.194   7.850  9.64686E-01  9.71076E-01 -6.54393E-03
    7956.514    221.194   7.900  9.69258E-01  9.70219E-01 -9.85588E-04
    7959.533    224.214   7.950  9.75175E-01  9.69362E-01  5.96842E-03
    7962.572    227.252   8.000  9.81915E-01  9.68506E-01  1.37881E-02
    7965.629    230.310   8.050  9.88534E-01  9.67391E-01  2.17736E-02
    7968.706    233.386   8.100  9.94296E-01  9.66276E-01  2.88999E-02
    7971.802    236.482   8.150  9.98286E-01  9.65162E-01  3.42180E-02
    7974.916    239.597   8.200  9.99779E-01  9.64047E-01  3.69698E-02
    7978.050    242.730   8.250  9.98370E-01  9.62932E-01  3.67223E-02
    7981.203    245.883   8.300  9.94038E-01  9.61818E-01  3.34402E-02
    7984.375    249.055   8.350  9.87146E-01  9.60703E-01  2.74871E-02
    7987.565    252.246   8.400  9.78374E-01  9.59588E-01  1.95583E-02
    7990.775    255.456   8.450  9.68601E-01  9.58473E-01  1.05603E-02
    7994.004    258.685   8.500  9.58761E-01  9.57359E-01  1.46460E-03
    7997.252    261.933   8.550  9.49614E-01  9.56160E-01 -6.84607E-03
    8000.519    265.200   8.600  9.41850E-01  9.54961E-01 -1.37315E-02
    8003.805    268.486   8.650  9.35878E-01  9.53762E-01 -1.87564E-02
    8007.111    271.791   8.700  9.31835E-01  9.52563E-01 -2.17707E-02
    8010.435    275.115   8.750  9.29609E-01  9.51363E-01 -2.28819E-02
    8013.778    278.458   8.800  9.28909E-01  9.50164E-01 -2.23892E-02
    8017.140    281.821   8.850  9.29345E-01  9.48965E-01 -2.06963E-02
    8020.522    285.202   8.900  9.30515E-01  9.47766E-01 -1.82236E-02
    8023.922    288.602   8.950  9.32070E-01  9.46567E-01 -1.53360E-02
    8027.342    292.022   9.000  9.33758E-01  9.45368E-01 -1.23000E-02
    8030.780    295.460   9.050  9.35481E-01  9.44286E-01 -9.33801E-03
    8034.238    298.918   9.100  9.37150E-01  9.43204E-01 -6.42705E-03
    8037.714    302.395   9.150  9.38757E-01  9.42122E-01 -3.57604E-03
    8041.210    305.890   9.200  9.40308E-01  9.41040E-01 -7.79256E-04
    8044.725    309.405   9.250  9.41786E-01  9.39958E-01  1.94668E-03
    8048.258    312.939   9.300  9.43135E-01  9.38876E-01  4.53994E-03
    8051.811    316.492   9.350  9.44251E-01  9.37794E-01  6.88994E-03
    8055.383    320.063   9.400  9.45000E-01  9.36712E-01  8.85268E-03
    8058.974    323.654   9.450  9.45244E-01  9.35631E-01  1.02800E-02
    8062.584    327.264   9.500  9.44876E-01  9.34549E-01  1.10541E-02
    8066.213    330.893   9.550  9.44095E-01  9.33646E-01  1.11933E-02
    8069.861    334.541   9.600  9.42691E-01  9.32743E-01  1.06660E-02
    8073.528    338.208   9.650  9.40749E-01  9.31840E-01  9.55963E-03
    8077.214    341.895   9.700  9.38407E-01  9.30937E-01  8.02170E-03
    8080.920    345.600   9.750  9.35835E-01  9.30035E-01  6.23353E-03
    8084.644    349.324   9.800  9.33202E-01  9.29132E-01  4.37841E-03
    8088.387    353.067   9.850  9.30655E-01  9.28229E-01  2.61116E-03
    8092.149    356.830   9.900  9.28288E-01  9.27326E-01  1.03610E-03
    8095.931    360.611   9.950  9.26143E-01  9.26423E-01 -3.01983E-04
    8099.731    364.412  10.000  9.24212E-01  9.25521E-01 -1.41225E-03
    8103.551    368.231  10.050  9.22286E-01  9.24469E-01 -2.35787E-03
    8107.389    372.070  10.100  9.20447E-01  9.23417E-01 -3.21134E-03
    8111.247    375.927  10.150  9.18662E-01  9.22365E-01 -4.00895E-03
    8115.124    379.804  10.200  9.16926E-01  9.21313E-01 -4.75415E-03
    8119.019    383.700  10.250  9.15274E-01  9.20261E-01 -5.41008E-03
    8122.934    387.614  10.300  9.13772E-01  9.19209E-01 -5.90433E-03
    8126.868    391.548  10.350  9.12505E-01  9.18157E-01 -6.14489E-03
    8130.821    395.501  10.400  9.11552E-01  9.17105E-01 -6.04365E-03
    8134.793    399.473  10.450  9.10966E-01  9.16053E-01 -5.54197E-03
    8138.784    403.464  10.500  9.10754E-01  9.15001E-01 -4.63194E-03
    8142.794    407.474  10.550  9.10864E-01  9.13949E-01 -3.36807E-03
    8146.823    411.503  10.600  9.11190E-01  9.12897E-01 -1.86596E-03
    8150.871    415.551  10.650  9.11582E-01  9.11845E-01 -2.87454E-04
    8154.938    419.618  10.700  9.11874E-01  9.10793E-01  1.18500E-03
    8159.024    423.704  10.750  9.11911E-01  9.09741E-01  2.37998E-03
    8163.129    427.810  10.800  9.11574E-01  9.08689E-01  3.16796E-03
    8167.254    431.934  10.850  9.10808E-01  9.07637E-01  3.48504E-03
    8171.397    436.077  10.900  9.09624E-01  9.06585E-01  3.34440E-03
    8175.560    440.240  10.950  9.08105E-01  9.05533E-01  2.83284E-03
    8179.741    444.421  11.000  9.06379E-01  9.04481E-01  2.09308E-03
    8183.941    448.622  11.050  9.04435E-01  9.03192E-01  1.37161E-03
    8188.161    452.841  11.100  9.02568E-01  9.01904E-01  7.34444E-04
    8192.400    457.080  11.150  9.00884E-01  9.00616E-01  2.96589E-04
    8196.657    461.338  11.200  8.99439E-01  8.99328E-01  1.23671E-04
    8200.934    465.614  11.250  8.98239E-01  8.98040E-01  2.21999E-04
    8205.230    469.910  11.300  8.97237E-01  8.96751E-01  5.40342E-04
    8209.545    474.225  11.350  8.96346E-01  8.95463E-01  9.82711E-04
    8213.878    478.559  11.400  8.95457E-01  8.94175E-01  1.42930E-03
    8218.231    482.912  11.450  8.94464E-01  8.92887E-01  1.76117E-03
    8222.603    487.284  11.500  8.93283E-01  8.91599E-01  1.88380E-03
    8226.994    491.675  11.550  8.91868E-01  8.90310E-01  1.74473E-03
    8231.404    496.085  11.600  8.90219E-01  8.89022E-01  1.34237E-03
    8235.833    500.514  11.650  8.88379E-01  8.87734E-01  7.24282E-04
    8240.282    504.962  11.700  8.86425E-01  8.86446E-01 -2.38667E-05
    8244.749    509.429  11.750  8.84451E-01  8.85158E-01 -7.96291E-04
    8249.235    513.915  11.800  8.82550E-01  8.83869E-01 -1.48790E-03
    8253.740    518.421  11.850  8.80799E-01  8.82581E-01 -2.01368E-03
    8258.265    522.945  11.900  8.79240E-01  8.81293E-01 -2.32274E-03
    8262.808    527.488  11.950  8.77882E-01  8.80005E-01 -2.40467E-03
    8267.371    532.051  12.000  8.76701E-01  8.78717E-01 -2.28714E-03
    8271.952    536.632  12.050  8.75662E-01  8.77495E-01 -2.08314E-03
    8276.553    541.233  12.100  8.74705E-01  8.76273E-01 -1.78456E-03
    8281.172    545.853  12.150  8.73785E-01  8.75052E-01 -1.44355E-03
    8285.811    550.491  12.200  8.72864E-01  8.73830E-01 -1.10209E-03
    8290.469    555.149  12.250  8.71921E-01  8.72609E-01 -7.85270E-04
    8295.145    559.826  12.300  8.70950E-01  8.71387E-01 -4.99303E-04
    8299.841    564.521  12.350  8.69961E-01  8.70165E-01 -2.34388E-04
    8304.556    569.236  12.400  8.68969E-01  8.68944E-01  2.86406E-05
    8309.290    573.970  12.450  8.67992E-01  8.67722E-01  3.09729E-04
    8314.043    578.723  12.500  8.67041E-01  8.66500E-01  6.21248E-04
    8318.815    583.495  12.550  8.66114E-01  8.65279E-01  9.61873E-04
    8323.606    588.286  12.600  8.65197E-01  8.64057E-01  1.31413E-03
    8328.416    593.096  12.650  8.64261E-01  8.62836E-01  1.64612E-03
    8333.245    597.926  12.700  8.63271E-01  8.61614E-01  1.91709E-03
    8338.093    602.774  12.750  8.62193E-01  8.60392E-01  2.08540E-03
    8342.961    607.641  12.800  8.60996E-01  8.59171E-01  2.11730E-03
    8347.847    612.527  12.850  8.59666E-01  8.57949E-01  1.99446E-03
    8352.752    617.433  12.900  8.58205E-01  8.56728E-01  1.71862E-03
    8357.677    622.357  12.950  8.56633E-01  8.55506E-01  1.31246E-03
    8362.620    627.300  13.000  8.54984E-01  8.54284E-01  8.16436E-04
    8367.583    632.263  13.050  8.53188E-01  8.52946E-01  2.82974E-04
    8372.564    637.245  13.100  8.51396E-01  8.51607E-01 -2.48026E-04
    8377.565    642.245  13.150  8.49646E-01  8.50269E-01 -7.30546E-04
    8382.585    647.265  13.200  8.47969E-01  8.48931E-01 -1.12895E-03
    8387.623    652.304  13.250  8.46383E-01  8.47592E-01 -1.42142E-03
    8392.681    657.361  13.300  8.44895E-01  8.46254E-01 -1.60060E-03
    8397.758    662.438  13.350  8.43498E-01  8.44915E-01 -1.67165E-03
    8402.854    667.534  13.400  8.42182E-01  8.43577E-01 -1.64844E-03
    8407.969    672.649  13.450  8.40929E-01  8.42238E-01 -1.54891E-03
    8413.102    677.783  13.500  8.39727E-01  8.40900E-01 -1.39076E-03
    8418.256    682.936  13.550  8.38561E-01  8.39561E-01 -1.18836E-03
    8423.428    688.108  13.600  8.37423E-01  8.38223E-01 -9.51538E-04
    8428.619    693.299  13.650  8.36308E-01  8.36884E-01 -6.86142E-04
    8433.829    698.509  13.700  8.35214E-01  8.35546E-01 -3.96179E-04
