# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.5000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=26 Rmt= 1.314 Rnm= 1.359 K  shell
# # Pot 1 Z=57 Rmt= 1.829 Rnm= 1.829
# # Pot 2 Z=14 Rmt= 1.358 Rnm= 1.411
# # Pot 3 Z=26 Rmt= 1.368 Rnm= 1.423
# # Gam_ch=1.309E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.684E+01 kf=2.090E+00 Vint=-2.546E+01 Rs_int= 1.735
# # PATH  Rmax= 5.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      3.00     2   2.4720
#           2       0.00000    287.20      9.00     2   2.4720
#           3       0.00000     28.95     24.00     3   3.7489
#           4       0.00000     32.06     24.00     3   3.7489
#           5       0.00000      5.92      6.00     3   3.8695
#           6       0.00000      5.44      6.00     3   3.8695
#           7       0.00000    139.80     12.00     2   3.9444
#           8       0.00000     14.71      6.00     3   4.3978
#           9       0.00000     29.75     18.00     3   4.3978
#          10       0.00000     21.39     12.00     3   4.4954
#          11       0.00000     47.08     36.00     3   4.4954
#          12       0.00000      4.73      6.00     3   4.5110
#          13       0.00000      6.22      6.00     3   4.5110
#          14       0.00000      5.91      6.00     3   4.5886
#          15       0.00000     11.19     12.00     3   4.5886
#          16       0.00000     33.81     30.00     3   4.5886
#          17       0.00000     85.98     12.00     2   4.7861
#          18       0.00000     50.89      6.00     3   4.8186
#          19       0.00000    100.50     18.00     3   4.8186
#          20       0.00000     28.51      3.00     4   4.8511
#          22       0.00000     42.37      9.00     4   4.8511
#          23       0.00000     16.19      6.00     3   4.9440
#          24       0.00000     23.07      6.00     3   4.9439
#          25       0.00000     15.41      6.00     4   4.9440
#          26       0.00000     20.80      6.00     4   4.9440
#          27       0.00000      4.22      3.00     4   4.9439
#          29       0.00000     17.75      9.00     4   4.9440
#          30       0.00000     13.45     30.00     4   4.9440
#          31       0.00000      9.65     24.00     4   4.9440
#          32       0.00000     13.21     24.00     4   4.9439
#          33       0.00000     84.71      8.00     2   4.9602
#          34       0.00000      8.50     12.00     4   5.0258
#          35       0.00000      6.02     12.00     4   5.0258
#          36       0.00000     16.12     24.00     4   5.0258
#          37       0.00000      4.05      6.00     4   5.0463
#          38       0.00000      4.57     18.00     4   5.0463
#          39       0.00000      4.01     12.00     3   5.3155
#          40       0.00000      9.12     36.00     3   5.3155
#          41       0.00000      7.13     12.00     3   5.3420
#          42       0.00000     29.44     12.00     3   5.3768
#          43       0.00000     50.16     36.00     3   5.3768
#    41/  43 paths used
#  xsedge+50, used to normalize mu           3.1403E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7120.905    -16.826   0.050  3.68620E-01  3.61148E-01  1.16594E-02
    7120.934    -16.797   0.100  3.55885E-01  3.67566E-01 -1.81958E-02
    7120.982    -16.749   0.150  3.21388E-01  3.86469E-01 -1.00864E-01
    7121.048    -16.683   0.200  2.90113E-01  4.05372E-01 -1.77727E-01
    7121.134    -16.597   0.250  2.46133E-01  4.34110E-01 -2.87479E-01
    7121.239    -16.492   0.300  2.10919E-01  4.62847E-01 -3.82147E-01
    7121.363    -16.368   0.350  1.70656E-01  4.94639E-01 -4.86057E-01
    7121.505    -16.226   0.400  1.45305E-01  5.26431E-01 -5.65585E-01
    7121.667    -16.064   0.450  1.19684E-01  5.55122E-01 -6.37639E-01
    7121.848    -15.883   0.500  1.13021E-01  5.83813E-01 -6.80415E-01
    7122.048    -15.683   0.550  1.09078E-01  6.07890E-01 -7.10158E-01
    7122.267    -15.464   0.600  1.24605E-01  6.31967E-01 -7.11715E-01
    7122.506    -15.225   0.650  1.43886E-01  6.52517E-01 -7.02049E-01
    7122.763    -14.968   0.700  1.79938E-01  6.73068E-01 -6.69905E-01
    7123.039    -14.692   0.750  2.20210E-01  6.91321E-01 -6.29361E-01
    7123.334    -14.397   0.800  2.73281E-01  7.09573E-01 -5.73322E-01
    7123.649    -14.082   0.850  3.35463E-01  7.26296E-01 -5.05048E-01
    7123.982    -13.749   0.900  4.03405E-01  7.43019E-01 -4.31684E-01
    7124.334    -13.397   0.950  4.62885E-01  7.58576E-01 -3.69784E-01
    7124.706    -13.025   1.000  5.06369E-01  7.74134E-01 -3.29538E-01
    7125.096    -12.635   1.050  5.35509E-01  7.88609E-01 -3.06730E-01
    7125.506    -12.225   1.100  5.51481E-01  8.03085E-01 -3.00327E-01
    7125.934    -11.796   1.150  5.62686E-01  8.16438E-01 -2.98629E-01
    7126.382    -11.349   1.200  5.67885E-01  8.29791E-01 -3.03947E-01
    7126.849    -10.882   1.250  5.73334E-01  8.41943E-01 -3.07779E-01
    7127.335    -10.396   1.300  5.80578E-01  8.54094E-01 -3.09484E-01
    7127.839     -9.892   1.350  5.93156E-01  8.64923E-01 -3.04097E-01
    7128.363     -9.368   1.400  6.12653E-01  8.75752E-01 -2.91170E-01
    7128.906     -8.825   1.450  6.38174E-01  8.85185E-01 -2.70794E-01
    7129.468     -8.263   1.500  6.70502E-01  8.94618E-01 -2.43404E-01
    7130.049     -7.682   1.550  7.05209E-01  9.02623E-01 -2.12746E-01
    7130.649     -7.082   1.600  7.43429E-01  9.10628E-01 -1.78800E-01
    7131.268     -6.463   1.650  7.79932E-01  9.17210E-01 -1.45909E-01
    7131.907     -5.824   1.700  8.17360E-01  9.23791E-01 -1.12438E-01
    7132.564     -5.167   1.750  8.51908E-01  9.28992E-01 -8.10617E-02
    7133.240     -4.491   1.800  8.86753E-01  9.34192E-01 -4.96604E-02
    7133.935     -3.796   1.850  9.21081E-01  9.38088E-01 -1.77474E-02
    7134.650     -3.081   1.900  9.55540E-01  9.41985E-01  1.41012E-02
