# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=57 Rmt= 1.821 Rnm= 1.821 L3 shell
# # Pot 1 Z=57 Rmt= 1.891 Rnm= 1.891
# # Pot 2 Z=14 Rmt= 1.358 Rnm= 1.412
# # Pot 3 Z=26 Rmt= 1.368 Rnm= 1.424
# # Gam_ch=3.160E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.637E+01 kf=2.091E+00 Vint=-2.506E+01 Rs_int= 1.734
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.800  Temp=  20.00  Debye_temp= 370.00  Global_sig2= 0.00500
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00917    100.00      3.00     2   3.3214
#           2       0.00743    582.00     21.00     2   3.3214
#           3       0.00889     11.14     12.00     3   4.5109
#           4       0.00778     34.46     36.00     3   4.5109
#           5       0.00899      8.90     12.00     3   4.5983
#           6       0.00785     23.57     36.00     3   4.5983
#           7       0.00900      4.36      6.00     3   4.6085
#           8       0.00786     11.31     18.00     3   4.6085
#           9       0.00739     81.01      8.00     2   4.9602
#          10       0.00813      9.80     18.00     3   5.0037
#          11       0.00909     21.88      3.00     2   5.2000
#          12       0.00738    185.00     21.00     2   5.2000
#          13       0.00804     11.14      6.00     3   5.3768
#          14       0.00759     38.30     42.00     3   5.3768
#          15       0.00826      8.22     18.00     3   5.3777
#          16       0.00968      6.12     12.00     3   5.4287
#          17       0.00826     15.78     36.00     3   5.4287
#          18       0.00792     13.07      6.00     3   5.5376
#          19       0.00912      4.97      6.00     3   5.5376
#          20       0.00756     37.40     36.00     3   5.5376
#          21       0.00793      8.34      4.00     3   5.5479
#          22       0.00793      4.17      2.00     3   5.5479
#          23       0.00913      4.84      6.00     3   5.5479
#          24       0.00756     33.44     34.00     3   5.5478
#          25       0.00973      5.90     12.00     3   5.5963
#          26       0.00828     14.34     36.00     3   5.5963
#          27       0.00973      5.89     12.00     3   5.6021
#          28       0.00828     14.32     36.00     3   5.6021
#          29       0.00810      7.78      6.00     3   5.6582
#          31       0.00763     23.75     36.00     3   5.6582
#          33       0.01115     15.98     36.00     4   5.7005
#          34       0.00636     47.22      6.00     2   5.7276
#          37       0.00896      6.41     21.00     4   5.7933
#          38       0.00766      5.07     36.00     4   5.7933
#          40       0.00911     14.04      3.00     2   5.8642
#          41       0.00738    127.40     21.00     2   5.8642
#          42       0.00739     51.54      6.00     3   5.8697
#          43       0.00911     31.10      6.00     3   5.8697
#          44       0.00739    238.90     36.00     3   5.8697
#          45       0.00743     36.97      3.00     4   5.8752
#          48       0.00913     19.51      3.00     4   5.8752
#          49       0.00741    160.00     18.00     4   5.8752
#          50       0.01149     12.92     36.00     4   5.8752
#          51       0.00869      5.99     18.00     4   5.8752
#          54       0.00759      5.14     30.00     4   5.8854
#          56       0.01153      6.31     18.00     4   5.8957
#          57       0.00873      5.70     18.00     4   5.8957
#          58       0.00830     21.38     42.00     3   5.9744
#    48/  52 paths used
#  xsedge+50, used to normalize mu           8.5142E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    5487.873    -16.358   0.050  7.97480E-01  1.24277E+00 -1.63749E-01
    5487.902    -16.329   0.100  8.06111E-01  1.25287E+00 -1.62644E-01
    5487.949    -16.282   0.150  8.33883E-01  1.28365E+00 -1.58895E-01
    5488.016    -16.215   0.200  8.64862E-01  1.31443E+00 -1.54262E-01
    5488.102    -16.129   0.250  9.20985E-01  1.36563E+00 -1.45583E-01
    5488.207    -16.025   0.300  9.85451E-01  1.41683E+00 -1.35052E-01
    5488.330    -15.901   0.350  1.08074E+00  1.48601E+00 -1.19890E-01
    5488.473    -15.758   0.400  1.18878E+00  1.55518E+00 -1.02733E-01
    5488.635    -15.596   0.450  1.32624E+00  1.63578E+00 -8.23487E-02
    5488.816    -15.415   0.500  1.47465E+00  1.71638E+00 -6.11772E-02
    5489.016    -15.215   0.550  1.63807E+00  1.79782E+00 -3.92484E-02
    5489.235    -14.996   0.600  1.80215E+00  1.87926E+00 -1.84080E-02
    5489.473    -14.758   0.650  1.95562E+00  1.94922E+00  1.53983E-03
    5489.731    -14.501   0.700  2.09676E+00  2.01917E+00  1.87655E-02
    5490.007    -14.224   0.750  2.20225E+00  2.06654E+00  3.41619E-02
    5490.302    -13.929   0.800  2.28913E+00  2.11390E+00  4.59823E-02
    5490.616    -13.615   0.850  2.33259E+00  2.13139E+00  5.60803E-02
    5490.950    -13.281   0.900  2.36343E+00  2.14888E+00  6.37655E-02
    5491.302    -12.929   0.950  2.36157E+00  2.13494E+00  7.21654E-02
    5491.674    -12.557   1.000  2.35696E+00  2.12100E+00  8.09083E-02
    5492.064    -12.167   1.050  2.33025E+00  2.08035E+00  9.19681E-02
    5492.474    -11.757   1.100  2.30099E+00  2.03969E+00  1.03766E-01
    5492.902    -11.329   1.150  2.25091E+00  1.98111E+00  1.14774E-01
    5493.350    -10.881   1.200  2.19098E+00  1.92253E+00  1.22964E-01
    5493.817    -10.414   1.250  2.11022E+00  1.85555E+00  1.24479E-01
    5494.303     -9.929   1.300  2.01556E+00  1.78856E+00  1.18929E-01
    5494.807     -9.424   1.350  1.90742E+00  1.72101E+00  1.03680E-01
    5495.331     -8.900   1.400  1.78994E+00  1.65345E+00  8.08919E-02
    5495.874     -8.357   1.450  1.67248E+00  1.59047E+00  5.12914E-02
    5496.436     -7.795   1.500  1.55530E+00  1.52748E+00  1.84124E-02
    5497.017     -7.214   1.550  1.45009E+00  1.47173E+00 -1.50206E-02
    5497.617     -6.614   1.600  1.35288E+00  1.41597E+00 -4.60140E-02
    5498.236     -5.995   1.650  1.27344E+00  1.36843E+00 -7.21212E-02
    5498.875     -5.357   1.700  1.20485E+00  1.32089E+00 -9.18834E-02
    5499.532     -4.699   1.750  1.15415E+00  1.28154E+00 -1.04291E-01
    5500.208     -4.023   1.800  1.11295E+00  1.24219E+00 -1.09508E-01
    5500.903     -3.328   1.850  1.08719E+00  1.21184E+00 -1.08234E-01
    5501.618     -2.613   1.900  1.06743E+00  1.18150E+00 -1.01540E-01
    5502.351     -1.880   1.950  1.06177E+00  1.16118E+00 -9.01250E-02
    5503.104     -1.128   2.000  1.05833E+00  1.14085E+00 -7.62313E-02
    5503.875     -0.356   2.050  1.06131E+00  1.12592E+00 -6.08249E-02
    5504.666      0.435   2.100  1.06313E+00  1.11098E+00 -4.59311E-02
    5505.475      1.244   2.150  1.06307E+00  1.09605E+00 -3.22853E-02
