# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=26 Rmt= 1.406 Rnm= 1.475 K  shell
# # Pot 1 Z=26 Rmt= 1.409 Rnm= 1.471
# # Pot 2 Z=14 Rmt= 1.372 Rnm= 1.434
# # Pot 3 Z=57 Rmt= 1.914 Rnm= 1.925
# # Gam_ch=1.309E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.528E+01 kf=1.976E+00 Vint=-2.272E+01 Rs_int= 1.835
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      7.00     2   2.4817
#           2       0.00000     15.38      1.00     2   2.4817
#           3       0.00000     10.33     16.00     3   3.7636
#           4       0.00000     31.10      6.00     2   3.9599
#           5       0.00000      8.17      2.00     2   3.9599
#           6       0.00000      8.88     16.00     3   4.5130
#           7       0.00000      6.11     12.00     3   4.6066
#           8       0.00000     15.89      5.00     2   4.8049
#           9       0.00000     19.06      8.00     3   4.8375
#          10       0.00000      8.37      2.00     3   4.8375
#          11       0.00000      8.33      4.00     4   4.8701
#          12       0.00000      5.23      1.00     4   4.8701
#          13       0.00000      7.09      4.00     3   4.9633
#          14       0.00000      6.12      4.00     4   4.9633
#          15       0.00000      5.55      7.00     4   4.9633
#          16       0.00000     18.67      4.00     2   4.9796
#          17       0.00000     11.34     20.00     3   5.3978
#          18       0.00000     13.94      7.00     2   5.7104
#          19       0.00000      7.81      4.00     2   5.7500
#          20       0.00000      8.71     12.00     3   5.7849
#    20/  21 paths used
#  xsedge+50, used to normalize mu           3.1888E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7119.138    -15.284   0.000  2.21475E-01  2.84242E-01 -1.28926E-01
    7119.147    -15.274   0.050  2.22886E-01  2.89302E-01 -1.36080E-01
    7119.176    -15.246   0.100  2.24313E-01  2.94361E-01 -1.43167E-01
    7119.224    -15.198   0.150  2.29076E-01  3.09259E-01 -1.62691E-01
    7119.290    -15.131   0.200  2.34114E-01  3.24157E-01 -1.81382E-01
    7119.376    -15.046   0.250  2.42932E-01  3.47007E-01 -2.07180E-01
    7119.481    -14.941   0.300  2.52977E-01  3.69856E-01 -2.29966E-01
    7119.605    -14.817   0.350  2.65029E-01  3.95689E-01 -2.53028E-01
    7119.748    -14.674   0.400  2.80019E-01  4.21521E-01 -2.69772E-01
    7119.909    -14.512   0.450  2.95295E-01  4.45755E-01 -2.81367E-01
    7120.090    -14.331   0.500  3.15356E-01  4.69989E-01 -2.83745E-01
    7120.290    -14.131   0.550  3.36117E-01  4.91555E-01 -2.79008E-01
    7120.510    -13.912   0.600  3.62754E-01  5.13120E-01 -2.64151E-01
    7120.748    -13.674   0.650  3.90696E-01  5.32823E-01 -2.43762E-01
    7121.005    -13.417   0.700  4.24278E-01  5.52526E-01 -2.14867E-01
    7121.281    -13.141   0.750  4.60753E-01  5.71265E-01 -1.80551E-01
    7121.576    -12.845   0.800  5.03072E-01  5.90003E-01 -1.38583E-01
    7121.891    -12.531   0.850  5.53781E-01  6.08308E-01 -8.47242E-02
    7122.224    -12.198   0.900  6.03281E-01  6.26613E-01 -3.53582E-02
    7122.576    -11.845   0.950  6.39512E-01  6.44683E-01 -7.63906E-03
    7122.948    -11.474   1.000  6.61332E-01  6.62753E-01 -2.04735E-03
    7123.338    -11.083   1.050  6.65791E-01  6.80543E-01 -2.07435E-02
    7123.748    -10.674   1.100  6.54720E-01  6.98334E-01 -5.98692E-02
    7124.177    -10.245   1.150  6.29290E-01  7.15674E-01 -1.15834E-01
    7124.624     -9.797   1.200  5.95202E-01  7.33013E-01 -1.80615E-01
    7125.091     -9.331   1.250  5.56393E-01  7.49686E-01 -2.47877E-01
    7125.577     -8.845   1.300  5.21689E-01  7.66358E-01 -3.07154E-01
    7126.082     -8.340   1.350  4.95016E-01  7.82089E-01 -3.53320E-01
    7126.606     -7.816   1.400  4.84160E-01  7.97820E-01 -3.78619E-01
    7127.148     -7.273   1.450  4.89487E-01  8.12381E-01 -3.82951E-01
    7127.710     -6.711   1.500  5.14728E-01  8.26942E-01 -3.63923E-01
    7128.291     -6.130   1.550  5.55351E-01  8.40104E-01 -3.26861E-01
