# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.363 Rnm= 1.419 K  shell
# # Pot 1 Z=62 Rmt= 1.706 Rnm= 1.756
# # Pot 2 Z=27 Rmt= 1.375 Rnm= 1.432
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.637E+01 kf=1.953E+00 Vint=-2.446E+01 Rs_int= 1.857
# # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 293.00  Debye_temp= 264.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.01194    100.00      4.00     2   2.4522
#           2       0.01220     96.15      4.00     2   2.5010
#           3       0.01096     83.83      4.00     2   3.1911
#           4       0.01353     18.34     16.00     3   3.7027
#           5       0.01666     17.47      2.00     2   3.9640
#           6       0.01228     12.54     16.00     3   4.2656
#           7       0.01692     56.90      8.00     2   4.3039
#           8       0.01693     27.99      4.00     2   4.3319
#           9       0.01632      8.02      8.00     3   4.4342
#          10       0.01669     13.99     16.00     3   4.6285
#          11       0.01669     16.52     16.00     3   4.6286
#          13       0.01673      7.73      8.00     3   4.6669
#          14       0.01706     45.65      8.00     2   4.6870
#          15       0.01218     34.64      4.00     2   4.7638
#          16       0.01698     22.87     16.00     3   4.7957
#          17       0.01712     11.61      4.00     3   4.9044
#          18       0.01712      9.93      4.00     4   4.9044
#          19       0.04776      5.31      4.00     4   4.9044
#          20       0.01825      6.20      8.00     4   4.9044
#          21       0.02046      4.90     16.00     4   4.9532
#          22       0.03037      5.44     16.00     4   4.9532
#    21/  22 paths used
#  xsedge+50, used to normalize mu           2.8980E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7718.284    -16.367   0.000  2.30247E-01  3.08839E-01 -1.46406E-01
    7718.293    -16.357   0.050  2.36339E-01  3.13876E-01 -1.44127E-01
    7718.322    -16.328   0.100  2.42538E-01  3.18913E-01 -1.41662E-01
    7718.370    -16.281   0.150  2.61563E-01  3.33803E-01 -1.33140E-01
    7718.436    -16.214   0.200  2.81459E-01  3.48694E-01 -1.23133E-01
    7718.522    -16.128   0.250  3.14726E-01  3.71812E-01 -1.03474E-01
    7718.627    -16.024   0.300  3.49800E-01  3.94930E-01 -8.09716E-02
    7718.751    -15.900   0.350  3.94719E-01  4.21688E-01 -4.77215E-02
    7718.893    -15.757   0.400  4.41083E-01  4.48447E-01 -1.28522E-02
    7719.055    -15.595   0.450  4.88480E-01  4.73999E-01  2.48532E-02
    7719.236    -15.414   0.500  5.34902E-01  4.99551E-01  5.96766E-02
    7719.436    -15.214   0.550  5.74077E-01  5.22180E-01  8.59439E-02
    7719.655    -14.995   0.600  6.09012E-01  5.44808E-01  1.04341E-01
    7719.894    -14.757   0.650  6.32163E-01  5.65041E-01  1.06834E-01
    7720.151    -14.500   0.700  6.47955E-01  5.85273E-01  9.77510E-02
    7720.427    -14.223   0.750  6.49141E-01  6.04007E-01  6.88657E-02
    7720.722    -13.928   0.800  6.40967E-01  6.22741E-01  2.72226E-02
    7721.037    -13.614   0.850  6.17176E-01  6.40598E-01 -3.42162E-02
    7721.370    -13.280   0.900  5.84801E-01  6.58455E-01 -1.05291E-01
    7721.722    -12.928   0.950  5.39949E-01  6.75680E-01 -1.89833E-01
    7722.094    -12.557   1.000  4.92054E-01  6.92905E-01 -2.74959E-01
    7722.484    -12.166   1.050  4.41360E-01  7.09550E-01 -3.59485E-01
    7722.894    -11.757   1.100  3.97926E-01  7.26195E-01 -4.31023E-01
    7723.323    -11.328   1.150  3.65589E-01  7.42138E-01 -4.84698E-01
    7723.770    -10.880   1.200  3.51466E-01  7.58081E-01 -5.13311E-01
    7724.237    -10.413   1.250  3.59127E-01  7.73160E-01 -5.13185E-01
    7724.723     -9.928   1.300  3.89947E-01  7.88239E-01 -4.84871E-01
    7725.228     -9.423   1.350  4.43245E-01  8.02271E-01 -4.29918E-01
    7725.751     -8.899   1.400  5.14975E-01  8.16304E-01 -3.55019E-01
    7726.294     -8.356   1.450  5.99696E-01  8.29108E-01 -2.66384E-01
    7726.856     -7.794   1.500  6.90761E-01  8.41913E-01 -1.73012E-01
    7727.437     -7.213   1.550  7.80924E-01  8.53347E-01 -8.18658E-02
    7728.037     -6.613   1.600  8.64029E-01  8.64780E-01 -8.39031E-04
    7728.657     -5.994   1.650  9.34530E-01  8.74761E-01  6.60358E-02
    7729.295     -5.356   1.700  9.89033E-01  8.84742E-01  1.14037E-01
    7729.952     -4.699   1.750  1.02542E+00  8.93216E-01  1.43333E-01
    7730.628     -4.022   1.800  1.04436E+00  9.01689E-01  1.53385E-01
    7731.324     -3.327   1.850  1.04697E+00  9.08659E-01  1.47720E-01
    7732.038     -2.613   1.900  1.03750E+00  9.15630E-01  1.29307E-01
    7732.771     -1.879   1.950  1.01886E+00  9.21081E-01  1.03235E-01
    7733.524     -1.127   2.000  9.97101E-01  9.26532E-01  7.41447E-02
    7734.295     -0.355   2.050  9.74658E-01  9.30047E-01  4.67483E-02
    7735.086      0.435   2.100  9.56560E-01  9.33561E-01  2.40373E-02
    7735.896      1.245   2.150  9.44618E-01  9.37076E-01  7.86210E-03
    7736.724      2.074   2.200  9.39206E-01  9.40591E-01 -1.43964E-03
    7737.572      2.921   2.250  9.39586E-01  9.43060E-01 -3.61487E-03
    7738.439      3.788   2.300  9.44213E-01  9.45529E-01 -1.37025E-03
    7739.325      4.674   2.350  9.50724E-01  9.47997E-01  2.84256E-03
    7740.229      5.579   2.400  9.57053E-01  9.50466E-01  6.87198E-03
    7741.153      6.503   2.450  9.63261E-01  9.54251E-01  9.39386E-03
    7742.096      7.446   2.500  9.68032E-01  9.58037E-01  1.04148E-02
    7743.058      8.408   2.550  9.71233E-01  9.61822E-01  9.80021E-03
    7744.039      9.389   2.600  9.73010E-01  9.65607E-01  7.70404E-03
    7745.040     10.389   2.650  9.72097E-01  9.67856E-01  4.40369E-03
    7746.059     11.408   2.700  9.70941E-01  9.70105E-01  8.66820E-04
    7747.097     12.446   2.750  9.70023E-01  9.72354E-01 -2.40966E-03
    7748.154     13.504   2.800  9.69763E-01  9.74603E-01 -4.99276E-03
    7749.230     14.580   2.850  9.68216E-01  9.76142E-01 -8.15765E-03
    7750.326     15.675   2.900  9.68005E-01  9.77681E-01 -9.93524E-03
    7751.440     16.790   2.950  9.69495E-01  9.79221E-01 -9.96261E-03
    7752.574     17.923   3.000  9.72783E-01  9.80760E-01 -8.15150E-03
    7753.726     19.076   3.050  9.75779E-01  9.82097E-01 -6.44463E-03
    7754.898     20.247   3.100  9.80320E-01  9.83435E-01 -3.17066E-03
    7756.088     21.438   3.150  9.86189E-01  9.84772E-01  1.44006E-03
    7757.298     22.648   3.200  9.92983E-01  9.86109E-01  6.97028E-03
    7758.527     23.876   3.250  9.98833E-01  9.86693E-01  1.22876E-02
    7759.775     25.124   3.300  1.00487E+00  9.87276E-01  1.77713E-02
    7761.041     26.391   3.350  1.01051E+00  9.87859E-01  2.28360E-02
    7762.327     27.677   3.400  1.01526E+00  9.88443E-01  2.69931E-02
    7763.632     28.982   3.450  1.01912E+00  9.89359E-01  2.99165E-02
    7764.956     30.306   3.500  1.02157E+00  9.90275E-01  3.14108E-02
    7766.299     31.649   3.550  1.02240E+00  9.91191E-01  3.12726E-02
    7767.661     33.011   3.600  1.02158E+00  9.92107E-01  2.94955E-02
    7769.042     34.392   3.650  1.01847E+00  9.92613E-01  2.58353E-02
    7770.443     35.792   3.700  1.01408E+00  9.93118E-01  2.09092E-02
    7771.862     37.211   3.750  1.00877E+00  9.93624E-01  1.50812E-02
    7773.300     38.650   3.800  1.00294E+00  9.94130E-01  8.75785E-03
    7774.757     40.107   3.850  9.97456E-01  9.95103E-01  2.33605E-03
    7776.234     41.583   3.900  9.92330E-01  9.96077E-01 -3.71455E-03
    7777.729     43.079   3.950  9.87791E-01  9.97051E-01 -9.16659E-03
    7779.244     44.593   4.000  9.83945E-01  9.98024E-01 -1.39177E-02
    7780.777     46.127   4.050  9.80691E-01  9.98791E-01 -1.78653E-02
    7782.330     47.679   4.100  9.77957E-01  9.99557E-01 -2.12882E-02
    7783.901     49.251   4.150  9.75572E-01  1.00032E+00 -2.43586E-02
    7785.492     50.842   4.200  9.73368E-01  1.00109E+00 -2.72412E-02
    7787.102     52.451   4.250  9.71269E-01  1.00196E+00 -3.01176E-02
    7788.731     54.080   4.300  9.69341E-01  1.00283E+00 -3.28191E-02
    7790.378     55.728   4.350  9.67750E-01  1.00369E+00 -3.51842E-02
    7792.045     57.395   4.400  9.66783E-01  1.00456E+00 -3.69329E-02
    7793.731     59.081   4.450  9.67010E-01  1.00540E+00 -3.74906E-02
    7795.436     60.786   4.500  9.68754E-01  1.00623E+00 -3.65664E-02
    7797.160     62.510   4.550  9.72348E-01  1.00707E+00 -3.38420E-02
    7798.903     64.253   4.600  9.78016E-01  1.00791E+00 -2.91028E-02
    7800.665     66.015   4.650  9.85595E-01  1.00838E+00 -2.21689E-02
    7802.446     67.796   4.700  9.95107E-01  1.00885E+00 -1.33637E-02
    7804.247     69.596   4.750  1.00620E+00  1.00932E+00 -3.03913E-03
    7806.066     71.415   4.800  1.01833E+00  1.00980E+00  8.28430E-03
