# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=57 Rmt= 1.828 Rnm= 1.828 L3 shell
# # Pot 1 Z=57 Rmt= 1.897 Rnm= 1.899
# # Pot 2 Z=14 Rmt= 1.349 Rnm= 1.400
# # Pot 3 Z=26 Rmt= 1.366 Rnm= 1.416
# # Gam_ch=3.160E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.628E+01 kf=2.103E+00 Vint=-2.519E+01 Rs_int= 1.725
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.800  Temp=  20.00  Debye_temp= 370.00  Global_sig2= 0.00150
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00393    100.00      6.00     2   3.3135
#           2       0.00393     49.73      3.00     2   3.3221
#           3       0.00393     49.66      3.00     2   3.3241
#           4       0.00394     49.17      3.00     2   3.3396
#           5       0.00394     48.76      3.00     2   3.3525
#           6       0.00394     48.47      3.00     2   3.3619
#           7       0.00569     56.99      3.00     2   3.3754
#          17       0.00389      6.16      1.00     2   4.9342
#          18       0.00389      6.15      1.00     2   4.9376
#          19       0.00389     18.27      3.00     2   4.9534
#          20       0.00389     18.26      3.00     2   4.9546
#          21       0.00388     16.89      3.00     2   5.0887
#          22       0.00560     14.20      3.00     2   5.0914
#          23       0.00388     16.66      3.00     2   5.1115
#          24       0.00388     16.56      3.00     2   5.1220
#          25       0.00388     16.46      3.00     2   5.1325
#          26       0.00388     16.30      3.00     2   5.1493
#          27       0.00388     16.06      3.00     2   5.1757
#          28       0.00388     16.04      3.00     2   5.1772
#          29       0.00455      6.56      6.00     3   5.3783
#          31       0.00405      4.09      6.00     3   5.4484
#          32       0.00405      4.24      6.00     3   5.4512
#          33       0.00405      4.15      6.00     3   5.4642
#          34       0.00404      4.20      6.00     3   5.5006
#          35       0.00441      8.32      6.00     3   5.5092
#          36       0.00451      6.53      6.00     3   5.5106
#          37       0.00286     14.30      3.00     2   5.7036
#          38       0.00286     14.13      3.00     2   5.7267
#          39       0.00389     21.67      6.00     2   5.8760
#          40       0.00389     24.75      6.00     3   5.8787
#          41       0.00561      8.36      3.00     2   5.8798
#          42       0.00389     23.98      6.00     3   5.8807
#          43       0.00390     17.23      3.00     4   5.8810
#          44       0.00561     19.05      6.00     3   5.8833
#          45       0.00391     16.09      3.00     4   5.8855
#          46       0.00562     12.28      3.00     4   5.8868
#          47       0.00389     10.76      3.00     2   5.8882
#          48       0.00389     24.33      6.00     3   5.8913
#          49       0.00389     10.73      3.00     2   5.8935
#          50       0.00389     10.73      3.00     2   5.8936
#          51       0.00389     24.95      6.00     3   5.8944
#          52       0.00390     16.75      3.00     4   5.8943
#          53       0.00389     17.75      3.00     4   5.8952
#          54       0.00390     30.81      6.00     3   5.8978
#          55       0.00389     10.70      3.00     2   5.8989
#          56       0.00393     22.43      3.00     4   5.9022
#          57       0.00389     23.22      6.00     3   5.9049
#          58       0.00389     10.65      3.00     2   5.9068
#          59       0.00389     24.06      6.00     3   5.9096
#          60       0.00391     15.25      3.00     4   5.9109
#          61       0.00390     16.57      3.00     4   5.9124
#    51/  61 paths used
#  xsedge+50, used to normalize mu           8.5219E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    5487.827    -16.267   0.050  9.09770E-01  1.21415E+00 -1.19837E-01
    5487.856    -16.238   0.100  9.18154E-01  1.22413E+00 -1.19285E-01
    5487.903    -16.191   0.150  9.43568E-01  1.25427E+00 -1.17640E-01
    5487.970    -16.124   0.200  9.69966E-01  1.28441E+00 -1.15725E-01
    5488.056    -16.038   0.250  1.01416E+00  1.33463E+00 -1.12616E-01
    5488.160    -15.933   0.300  1.06114E+00  1.38485E+00 -1.08843E-01
    5488.284    -15.810   0.350  1.12550E+00  1.45298E+00 -1.03980E-01
    5488.427    -15.667   0.400  1.19510E+00  1.52112E+00 -9.80558E-02
    5488.589    -15.505   0.450  1.27917E+00  1.60111E+00 -9.14823E-02
    5488.770    -15.324   0.500  1.37082E+00  1.68111E+00 -8.35593E-02
    5488.970    -15.124   0.550  1.47207E+00  1.76312E+00 -7.53919E-02
    5489.189    -14.905   0.600  1.58234E+00  1.84513E+00 -6.55732E-02
    5489.427    -14.667   0.650  1.69594E+00  1.91740E+00 -5.49562E-02
    5489.684    -14.409   0.700  1.81920E+00  1.98967E+00 -4.20730E-02
    5489.961    -14.133   0.750  1.93749E+00  2.04123E+00 -2.63749E-02
    5490.256    -13.838   0.800  2.06426E+00  2.09279E+00 -7.48138E-03
    5490.570    -13.524   0.850  2.17595E+00  2.11571E+00  1.66703E-02
    5490.904    -13.190   0.900  2.28991E+00  2.13864E+00  4.43268E-02
    5491.256    -12.838   0.950  2.37755E+00  2.13027E+00  7.74027E-02
    5491.627    -12.466   1.000  2.45394E+00  2.12190E+00  1.11544E-01
    5492.018    -12.076   1.050  2.48954E+00  2.08581E+00  1.45421E-01
    5492.428    -11.666   1.100  2.49713E+00  2.04973E+00  1.73698E-01
    5492.856    -11.238   1.150  2.45532E+00  1.99405E+00  1.91873E-01
    5493.304    -10.790   1.200  2.37859E+00  1.93837E+00  1.97197E-01
    5493.771    -10.323   1.250  2.26131E+00  1.87268E+00  1.85914E-01
    5494.256     -9.837   1.300  2.11879E+00  1.80698E+00  1.60035E-01
    5494.761     -9.333   1.350  1.95933E+00  1.73944E+00  1.19944E-01
    5495.285     -8.809   1.400  1.79493E+00  1.67190E+00  7.16033E-02
    5495.828     -8.266   1.450  1.63933E+00  1.60807E+00  1.92230E-02
    5496.390     -7.704   1.500  1.49694E+00  1.54424E+00 -3.08328E-02
    5496.971     -7.123   1.550  1.37904E+00  1.48727E+00 -7.40669E-02
    5497.571     -6.523   1.600  1.28181E+00  1.43030E+00 -1.06945E-01
    5498.190     -5.904   1.650  1.21137E+00  1.38142E+00 -1.27699E-01
    5498.828     -5.265   1.700  1.15861E+00  1.33253E+00 -1.36432E-01
    5499.486     -4.608   1.750  1.12641E+00  1.29189E+00 -1.34383E-01
    5500.162     -3.932   1.800  1.10368E+00  1.25125E+00 -1.24211E-01
    5500.857     -3.237   1.850  1.09402E+00  1.21971E+00 -1.08552E-01
    5501.572     -2.522   1.900  1.08586E+00  1.18818E+00 -9.07208E-02
    5502.305     -1.789   1.950  1.08724E+00  1.16679E+00 -7.19122E-02
    5503.057     -1.036   2.000  1.08539E+00  1.14540E+00 -5.53427E-02
    5503.829     -0.265   2.050  1.08630E+00  1.12973E+00 -4.08519E-02
    5504.620      0.526   2.100  1.08307E+00  1.11406E+00 -2.97336E-02
    5505.429      1.335   2.150  1.07669E+00  1.09838E+00 -2.12499E-02
    5506.258      2.164   2.200  1.06848E+00  1.08271E+00 -1.42298E-02
