# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=57 Rmt= 1.821 Rnm= 1.821 L3 shell
# # Pot 1 Z=57 Rmt= 1.891 Rnm= 1.891
# # Pot 2 Z=14 Rmt= 1.358 Rnm= 1.412
# # Pot 3 Z=26 Rmt= 1.366 Rnm= 1.420
# # Gam_ch=3.160E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.679E+01 kf=2.087E+00 Vint=-2.552E+01 Rs_int= 1.738
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      3.00     2   3.3214
#           2       0.00000    584.10     21.00     2   3.3214
#           3       0.00000     11.02     12.00     3   4.5109
#           4       0.00000     34.44     36.00     3   4.5109
#           5       0.00000      8.80     12.00     3   4.5983
#           6       0.00000     23.47     36.00     3   4.5983
#           7       0.00000      4.31      6.00     3   4.6085
#           8       0.00000     11.26     18.00     3   4.6085
#           9       0.00000     81.27      8.00     2   4.9602
#          10       0.00000      9.83     18.00     3   5.0037
#          11       0.00000     21.91      3.00     2   5.2000
#          12       0.00000    185.60     21.00     2   5.2000
#          13       0.00000     10.81      6.00     3   5.3768
#          14       0.00000     38.72     42.00     3   5.3768
#          15       0.00000      8.17     18.00     3   5.3777
#          16       0.00000      6.06     12.00     3   5.4287
#          17       0.00000     15.65     36.00     3   5.4287
#          18       0.00000     12.69      6.00     3   5.5376
#          19       0.00000      5.01      6.00     3   5.5376
#          20       0.00000     38.03     36.00     3   5.5376
#          21       0.00000      8.10      4.00     3   5.5478
#          22       0.00000      4.05      2.00     3   5.5479
#          23       0.00000      4.88      6.00     3   5.5479
#          24       0.00000     34.00     34.00     3   5.5478
#          25       0.00000      5.84     12.00     3   5.5963
#          26       0.00000     14.17     36.00     3   5.5963
#          27       0.00000      5.84     12.00     3   5.6021
#          28       0.00000     14.16     36.00     3   5.6021
#          29       0.00000      7.55      6.00     3   5.6582
#          31       0.00000     24.02     36.00     3   5.6582
#          33       0.00000     16.06     36.00     4   5.7005
#          34       0.00000     47.39      6.00     2   5.7276
#          37       0.00000      6.71     21.00     4   5.7933
#          38       0.00000      5.30     36.00     4   5.7933
#          40       0.00000     14.06      3.00     2   5.8642
#          41       0.00000    127.70     21.00     2   5.8642
#          42       0.00000     50.85      6.00     3   5.8697
#          43       0.00000     31.31      6.00     3   5.8697
#          44       0.00000    240.90     36.00     3   5.8697
#          45       0.00000     36.00      3.00     4   5.8752
#          48       0.00000     19.59      3.00     4   5.8752
#          49       0.00000    160.70     18.00     4   5.8752
#          50       0.00000     12.98     36.00     4   5.8752
#          51       0.00000      6.23     18.00     4   5.8752
#          54       0.00000      5.40     30.00     4   5.8854
#          56       0.00000      6.33     18.00     4   5.8957
#          57       0.00000      5.93     18.00     4   5.8957
#          58       0.00000     21.26     42.00     3   5.9744
#    48/  52 paths used
#  xsedge+50, used to normalize mu           8.5199E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    5487.873    -16.781   0.050  6.64482E-01  1.20844E+00 -2.27996E-01
    5487.902    -16.752   0.100  6.70896E-01  1.21833E+00 -2.27075E-01
    5487.949    -16.704   0.150  6.92359E-01  1.24850E+00 -2.23539E-01
    5488.016    -16.638   0.200  7.17760E-01  1.27866E+00 -2.18681E-01
    5488.102    -16.552   0.250  7.66101E-01  1.32909E+00 -2.08668E-01
    5488.207    -16.447   0.300  8.25275E-01  1.37952E+00 -1.95770E-01
    5488.330    -16.323   0.350  9.16450E-01  1.44833E+00 -1.76080E-01
    5488.473    -16.181   0.400  1.02565E+00  1.51714E+00 -1.53100E-01
    5488.635    -16.019   0.450  1.16948E+00  1.59879E+00 -1.24937E-01
    5488.816    -15.838   0.500  1.33133E+00  1.68044E+00 -9.53279E-02
    5489.016    -15.638   0.550  1.51586E+00  1.76538E+00 -6.46540E-02
    5489.235    -15.419   0.600  1.70580E+00  1.85031E+00 -3.56256E-02
    5489.473    -15.180   0.650  1.89125E+00  1.92686E+00 -8.63381E-03
    5489.731    -14.923   0.700  2.06342E+00  2.00340E+00  1.43181E-02
    5490.007    -14.647   0.750  2.20055E+00  2.05980E+00  3.44243E-02
    5490.302    -14.352   0.800  2.31373E+00  2.11620E+00  4.95599E-02
    5490.616    -14.037   0.850  2.37834E+00  2.14340E+00  6.22452E-02
    5490.950    -13.704   0.900  2.42510E+00  2.17061E+00  7.14264E-02
    5491.302    -13.352   0.950  2.43577E+00  2.16485E+00  8.14408E-02
    5491.674    -12.980   1.000  2.44302E+00  2.15909E+00  9.18828E-02
    5492.064    -12.590   1.050  2.42861E+00  2.12339E+00  1.06235E-01
    5492.474    -12.180   1.100  2.41279E+00  2.08770E+00  1.22405E-01
    5492.902    -11.751   1.150  2.37446E+00  2.03054E+00  1.39151E-01
    5493.350    -11.304   1.200  2.32386E+00  1.97338E+00  1.53235E-01
    5493.817    -10.837   1.250  2.24583E+00  1.90503E+00  1.59535E-01
    5494.303    -10.351   1.300  2.14769E+00  1.83668E+00  1.56658E-01
    5494.807     -9.846   1.350  2.02795E+00  1.76613E+00  1.40474E-01
    5495.331     -9.323   1.400  1.89301E+00  1.69558E+00  1.13306E-01
    5495.874     -8.780   1.450  1.75365E+00  1.62896E+00  7.57568E-02
    5496.436     -8.218   1.500  1.61279E+00  1.56233E+00  3.25675E-02
    5497.017     -7.637   1.550  1.48454E+00  1.50290E+00 -1.24619E-02
    5497.617     -7.037   1.600  1.36648E+00  1.44347E+00 -5.50754E-02
    5498.236     -6.417   1.650  1.27001E+00  1.39264E+00 -9.15915E-02
    5498.875     -5.779   1.700  1.18832E+00  1.34182E+00 -1.19915E-01
    5499.532     -5.122   1.750  1.12879E+00  1.29963E+00 -1.38300E-01
    5500.208     -4.446   1.800  1.08257E+00  1.25745E+00 -1.46874E-01
    5500.903     -3.750   1.850  1.05502E+00  1.22502E+00 -1.46560E-01
    5501.618     -3.036   1.900  1.03643E+00  1.19259E+00 -1.38297E-01
    5502.351     -2.303   1.950  1.03461E+00  1.17121E+00 -1.23522E-01
    5503.104     -1.550   2.000  1.03644E+00  1.14983E+00 -1.04735E-01
    5503.875     -0.779   2.050  1.04441E+00  1.13344E+00 -8.39487E-02
    5504.666      0.012   2.100  1.05093E+00  1.11704E+00 -6.36677E-02
    5505.475      0.822   2.150  1.05495E+00  1.10065E+00 -4.49741E-02
