# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=31 Rmt= 1.465 Rnm= 1.494 K  shell
# # Pot 1 Z=24 Rmt= 1.286 Rnm= 1.363
# # Pot 2 Z=31 Rmt= 1.445 Rnm= 1.471
# # Pot 3 Z= 6 Rmt= 1.010 Rnm= 1.099
# # Gam_ch=2.082E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.434E+01 kf=2.294E+00 Vint=-2.615E+01 Rs_int= 1.581
# # PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.6544
#           2       0.00000     69.96      6.00     2   2.8725
#           3       0.00000     41.49      6.00     2   3.5448
#           4       0.00000     39.91      6.00     2   3.9112
#           5       0.00000     43.93     24.00     3   4.0839
#           6       0.00000      8.38     24.00     3   4.0907
#           7       0.00000     11.08      2.00     2   4.1934
#           8       0.00000     21.01      6.00     2   4.5626
#           9       0.00000     50.20     12.00     3   4.5928
#          10       0.00000     30.89      6.00     4   4.6229
#          11       0.00000     11.52     24.00     3   4.7191
#          12       0.00000      8.12     24.00     3   4.7191
#          13       0.00000     44.52     12.00     2   4.8527
#          14       0.00000     16.63      6.00     2   4.9754
#          15       0.00000     39.03     12.00     2   5.0829
#          16       0.00000     11.63     12.00     3   5.1760
#          17       0.00000      7.09     24.00     3   5.1899
#          18       0.00000     19.23     24.00     3   5.1899
#          19       0.00000      6.50     24.00     3   5.1899
#          20       0.00000     30.98     24.00     3   5.2148
#          21       0.00000     24.79     24.00     3   5.2981
#          24       0.00000      5.73     12.00     4   5.3467
#          25       0.00000      4.18     24.00     3   5.3603
#          26       0.00000     26.06     12.00     2   5.3916
#          27       0.00000     23.39     24.00     4   5.4300
#          28       0.00000      7.18     24.00     3   5.4900
#          29       0.00000      5.11     12.00     4   5.5134
#          30       0.00000      6.55     12.00     4   5.5133
#          31       0.00000      9.83     24.00     4   5.5202
#          33       0.00000      4.39     12.00     4   5.5270
#          34       0.00000     18.66     24.00     3   5.6356
#          35       0.00000      6.91     24.00     4   5.7221
#          36       0.00000     10.94      6.00     2   5.7451
#          38       0.00000     25.10     12.00     3   5.7451
#          39       0.00000      5.24      6.00     4   5.7451
#          40       0.00000     20.64      6.00     4   5.7451
#          41       0.00000     12.00     24.00     3   5.7642
#          42       0.00000      7.57     24.00     3   5.8313
#          43       0.00000      7.94     24.00     4   5.8372
#          45       0.00000      4.93     24.00     4   5.8958
#          46       0.00000     10.12     24.00     3   5.9045
#          47       0.00000      6.02     24.00     4   6.0082
#          48       0.00000      5.80     24.00     4   6.0524
#          49       0.00000      8.85     24.00     5   6.0524
#          50       0.00000     10.94     24.00     5   6.0524
#          51       0.00000      4.16     24.00     4   6.1486
#          52       0.00000      8.56     12.00     3   6.1859
#          55       0.00000     20.38     12.00     2   6.3287
#          56       0.00000      7.60      6.00     2   6.4817
#          57       0.00000     18.71     12.00     2   6.5068
#          58       0.00000     18.60     12.00     3   6.5190
#          59       0.00000      7.69     12.00     3   6.5207
#          61       0.00000      9.37      6.00     4   6.5311
#          62       0.00000     15.58     12.00     3   6.5491
#          63       0.00000     21.22     12.00     4   6.5491
#          64       0.00000     13.26     12.00     3   6.5552
#          65       0.00000      5.07     24.00     3   6.5562
#          67       0.00000     10.60     24.00     3   6.5562
#          68       0.00000     16.19     12.00     4   6.5613
#          69       0.00000     22.78     12.00     5   6.5613
#          70       0.00000      6.64     12.00     5   6.5613
#          72       0.00000      6.80      6.00     4   6.5914
#          73       0.00000     19.52     12.00     5   6.5914
#          74       0.00000      4.78      6.00     6   6.5914
#          75       0.00000     14.28      6.00     6   6.5914
#          76       0.00000      5.14      6.00     4   6.6035
#          77       0.00000      4.31     12.00     3   6.6647
#    67/  76 paths used
#  xsedge+50, used to normalize mu           1.9922E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   10379.334    -14.333   0.050 -1.86406E-01  6.46483E-01 -6.76043E-01
   10379.363    -14.304   0.100 -1.69292E-01  6.53874E-01 -6.67244E-01
   10379.410    -14.257   0.150 -1.16340E-01  6.76110E-01 -6.39781E-01
   10379.477    -14.190   0.200 -6.00564E-02  6.98346E-01 -6.09859E-01
   10379.563    -14.104   0.250  3.65292E-02  7.34115E-01 -5.57355E-01
   10379.667    -13.999   0.300  1.39261E-01  7.69884E-01 -5.00640E-01
   10379.791    -13.876   0.350  2.80478E-01  8.14739E-01 -4.20545E-01
   10379.934    -13.733   0.400  4.26631E-01  8.59594E-01 -3.37944E-01
   10380.096    -13.571   0.450  5.97228E-01  9.06361E-01 -2.38875E-01
   10380.277    -13.390   0.500  7.64690E-01  9.53128E-01 -1.44168E-01
   10380.477    -13.190   0.550  9.34150E-01  9.95992E-01 -4.67932E-02
   10380.696    -12.971   0.600  1.08730E+00  1.03886E+00  3.62538E-02
   10380.934    -12.733   0.650  1.22101E+00  1.07559E+00  1.07602E-01
   10381.191    -12.475   0.700  1.32629E+00  1.11233E+00  1.56553E-01
   10381.468    -12.199   0.750  1.39939E+00  1.14316E+00  1.85424E-01
   10381.763    -11.904   0.800  1.43933E+00  1.17399E+00  1.89935E-01
   10382.077    -11.590   0.850  1.44528E+00  1.19966E+00  1.74071E-01
   10382.410    -11.256   0.900  1.42369E+00  1.22532E+00  1.39196E-01
   10382.763    -10.904   0.950  1.37666E+00  1.24638E+00  9.06653E-02
   10383.134    -10.532   1.000  1.31714E+00  1.26743E+00  3.43109E-02
   10383.525    -10.142   1.050  1.24831E+00  1.28411E+00 -2.45585E-02
   10383.934     -9.732   1.100  1.18701E+00  1.30079E+00 -7.75734E-02
   10384.363     -9.304   1.150  1.13549E+00  1.31313E+00 -1.20690E-01
   10384.811     -8.856   1.200  1.10953E+00  1.32547E+00 -1.46201E-01
   10385.278     -8.389   1.250  1.10817E+00  1.33346E+00 -1.52437E-01
   10385.763     -7.903   1.300  1.14038E+00  1.34145E+00 -1.35973E-01
   10386.268     -7.399   1.350  1.19994E+00  1.34516E+00 -9.84414E-02
   10386.792     -6.875   1.400  1.28566E+00  1.34887E+00 -4.29531E-02
   10387.335     -6.332   1.450  1.38594E+00  1.34847E+00  2.55977E-02
   10387.897     -5.770   1.500  1.49123E+00  1.34806E+00  9.83268E-02
   10388.478     -5.189   1.550  1.58773E+00  1.34392E+00  1.68802E-01
   10389.078     -4.589   1.600  1.66418E+00  1.33978E+00  2.26438E-01
   10389.697     -3.970   1.650  1.71026E+00  1.33239E+00  2.66546E-01
   10390.335     -3.331   1.700  1.72093E+00  1.32500E+00  2.82259E-01
   10390.992     -2.674   1.750  1.69391E+00  1.31496E+00  2.73539E-01
   10391.669     -1.998   1.800  1.63450E+00  1.30492E+00  2.40923E-01
   10392.364     -1.303   1.850  1.54804E+00  1.29283E+00  1.89168E-01
   10393.078     -0.588   1.900  1.44738E+00  1.28075E+00  1.25263E-01
   10393.812      0.145   1.950  1.33953E+00  1.26704E+00  5.53031E-02
   10394.564      0.898   2.000  1.23793E+00  1.25333E+00 -1.19218E-02
   10395.336      1.669   2.050  1.14464E+00  1.23971E+00 -7.47239E-02
   10396.126      2.460   2.100  1.06842E+00  1.22610E+00 -1.25812E-01
   10396.936      3.269   2.150  1.01004E+00  1.21249E+00 -1.64020E-01
   10397.765      4.098   2.200  9.67577E-01  1.19887E+00 -1.90319E-01
   10398.612      4.946   2.250  9.42652E-01  1.19068E+00 -2.07243E-01
   10399.479      5.813   2.300  9.31148E-01  1.18248E+00 -2.13308E-01
   10400.365      6.698   2.350  9.31811E-01  1.17428E+00 -2.09075E-01
   10401.270      7.603   2.400  9.44908E-01  1.16609E+00 -1.93810E-01
   10402.194      8.527   2.450  9.69967E-01  1.15976E+00 -1.68511E-01
   10403.137      9.470   2.500  1.00976E+00  1.15343E+00 -1.29276E-01
   10404.099     10.432   2.550  1.06480E+00  1.14710E+00 -7.50654E-02
   10405.080     11.413   2.600  1.13150E+00  1.14077E+00 -8.56692E-03
   10406.080     12.413   2.650  1.19611E+00  1.13148E+00  6.03935E-02
   10407.099     13.432   2.700  1.25078E+00  1.12219E+00  1.21430E-01
