# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  4.9750   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.304 Rnm= 1.355 K  shell
# # Pot 1 Z=62 Rmt= 1.656 Rnm= 1.681
# # Pot 2 Z=27 Rmt= 1.330 Rnm= 1.382
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.796E+01 kf=2.093E+00 Vint=-2.721E+01 Rs_int= 1.732
# # PATH  Rmax= 7.960,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 332.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00779    100.00      2.00     2   2.3700
#           2       0.00779      7.87      2.00     2   2.3700
#           3       0.00787     42.58      2.00     2   2.3938
#           4       0.00787     28.77      2.00     2   2.3938
#           5       0.00837      5.72      2.00     2   2.5425
#           6       0.00711     14.25      2.00     2   3.1238
#           7       0.00881      4.18      4.00     3   3.5728
#           8       0.00890      5.60      4.00     3   3.6060
#          10       0.00895      8.16      4.00     3   3.6253
#          12       0.01069     20.78      2.00     2   3.8955
#          13       0.01072      9.72      2.00     2   3.9604
#          14       0.01075     15.18      2.00     2   4.0180
#          15       0.01079      6.13      4.00     2   4.1431
#          16       0.01051      7.09      4.00     3   4.2863
#          18       0.01061      5.82      4.00     3   4.3790
#          20       0.01061      5.95      4.00     3   4.3891
#          24       0.01064      5.38      4.00     3   4.4135
#          29       0.01087     13.89      2.00     2   4.5191
#          31       0.01087     19.39      2.00     2   4.5292
#          37       0.00775     31.42      2.00     2   4.6045
#          39       0.01085      9.22      4.00     3   4.7320
#          42       0.01085      5.85      4.00     3   4.7388
#          44       0.01091      9.85      2.00     3   4.7399
#          46       0.01091      9.37      2.00     4   4.7399
#          47       0.03114      4.59      2.00     4   4.7399
#          51       0.01091      4.57      2.00     3   4.7876
#          53       0.01091      4.29      2.00     4   4.7876
#          56       0.01092      7.79      2.00     2   4.7913
#          57       0.01092      6.57      2.00     2   4.7913
#          58       0.01091     14.11      4.00     3   4.8047
#          59       0.01091     14.73      4.00     3   4.8047
#          60       0.01102     10.12      2.00     4   4.8181
#          61       0.01102      8.30      2.00     4   4.8181
#          62       0.01092     16.24      2.00     2   4.8204
#          64       0.01092     29.81      4.00     3   4.8386
#          66       0.01107     17.55      2.00     4   4.8567
#          69       0.00809      9.71      4.00     3   4.9687
#          85       0.01110      5.54      2.00     2   5.4345
#          88       0.01082      5.04      4.00     3   5.7145
#          89       0.01125     13.06      4.00     2   5.7715
#          94       0.01103      6.15      4.00     3   6.0095
#         105       0.01143      8.65      4.00     3   6.1341
#         106       0.01143      9.91      2.00     4   6.1347
#         107       0.01144      8.37      2.00     2   6.1433
#         110       0.01144      5.05      4.00     3   6.1436
#         113       0.01144      6.76      2.00     2   6.1568
#         125       0.01151      4.28      4.00     3   6.2724
#         128       0.01151      6.23      2.00     2   6.2880
#         136       0.01154      4.56      2.00     2   6.3390
#         137       0.01154      4.08      2.00     2   6.3390
#         139       0.01155      4.82      4.00     3   6.3515
#         141       0.01155      7.67      2.00     2   6.3610
#         153       0.00821      6.01      2.00     2   6.4844
#    53/  76 paths used
#  xsedge+50, used to normalize mu           2.8903E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7719.825    -17.949   0.050  4.54840E-01  3.40333E-01  1.90792E-01
    7719.854    -17.921   0.100  4.62424E-01  3.45826E-01  1.93946E-01
    7719.902    -17.873   0.150  4.84128E-01  3.62076E-01  2.02013E-01
    7719.968    -17.806   0.200  5.05022E-01  3.78326E-01  2.08665E-01
    7720.054    -17.721   0.250  5.35446E-01  4.03427E-01  2.15682E-01
    7720.159    -17.616   0.300  5.63749E-01  4.28527E-01  2.19148E-01
    7720.283    -17.492   0.350  5.93401E-01  4.57246E-01  2.18279E-01
    7720.425    -17.349   0.400  6.19807E-01  4.85965E-01  2.12282E-01
    7720.587    -17.187   0.450  6.42149E-01  5.12814E-01  2.02446E-01
    7720.768    -17.006   0.500  6.60813E-01  5.39662E-01  1.87181E-01
    7720.968    -16.806   0.550  6.72178E-01  5.62716E-01  1.66592E-01
    7721.187    -16.587   0.600  6.78064E-01  5.85770E-01  1.38394E-01
    7721.426    -16.349   0.650  6.70997E-01  6.05644E-01  9.64002E-02
    7721.683    -16.092   0.700  6.57174E-01  6.25518E-01  4.59471E-02
    7721.959    -15.816   0.750  6.29672E-01  6.43298E-01 -1.94403E-02
    7722.254    -15.520   0.800  5.96823E-01  6.61078E-01 -9.01321E-02
    7722.569    -15.206   0.850  5.53425E-01  6.77516E-01 -1.71038E-01
    7722.902    -14.873   0.900  5.08991E-01  6.93954E-01 -2.50584E-01
    7723.254    -14.520   0.950  4.60448E-01  7.09441E-01 -3.31526E-01
    7723.626    -14.149   1.000  4.18019E-01  7.24928E-01 -4.01727E-01
    7724.016    -13.758   1.050  3.81294E-01  7.39615E-01 -4.61211E-01
    7724.426    -13.349   1.100  3.58915E-01  7.54302E-01 -5.00583E-01
    7724.855    -12.920   1.150  3.52309E-01  7.68186E-01 -5.18227E-01
    7725.302    -12.472   1.200  3.64822E-01  7.82071E-01 -5.11871E-01
    7725.769    -12.006   1.250  3.96555E-01  7.95044E-01 -4.81731E-01
    7726.255    -11.520   1.300  4.43725E-01  8.08017E-01 -4.34063E-01
    7726.760    -11.015   1.350  5.02586E-01  8.19998E-01 -3.73204E-01
    7727.283    -10.491   1.400  5.65270E-01  8.31979E-01 -3.09498E-01
    7727.826     -9.948   1.450  6.25842E-01  8.42851E-01 -2.48871E-01
    7728.388     -9.386   1.500  6.78873E-01  8.53723E-01 -1.98199E-01
    7728.969     -8.805   1.550  7.20951E-01  8.63410E-01 -1.59840E-01
    7729.569     -8.205   1.600  7.53322E-01  8.73098E-01 -1.33035E-01
    7730.189     -7.586   1.650  7.77524E-01  8.81533E-01 -1.14531E-01
    7730.827     -6.948   1.700  7.99568E-01  8.89968E-01 -9.86976E-02
    7731.484     -6.291   1.750  8.23217E-01  8.97157E-01 -8.01586E-02
    7732.160     -5.614   1.800  8.52962E-01  9.04345E-01 -5.53157E-02
    7732.856     -4.919   1.850  8.89614E-01  9.10290E-01 -2.21345E-02
    7733.570     -4.205   1.900  9.31600E-01  9.16236E-01  1.63567E-02
    7734.303     -3.471   1.950  9.75019E-01  9.20927E-01  5.73452E-02
    7735.056     -2.719   2.000  1.01381E+00  9.25617E-01  9.31085E-02
    7735.827     -1.947   2.050  1.04439E+00  9.28783E-01  1.21749E-01
    7736.618     -1.157   2.100  1.06081E+00  9.31948E-01  1.35377E-01
    7737.428     -0.347   2.150  1.06249E+00  9.35114E-01  1.33497E-01
    7738.256      0.482   2.200  1.05215E+00  9.38280E-01  1.19051E-01
    7739.104      1.329   2.250  1.03166E+00  9.39356E-01  9.65290E-02
    7739.971      2.196   2.300  1.00808E+00  9.40431E-01  7.07563E-02
    7740.857      3.082   2.350  9.88126E-01  9.41507E-01  4.87681E-02
    7741.761      3.987   2.400  9.75594E-01  9.42583E-01  3.45392E-02
    7742.685      4.911   2.450  9.74589E-01  9.45687E-01  3.02538E-02
    7743.628      5.854   2.500  9.76717E-01  9.48792E-01  2.92457E-02
    7744.590      6.816   2.550  9.77290E-01  9.51896E-01  2.66067E-02
    7745.571      7.797   2.600  9.73545E-01  9.55000E-01  1.94390E-02
    7746.572      8.797   2.650  9.65711E-01  9.57987E-01  8.08172E-03
    7747.591      9.816   2.700  9.56129E-01  9.60974E-01 -5.06062E-03
    7748.629     10.854   2.750  9.46718E-01  9.63961E-01 -1.79757E-02
    7749.686     11.912   2.800  9.39585E-01  9.66948E-01 -2.84728E-02
    7750.762     12.988   2.850  9.33105E-01  9.68940E-01 -3.71973E-02
