# # Once                                                         FEFF 9.6.4  
# # POT  SCF  30  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.367 Rnm= 1.426 K  shell
# # Pot 1 Z=62 Rmt= 1.620 Rnm= 1.669
# # Pot 2 Z=27 Rmt= 1.376 Rnm= 1.436
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.644E+01 kf=1.963E+00 Vint=-2.471E+01 Rs_int= 1.848
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      1.00     2   2.2823
#           2       0.00000    315.00      4.00     2   2.5745
#           3       0.00000    157.50      2.00     2   2.5745
#           4       0.00000     83.71      1.00     2   2.9344
#           5       0.00000    342.00      6.00     2   3.0113
#           6       0.00000    179.10      6.00     2   3.9912
#           7       0.00000    173.10      6.00     2   4.0467
#           8       0.00000    150.90      6.00     2   4.2751
#           9       0.00000    162.40      6.00     2   4.9597
#          10       0.00000     46.34      3.00     2   5.1490
#          11       0.00000     23.83      1.00     2   5.2166
#          12       0.00000     87.83      6.00     2   5.2514
#          13       0.00000     76.27      6.00     2   5.5268
#          14       0.00000     58.12      3.00     2   5.6486
#          15       0.00000     70.34      6.00     2   5.6890
#          16       0.00000     10.74      1.00     2   5.8687
#          17       0.00000     63.01      6.00     2   5.9143
#    17/  17 paths used
#  xsedge+50, used to normalize mu           2.9199E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7718.170    -16.443   0.000  1.67908E-01  2.94883E-01 -2.48622E-01
    7718.179    -16.433   0.050  1.74629E-01  2.99676E-01 -2.44318E-01
    7718.208    -16.405   0.100  1.81406E-01  3.04468E-01 -2.39924E-01
    7718.255    -16.357   0.150  2.01856E-01  3.18645E-01 -2.26252E-01
    7718.322    -16.291   0.200  2.22715E-01  3.32822E-01 -2.11964E-01
    7718.408    -16.205   0.250  2.56294E-01  3.54834E-01 -1.87747E-01
    7718.513    -16.100   0.300  2.90529E-01  3.76846E-01 -1.62784E-01
    7718.636    -15.976   0.350  3.32326E-01  4.02338E-01 -1.30216E-01
    7718.779    -15.833   0.400  3.74177E-01  4.27830E-01 -9.84327E-02
    7718.941    -15.671   0.450  4.16450E-01  4.52215E-01 -6.45114E-02
    7719.122    -15.490   0.500  4.57178E-01  4.76599E-01 -3.44515E-02
    7719.322    -15.290   0.550  4.93628E-01  4.98255E-01 -8.05080E-03
    7719.541    -15.071   0.600  5.26386E-01  5.19912E-01  1.10522E-02
    7719.779    -14.833   0.650  5.51222E-01  5.39367E-01  1.98151E-02
    7720.037    -14.576   0.700  5.70006E-01  5.58821E-01  1.83099E-02
    7720.313    -14.300   0.750  5.77555E-01  5.76969E-01  9.38979E-04
    7720.608    -14.005   0.800  5.77751E-01  5.95116E-01 -2.71973E-02
    7720.922    -13.690   0.850  5.66013E-01  6.12547E-01 -7.12370E-02
    7721.256    -13.357   0.900  5.48379E-01  6.29979E-01 -1.22156E-01
    7721.608    -13.004   0.950  5.22204E-01  6.46982E-01 -1.82584E-01
    7721.980    -12.633   1.000  4.94643E-01  6.63985E-01 -2.42328E-01
    7722.370    -12.242   1.050  4.65073E-01  6.80594E-01 -3.01625E-01
    7722.780    -11.833   1.100  4.40114E-01  6.97203E-01 -3.52055E-01
    7723.208    -11.404   1.150  4.19905E-01  7.13343E-01 -3.93390E-01
    7723.656    -10.957   1.200  4.09658E-01  7.29482E-01 -4.19943E-01
    7724.123    -10.490   1.250  4.09464E-01  7.44972E-01 -4.31876E-01
    7724.608    -10.004   1.300  4.22891E-01  7.60462E-01 -4.26152E-01
