# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=57 Rmt= 1.902 Rnm= 1.936 L3 shell
# # Pot 1 Z=26 Rmt= 1.430 Rnm= 1.609
# # Pot 2 Z=14 Rmt= 1.378 Rnm= 1.494
# # Pot 3 Z=57 Rmt= 1.944 Rnm= 1.987
# # Gam_ch=3.160E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.293E+01 kf=1.685E+00 Vint=-1.677E+01 Rs_int= 2.153
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.800  Temp=  20.00  Debye_temp= 370.00  Global_sig2= 0.00150
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00384    100.00     15.00     2   3.3344
#           2       0.00554     18.38      2.00     2   3.3344
#           3       0.00413      7.21     20.00     3   4.5286
#           4       0.00420      5.15     18.00     3   4.6163
#           5       0.00393      8.55      4.00     2   4.9796
#           6       0.00391     20.30     11.00     2   5.2204
#           8       0.00286      6.82      4.00     2   5.7500
#           9       0.00387      9.98      8.00     2   5.8871
#          10       0.00388     18.81     14.00     3   5.8927
#          11       0.00559      4.16      4.00     3   5.8927
#          12       0.00388      4.88      2.00     3   5.8927
#          13       0.00389     14.31      7.00     4   5.8982
#          15       0.00392      4.55      1.00     4   5.8982
#    13/  15 paths used
#  xsedge+50, used to normalize mu           8.3163E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    5487.126    -12.929   0.000  1.23193E+00  2.19724E+00 -3.33708E-01
    5487.136    -12.920   0.050  1.25303E+00  2.21314E+00 -3.25294E-01
    5487.164    -12.891   0.100  1.27534E+00  2.22904E+00 -3.16804E-01
    5487.212    -12.843   0.150  1.34391E+00  2.27686E+00 -2.93256E-01
    5487.279    -12.777   0.200  1.42191E+00  2.32469E+00 -2.69298E-01
    5487.364    -12.691   0.250  1.55157E+00  2.39852E+00 -2.36286E-01
    5487.469    -12.586   0.300  1.69783E+00  2.47235E+00 -2.02941E-01
    5487.593    -12.462   0.350  1.89409E+00  2.55591E+00 -1.68115E-01
    5487.736    -12.319   0.400  2.10106E+00  2.63948E+00 -1.32715E-01
    5487.898    -12.158   0.450  2.32746E+00  2.70425E+00 -9.61525E-02
    5488.079    -11.977   0.500  2.55006E+00  2.76902E+00 -5.79227E-02
    5488.279    -11.777   0.550  2.72917E+00  2.78329E+00 -1.54451E-02
    5488.498    -11.557   0.600  2.88390E+00  2.79756E+00  2.67503E-02
    5488.736    -11.319   0.650  2.94198E+00  2.74635E+00  6.60740E-02
    5488.993    -11.062   0.700  2.96436E+00  2.69514E+00  9.99375E-02
    5489.269    -10.786   0.750  2.88999E+00  2.59054E+00  1.20848E-01
    5489.565    -10.491   0.800  2.78998E+00  2.48594E+00  1.34418E-01
    5489.879    -10.176   0.850  2.64048E+00  2.35646E+00  1.35542E-01
    5490.212     -9.843   0.900  2.48454E+00  2.22698E+00  1.33525E-01
    5490.565     -9.491   0.950  2.33115E+00  2.09887E+00  1.28833E-01
    5490.936     -9.119   1.000  2.18300E+00  1.97076E+00  1.26560E-01
    5491.327     -8.729   1.050  2.06445E+00  1.85893E+00  1.29870E-01
    5491.736     -8.319   1.100  1.95075E+00  1.74709E+00  1.36851E-01
    5492.165     -7.890   1.150  1.86792E+00  1.65621E+00  1.49287E-01
    5492.613     -7.443   1.200  1.78302E+00  1.56533E+00  1.61481E-01
    5493.079     -6.976   1.250  1.71809E+00  1.49461E+00  1.72348E-01
    5493.565     -6.490   1.300  1.64454E+00  1.42390E+00  1.77178E-01
    5494.070     -5.985   1.350  1.57962E+00  1.37046E+00  1.73097E-01
    5494.594     -5.461   1.400  1.50389E+00  1.31702E+00  1.59525E-01
    5495.137     -4.919   1.450  1.43120E+00  1.27766E+00  1.33988E-01
    5495.699     -4.357   1.500  1.35111E+00  1.23831E+00  1.00683E-01
    5496.280     -3.776   1.550  1.27524E+00  1.21036E+00  5.87579E-02
    5496.880     -3.175   1.600  1.19953E+00  1.18241E+00  1.57295E-02
    5497.499     -2.556   1.650  1.13356E+00  1.16400E+00 -2.81869E-02
    5498.137     -1.918   1.700  1.07569E+00  1.14558E+00 -6.52132E-02
    5498.794     -1.261   1.750  1.03729E+00  1.13992E+00 -9.55736E-02
    5499.471     -0.585   1.800  1.01122E+00  1.13427E+00 -1.14360E-01
    5500.166      0.111   1.850  1.00768E+00  1.13980E+00 -1.22528E-01
    5500.880      0.825   1.900  1.01572E+00  1.14534E+00 -1.19933E-01
    5501.614      1.558   1.950  1.02367E+00  1.14037E+00 -1.08436E-01
    5502.366      2.311   2.000  1.03685E+00  1.13540E+00 -9.19545E-02
    5503.138      3.082   2.050  1.04124E+00  1.11938E+00 -7.34517E-02
    5503.928      3.873   2.100  1.04303E+00  1.10336E+00 -5.71465E-02
    5504.738      4.683   2.150  1.04189E+00  1.08734E+00 -4.33812E-02
    5505.567      5.511   2.200  1.03841E+00  1.07131E+00 -3.16471E-02
    5506.414      6.359   2.250  1.03970E+00  1.06212E+00 -2.16434E-02
    5507.281      7.226   2.300  1.04066E+00  1.05293E+00 -1.18773E-02
    5508.167      8.112   2.350  1.04111E+00  1.04373E+00 -2.54527E-03
    5509.072      9.016   2.400  1.04074E+00  1.03454E+00  6.04660E-03
    5509.996      9.940   2.450  1.04617E+00  1.03179E+00  1.40245E-02
    5510.939     10.883   2.500  1.05005E+00  1.02905E+00  2.04898E-02
    5511.901     11.845   2.550  1.05205E+00  1.02630E+00  2.51334E-02
    5512.882     12.826   2.600  1.05197E+00  1.02355E+00  2.77408E-02
    5513.882     13.827   2.650  1.05193E+00  1.02267E+00  2.85570E-02
    5514.901     14.846   2.700  1.04980E+00  1.02178E+00  2.73401E-02
    5515.939     15.884   2.750  1.04578E+00  1.02090E+00  2.42748E-02
    5516.997     16.941   2.800  1.04023E+00  1.02002E+00  1.97216E-02
    5518.073     18.018   2.850  1.03578E+00  1.02095E+00  1.44665E-02
    5519.168     19.113   2.900  1.03082E+00  1.02188E+00  8.72063E-03
    5520.283     20.227   2.950  1.02611E+00  1.02282E+00  3.21520E-03
    5521.416     21.361   3.000  1.02215E+00  1.02375E+00 -1.56739E-03
    5522.569     22.513   3.050  1.01493E+00  1.02346E+00 -8.33951E-03
    5523.740     23.685   3.100  1.01046E+00  1.02316E+00 -1.24364E-02
    5524.931     24.876   3.150  1.01190E+00  1.02287E+00 -1.07531E-02
    5526.141     26.085   3.200  1.01770E+00  1.02257E+00 -4.78294E-03
    5527.369     27.314   3.250  1.02137E+00  1.02203E+00 -6.42512E-04
    5528.617     28.562   3.300  1.02657E+00  1.02148E+00  5.02006E-03
    5529.884     29.829   3.350  1.03233E+00  1.02094E+00  1.12510E-02
    5531.170     31.114   3.400  1.03741E+00  1.02039E+00  1.68455E-02
    5532.475     32.419   3.450  1.03915E+00  1.01871E+00  2.02889E-02
    5533.799     33.743   3.500  1.03850E+00  1.01702E+00  2.13655E-02
    5535.142     35.086   3.550  1.03496E+00  1.01533E+00  1.95678E-02
    5536.504     36.448   3.600  1.02849E+00  1.01364E+00  1.48330E-02
    5537.885     37.829   3.650  1.01917E+00  1.01173E+00  7.44228E-03
    5539.285     39.230   3.700  1.00840E+00  1.00982E+00 -1.42967E-03
    5540.704     40.649   3.750  9.97210E-01  1.00792E+00 -1.07552E-02
    5542.142     42.087   3.800  9.86692E-01  1.00601E+00 -1.94412E-02
    5543.600     43.544   3.850  9.78202E-01  1.00427E+00 -2.62676E-02
    5545.076     45.021   3.900  9.72110E-01  1.00253E+00 -3.06898E-02
    5546.572     46.516   3.950  9.68743E-01  1.00079E+00 -3.23697E-02
    5548.086     48.031   4.000  9.68103E-01  9.99050E-01 -3.12966E-02
    5549.620     49.564   4.050  9.70762E-01  9.97907E-01 -2.74596E-02
    5551.172     51.117   4.100  9.75458E-01  9.96764E-01 -2.15599E-02
    5552.744     52.688   4.150  9.81597E-01  9.95621E-01 -1.41953E-02
    5554.334     54.279   4.200  9.88557E-01  9.94478E-01 -5.99471E-03
    5555.944     55.889   4.250  9.96541E-01  9.93960E-01  2.61134E-03
    5557.573     57.518   4.300  1.00413E+00  9.93443E-01  1.08153E-02
    5559.221     59.165   4.350  1.01086E+00  9.92926E-01  1.81298E-02
    5560.888     60.832   4.400  1.01632E+00  9.92409E-01  2.41684E-02
    5562.574     62.518   4.450  1.02069E+00  9.92419E-01  2.85519E-02
    5564.278     64.223   4.500  1.02318E+00  9.92428E-01  3.10287E-02
    5566.002     65.947   4.550  1.02371E+00  9.92437E-01  3.15192E-02
    5567.746     67.690   4.600  1.02227E+00  9.92446E-01  3.00338E-02
    5569.508     69.452   4.650  1.01902E+00  9.92653E-01  2.65364E-02
    5571.289     71.234   4.700  1.01405E+00  9.92860E-01  2.13115E-02
    5573.089     73.034   4.750  1.00756E+00  9.93066E-01  1.45656E-02
    5574.908     74.853   4.800  9.99778E-01  9.93273E-01  6.53527E-03
    5576.747     76.691   4.850  9.90841E-01  9.93344E-01 -2.51493E-03
    5578.604     78.549   4.900  9.81366E-01  9.93416E-01 -1.21016E-02
