# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=57 Rmt= 1.742 Rnm= 1.742 L3 shell
# # Pot 1 Z=26 Rmt= 1.312 Rnm= 1.365
# # Pot 2 Z=14 Rmt= 1.308 Rnm= 1.360
# # Pot 3 Z=57 Rmt= 1.812 Rnm= 1.812
# # Gam_ch=3.160E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.801E+01 kf=2.222E+00 Vint=-2.824E+01 Rs_int= 1.632
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     22.00     2   3.1894
#           2       0.00000     10.98      2.00     2   3.1894
#           3       0.00000      6.98     40.00     3   4.3317
#           4       0.00000      4.75     40.00     3   4.4156
#           5       0.00000     13.48      8.00     2   4.7631
#           6       0.00000     32.32     22.00     2   4.9934
#           7       0.00000      7.91     44.00     3   5.1631
#           8       0.00000      8.51     40.00     3   5.3176
#           9       0.00000      8.49     42.00     3   5.3274
#          10       0.00000      5.14     40.00     3   5.4334
#          11       0.00000      8.17      6.00     2   5.5000
#          12       0.00000     21.39     21.00     2   5.6312
#          13       0.00000     44.83     38.00     3   5.6365
#          14       0.00000      5.78      6.00     3   5.6365
#          15       0.00000      5.53      4.00     3   5.6365
#          16       0.00000     30.18     19.00     4   5.6418
#          18       0.00000      4.15     40.00     3   5.9378
#    17/  18 paths used
#  xsedge+50, used to normalize mu           8.2070E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    5488.695    -17.998   0.050  9.21885E-01  1.13741E+00 -1.01324E-01
    5488.724    -17.970   0.100  9.40389E-01  1.14663E+00 -9.63288E-02
    5488.771    -17.922   0.150  9.95328E-01  1.17439E+00 -8.20552E-02
    5488.838    -17.855   0.200  1.05008E+00  1.20215E+00 -6.83957E-02
    5488.924    -17.770   0.250  1.13885E+00  1.24844E+00 -4.78300E-02
    5489.028    -17.665   0.300  1.22587E+00  1.29472E+00 -2.91858E-02
    5489.152    -17.541   0.350  1.33876E+00  1.35742E+00 -7.61637E-03
    5489.295    -17.398   0.400  1.44559E+00  1.42011E+00  1.00310E-02
    5489.457    -17.236   0.450  1.56225E+00  1.49401E+00  2.58086E-02
    5489.638    -17.055   0.500  1.66596E+00  1.56791E+00  3.56819E-02
    5489.838    -16.855   0.550  1.75881E+00  1.64484E+00  4.00438E-02
    5490.057    -16.636   0.600  1.83325E+00  1.72176E+00  3.78579E-02
    5490.295    -16.398   0.650  1.88051E+00  1.79265E+00  2.91666E-02
    5490.552    -16.141   0.700  1.91169E+00  1.86354E+00  1.56373E-02
    5490.829    -15.865   0.750  1.91419E+00  1.92034E+00 -1.98652E-03
    5491.124    -15.569   0.800  1.91494E+00  1.97714E+00 -2.00215E-02
    5491.438    -15.255   0.850  1.90270E+00  2.01351E+00 -3.61986E-02
    5491.772    -14.922   0.900  1.91090E+00  2.04988E+00 -4.60901E-02
    5492.124    -14.569   0.950  1.92960E+00  2.06213E+00 -4.53304E-02
    5492.495    -14.198   1.000  1.98437E+00  2.07438E+00 -3.17845E-02
    5492.886    -13.807   1.050  2.05867E+00  2.06231E+00 -1.34118E-03
    5493.296    -13.398   1.100  2.15872E+00  2.05023E+00  4.17441E-02
    5493.724    -12.969   1.150  2.25379E+00  2.01734E+00  9.55020E-02
    5494.172    -12.521   1.200  2.34028E+00  1.98445E+00  1.51229E-01
    5494.639    -12.055   1.250  2.38762E+00  1.93670E+00  2.01700E-01
    5495.124    -11.569   1.300  2.39634E+00  1.88896E+00  2.39535E-01
    5495.629    -11.064   1.350  2.35161E+00  1.83310E+00  2.57640E-01
    5496.153    -10.540   1.400  2.26212E+00  1.77724E+00  2.54275E-01
    5496.696     -9.997   1.450  2.13178E+00  1.71917E+00  2.27293E-01
    5497.258     -9.435   1.500  1.97409E+00  1.66111E+00  1.81568E-01
    5497.839     -8.854   1.550  1.80402E+00  1.60511E+00  1.20821E-01
    5498.439     -8.254   1.600  1.63276E+00  1.54911E+00  5.33197E-02
    5499.058     -7.635   1.650  1.47594E+00  1.49792E+00 -1.46098E-02
    5499.696     -6.997   1.700  1.33769E+00  1.44673E+00 -7.56849E-02
    5500.354     -6.340   1.750  1.22806E+00  1.40183E+00 -1.25140E-01
    5501.030     -5.663   1.800  1.14376E+00  1.35693E+00 -1.59490E-01
    5501.725     -4.968   1.850  1.08894E+00  1.31869E+00 -1.77411E-01
    5502.440     -4.254   1.900  1.05484E+00  1.28046E+00 -1.79983E-01
    5503.173     -3.520   1.950  1.04440E+00  1.25118E+00 -1.69109E-01
    5503.925     -2.768   2.000  1.04436E+00  1.22191E+00 -1.48951E-01
    5504.697     -1.996   2.050  1.06333E+00  1.20582E+00 -1.21833E-01
    5505.488     -1.206   2.100  1.08206E+00  1.18973E+00 -9.38590E-02
    5506.297     -0.396   2.150  1.09638E+00  1.17364E+00 -6.86930E-02
    5507.126      0.433   2.200  1.10411E+00  1.15755E+00 -4.84811E-02
    5507.974      1.280   2.250  1.10641E+00  1.14207E+00 -3.29277E-02
    5508.840      2.147   2.300  1.10281E+00  1.12659E+00 -2.23648E-02
    5509.726      3.033   2.350  1.09581E+00  1.11111E+00 -1.46523E-02
    5510.631      3.938   2.400  1.08812E+00  1.09563E+00 -7.32542E-03
    5511.555      4.862   2.450  1.08333E+00  1.07877E+00  4.52524E-03
    5512.498      5.805   2.500  1.08109E+00  1.06190E+00  1.93019E-02
    5513.460      6.767   2.550  1.07958E+00  1.04504E+00  3.52947E-02
    5514.441      7.748   2.600  1.07596E+00  1.02817E+00  4.96048E-02
    5515.441      8.748   2.650  1.06994E+00  1.01322E+00  5.93645E-02
    5516.460      9.767   2.700  1.05532E+00  9.98263E-01  6.02193E-02
    5517.499     10.805   2.750  1.03313E+00  9.83307E-01  5.30230E-02
    5518.556     11.862   2.800  1.00575E+00  9.68352E-01  4.01349E-02
    5519.632     12.939   2.850  9.87304E-01  9.64649E-01  2.43319E-02
    5520.727     14.034   2.900  9.65810E-01  9.60946E-01  5.22707E-03
    5521.842     15.149   2.950  9.45500E-01  9.57243E-01 -1.26301E-02
    5522.975     16.282   3.000  9.30089E-01  9.53540E-01 -2.52390E-02
    5524.128     17.435   3.050  9.19536E-01  9.54334E-01 -3.72969E-02
    5525.299     18.606   3.100  9.14534E-01  9.55128E-01 -4.33301E-02
    5526.490     19.797   3.150  9.16343E-01  9.55922E-01 -4.20738E-02
    5527.700     21.006   3.200  9.25183E-01  9.56715E-01 -3.33835E-02
    5528.928     22.235   3.250  9.42462E-01  9.61273E-01 -1.97879E-02
    5530.176     23.483   3.300  9.64601E-01  9.65832E-01 -1.28626E-03
    5531.443     24.750   3.350  9.89535E-01  9.70390E-01  1.98838E-02
    5532.729     26.036   3.400  1.01467E+00  9.74948E-01  4.09917E-02
    5534.034     27.341   3.450  1.03840E+00  9.80493E-01  5.93299E-02
    5535.358     28.665   3.500  1.05705E+00  9.86038E-01  7.22301E-02
    5536.701     30.008   3.550  1.06866E+00  9.91583E-01  7.78466E-02
    5538.063     31.370   3.600  1.07228E+00  9.97128E-01  7.53648E-02
    5539.444     32.751   3.650  1.06730E+00  1.00247E+00  6.46020E-02
    5540.844     34.151   3.700  1.05566E+00  1.00781E+00  4.73869E-02
    5542.263     35.570   3.750  1.03952E+00  1.01315E+00  2.59518E-02
    5543.702     37.008   3.800  1.02145E+00  1.01849E+00  2.89365E-03
    5545.159     38.466   3.850  1.00182E+00  1.02214E+00 -1.97946E-02
    5546.635     39.942   3.900  9.85158E-01  1.02579E+00 -3.94151E-02
    5548.131     41.437   3.950  9.72824E-01  1.02945E+00 -5.46983E-02
    5549.645     42.952   4.000  9.65304E-01  1.03310E+00 -6.52267E-02
    5551.179     44.485   4.050  9.60316E-01  1.03447E+00 -7.12573E-02
    5552.731     46.038   4.100  9.59453E-01  1.03583E+00 -7.33144E-02
    5554.303     47.610   4.150  9.61918E-01  1.03720E+00 -7.21760E-02
    5555.894     49.200   4.200  9.67137E-01  1.03857E+00 -6.84037E-02
    5557.503     50.810   4.250  9.73383E-01  1.03753E+00 -6.15027E-02
    5559.132     52.439   4.300  9.82599E-01  1.03649E+00 -5.17336E-02
    5560.780     54.087   4.350  9.95121E-01  1.03545E+00 -3.87624E-02
    5562.447     55.754   4.400  1.01120E+00  1.03441E+00 -2.23346E-02
    5564.133     57.439   4.450  1.02953E+00  1.03193E+00 -2.32096E-03
    5565.838     59.144   4.500  1.05012E+00  1.02945E+00  2.00102E-02
    5567.562     60.868   4.550  1.07143E+00  1.02697E+00  4.31710E-02
    5569.305     62.611   4.600  1.09138E+00  1.02449E+00  6.51550E-02
    5571.067     64.374   4.650  1.10655E+00  1.02133E+00  8.33002E-02
    5572.848     66.155   4.700  1.11562E+00  1.01817E+00  9.56042E-02
    5574.648     67.955   4.750  1.11714E+00  1.01501E+00  1.00551E-01
    5576.468     69.774   4.800  1.11043E+00  1.01185E+00  9.74148E-02
    5578.306     71.613   4.850  1.09578E+00  1.00892E+00  8.61102E-02
    5580.163     73.470   4.900  1.07449E+00  1.00599E+00  6.81251E-02
    5582.040     75.346   4.950  1.04837E+00  1.00307E+00  4.52061E-02
    5583.935     77.242   5.000  1.01952E+00  1.00014E+00  1.94009E-02
    5585.850     79.156   5.050  9.90791E-01  9.97999E-01 -7.23275E-03
    5587.783     81.090   5.100  9.63276E-01  9.95857E-01 -3.27695E-02
    5589.736     83.043   5.150  9.38313E-01  9.93714E-01 -5.58531E-02
    5591.707     85.014   5.200  9.16855E-01  9.91572E-01 -7.55033E-02
    5593.698     87.005   5.250  9.00632E-01  9.90411E-01 -9.08152E-02
    5595.708     89.015   5.300  8.89276E-01  9.89250E-01 -1.01230E-01
    5597.737     91.043   5.350  8.83449E-01  9.88090E-01 -1.06062E-01
    5599.785     93.091   5.400  8.83906E-01  9.86929E-01 -1.04528E-01
    5601.852     95.158   5.450  8.92414E-01  9.86626E-01 -9.55777E-02
    5603.938     97.244   5.500  9.08376E-01  9.86324E-01 -7.90692E-02
    5606.043     99.349   5.550  9.31596E-01  9.86022E-01 -5.52022E-02
    5608.167    101.473   5.600  9.60994E-01  9.85719E-01 -2.50755E-02
    5610.310    103.616   5.650  9.95414E-01  9.86099E-01  9.43660E-03
    5612.472    105.779   5.700  1.03072E+00  9.86478E-01  4.47738E-02
    5614.653    107.960   5.750  1.06324E+00  9.86857E-01  7.72105E-02
    5616.853    110.160   5.800  1.08926E+00  9.87237E-01  1.03029E-01
    5619.073    112.379   5.850  1.10524E+00  9.87395E-01  1.18912E-01
    5621.311    114.618   5.900  1.10960E+00  9.87553E-01  1.23066E-01
    5623.568    116.875   5.950  1.10226E+00  9.87711E-01  1.15415E-01
    5625.845    119.152   6.000  1.08477E+00  9.87869E-01  9.75609E-02
    5628.140    121.447   6.050  1.05971E+00  9.88065E-01  7.20540E-02
    5630.455    123.762   6.100  1.03132E+00  9.88261E-01  4.32551E-02
    5632.789    126.095   6.150  1.00311E+00  9.88456E-01  1.47079E-02
    5635.141    128.448   6.200  9.77748E-01  9.88652E-01 -1.09287E-02
    5637.513    130.820   6.250  9.56597E-01  9.88848E-01 -3.22889E-02
    5639.904    133.210   6.300  9.39721E-01  9.89043E-01 -4.93243E-02
    5642.314    135.620   6.350  9.26226E-01  9.89239E-01 -6.29447E-02
    5644.742    138.049   6.400  9.14885E-01  9.89435E-01 -7.43859E-02
    5647.190    140.497   6.450  9.04851E-01  9.89630E-01 -8.44975E-02
    5649.657    142.964   6.500  8.96241E-01  9.89826E-01 -9.31697E-02
    5652.143    145.450   6.550  8.88778E-01  9.87886E-01 -9.88636E-02
    5654.648    147.955   6.600  8.86572E-01  9.85947E-01 -9.93255E-02
    5657.173    150.479   6.650  8.92348E-01  9.84007E-01 -9.17955E-02
    5659.716    153.022   6.700  9.08255E-01  9.82067E-01 -7.40698E-02
    5662.278    155.585   6.750  9.34940E-01  9.80127E-01 -4.54350E-02
    5664.859    158.166   6.800  9.70908E-01  9.78188E-01 -7.33424E-03
    5667.459    160.766   6.850  1.01237E+00  9.76248E-01  3.64615E-02
    5670.079    163.386   6.900  1.05367E+00  9.74308E-01  8.02810E-02
    5672.717    166.024   6.950  1.08832E+00  9.72369E-01  1.17528E-01
    5675.375    168.681   7.000  1.11025E+00  9.70429E-01  1.42002E-01
    5678.051    171.358   7.050  1.11512E+00  9.68627E-01  1.49112E-01
    5680.747    174.054   7.100  1.10153E+00  9.66826E-01  1.37428E-01
    5683.461    176.768   7.150  1.07130E+00  9.65025E-01  1.08665E-01
    5686.195    179.502   7.200  1.02914E+00  9.63223E-01  6.75530E-02
    5688.948    182.255   7.250  9.81760E-01  9.61422E-01  2.08909E-02
    5691.720    185.026   7.300  9.36434E-01  9.59620E-01 -2.38707E-02
    5694.510    187.817   7.350  8.99498E-01  9.57819E-01 -6.01796E-02
    5697.320    190.627   7.400  8.75092E-01  9.56017E-01 -8.36962E-02
    5700.149    193.456   7.450  8.64448E-01  9.54216E-01 -9.30543E-02
    5702.997    196.304   7.500  8.65899E-01  9.52415E-01 -8.98896E-02
    5705.864    199.171   7.550  8.76085E-01  9.51190E-01 -7.81607E-02
    5708.750    202.057   7.600  8.89551E-01  9.49966E-01 -6.29746E-02
    5711.655    204.962   7.650  9.01871E-01  9.48742E-01 -4.89359E-02
    5714.579    207.886   7.700  9.10214E-01  9.47517E-01 -3.90104E-02
    5717.523    210.829   7.750  9.14003E-01  9.46293E-01 -3.38232E-02
    5720.485    213.792   7.800  9.14893E-01  9.45069E-01 -3.16605E-02
    5723.466    216.773   7.850  9.16095E-01  9.43845E-01 -2.91624E-02
    5726.467    219.773   7.900  9.21236E-01  9.42620E-01 -2.25099E-02
    5729.486    222.793   7.950  9.33077E-01  9.41396E-01 -8.77144E-03
    5732.524    225.831   8.000  9.52453E-01  9.40172E-01  1.29702E-02
    5735.582    228.889   8.050  9.78029E-01  9.39111E-01  4.11505E-02
    5738.659    231.965   8.100  1.00543E+00  9.38051E-01  7.13271E-02
    5741.754    235.061   8.150  1.02916E+00  9.36991E-01  9.76951E-02
    5744.869    238.176   8.200  1.04361E+00  9.35931E-01  1.14276E-01
    5748.003    241.309   8.250  1.04445E+00  9.34871E-01  1.16433E-01
    5751.155    244.462   8.300  1.02980E+00  9.33810E-01  1.02125E-01
    5754.327    247.634   8.350  1.00087E+00  9.32750E-01  7.25618E-02
    5757.518    250.825   8.400  9.61779E-01  9.31690E-01  3.20894E-02
    5760.728    254.035   8.450  9.18750E-01  9.30630E-01 -1.26855E-02
    5763.957    257.264   8.500  8.78766E-01  9.29569E-01 -5.43141E-02
    5767.205    260.512   8.550  8.47623E-01  9.28035E-01 -8.61125E-02
    5770.472    263.779   8.600  8.30006E-01  9.26501E-01 -1.03506E-01
    5773.758    267.065   8.650  8.27173E-01  9.24967E-01 -1.05074E-01
    5777.063    270.370   8.700  8.37421E-01  9.23433E-01 -9.25690E-02
    5780.387    273.694   8.750  8.56712E-01  9.21899E-01 -7.02729E-02
    5783.731    277.037   8.800  8.79809E-01  9.20365E-01 -4.37932E-02
    5787.093    280.400   8.850  9.01607E-01  9.18831E-01 -1.86296E-02
    5790.474    283.781   8.900  9.18326E-01  9.17297E-01  1.11502E-03
    5793.875    287.181   8.950  9.28253E-01  9.15763E-01  1.35550E-02
    5797.294    290.601   9.000  9.31880E-01  9.14228E-01  1.91885E-02
    5800.733    294.039   9.050  9.31130E-01  9.12353E-01  2.04596E-02
    5804.190    297.497   9.100  9.29390E-01  9.10477E-01  2.06544E-02
    5807.667    300.974   9.150  9.29403E-01  9.08601E-01  2.27704E-02
    5811.163    304.469   9.200  9.32727E-01  9.06725E-01  2.85276E-02
    5814.677    307.984   9.250  9.39216E-01  9.04849E-01  3.77926E-02
    5818.211    311.518   9.300  9.47054E-01  9.02973E-01  4.85866E-02
    5821.764    315.071   9.350  9.53290E-01  9.01098E-01  5.76611E-02
    5825.336    318.642   9.400  9.54729E-01  8.99222E-01  6.14669E-02
    5828.927    322.233   9.450  9.48915E-01  8.97346E-01  5.72388E-02
    5832.537    325.843   9.500  9.34916E-01  8.95470E-01  4.38855E-02
    5836.166    329.472   9.550  9.14030E-01  8.93940E-01  2.23999E-02
    5839.814    333.120   9.600  8.88665E-01  8.92410E-01 -4.18432E-03
    5843.481    336.787   9.650  8.62753E-01  8.90880E-01 -3.14959E-02
    5847.167    340.474   9.700  8.40472E-01  8.89350E-01 -5.48522E-02
    5850.872    344.179   9.750  8.25267E-01  8.87819E-01 -7.03507E-02
    5854.596    347.903   9.800  8.19086E-01  8.86289E-01 -7.57475E-02
    5858.340    351.646   9.850  8.21995E-01  8.84759E-01 -7.08988E-02
    5862.102    355.409   9.900  8.32293E-01  8.83229E-01 -5.76631E-02
    5865.883    359.190   9.950  8.47049E-01  8.81699E-01 -3.93132E-02
    5869.684    362.991  10.000  8.62901E-01  8.80169E-01 -1.96344E-02
