# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  4.9750   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.332 Rnm= 1.385 K  shell
# # Pot 1 Z=62 Rmt= 1.724 Rnm= 1.793
# # Pot 2 Z=27 Rmt= 1.348 Rnm= 1.403
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.727E+01 kf=2.016E+00 Vint=-2.501E+01 Rs_int= 1.799
# # PATH  Rmax= 4.975,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 331.00  Global_sig2= 0.00200
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00973    100.00      2.00     2   2.4012
#           2       0.00973    108.20      2.00     2   2.4013
#           3       0.00993    325.80      2.00     2   2.4562
#           4       0.00993    310.40      2.00     2   2.4562
#           5       0.01028     59.87      1.00     2   2.5616
#           6       0.00908    856.00      2.00     2   3.1428
#           7       0.00908     26.78      1.00     2   3.1428
#           8       0.01070     23.59      4.00     3   3.6019
#           9       0.01085     33.56      4.00     3   3.6569
#          10       0.01085     34.57      4.00     3   3.6568
#          11       0.01085     31.11      4.00     3   3.6568
#          12       0.01085     28.74      4.00     3   3.6569
#          14       0.01278    156.60      2.00     2   4.0551
#          15       0.01283    106.50      2.00     2   4.1591
#          16       0.01283    102.70      2.00     2   4.1591
#          17       0.01284      6.43      2.00     2   4.1911
#          18       0.01284      6.16      2.00     2   4.1911
#          19       0.01284    161.70      2.00     2   4.1911
#          20       0.01284    155.40      2.00     2   4.1911
#          23       0.01268     19.26      4.00     3   4.4808
#          24       0.01268     25.29      4.00     3   4.4808
#          25       0.01268     26.28      4.00     3   4.4808
#          26       0.01265     30.93      4.00     3   4.4838
#          27       0.01265     34.09      4.00     3   4.4838
#          28       0.01265     33.77      4.00     3   4.4838
#          29       0.01271     37.39      4.00     3   4.5243
#          30       0.01271     36.68      4.00     3   4.5243
#          31       0.01271     23.03      4.00     3   4.5243
#          32       0.01271     24.56      4.00     3   4.5243
#          33       0.01271     37.51      4.00     3   4.5243
#          34       0.01271     38.91      4.00     3   4.5243
#          37       0.00979     11.17      1.00     2   4.6270
#          38       0.00979     13.21      1.00     2   4.6270
#          39       0.01295    133.20      2.00     2   4.7128
#          40       0.01295    130.00      2.00     2   4.7127
#          41       0.01295     36.08      2.00     2   4.7128
#          42       0.01295     37.83      2.00     2   4.7127
#          43       0.01296     97.21      2.00     2   4.8025
#          44       0.01296     20.38      2.00     2   4.8025
#          45       0.01296     23.01      2.00     2   4.8025
#          46       0.01296     16.25      2.00     3   4.8025
#          47       0.01296     14.86      2.00     3   4.8025
#          48       0.01296     56.60      4.00     3   4.8025
#          49       0.01296     62.14      4.00     3   4.8025
#          50       0.01296     14.69      2.00     4   4.8025
#          51       0.01296     13.60      2.00     4   4.8025
#          52       0.03293      8.71      2.00     4   4.8025
#          53       0.03293      9.25      2.00     4   4.8025
#          54       0.01296     46.43      2.00     4   4.8025
#          55       0.01296     50.94      2.00     4   4.8025
#          56       0.01292     80.91      4.00     3   4.8126
#          57       0.01292     79.36      4.00     3   4.8126
#          58       0.01292     19.70      4.00     3   4.8126
#          59       0.01292     19.00      4.00     3   4.8126
#          60       0.01298     36.05      2.00     3   4.9124
#          61       0.01298     37.48      2.00     3   4.9124
#          62       0.01298     30.44      2.00     4   4.9124
#          63       0.01298     31.73      2.00     4   4.9124
#          64       0.03371     17.73      2.00     4   4.9124
#          65       0.03371     17.09      2.00     4   4.9124
#          66       0.01296     21.44      2.00     3   4.9629
#    61/  63 paths used
#  xsedge+50, used to normalize mu           2.8787E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7719.066    -17.257   0.050  4.24552E-01  3.33268E-01  1.59379E-01
    7719.095    -17.228   0.100  4.32860E-01  3.38590E-01  1.64229E-01
    7719.142    -17.181   0.150  4.57369E-01  3.54464E-01  1.78109E-01
    7719.209    -17.114   0.200  4.82069E-01  3.70337E-01  1.92139E-01
    7719.295    -17.028   0.250  5.19656E-01  3.94987E-01  2.12143E-01
    7719.400    -16.924   0.300  5.57127E-01  4.19637E-01  2.31537E-01
    7719.523    -16.800   0.350  5.98258E-01  4.48166E-01  2.49238E-01
    7719.666    -16.657   0.400  6.38029E-01  4.76695E-01  2.64226E-01
    7719.828    -16.495   0.450  6.72213E-01  5.03913E-01  2.70993E-01
    7720.009    -16.314   0.500  7.03498E-01  5.31132E-01  2.72945E-01
    7720.209    -16.114   0.550  7.26588E-01  5.55200E-01  2.66248E-01
    7720.428    -15.895   0.600  7.45214E-01  5.79269E-01  2.52994E-01
    7720.666    -15.657   0.650  7.52505E-01  6.00674E-01  2.26751E-01
    7720.924    -15.400   0.700  7.53718E-01  6.22079E-01  1.92663E-01
    7721.200    -15.123   0.750  7.39476E-01  6.41751E-01  1.40005E-01
    7721.495    -14.828   0.800  7.18480E-01  6.61423E-01  8.00519E-02
    7721.809    -14.514   0.850  6.80501E-01  6.79953E-01  7.52910E-04
    7722.143    -14.180   0.900  6.37623E-01  6.98483E-01 -8.18562E-02
    7722.495    -13.828   0.950  5.81038E-01  7.16095E-01 -1.77918E-01
    7722.867    -13.457   1.000  5.25436E-01  7.33707E-01 -2.68844E-01
    7723.257    -13.066   1.050  4.66057E-01  7.50422E-01 -3.59926E-01
    7723.667    -12.656   1.100  4.17628E-01  7.67137E-01 -4.33937E-01
    7724.095    -12.228   1.150  3.80320E-01  7.82819E-01 -4.90752E-01
    7724.543    -11.780   1.200  3.64494E-01  7.98501E-01 -5.19834E-01
    7725.010    -11.313   1.250  3.72030E-01  8.12971E-01 -5.19599E-01
    7725.496    -10.828   1.300  4.05545E-01  8.27440E-01 -4.89245E-01
    7726.000    -10.323   1.350  4.63060E-01  8.40524E-01 -4.31507E-01
    7726.524     -9.799   1.400  5.40822E-01  8.53608E-01 -3.52563E-01
    7727.067     -9.256   1.450  6.31303E-01  8.65176E-01 -2.60419E-01
    7727.629     -8.694   1.500  7.28707E-01  8.76745E-01 -1.62865E-01
    7728.210     -8.113   1.550  8.23958E-01  8.86689E-01 -6.83235E-02
    7728.810     -7.513   1.600  9.12094E-01  8.96633E-01  1.66720E-02
    7729.429     -6.894   1.650  9.87096E-01  9.04937E-01  8.78887E-02
    7730.068     -6.256   1.700  1.04654E+00  9.13241E-01  1.41465E-01
    7730.725     -5.598   1.750  1.08815E+00  9.19919E-01  1.77462E-01
    7731.401     -4.922   1.800  1.11224E+00  9.26597E-01  1.94653E-01
    7732.096     -4.227   1.850  1.11924E+00  9.31729E-01  1.95760E-01
    7732.811     -3.512   1.900  1.11198E+00  9.36862E-01  1.82044E-01
    7733.544     -2.779   1.950  1.09313E+00  9.40472E-01  1.58266E-01
    7734.297     -2.027   2.000  1.06640E+00  9.44082E-01  1.26470E-01
    7735.068     -1.255   2.050  1.03426E+00  9.45869E-01  9.13191E-02
    7735.859     -0.464   2.100  1.00016E+00  9.47656E-01  5.42075E-02
    7736.668      0.345   2.150  9.67234E-01  9.49443E-01  1.83532E-02
    7737.497      1.174   2.200  9.38131E-01  9.51230E-01 -1.35025E-02
    7738.345      2.022   2.250  9.10511E-01  9.50632E-01 -4.14448E-02
    7739.212      2.888   2.300  8.90315E-01  9.50034E-01 -6.18230E-02
    7740.097      3.774   2.350  8.78532E-01  9.49436E-01 -7.35614E-02
    7741.002      4.679   2.400  8.75299E-01  9.48838E-01 -7.64599E-02
    7741.926      5.603   2.450  8.84512E-01  9.52807E-01 -7.10510E-02
    7742.869      6.546   2.500  8.99898E-01  9.56775E-01 -5.92087E-02
