# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  4.9750   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.361 Rnm= 1.422 K  shell
# # Pot 1 Z=62 Rmt= 1.691 Rnm= 1.762
# # Pot 2 Z=27 Rmt= 1.397 Rnm= 1.464
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.567E+01 kf=1.922E+00 Vint=-2.247E+01 Rs_int= 1.887
# # PATH  Rmax= 4.975,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 331.00  Global_sig2= 0.00200
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00898    100.00      1.00     2   2.2709
#           2       0.01002    131.10      1.00     2   2.5616
#           3       0.01002     12.29      1.00     2   2.5616
#           4       0.01002     12.01      1.00     2   2.5616
#           5       0.01002     49.01      1.00     2   2.5616
#           6       0.01002     20.81      1.00     2   2.5616
#           7       0.01002     45.66      1.00     2   2.5616
#           8       0.00863     83.95      1.00     2   2.9197
#           9       0.01127     77.53      1.00     2   2.9962
#          10       0.01127     75.60      1.00     2   2.9962
#          11       0.01127      5.86      1.00     2   2.9962
#          12       0.01127      6.47      1.00     2   2.9962
#          13       0.01127      6.73      1.00     2   2.9962
#          14       0.01127      7.15      1.00     2   2.9962
#          17       0.01082     14.01      2.00     3   3.7623
#          18       0.01082     13.63      2.00     3   3.7623
#          21       0.01267     55.52      1.00     2   3.9712
#          22       0.01267     34.24      1.00     2   3.9712
#          24       0.01267     33.23      1.00     2   3.9712
#          25       0.01267      5.64      1.00     2   3.9712
#          26       0.01267      6.09      1.00     2   3.9712
#          27       0.01271     47.84      1.00     2   4.0265
#          28       0.01271     47.08      1.00     2   4.0265
#          31       0.01271     13.93      1.00     2   4.0265
#          32       0.01271     13.09      1.00     2   4.0265
#          35       0.01281     25.94      1.00     2   4.2537
#          36       0.01281     25.19      1.00     2   4.2537
#          37       0.01281      8.20      1.00     2   4.2537
#          38       0.01281      8.64      1.00     2   4.2537
#          39       0.01243      8.37      2.00     3   4.4019
#          40       0.01243     10.07      2.00     3   4.4019
#          43       0.01243      6.59      2.00     3   4.4019
#          44       0.01243      6.77      2.00     3   4.4019
#          45       0.01243     11.24      2.00     3   4.4019
#          47       0.01243      7.65      2.00     3   4.4019
#          48       0.01243      7.49      2.00     3   4.4019
#          51       0.02991      6.00      1.00     4   4.5417
#          52       0.01266      7.29      2.00     3   4.6083
#          53       0.01266      7.16      2.00     3   4.6083
#          60       0.01266      5.69      2.00     3   4.6083
#          61       0.01266      5.50      2.00     3   4.6083
#          64       0.01171     13.02      2.00     3   4.8595
#          65       0.01171     12.85      2.00     3   4.8595
#          68       0.01171      5.90      2.00     3   4.8594
#          69       0.01171      5.72      2.00     3   4.8595
#          70       0.00981     35.72      1.00     2   4.9349
#          73       0.00981     12.50      1.00     2   4.9349
#          74       0.00981     12.27      1.00     2   4.9349
#          75       0.00981     11.34      1.00     2   4.9349
#          76       0.01290      8.27      2.00     3   4.9629
#    50/  54 paths used
#  xsedge+50, used to normalize mu           2.8687E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7718.272    -15.658   0.050 -5.85172E-03  3.44410E-01 -6.00461E-01
    7718.300    -15.629   0.100  2.04061E-03  3.49913E-01 -5.94825E-01
    7718.348    -15.582   0.150  2.62081E-02  3.66347E-01 -5.77180E-01
    7718.415    -15.515   0.200  5.19018E-02  3.82780E-01 -5.57231E-01
    7718.500    -15.429   0.250  9.44083E-02  4.08382E-01 -5.22307E-01
    7718.605    -15.324   0.300  1.40082E-01  4.33984E-01 -4.83020E-01
    7718.729    -15.201   0.350  2.00092E-01  4.63833E-01 -4.26440E-01
    7718.872    -15.058   0.400  2.63988E-01  4.93681E-01 -3.65478E-01
    7719.034    -14.896   0.450  3.37418E-01  5.22501E-01 -2.88808E-01
    7719.215    -14.715   0.500  4.13423E-01  5.51320E-01 -2.11101E-01
    7719.415    -14.515   0.550  4.92735E-01  5.77173E-01 -1.26486E-01
    7719.634    -14.296   0.600  5.70887E-01  6.03026E-01 -4.71306E-02
    7719.872    -14.058   0.650  6.44289E-01  6.26315E-01  2.57578E-02
    7720.129    -13.800   0.700  7.10806E-01  6.49604E-01  8.57600E-02
    7720.405    -13.524   0.750  7.62972E-01  6.71137E-01  1.25714E-01
    7720.701    -13.229   0.800  8.01339E-01  6.92669E-01  1.45401E-01
    7721.015    -12.915   0.850  8.16886E-01  7.12895E-01  1.35998E-01
    7721.348    -12.581   0.900  8.14531E-01  7.33120E-01  1.04116E-01
    7721.701    -12.229   0.950  7.88328E-01  7.52142E-01  4.52887E-02
    7722.072    -11.857   1.000  7.48255E-01  7.71165E-01 -2.80723E-02
    7722.463    -11.467   1.050  6.95129E-01  7.88875E-01 -1.12616E-01
    7722.872    -11.057   1.100  6.41013E-01  8.06585E-01 -1.95069E-01
    7723.301    -10.629   1.150  5.91754E-01  8.22769E-01 -2.67415E-01
    7723.749    -10.181   1.200  5.55868E-01  8.38952E-01 -3.22063E-01
    7724.215     -9.714   1.250  5.37311E-01  8.53377E-01 -3.54171E-01
    7724.701     -9.228   1.300  5.38771E-01  8.67801E-01 -3.63228E-01
    7725.206     -8.724   1.350  5.58678E-01  8.80299E-01 -3.50610E-01
    7725.730     -8.200   1.400  5.95566E-01  8.92797E-01 -3.20020E-01
    7726.273     -7.657   1.450  6.44354E-01  9.03254E-01 -2.75970E-01
    7726.835     -7.095   1.500  7.02047E-01  9.13712E-01 -2.23392E-01
    7727.416     -6.514   1.550  7.63729E-01  9.22109E-01 -1.65898E-01
    7728.016     -5.914   1.600  8.26618E-01  9.30507E-01 -1.08007E-01
    7728.635     -5.295   1.650  8.87583E-01  9.36918E-01 -5.10207E-02
    7729.273     -4.656   1.700  9.44671E-01  9.43330E-01  1.37928E-03
    7729.930     -3.999   1.750  9.96172E-01  9.47886E-01  4.95152E-02
    7730.606     -3.323   1.800  1.04085E+00  9.52441E-01  9.03706E-02
    7731.302     -2.628   1.850  1.07731E+00  9.55320E-01  1.24515E-01
    7732.016     -1.913   1.900  1.10487E+00  9.58198E-01  1.49485E-01
    7732.750     -1.180   1.950  1.12133E+00  9.59498E-01  1.64942E-01
    7733.502     -0.427   2.000  1.12724E+00  9.60797E-01  1.69652E-01
    7734.274      0.344   2.050  1.12037E+00  9.60401E-01  1.63375E-01
    7735.064      1.135   2.100  1.10260E+00  9.60006E-01  1.45918E-01
    7735.874      1.944   2.150  1.07576E+00  9.59610E-01  1.19092E-01
