# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  4.8500   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.298 Rnm= 1.338 K  shell
# # Pot 1 Z=62 Rmt= 1.615 Rnm= 1.639
# # Pot 2 Z=27 Rmt= 1.307 Rnm= 1.347
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.892E+01 kf=2.156E+00 Vint=-2.995E+01 Rs_int= 1.682
# # PATH  Rmax= 4.850,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 275.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.01076    100.00      1.00     2   2.2371
#           2       0.01200    245.50      3.00     2   2.4786
#           3       0.01225    235.20      3.00     2   2.5318
#           4       0.01236    461.70      6.00     2   2.5552
#           5       0.00971     89.73      1.00     2   2.7986
#           6       0.01335     51.95     12.00     3   3.6721
#           7       0.01335     49.97     12.00     3   3.6720
#           8       0.01337     32.90     12.00     3   3.6737
#           9       0.01339     28.65      6.00     3   3.6797
#          10       0.01355     24.38      6.00     3   3.7278
#          11       0.01364     42.59     12.00     3   3.7556
#          12       0.01541     92.07      3.00     2   3.8609
#          13       0.01548     85.10      3.00     2   3.9889
#          14       0.01551    163.60      6.00     2   4.0539
#          15       0.01553    159.70      6.00     2   4.0950
#          16       0.01183     12.35      6.00     3   4.1328
#          17       0.01179     10.40      6.00     3   4.1612
#          18       0.01523     16.74      6.00     3   4.2883
#          19       0.01523     25.58      6.00     3   4.2883
#          20       0.01533     42.98     12.00     3   4.3632
#          21       0.01536     16.70      6.00     3   4.3789
#          22       0.01536     24.49      6.00     3   4.3789
#          23       0.01541     23.60     12.00     3   4.4157
#          24       0.01541     49.58     12.00     3   4.4215
#          25       0.01544     49.15     12.00     3   4.4537
#          26       0.04303      6.29      1.00     4   4.4741
#          27       0.01549     33.03     10.00     3   4.4842
#          28       0.01549     44.36     12.00     3   4.4951
#          29       0.01550     13.51      6.00     3   4.4981
#          30       0.01553     22.86     12.00     3   4.5003
#          31       0.01556     38.24     12.00     3   4.5430
#          32       0.01557     11.99      6.00     3   4.5441
#          33       0.01558     22.63     12.00     3   4.5448
#          34       0.01559     37.68     12.00     3   4.5753
#          35       0.02002      6.00      6.00     4   4.7688
#          36       0.02783      9.57      6.00     4   4.7890
#          37       0.01985     10.03      6.00     4   4.7890
#          38       0.02782      9.15      6.00     4   4.7922
#          39       0.02782     15.79     12.00     4   4.7922
#          40       0.01121    165.90      6.00     2   4.7961
#          41       0.02794      9.76      6.00     4   4.8043
#          42       0.02822      9.39      6.00     4   4.8123
#          43       0.01981      9.98      6.00     4   4.8123
#          44       0.01573     25.29      6.00     3   4.8345
#    44/  44 paths used
#  xsedge+50, used to normalize mu           2.9295E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7720.375    -18.913   0.050  1.96144E-01  3.17733E-01 -2.14273E-01
    7720.404    -18.884   0.100  2.06764E-01  3.22868E-01 -2.04316E-01
    7720.451    -18.836   0.150  2.37988E-01  3.37993E-01 -1.75249E-01
    7720.518    -18.770   0.200  2.69233E-01  3.53120E-01 -1.46390E-01
    7720.604    -18.684   0.250  3.18376E-01  3.76425E-01 -1.00609E-01
    7720.708    -18.579   0.300  3.67090E-01  3.99731E-01 -5.61878E-02
    7720.832    -18.455   0.350  4.26681E-01  4.26262E-01  7.13486E-04
    7720.975    -18.312   0.400  4.84196E-01  4.52794E-01  5.30608E-02
    7721.137    -18.151   0.450  5.41937E-01  4.77394E-01  1.07816E-01
    7721.318    -17.970   0.500  5.93497E-01  5.01994E-01  1.51127E-01
    7721.518    -17.770   0.550  6.32438E-01  5.22885E-01  1.78550E-01
    7721.737    -17.550   0.600  6.60035E-01  5.43775E-01  1.87009E-01
    7721.975    -17.312   0.650  6.71777E-01  5.61625E-01  1.74581E-01
    7722.232    -17.055   0.700  6.71966E-01  5.79475E-01  1.44469E-01
    7722.509    -16.779   0.750  6.60691E-01  5.95391E-01  1.00390E-01
    7722.804    -16.484   0.800  6.39888E-01  6.11308E-01  4.32578E-02
    7723.118    -16.169   0.850  6.09647E-01  6.26111E-01 -2.45087E-02
    7723.452    -15.836   0.900  5.73310E-01  6.40914E-01 -9.90073E-02
    7723.804    -15.484   0.950  5.31150E-01  6.55052E-01 -1.78408E-01
    7724.176    -15.112   1.000  4.88567E-01  6.69191E-01 -2.55782E-01
    7724.566    -14.722   1.050  4.46623E-01  6.82898E-01 -3.28967E-01
    7724.976    -14.312   1.100  4.11345E-01  6.96604E-01 -3.90606E-01
    7725.404    -13.883   1.150  3.84089E-01  7.09939E-01 -4.38824E-01
    7725.852    -13.436   1.200  3.69679E-01  7.23274E-01 -4.68456E-01
    7726.319    -12.969   1.250  3.68526E-01  7.36199E-01 -4.79336E-01
    7726.804    -12.483   1.300  3.82918E-01  7.49124E-01 -4.69926E-01
    7727.309    -11.978   1.350  4.11453E-01  7.61579E-01 -4.42478E-01
    7727.833    -11.455   1.400  4.53730E-01  7.74033E-01 -3.98744E-01
    7728.376    -10.912   1.450  5.06832E-01  7.85890E-01 -3.42472E-01
    7728.938    -10.350   1.500  5.68592E-01  7.97747E-01 -2.77297E-01
    7729.519     -9.769   1.550  6.35921E-01  8.08900E-01 -2.06588E-01
    7730.119     -9.169   1.600  7.05944E-01  8.20052E-01 -1.34523E-01
    7730.738     -8.549   1.650  7.76464E-01  8.30397E-01 -6.28326E-02
    7731.376     -7.911   1.700  8.44591E-01  8.40742E-01  4.43131E-03
    7732.034     -7.254   1.750  9.08985E-01  8.50184E-01  6.69963E-02
    7732.710     -6.578   1.800  9.67055E-01  8.59627E-01  1.21135E-01
    7733.405     -5.882   1.850  1.01790E+00  8.68081E-01  1.67398E-01
    7734.120     -5.168   1.900  1.05937E+00  8.76534E-01  2.02437E-01
    7734.853     -4.435   1.950  1.09056E+00  8.83909E-01  2.27047E-01
