# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=26 Rmt= 1.362 Rnm= 1.416 K  shell
# # Pot 1 Z=57 Rmt= 1.829 Rnm= 1.829
# # Pot 2 Z=14 Rmt= 1.357 Rnm= 1.411
# # Pot 3 Z=26 Rmt= 1.368 Rnm= 1.423
# # Gam_ch=1.309E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.669E+01 kf=2.095E+00 Vint=-2.549E+01 Rs_int= 1.731
# # PATH  Rmax= 5.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      2.00     2   2.3791
#           2       0.00000     46.37      1.00     2   2.4720
#           3       0.00000    173.90      4.00     2   2.5539
#           4       0.00000     85.60      2.00     2   2.5743
#           5       0.00000     36.29      1.00     2   2.7951
#           6       0.00000     77.56      2.00     2   3.3214
#           7       0.00000     24.44      1.00     2   3.3646
#           8       0.00000     17.91      8.00     3   3.7489
#           9       0.00000     10.44      4.00     3   3.7537
#          10       0.00000     16.89      1.00     2   3.9444
#          11       0.00000      8.46      4.00     3   4.0614
#          12       0.00000     15.57      1.00     2   4.0780
#          13       0.00000     30.50      2.00     2   4.1128
#          14       0.00000     22.80      2.00     2   4.1302
#          15       0.00000     21.49      2.00     2   4.2146
#          16       0.00000     28.71      2.00     2   4.2146
#          17       0.00000     56.80      4.00     2   4.2333
#          18       0.00000      6.13      4.00     3   4.5229
#          19       0.00000      9.16      4.00     3   4.5229
#          20       0.00000      9.35      4.00     3   4.5229
#          21       0.00000     17.12      2.00     2   4.5500
#          22       0.00000     23.67      2.00     2   4.5500
#          23       0.00000     35.27      3.00     2   4.5615
#          24       0.00000     11.76      1.00     2   4.5615
#          25       0.00000      6.49      4.00     3   4.5738
#          26       0.00000     18.95      8.00     3   4.5886
#          27       0.00000      5.29      4.00     3   4.6705
#          28       0.00000     15.80      8.00     3   4.6705
#          29       0.00000      5.14      4.00     3   4.6714
#          30       0.00000     10.35      4.00     3   4.7415
#          32       0.00000      6.40      2.00     3   4.7415
#          34       0.00000      6.66      2.00     3   4.7415
#          35       0.00000     10.07      4.00     3   4.7575
#          36       0.00000      6.25      2.00     3   4.7575
#          37       0.00000      6.25      2.00     3   4.7575
#          38       0.00000     13.06      4.00     3   4.7575
#          39       0.00000      6.39      2.00     4   4.7583
#          40       0.00000     10.38      1.00     2   4.7861
#          41       0.00000     10.40      2.00     3   4.8186
#          42       0.00000     16.55      2.00     3   4.8186
#          43       0.00000      6.89      2.00     4   4.8511
#          44       0.00000      7.02      1.00     4   4.8511
#          46       0.00000      9.54      1.00     2   4.9439
#          47       0.00000     24.06      2.00     3   4.9439
#          49       0.00000     19.55      1.00     4   4.9439
#          51       0.00000      6.01      8.00     4   5.0258
#          52       0.00000     35.93      4.00     2   5.0572
#          53       0.00000     17.03      4.00     3   5.0927
#          54       0.00000     26.52      4.00     3   5.0927
#          55       0.00000     26.47      4.00     3   5.0927
#          56       0.00000      9.45      4.00     4   5.1077
#          57       0.00000     17.33      2.00     2   5.1264
#          58       0.00000     10.58      4.00     4   5.1282
#          59       0.00000     10.59      2.00     4   5.1282
#          60       0.00000     10.55      2.00     4   5.1282
#          61       0.00000      4.57      2.00     4   5.1487
#          62       0.00000      8.66      2.00     3   5.1503
#          63       0.00000     15.45      2.00     3   5.1503
#          64       0.00000     14.87      2.00     3   5.1503
#          65       0.00000      6.11      2.00     4   5.1742
#          66       0.00000      7.83      1.00     4   5.1742
#          67       0.00000      7.20      1.00     4   5.1742
#          68       0.00000     27.13      2.00     2   5.2000
#          69       0.00000     31.59      4.00     2   5.3062
#          70       0.00000      4.71      4.00     3   5.3768
#    65/  70 paths used
#  xsedge+50, used to normalize mu           3.1781E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7120.771    -16.687   0.000  2.42355E-01  3.19770E-01 -1.35749E-01
    7120.780    -16.677   0.050  2.46501E-01  3.25513E-01 -1.38297E-01
    7120.809    -16.649   0.100  2.50767E-01  3.31255E-01 -1.40625E-01
    7120.856    -16.601   0.150  2.63996E-01  3.48184E-01 -1.46293E-01
    7120.923    -16.534   0.200  2.78146E-01  3.65113E-01 -1.50308E-01
    7121.009    -16.449   0.250  3.00806E-01  3.90894E-01 -1.54343E-01
    7121.114    -16.344   0.300  3.25214E-01  4.16676E-01 -1.55338E-01
    7121.237    -16.220   0.350  3.52680E-01  4.45314E-01 -1.55486E-01
    7121.380    -16.077   0.400  3.81773E-01  4.73953E-01 -1.52929E-01
    7121.542    -15.915   0.450  4.06660E-01  5.00024E-01 -1.52687E-01
    7121.723    -15.734   0.500  4.31837E-01  5.26096E-01 -1.51984E-01
    7121.923    -15.534   0.550  4.48406E-01  5.48303E-01 -1.58449E-01
    7122.142    -15.315   0.600  4.63404E-01  5.70509E-01 -1.67159E-01
    7122.380    -15.077   0.650  4.68214E-01  5.89830E-01 -1.86436E-01
    7122.638    -14.820   0.700  4.69935E-01  6.09150E-01 -2.09695E-01
    7122.914    -14.544   0.750  4.59589E-01  6.26731E-01 -2.47064E-01
    7123.209    -14.248   0.800  4.44947E-01  6.44312E-01 -2.89299E-01
    7123.523    -13.934   0.850  4.12707E-01  6.60863E-01 -3.53251E-01
    7123.857    -13.601   0.900  3.80139E-01  6.77413E-01 -4.15277E-01
    7124.209    -13.248   0.950  3.55324E-01  6.93273E-01 -4.63158E-01
    7124.581    -12.877   1.000  3.43107E-01  7.09132E-01 -4.92317E-01
    7124.971    -12.486   1.050  3.43815E-01  7.24371E-01 -5.02463E-01
    7125.381    -12.077   1.100  3.57618E-01  7.39611E-01 -4.95265E-01
    7125.809    -11.648   1.150  3.81482E-01  7.54184E-01 -4.74775E-01
    7126.257    -11.200   1.200  4.16352E-01  7.68758E-01 -4.41209E-01
    7126.724    -10.734   1.250  4.59959E-01  7.82541E-01 -3.97303E-01
    7127.209    -10.248   1.300  5.09741E-01  7.96323E-01 -3.47319E-01
    7127.714     -9.743   1.350  5.62868E-01  8.09174E-01 -2.94077E-01
    7128.238     -9.219   1.400  6.16506E-01  8.22025E-01 -2.41791E-01
    7128.781     -8.676   1.450  6.68370E-01  8.33786E-01 -1.92030E-01
    7129.343     -8.114   1.500  7.17731E-01  8.45547E-01 -1.46440E-01
    7129.924     -7.533   1.550  7.64072E-01  8.56104E-01 -1.04223E-01
    7130.524     -6.933   1.600  8.08396E-01  8.66661E-01 -6.52282E-02
    7131.143     -6.314   1.650  8.51621E-01  8.75931E-01 -2.69476E-02
    7131.781     -5.676   1.700  8.94067E-01  8.85200E-01  9.73306E-03
    7132.439     -5.019   1.750  9.37016E-01  8.93128E-01  4.77850E-02
    7133.115     -4.342   1.800  9.77144E-01  9.01056E-01  8.21796E-02
    7133.810     -3.647   1.850  1.01565E+00  9.07622E-01  1.15924E-01
    7134.525     -2.933   1.900  1.04716E+00  9.14187E-01  1.41788E-01
    7135.258     -2.199   1.950  1.07100E+00  9.19360E-01  1.60913E-01
    7136.011     -1.447   2.000  1.08318E+00  9.24533E-01  1.67535E-01
    7136.782     -0.675   2.050  1.08118E+00  9.27884E-01  1.61451E-01
    7137.573      0.115   2.100  1.06535E+00  9.31235E-01  1.40876E-01
    7138.382      0.925   2.150  1.03854E+00  9.34586E-01  1.08913E-01
    7139.211      1.754   2.200  1.00512E+00  9.37938E-01  7.01977E-02
    7140.059      2.601   2.250  9.63433E-01  9.38333E-01  2.62526E-02
    7140.925      3.468   2.300  9.25743E-01  9.38728E-01 -1.35941E-02
    7141.811      4.354   2.350  8.97842E-01  9.39123E-01 -4.32590E-02
    7142.716      5.259   2.400  8.83154E-01  9.39518E-01 -5.91221E-02
    7143.640      6.183   2.450  8.86584E-01  9.42658E-01 -5.87783E-02
    7144.583      7.126   2.500  8.99926E-01  9.45799E-01 -4.80534E-02
    7145.545      8.088   2.550  9.18674E-01  9.48939E-01 -3.16821E-02
    7146.526      9.069   2.600  9.38190E-01  9.52079E-01 -1.45302E-02
