# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=39 Rmt= 0.724 Rnm= 0.980 K  shell
# # Pot 1 Z=27 Rmt= 0.745 Rnm= 0.954
# # Pot 2 Z=39 Rmt= 0.724 Rnm= 0.980
# # Gam_ch=4.375E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.557E+01 kf=3.565E+00 Vint=-5.143E+01 Rs_int= 1.017
# # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      2.00     2   1.2433
#           2       0.00000     18.93      2.00     3   2.4866
#           3       0.00000     40.22      2.00     4   2.4866
#           4       0.00000     24.12      2.00     4   2.4866
#           5       0.00000     38.18      6.00     2   2.7944
#           6       0.00000     12.42      2.00     2   2.8197
#           7       0.00000     53.87      4.00     3   2.8197
#           8       0.00000     59.49      2.00     4   2.8197
#           9       0.00000     54.77     12.00     2   3.1596
#          10       0.00000     18.31     24.00     3   3.4740
#          11       0.00000      5.42     24.00     3   3.5481
#          13       0.00000     17.77      4.00     6   3.7298
#          14       0.00000      8.73      4.00     5   3.7298
#          15       0.00000     14.20      4.00     5   3.7298
#          16       0.00000     20.12      2.00     6   3.7298
#          17       0.00000      6.15      2.00     6   3.7298
#          18       0.00000      5.47     24.00     4   4.0377
#          19       0.00000      4.53      2.00     2   4.0630
#          20       0.00000      5.80      4.00     3   4.0630
#          21       0.00000     18.01      4.00     3   4.0630
#          22       0.00000     15.86      4.00     3   4.0630
#          23       0.00000      9.06      4.00     4   4.0630
#          24       0.00000     13.72      4.00     4   4.0630
#          25       0.00000     11.93      4.00     4   4.0630
#          27       0.00000     31.95      4.00     4   4.0630
#          28       0.00000     18.53      2.00     4   4.0630
#          29       0.00000     32.94      4.00     4   4.0630
#          30       0.00000     19.78      2.00     4   4.0630
#          31       0.00000     35.65      4.00     6   4.0630
#          32       0.00000     14.90      4.00     5   4.0630
#          33       0.00000     19.02      4.00     5   4.0630
#          34       0.00000     27.10      4.00     5   4.0630
#          35       0.00000      8.65      4.00     5   4.0630
#          36       0.00000      8.47      4.00     5   4.0630
#          37       0.00000     66.51      4.00     5   4.0630
#          38       0.00000     77.48      4.00     5   4.0630
#          39       0.00000     18.32      4.00     6   4.0630
#          40       0.00000     76.70      2.00     6   4.0630
#          41       0.00000      9.67     48.00     3   4.2098
#          42       0.00000      8.55     24.00     3   4.2374
#          43       0.00000      4.38     24.00     3   4.2623
#          44       0.00000      7.49     24.00     4   4.2622
#          46       0.00000      5.29     24.00     3   4.3696
#          47       0.00000      5.36      4.00     5   4.3962
#          48       0.00000      5.82      2.00     6   4.3962
#          49       0.00000      8.38     24.00     4   4.4029
#          50       0.00000      7.86     24.00     4   4.4029
#          51       0.00000     17.63     12.00     2   4.6579
#          52       0.00000     10.03     24.00     5   4.7173
#          54       0.00000      8.23      6.00     2   4.8400
#          55       0.00000     14.74     12.00     2   4.9312
#          56       0.00000      5.03     24.00     3   4.9589
#          57       0.00000      4.30      4.00     8   4.9731
#          59       0.00000      9.98      2.00     8   4.9731
#          61       0.00000      6.31      4.00     7   4.9731
#          67       0.00000      4.40      2.00     8   4.9731
#          68       0.00000      8.62      4.00     8   4.9731
#          69       0.00000     14.13     12.00     2   4.9971
#    58/  65 paths used
#  xsedge+50, used to normalize mu           1.0317E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   17070.884    -15.574   0.000  1.15128E+00  5.42502E-01  5.57721E-01
   17070.894    -15.564   0.050  1.15181E+00  5.45550E-01  5.55483E-01
   17070.922    -15.536   0.100  1.15232E+00  5.48598E-01  5.53235E-01
   17070.970    -15.488   0.150  1.15375E+00  5.57655E-01  5.46491E-01
   17071.037    -15.421   0.200  1.15510E+00  5.66711E-01  5.39662E-01
   17071.122    -15.336   0.250  1.15717E+00  5.81590E-01  5.28266E-01
   17071.227    -15.231   0.300  1.15902E+00  5.96468E-01  5.16654E-01
   17071.351    -15.107   0.350  1.16101E+00  6.16550E-01  5.00486E-01
   17071.494    -14.964   0.400  1.16268E+00  6.36631E-01  4.83993E-01
   17071.656    -14.802   0.450  1.16302E+00  6.60544E-01  4.62864E-01
   17071.837    -14.621   0.500  1.16302E+00  6.84457E-01  4.41369E-01
   17072.037    -14.421   0.550  1.15979E+00  7.09968E-01  4.15431E-01
   17072.256    -14.202   0.600  1.15634E+00  7.35480E-01  3.89230E-01
   17072.494    -13.964   0.650  1.14772E+00  7.60256E-01  3.58920E-01
   17072.751    -13.707   0.700  1.13926E+00  7.85031E-01  3.28661E-01
   17073.027    -13.431   0.750  1.12439E+00  8.07188E-01  2.94844E-01
   17073.323    -13.135   0.800  1.11031E+00  8.29345E-01  2.61631E-01
   17073.637    -12.821   0.850  1.08983E+00  8.48001E-01  2.25642E-01
   17073.970    -12.488   0.900  1.07098E+00  8.66656E-01  1.91039E-01
   17074.323    -12.135   0.950  1.04792E+00  8.81682E-01  1.55759E-01
   17074.694    -11.764   1.000  1.02516E+00  8.96708E-01  1.20618E-01
   17075.085    -11.373   1.050  9.99900E-01  9.08520E-01  8.59994E-02
   17075.494    -10.964   1.100  9.78331E-01  9.20333E-01  5.47071E-02
   17075.923    -10.535   1.150  9.54837E-01  9.29415E-01  2.40364E-02
   17076.371    -10.087   1.200  9.36274E-01  9.38498E-01 -2.10778E-03
   17076.837     -9.621   1.250  9.17504E-01  9.45356E-01 -2.64628E-02
   17077.323     -9.135   1.300  9.04592E-01  9.52214E-01 -4.53601E-02
   17077.828     -8.630   1.350  8.93055E-01  9.57298E-01 -6.13447E-02
   17078.352     -8.106   1.400  8.87610E-01  9.62383E-01 -7.15785E-02
   17078.895     -7.563   1.450  8.85022E-01  9.66121E-01 -7.78322E-02
   17079.457     -7.001   1.500  8.88535E-01  9.69859E-01 -7.82482E-02
   17080.038     -6.420   1.550  8.95578E-01  9.72487E-01 -7.41912E-02
   17080.638     -5.820   1.600  9.08232E-01  9.75116E-01 -6.46857E-02
   17081.257     -5.201   1.650  9.24566E-01  9.76907E-01 -5.07502E-02
   17081.895     -4.563   1.700  9.45446E-01  9.78699E-01 -3.23240E-02
   17082.552     -3.906   1.750  9.69439E-01  9.79856E-01 -1.01520E-02
   17083.229     -3.229   1.800  9.96358E-01  9.81013E-01  1.49912E-02
   17083.924     -2.534   1.850  1.02511E+00  9.81654E-01  4.25533E-02
   17084.638     -1.820   1.900  1.05507E+00  9.82295E-01  7.14416E-02
   17085.372     -1.086   1.950  1.08486E+00  9.82603E-01  1.00623E-01
   17086.124     -0.334   2.000  1.11393E+00  9.82910E-01  1.29225E-01
   17086.896      0.438   2.050  1.13936E+00  9.82805E-01  1.54732E-01
   17087.686      1.228   2.100  1.16273E+00  9.82699E-01  1.78314E-01
   17088.496      2.038   2.150  1.18289E+00  9.82594E-01  1.98802E-01
   17089.325      2.867   2.200  1.19871E+00  9.82489E-01  2.15062E-01
   17090.172      3.714   2.250  1.20803E+00  9.82165E-01  2.25063E-01
   17091.039      4.581   2.300  1.21152E+00  9.81840E-01  2.29282E-01
   17091.925      5.467   2.350  1.20916E+00  9.81516E-01  2.27661E-01
