# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  4.9500   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.297 Rnm= 1.348 K  shell
# # Pot 1 Z=62 Rmt= 1.648 Rnm= 1.672
# # Pot 2 Z=27 Rmt= 1.323 Rnm= 1.375
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.814E+01 kf=2.109E+00 Vint=-2.760E+01 Rs_int= 1.720
# # PATH  Rmax= 7.920,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 275.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.01115    100.00      4.00     2   2.3580
#           2       0.01128     98.05      4.00     2   2.3818
#           3       0.01200     43.48      2.00     2   2.5297
#           4       0.01020     41.50      2.00     2   3.1081
#           5       0.01282      7.28      8.00     3   3.6071
#           6       0.01536     33.73      4.00     2   3.8760
#           7       0.01541     16.21      2.00     2   3.9405
#           8       0.01544     15.65      2.00     2   3.9979
#           9       0.01551     29.04      4.00     2   4.1223
#          10       0.01509      9.69      8.00     3   4.2648
#          11       0.01523      9.23      8.00     3   4.3570
#          12       0.01524      6.49      8.00     3   4.3671
#          14       0.01528      6.72      8.00     3   4.3913
#          15       0.01535      9.43      8.00     3   4.4429
#          16       0.01563     23.39      4.00     2   4.4963
#          17       0.01563     23.26      4.00     2   4.5065
#          18       0.01541      5.87      8.00     3   4.5126
#          19       0.01544      5.86      8.00     3   4.5455
#          20       0.01116     35.07      4.00     2   4.5814
#          21       0.01559     10.74      8.00     3   4.7082
#          22       0.01560     10.31      8.00     3   4.7150
#          23       0.01569     11.59      4.00     3   4.7161
#          24       0.01569     11.28      4.00     4   4.7161
#          25       0.04461      5.68      4.00     4   4.7161
#          26       0.01570     10.14      2.00     2   4.7546
#          27       0.01570     11.19      4.00     3   4.7636
#          28       0.01570     10.81      4.00     4   4.7636
#          29       0.04510      5.43      4.00     4   4.7636
#          30       0.01570     20.14      4.00     2   4.7672
#          31       0.01570     40.70      8.00     3   4.7806
#          32       0.01586     25.19      4.00     4   4.7939
#          33       0.01571     19.82      4.00     2   4.7962
#          34       0.01570     37.20      8.00     3   4.8142
#          35       0.01592     20.56      4.00     4   4.8323
#          36       0.01573      4.63      4.00     3   4.9341
#          37       0.01163     10.36      8.00     3   4.9437
#          38       0.01577     17.88      4.00     2   4.9890
#          39       0.01172      5.16      8.00     3   5.0504
#          40       0.01580      4.51      2.00     3   5.0594
#          41       0.01580      4.18      2.00     4   5.0594
#          43       0.01579     13.29      8.00     3   5.0633
#          44       0.01173      5.06      8.00     3   5.0736
#          46       0.01597      7.21      2.00     2   5.4072
#          47       0.01601     13.88      4.00     2   5.4849
#          48       0.01557      6.97      4.00     3   5.6858
#          49       0.01618     24.48      8.00     2   5.7425
#          50       0.01561     11.80      8.00     3   5.7932
#          51       0.01588     13.41      8.00     3   5.9793
#          53       0.01638      4.56      8.00     3   5.9883
#          54       0.01646      5.21      8.00     3   6.0983
#          56       0.01645      5.16      2.00     2   6.1026
#          57       0.01645     22.77      4.00     3   6.1032
#          58       0.01646     25.20      2.00     4   6.1039
#          59       0.01646     10.28      4.00     2   6.1124
#          60       0.01646      5.97      8.00     3   6.1127
#          61       0.01647      4.86      8.00     3   6.1231
#          62       0.01647     10.22      4.00     2   6.1258
#          63       0.01656      4.28      8.00     3   6.2047
#          64       0.00648      5.64      2.00     3   6.2162
#          67       0.01742      4.16      4.00     4   6.2162
#          68       0.01655      4.67      8.00     3   6.2358
#          69       0.01656      5.72      8.00     3   6.2409
#          70       0.01656      4.76      8.00     3   6.2409
#          71       0.01657      9.62      4.00     2   6.2564
#          73       0.01658      4.05      8.00     3   6.2737
#          74       0.01660      9.45      4.00     2   6.2976
#          75       0.01661      9.41      4.00     2   6.3071
#          76       0.01661      4.68      2.00     2   6.3195
#          77       0.01662      8.44      8.00     3   6.3196
#          78       0.01662      9.31      4.00     2   6.3290
#          79       0.01664      9.20      4.00     2   6.3550
#          80       0.01668      5.52      8.00     3   6.4008
#          81       0.01668      4.66      8.00     3   6.4008
#          82       0.01668      4.86      8.00     3   6.4129
#          83       0.01182      7.28      2.00     2   6.4518
#          84       0.01672      4.87      8.00     3   6.4581
#          85       0.01677      4.44      8.00     3   6.5035
#    77/  83 paths used
#  xsedge+50, used to normalize mu           2.8818E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7719.998    -18.142   0.000  5.35201E-01  3.29837E-01  3.44796E-01
    7720.008    -18.133   0.050  5.40198E-01  3.35203E-01  3.43598E-01
    7720.036    -18.104   0.100  5.45130E-01  3.40570E-01  3.42294E-01
    7720.084    -18.057   0.150  5.59399E-01  3.56556E-01  3.37734E-01
    7720.151    -17.990   0.200  5.73037E-01  3.72542E-01  3.32174E-01
    7720.236    -17.904   0.250  5.92053E-01  3.97232E-01  3.20170E-01
    7720.341    -17.799   0.300  6.09198E-01  4.21922E-01  3.05306E-01
    7720.465    -17.676   0.350  6.22675E-01  4.50188E-01  2.78153E-01
    7720.608    -17.533   0.400  6.32843E-01  4.78454E-01  2.46301E-01
    7720.770    -17.371   0.450  6.32075E-01  5.04917E-01  2.00182E-01
    7720.951    -17.190   0.500  6.28441E-01  5.31381E-01  1.50810E-01
    7721.151    -16.990   0.550  6.15675E-01  5.54158E-01  9.41390E-02
    7721.370    -16.771   0.600  6.00951E-01  5.76935E-01  3.62043E-02
    7721.608    -16.533   0.650  5.75086E-01  5.96668E-01 -3.19988E-02
    7721.865    -16.275   0.700  5.47374E-01  6.16401E-01 -1.00679E-01
    7722.141    -15.999   0.750  5.07365E-01  6.34152E-01 -1.81706E-01
    7722.437    -15.704   0.800  4.68156E-01  6.51903E-01 -2.58833E-01
    7722.751    -15.390   0.850  4.21572E-01  6.68432E-01 -3.41541E-01
    7723.084    -15.056   0.900  3.80935E-01  6.84960E-01 -4.13272E-01
    7723.437    -14.704   0.950  3.41257E-01  7.00662E-01 -4.79882E-01
    7723.808    -14.332   1.000  3.13713E-01  7.16364E-01 -5.28250E-01
    7724.199    -13.942   1.050  2.96276E-01  7.31376E-01 -5.60951E-01
    7724.608    -13.532   1.100  2.96093E-01  7.46388E-01 -5.70674E-01
    7725.037    -13.104   1.150  3.13265E-01  7.60722E-01 -5.57732E-01
    7725.485    -12.656   1.200  3.49129E-01  7.75056E-01 -5.22288E-01
    7725.951    -12.189   1.250  4.03535E-01  7.88597E-01 -4.64928E-01
    7726.437    -11.703   1.300  4.71361E-01  8.02138E-01 -3.93344E-01
    7726.942    -11.199   1.350  5.49517E-01  8.14768E-01 -3.10990E-01
    7727.466    -10.675   1.400  6.28880E-01  8.27398E-01 -2.29524E-01
    7728.009    -10.132   1.450  7.03964E-01  8.38998E-01 -1.54160E-01
    7728.571     -9.570   1.500  7.67461E-01  8.50598E-01 -9.37335E-02
    7729.152     -8.989   1.550  8.15824E-01  8.61044E-01 -5.04236E-02
    7729.752     -8.389   1.600  8.48618E-01  8.71490E-01 -2.52271E-02
    7730.371     -7.770   1.650  8.67682E-01  8.80718E-01 -1.42434E-02
    7731.009     -7.131   1.700  8.78752E-01  8.89946E-01 -1.21162E-02
    7731.666     -6.474   1.750  8.86992E-01  8.97910E-01 -1.17258E-02
    7732.343     -5.798   1.800  8.98393E-01  9.05874E-01 -7.97230E-03
    7733.038     -5.103   1.850  9.15765E-01  9.12545E-01  3.41012E-03
    7733.752     -4.388   1.900  9.39834E-01  9.19217E-01  2.17013E-02
    7734.486     -3.655   1.950  9.68014E-01  9.24573E-01  4.55082E-02
    7735.238     -2.902   2.000  9.95873E-01  9.29930E-01  6.87554E-02
    7736.010     -2.131   2.050  1.01923E+00  9.33615E-01  8.90223E-02
    7736.800     -1.340   2.100  1.03279E+00  9.37300E-01  9.90153E-02
    7737.610     -0.531   2.150  1.03487E+00  9.40985E-01  9.70774E-02
    7738.439      0.298   2.200  1.02675E+00  9.44670E-01  8.46367E-02
    7739.286      1.146   2.250  1.00925E+00  9.46111E-01  6.50946E-02
    7740.153      2.012   2.300  9.88240E-01  9.47552E-01  4.19409E-02
    7741.039      2.898   2.350  9.69784E-01  9.48993E-01  2.14277E-02
    7741.944      3.803   2.400  9.57934E-01  9.50434E-01  7.72796E-03
    7742.868      4.727   2.450  9.55641E-01  9.53079E-01  2.64438E-03
    7743.811      5.670   2.500  9.58364E-01  9.55724E-01  2.72856E-03
    7744.773      6.632   2.550  9.62864E-01  9.58370E-01  4.65225E-03
    7745.754      7.613   2.600  9.66535E-01  9.61015E-01  5.72245E-03
    7746.754      8.613   2.650  9.67425E-01  9.63893E-01  3.65745E-03
    7747.773      9.632   2.700  9.67166E-01  9.66771E-01  4.08966E-04
    7748.811     10.671   2.750  9.66369E-01  9.69648E-01 -3.38902E-03
    7749.868     11.728   2.800  9.65891E-01  9.72526E-01 -6.84925E-03
    7750.945     12.804   2.850  9.63661E-01  9.74346E-01 -1.10074E-02
    7752.040     13.900   2.900  9.62644E-01  9.76167E-01 -1.39011E-02
    7753.155     15.014   2.950  9.63454E-01  9.77987E-01 -1.49092E-02
    7754.288     16.148   3.000  9.66360E-01  9.79807E-01 -1.37674E-02
    7755.441     17.300   3.050  9.69036E-01  9.81150E-01 -1.23769E-02
    7756.612     18.472   3.100  9.73055E-01  9.82493E-01 -9.62281E-03
    7757.803     19.662   3.150  9.78130E-01  9.83837E-01 -5.80654E-03
    7759.012     20.872   3.200  9.84007E-01  9.85180E-01 -1.19063E-03
    7760.241     22.101   3.250  9.88804E-01  9.86381E-01  2.45607E-03
    7761.489     23.348   3.300  9.93994E-01  9.87582E-01  6.48722E-03
    7762.756     24.615   3.350  9.99928E-01  9.88783E-01  1.12553E-02
    7764.042     25.901   3.400  1.00693E+00  9.89984E-01  1.70824E-02
    7765.347     27.206   3.450  1.01404E+00  9.90752E-01  2.34327E-02
    7766.671     28.530   3.500  1.02225E+00  9.91520E-01  3.08601E-02
    7768.014     29.873   3.550  1.03106E+00  9.92287E-01  3.88671E-02
    7769.376     31.235   3.600  1.03960E+00  9.93055E-01  4.65767E-02
    7770.757     32.616   3.650  1.04659E+00  9.93978E-01  5.25658E-02
    7772.157     34.016   3.700  1.05123E+00  9.94900E-01  5.61967E-02
    7773.576     35.436   3.750  1.05265E+00  9.95822E-01  5.66007E-02
    7775.014     36.874   3.800  1.05038E+00  9.96745E-01  5.33398E-02
    7776.472     38.331   3.850  1.04403E+00  9.97602E-01  4.60980E-02
    7777.948     39.808   3.900  1.03480E+00  9.98460E-01  3.60136E-02
    7779.443     41.303   3.950  1.02363E+00  9.99317E-01  2.40576E-02
    7780.958     42.817   4.000  1.01162E+00  1.00017E+00  1.13049E-02
    7782.491     44.351   4.050  9.99848E-01  1.00122E+00 -1.34860E-03
    7784.044     45.903   4.100  9.88897E-01  1.00226E+00 -1.31534E-02
    7785.616     47.475   4.150  9.78977E-01  1.00330E+00 -2.39053E-02
    7787.206     49.066   4.200  9.69983E-01  1.00434E+00 -3.37148E-02
    7788.816     50.675   4.250  9.61776E-01  1.00543E+00 -4.27710E-02
    7790.445     52.304   4.300  9.54254E-01  1.00651E+00 -5.11286E-02
    7792.093     53.952   4.350  9.47626E-01  1.00760E+00 -5.85877E-02
    7793.760     55.619   4.400  9.42473E-01  1.00869E+00 -6.45849E-02
    7795.445     57.305   4.450  9.39834E-01  1.00968E+00 -6.80267E-02
    7797.150     59.010   4.500  9.40623E-01  1.01067E+00 -6.81260E-02
    7798.874     60.734   4.550  9.45505E-01  1.01166E+00 -6.42492E-02
    7800.617     62.477   4.600  9.54618E-01  1.01264E+00 -5.62797E-02
    7802.380     64.239   4.650  9.67629E-01  1.01341E+00 -4.43563E-02
    7804.161     66.020   4.700  9.82978E-01  1.01417E+00 -3.01948E-02
    7805.961     67.820   4.750  9.98890E-01  1.01494E+00 -1.55186E-02
    7807.780     69.640   4.800  1.01353E+00  1.01570E+00 -2.09855E-03
    7809.619     71.478   4.850  1.02523E+00  1.01627E+00  8.65035E-03
    7811.476     73.335   4.900  1.03336E+00  1.01683E+00  1.59489E-02
    7813.352     75.212   4.950  1.03812E+00  1.01739E+00  1.99817E-02
    7815.248     77.107   5.000  1.04050E+00  1.01796E+00  2.17236E-02
    7817.162     79.022   5.050  1.04172E+00  1.01822E+00  2.26430E-02
    7819.096     80.955   5.100  1.04375E+00  1.01848E+00  2.43387E-02
    7821.049     82.908   5.150  1.04779E+00  1.01874E+00  2.79756E-02
    7823.020     84.880   5.200  1.05429E+00  1.01901E+00  3.39792E-02
    7825.011     86.870   5.250  1.06229E+00  1.01877E+00  4.19140E-02
    7827.021     88.880   5.300  1.07086E+00  1.01854E+00  5.04159E-02
    7829.049     90.909   5.350  1.07818E+00  1.01830E+00  5.77155E-02
    7831.097     92.957   5.400  1.08239E+00  1.01807E+00  6.20154E-02
    7833.164     95.024   5.450  1.08160E+00  1.01754E+00  6.18034E-02
    7835.250     97.110   5.500  1.07553E+00  1.01701E+00  5.65030E-02
    7837.355     99.215   5.550  1.06443E+00  1.01648E+00  4.63288E-02
    7839.479    101.339   5.600  1.04931E+00  1.01596E+00  3.22541E-02
    7841.622    103.482   5.650  1.03132E+00  1.01513E+00  1.56715E-02
    7843.785    105.644   5.700  1.01263E+00  1.01430E+00 -1.61210E-03
    7845.966    107.825   5.750  9.94843E-01  1.01347E+00 -1.80711E-02
    7848.166    110.026   5.800  9.79144E-01  1.01264E+00 -3.25351E-02
    7850.385    112.245   5.850  9.66012E-01  1.01147E+00 -4.42177E-02
    7852.624    114.483   5.900  9.56169E-01  1.01030E+00 -5.27282E-02
    7854.881    116.741   5.950  9.49727E-01  1.00914E+00 -5.79450E-02
    7857.158    119.017   6.000  9.46681E-01  1.00797E+00 -5.98595E-02
    7859.453    121.313   6.050  9.46988E-01  1.00670E+00 -5.84146E-02
    7861.768    123.627   6.100  9.50532E-01  1.00544E+00 -5.37941E-02
    7864.101    125.961   6.150  9.57048E-01  1.00417E+00 -4.62435E-02
    7866.454    128.313   6.200  9.66018E-01  1.00291E+00 -3.62564E-02
    7868.826    130.685   6.250  9.76611E-01  1.00164E+00 -2.46412E-02
    7871.216    133.076   6.300  9.87706E-01  1.00038E+00 -1.24949E-02
    7873.626    135.486   6.350  9.98036E-01  9.99115E-01 -1.06475E-03
    7876.055    137.915   6.400  1.00642E+00  9.97850E-01  8.47729E-03
    7878.503    140.363   6.450  1.01202E+00  9.96585E-01  1.52884E-02
    7880.970    142.829   6.500  1.01453E+00  9.95320E-01  1.90581E-02
    7883.456    145.315   6.550  1.01443E+00  9.94170E-01  2.01259E-02
    7885.961    147.821   6.600  1.01243E+00  9.93020E-01  1.93122E-02
    7888.485    150.345   6.650  1.00973E+00  9.91869E-01  1.77952E-02
    7891.028    152.888   6.700  1.00751E+00  9.90719E-01  1.67482E-02
    7893.591    155.450   6.750  1.00660E+00  9.89569E-01  1.70145E-02
    7896.172    158.031   6.800  1.00728E+00  9.88418E-01  1.88729E-02
    7898.772    160.632   6.850  1.00919E+00  9.87268E-01  2.19616E-02
    7901.392    163.251   6.900  1.01142E+00  9.86117E-01  2.53825E-02
    7904.030    165.889   6.950  1.01279E+00  9.84967E-01  2.79572E-02
    7906.687    168.547   7.000  1.01220E+00  9.83817E-01  2.85608E-02
    7909.364    171.223   7.050  1.00928E+00  9.83006E-01  2.64632E-02
    7912.060    173.919   7.100  1.00346E+00  9.82195E-01  2.14417E-02
