# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.329 Rnm= 1.380 K  shell
# # Pot 1 Z=62 Rmt= 1.710 Rnm= 1.730
# # Pot 2 Z=27 Rmt= 1.337 Rnm= 1.389
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.765E+01 kf=2.076E+00 Vint=-2.674E+01 Rs_int= 1.747
# # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 275.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.01077    100.00      1.00     2   2.3187
#           2       0.01110    189.70      2.00     2   2.3819
#           3       0.01128     92.09      1.00     2   2.4178
#           4       0.01168    172.40      2.00     2   2.4993
#           5       0.01205    161.90      2.00     2   2.5777
#           6       0.01230    154.90      2.00     2   2.6342
#           7       0.00988     84.93      1.00     2   2.9778
#           8       0.00997     82.52      1.00     2   3.0236
#           9       0.01256     17.08      4.00     3   3.5908
#          10       0.01500     39.07      1.00     2   3.5914
#          11       0.01276     16.34      4.00     3   3.6435
#          12       0.01283     13.84      4.00     3   3.6586
#          13       0.01292     16.22      4.00     3   3.6827
#          14       0.01318     15.38      4.00     3   3.7567
#          15       0.01329     12.51      4.00     3   3.7857
#          16       0.01331      9.31      2.00     3   3.7873
#          17       0.01333     10.99      4.00     3   3.7936
#          18       0.01349     11.01      4.00     3   3.8431
#          19       0.01358     11.48      4.00     3   3.8718
#          20       0.01535     63.68      2.00     2   3.9151
#          21       0.01543     59.21      2.00     2   4.0346
#          22       0.01543     58.97      2.00     2   4.0415
#          23       0.01546     57.49      2.00     2   4.0837
#          24       0.01547     56.86      2.00     2   4.1022
#          25       0.01547     56.78      2.00     2   4.1045
#          26       0.01551     54.32      2.00     2   4.1793
#          27       0.01506     12.74      4.00     3   4.3078
#          28       0.01506     17.76      4.00     3   4.3078
#          29       0.01182      7.99      4.00     3   4.3137
#          30       0.01507      9.06      4.00     3   4.3734
#          31       0.01521      6.31      2.00     3   4.4010
#          32       0.01517     14.44      4.00     3   4.4101
#          33       0.01522     16.45      4.00     3   4.4112
#          34       0.01526      6.97      2.00     3   4.4194
#          35       0.01526      9.24      2.00     3   4.4194
#          36       0.01526      9.35      2.00     3   4.4194
#          37       0.01527     17.70      4.00     3   4.4341
#          38       0.01526     16.75      4.00     3   4.4357
#          39       0.01527     10.79      4.00     3   4.4689
#          40       0.01527     14.83      4.00     3   4.4689
#          41       0.01528     10.42      4.00     3   4.4759
#          42       0.01528     14.55      4.00     3   4.4759
#          43       0.01529     14.35      4.00     3   4.4886
#          44       0.01530      9.31      4.00     3   4.4982
#          45       0.01536      9.75      4.00     3   4.5396
#          46       0.01536     13.58      4.00     3   4.5396
#          47       0.01562     44.11      2.00     2   4.5418
#          48       0.01538      9.79      4.00     3   4.5523
#          49       0.01539     14.35      4.00     3   4.5582
#          50       0.01542     12.58      4.00     3   4.5907
#          51       0.01542     12.56      4.00     3   4.5907
#          52       0.01564     42.46      2.00     2   4.6102
#          53       0.01546      8.49      4.00     3   4.6229
#          54       0.04307      5.90      1.00     4   4.6374
#          55       0.01550      9.86      4.00     3   4.6395
#          56       0.01116     63.54      2.00     2   4.6815
#          57       0.01553     11.37      4.00     3   4.6835
#          58       0.01556     19.94      8.00     3   4.6853
#          59       0.01552      6.09      2.00     3   4.6886
#          60       0.01557      8.07      4.00     3   4.7168
#          61       0.01567     19.81      1.00     2   4.7365
#          62       0.01558     17.35      4.00     3   4.7558
#          63       0.01558     19.43      4.00     3   4.7626
#          64       0.01568     39.03      2.00     2   4.7637
#          65       0.01568     97.30      4.00     3   4.7637
#          66       0.04440     10.49      2.00     4   4.7637
#          67       0.01568     80.04      2.00     4   4.7637
#          68       0.02811      5.74      4.00     4   4.7997
#          69       0.01562     19.29      4.00     3   4.8121
#          70       0.02745      5.59      4.00     4   4.8179
#          71       0.04513      4.91      1.00     4   4.8356
#          72       0.01570     37.54      4.00     3   4.8629
#          73       0.01591     28.59      4.00     4   4.8811
#          74       0.02874      5.19      4.00     4   4.8811
#          75       0.01566     17.36      4.00     3   4.8905
#          76       0.01800      4.61      4.00     4   4.9595
#          77       0.02949      4.73      4.00     4   4.9595
#          78       0.01162     10.92      4.00     3   4.9937
#          79       0.04674      8.53      2.00     4   4.9985
#    79/  79 paths used
#  xsedge+50, used to normalize mu           2.9121E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7719.206    -17.646   0.000  9.58200E-02  3.10945E-01 -3.91567E-01
    7719.216    -17.636   0.050  1.04002E-01  3.16012E-01 -3.85187E-01
    7719.244    -17.608   0.100  1.12282E-01  3.21080E-01 -3.78651E-01
    7719.292    -17.560   0.150  1.36980E-01  3.36095E-01 -3.59146E-01
    7719.359    -17.493   0.200  1.62417E-01  3.51110E-01 -3.38525E-01
    7719.444    -17.408   0.250  2.02664E-01  3.74347E-01 -3.05307E-01
    7719.549    -17.303   0.300  2.44244E-01  3.97583E-01 -2.70317E-01
    7719.673    -17.179   0.350  2.94874E-01  4.24281E-01 -2.25441E-01
    7719.816    -17.036   0.400  3.46443E-01  4.50980E-01 -1.79992E-01
    7719.978    -16.874   0.450  3.99372E-01  4.76154E-01 -1.30302E-01
    7720.159    -16.693   0.500  4.51377E-01  5.01329E-01 -8.35673E-02
    7720.359    -16.493   0.550  4.99019E-01  5.23236E-01 -3.98465E-02
    7720.578    -16.274   0.600  5.43154E-01  5.45143E-01 -3.22091E-03
    7720.816    -16.036   0.650  5.79698E-01  5.64377E-01  2.43533E-02
    7721.073    -15.779   0.700  6.10184E-01  5.83610E-01  4.14888E-02
    7721.349    -15.503   0.750  6.31034E-01  6.01157E-01  4.57571E-02
    7721.645    -15.208   0.800  6.43936E-01  6.18703E-01  3.79212E-02
    7721.959    -14.893   0.850  6.46219E-01  6.35254E-01  1.61553E-02
    7722.292    -14.560   0.900  6.40191E-01  6.51806E-01 -1.67859E-02
    7722.645    -14.207   0.950  6.24194E-01  6.67724E-01 -6.16741E-02
    7723.016    -13.836   1.000  6.02079E-01  6.83643E-01 -1.13337E-01
    7723.407    -13.445   1.050  5.73724E-01  6.99046E-01 -1.70801E-01
    7723.816    -13.036   1.100  5.44422E-01  7.14450E-01 -2.27367E-01
    7724.245    -12.607   1.150  5.15709E-01  7.29295E-01 -2.80361E-01
    7724.693    -12.160   1.200  4.93048E-01  7.44140E-01 -3.23642E-01
    7725.159    -11.693   1.250  4.78502E-01  7.58333E-01 -3.54439E-01
    7725.645    -11.207   1.300  4.75878E-01  7.72525E-01 -3.69345E-01
    7726.150    -10.702   1.350  4.85722E-01  7.85909E-01 -3.67793E-01
    7726.674    -10.178   1.400  5.09383E-01  7.99292E-01 -3.49627E-01
    7727.217     -9.635   1.450  5.44832E-01  8.11726E-01 -3.17219E-01
    7727.779     -9.073   1.500  5.91534E-01  8.24160E-01 -2.72552E-01
    7728.360     -8.492   1.550  6.45737E-01  8.35506E-01 -2.19501E-01
    7728.960     -7.892   1.600  7.05877E-01  8.46852E-01 -1.61006E-01
    7729.579     -7.273   1.650  7.68058E-01  8.57004E-01 -1.00459E-01
    7730.217     -6.635   1.700  8.30231E-01  8.67156E-01 -4.12481E-02
    7730.874     -5.978   1.750  8.89318E-01  8.76037E-01  1.46971E-02
    7731.551     -5.302   1.800  9.43231E-01  8.84918E-01  6.39363E-02
    7732.246     -4.606   1.850  9.89623E-01  8.92482E-01  1.05695E-01
    7732.960     -3.892   1.900  1.02700E+00  9.00047E-01  1.37093E-01
    7733.694     -3.158   1.950  1.05383E+00  9.06231E-01  1.58433E-01
    7734.446     -2.406   2.000  1.07005E+00  9.12415E-01  1.68196E-01
    7735.218     -1.634   2.050  1.07561E+00  9.16724E-01  1.68901E-01
    7736.008     -0.844   2.100  1.07083E+00  9.21033E-01  1.58654E-01
    7736.818     -0.034   2.150  1.05726E+00  9.25341E-01  1.39203E-01
    7737.647      0.794   2.200  1.03709E+00  9.29650E-01  1.12947E-01
    7738.494      1.642   2.250  1.00844E+00  9.30955E-01  8.14678E-02
    7739.361      2.509   2.300  9.77960E-01  9.32259E-01  4.80518E-02
    7740.247      3.395   2.350  9.49227E-01  9.33563E-01  1.64711E-02
    7741.152      4.300   2.400  9.25221E-01  9.34868E-01 -1.01443E-02
    7742.076      5.224   2.450  9.11775E-01  9.39471E-01 -2.90769E-02
    7743.019      6.167   2.500  9.04978E-01  9.44074E-01 -4.09769E-02
    7743.981      7.129   2.550  9.04651E-01  9.48678E-01 -4.60675E-02
    7744.962      8.110   2.600  9.09708E-01  9.53281E-01 -4.55175E-02
    7745.962      9.110   2.650  9.15041E-01  9.57376E-01 -4.40798E-02
    7746.981     10.129   2.700  9.23410E-01  9.61471E-01 -3.95013E-02
    7748.019     11.167   2.750  9.33542E-01  9.65565E-01 -3.31274E-02
    7749.077     12.224   2.800  9.44412E-01  9.69660E-01 -2.60349E-02
    7750.153     13.301   2.850  9.53047E-01  9.71971E-01 -1.94648E-02
    7751.248     14.396   2.900  9.61572E-01  9.74283E-01 -1.30415E-02
    7752.363     15.510   2.950  9.69698E-01  9.76594E-01 -7.05802E-03
    7753.496     16.644   3.000  9.77473E-01  9.78905E-01 -1.46207E-03
