# # Once                                                         FEFF 9.6.4  
# # POT  SCF  30  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.333 Rnm= 1.383 K  shell
# # Pot 1 Z=62 Rmt= 1.624 Rnm= 1.669
# # Pot 2 Z=27 Rmt= 1.347 Rnm= 1.400
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.766E+01 kf=2.050E+00 Vint=-2.612E+01 Rs_int= 1.769
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   2.4133
#           2       0.00000     95.57      4.00     2   2.4686
#           3       0.00000     43.88      2.00     2   2.5745
#           4       0.00000     40.26      2.00     2   3.1586
#           5       0.00000     16.27     16.00     3   3.6752
#           6       0.00000     16.28      2.00     2   3.9912
#           7       0.00000     15.46      2.00     2   4.0755
#           8       0.00000     29.03      4.00     2   4.1800
#           9       0.00000     56.96      8.00     2   4.2121
#          11       0.00000      9.03      8.00     3   4.5033
#          12       0.00000      7.67      8.00     3   4.5063
#          13       0.00000     13.48     16.00     3   4.5470
#          14       0.00000     16.85     16.00     3   4.5470
#          15       0.00000      6.07      8.00     3   4.6314
#          16       0.00000     34.78      4.00     2   4.6503
#          17       0.00000     11.57     16.00     3   4.7337
#          18       0.00000     42.19      8.00     2   4.7364
#          19       0.00000     30.12      6.00     2   4.8266
#          20       0.00000     11.55      4.00     3   4.8266
#          21       0.00000     47.40      8.00     3   4.8267
#          22       0.00000     10.55      4.00     4   4.8267
#          23       0.00000      5.53      4.00     4   4.8266
#          24       0.00000     38.27      4.00     4   4.8266
#          25       0.00000     22.57     16.00     3   4.8368
#          26       0.00000      4.58     16.00     4   4.8819
#          27       0.00000      5.54     16.00     4   4.8819
#          28       0.00000     10.64      4.00     3   4.9371
#          29       0.00000      9.57      4.00     4   4.9371
#          30       0.00000      5.01      4.00     4   4.9371
#          31       0.00000      4.64      8.00     4   4.9371
#          32       0.00000     11.61      8.00     3   4.9527
#          33       0.00000      4.50      4.00     3   4.9878
#          34       0.00000      6.20      8.00     3   5.0787
#          35       0.00000      5.22      8.00     3   5.1111
#          36       0.00000     16.39     16.00     3   5.1111
#          37       0.00000      4.56      2.00     3   5.1490
#          39       0.00000      5.64      8.00     3   5.2821
#          40       0.00000     29.42      8.00     2   5.4213
#          41       0.00000      9.39      8.00     3   5.5035
#          42       0.00000      6.98      2.00     2   5.5268
#          43       0.00000     16.73      8.00     3   5.6833
#          44       0.00000      7.13      4.00     3   5.8099
#          45       0.00000     23.97      8.00     2   5.8380
#    43/  46 paths used
#  xsedge+50, used to normalize mu           2.9018E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7719.125    -17.655   0.000  2.50735E-01  3.13978E-01 -1.14846E-01
    7719.134    -17.646   0.050  2.54373E-01  3.19097E-01 -1.17298E-01
    7719.163    -17.617   0.100  2.58084E-01  3.24216E-01 -1.19610E-01
    7719.210    -17.570   0.150  2.68984E-01  3.39380E-01 -1.26573E-01
    7719.277    -17.503   0.200  2.80424E-01  3.54544E-01 -1.32490E-01
    7719.363    -17.417   0.250  2.97026E-01  3.78051E-01 -1.43450E-01
    7719.468    -17.312   0.300  3.14767E-01  4.01559E-01 -1.52206E-01
    7719.591    -17.189   0.350  3.33090E-01  4.28671E-01 -1.65475E-01
    7719.734    -17.046   0.400  3.53857E-01  4.55784E-01 -1.74231E-01
    7719.896    -16.884   0.450  3.75456E-01  4.81499E-01 -1.78445E-01
    7720.077    -16.703   0.500  4.01386E-01  5.07214E-01 -1.75354E-01
    7720.277    -16.503   0.550  4.28309E-01  5.29793E-01 -1.65174E-01
    7720.496    -16.284   0.600  4.58170E-01  5.52372E-01 -1.50652E-01
    7720.734    -16.046   0.650  4.82392E-01  5.72350E-01 -1.41092E-01
    7720.992    -15.788   0.700  5.05742E-01  5.92327E-01 -1.33235E-01
    7721.268    -15.512   0.750  5.18588E-01  6.10659E-01 -1.38810E-01
    7721.563    -15.217   0.800  5.26969E-01  6.28991E-01 -1.50762E-01
    7721.877    -14.903   0.850  5.23375E-01  6.46337E-01 -1.77968E-01
    7722.211    -14.569   0.900  5.13550E-01  6.63683E-01 -2.12913E-01
    7722.563    -14.217   0.950  4.93217E-01  6.80344E-01 -2.59970E-01
    7722.935    -13.845   1.000  4.68143E-01  6.97005E-01 -3.11604E-01
    7723.325    -13.455   1.050  4.37881E-01  7.13048E-01 -3.67256E-01
    7723.735    -13.045   1.100  4.08447E-01  7.29091E-01 -4.19672E-01
    7724.163    -12.617   1.150  3.82516E-01  7.44441E-01 -4.64854E-01
    7724.611    -12.169   1.200  3.65480E-01  7.59791E-01 -4.97165E-01
    7725.078    -11.702   1.250  3.60864E-01  7.74311E-01 -5.12266E-01
    7725.564    -11.216   1.300  3.71906E-01  7.88831E-01 -5.07784E-01
    7726.068    -10.712   1.350  4.00217E-01  8.02352E-01 -4.82072E-01
    7726.592    -10.188   1.400  4.45735E-01  8.15873E-01 -4.36848E-01
    7727.135     -9.645   1.450  5.06822E-01  8.28232E-01 -3.74051E-01
    7727.697     -9.083   1.500  5.80035E-01  8.40591E-01 -2.99062E-01
    7728.278     -8.502   1.550  6.61160E-01  8.51679E-01 -2.16025E-01
    7728.878     -7.902   1.600  7.44613E-01  8.62767E-01 -1.32368E-01
    7729.497     -7.283   1.650  8.25678E-01  8.72477E-01 -5.18936E-02
    7730.136     -6.645   1.700  8.98791E-01  8.82187E-01  1.82251E-02
    7730.793     -5.987   1.750  9.60849E-01  8.90471E-01  7.66038E-02
    7731.469     -5.311   1.800  1.00869E+00  8.98755E-01  1.18664E-01
    7732.164     -4.616   1.850  1.04167E+00  9.05614E-01  1.45892E-01
