# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=57 Rmt= 1.826 Rnm= 1.826 K  shell
# # Pot 1 Z=57 Rmt= 1.837 Rnm= 1.837
# # Pot 2 Z=14 Rmt= 1.346 Rnm= 1.398
# # Pot 3 Z=26 Rmt= 1.365 Rnm= 1.417
# # Gam_ch=1.706E+01 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.654E+01 kf=2.102E+00 Vint=-2.557E+01 Rs_int= 1.725
# # PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   3.2913
#           2       0.00000     48.75      3.00     2   3.3148
#           3       0.00000     48.08      3.00     2   3.3275
#           4       0.00000     47.88      3.00     2   3.3314
#           5       0.00000     35.71      3.00     2   3.3553
#           6       0.00000     46.34      3.00     2   3.3620
#           7       0.00000     43.85      3.00     2   3.4140
#           9       0.00000     10.50      3.00     2   4.9470
#          11       0.00000     10.26      3.00     2   4.9741
#          12       0.00000      5.76      3.00     2   5.0555
#          13       0.00000      9.34      3.00     2   5.0899
#          14       0.00000      9.27      3.00     2   5.0984
#          15       0.00000      9.10      3.00     2   5.1222
#          16       0.00000      8.98      3.00     2   5.1383
#          17       0.00000      8.80      3.00     2   5.1634
#          18       0.00000      8.75      3.00     2   5.1703
#          19       0.00000      8.47      3.00     2   5.2110
#          20       0.00000      9.93      3.00     2   5.6973
#          21       0.00000      9.72      3.00     2   5.7305
#          22       0.00000      5.35      3.00     2   5.8099
#          23       0.00000     17.31      6.00     3   5.8168
#          24       0.00000     13.78      3.00     4   5.8236
#          25       0.00000      5.17      3.00     2   5.8571
#          26       0.00000      5.16      3.00     2   5.8600
#          27       0.00000     18.08      6.00     3   5.8614
#          28       0.00000     16.97      6.00     3   5.8626
#          29       0.00000     16.05      3.00     4   5.8628
#          30       0.00000     13.81      3.00     4   5.8681
#          31       0.00000      4.98      3.00     2   5.9084
#          32       0.00000     16.85      6.00     3   5.9119
#          33       0.00000      4.96      3.00     2   5.9133
#          34       0.00000     16.70      6.00     3   5.9138
#          35       0.00000     14.05      3.00     4   5.9144
#          36       0.00000     14.28      3.00     4   5.9153
#          37       0.00000      4.95      3.00     2   5.9170
#          39       0.00000      9.00      6.00     3   5.9225
#          40       0.00000     16.04      6.00     3   5.9228
#          41       0.00000      7.57      3.00     4   5.9256
#          42       0.00000      4.91      3.00     2   5.9276
#          43       0.00000     12.89      3.00     4   5.9287
#          44       0.00000     16.70      6.00     3   5.9304
#          45       0.00000     14.27      3.00     4   5.9332
#    42/  45 paths used
#  xsedge+50, used to normalize mu           5.2465E-05
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   38980.515    -16.537   0.000  3.54024E-01  3.70628E-01 -3.01052E-02
   38980.525    -16.527   0.050  3.54455E-01  3.71193E-01 -3.03314E-02
   38980.553    -16.499   0.100  3.54886E-01  3.71759E-01 -3.05573E-02
   38980.601    -16.451   0.150  3.56115E-01  3.73392E-01 -3.12330E-02
   38980.668    -16.384   0.200  3.57346E-01  3.75025E-01 -3.19050E-02
   38980.753    -16.299   0.250  3.59371E-01  3.77718E-01 -3.30116E-02
   38980.858    -16.194   0.300  3.61399E-01  3.80411E-01 -3.41059E-02
   38980.982    -16.070   0.350  3.64246E-01  3.84176E-01 -3.56031E-02
   38981.125    -15.927   0.400  3.67103E-01  3.87941E-01 -3.70695E-02
   38981.287    -15.765   0.450  3.70810E-01  3.92788E-01 -3.88803E-02
   38981.468    -15.584   0.500  3.74544E-01  3.97635E-01 -4.06251E-02
   38981.668    -15.384   0.550  3.79181E-01  4.03574E-01 -4.26160E-02
   38981.887    -15.165   0.600  3.83874E-01  4.09512E-01 -4.44816E-02
   38982.125    -14.927   0.650  3.89525E-01  4.16520E-01 -4.64425E-02
   38982.382    -14.670   0.700  3.95282E-01  4.23528E-01 -4.81876E-02
   38982.658    -14.394   0.750  4.02091E-01  4.31587E-01 -4.98163E-02
   38982.954    -14.098   0.800  4.09083E-01  4.39646E-01 -5.11060E-02
   38983.268    -13.784   0.850  4.17229E-01  4.48702E-01 -5.20117E-02
   38983.601    -13.451   0.900  4.25660E-01  4.57757E-01 -5.24323E-02
   38983.954    -13.098   0.950  4.35359E-01  4.67731E-01 -5.21715E-02
   38984.325    -12.727   1.000  4.45457E-01  4.77705E-01 -5.12825E-02
   38984.716    -12.336   1.050  4.56931E-01  4.88499E-01 -4.94371E-02
   38985.125    -11.927   1.100  4.68910E-01  4.99293E-01 -4.68693E-02
   38985.554    -11.498   1.150  4.82332E-01  5.10799E-01 -4.31661E-02
   38986.002    -11.050   1.200  4.96314E-01  5.22305E-01 -3.87528E-02
   38986.468    -10.584   1.250  5.11711E-01  5.34404E-01 -3.31985E-02
   38986.954    -10.098   1.300  5.27628E-01  5.46502E-01 -2.71037E-02
   38987.459     -9.593   1.350  5.44798E-01  5.59078E-01 -2.00869E-02
   38987.983     -9.069   1.400  5.62317E-01  5.71655E-01 -1.28724E-02
   38988.526     -8.526   1.450  5.80765E-01  5.84599E-01 -5.16948E-03
   38989.088     -7.964   1.500  5.99251E-01  5.97543E-01  2.25340E-03
   38989.669     -7.383   1.550  6.18204E-01  6.10758E-01  9.60036E-03
   38990.269     -6.783   1.600  6.36794E-01  6.23974E-01  1.61610E-02
   38990.888     -6.164   1.650  6.55284E-01  6.37346E-01  2.20902E-02
   38991.526     -5.526   1.700  6.73006E-01  6.50719E-01  2.68279E-02
   38992.183     -4.869   1.750  6.90143E-01  6.64191E-01  3.05429E-02
   38992.860     -4.193   1.800  7.06215E-01  6.77663E-01  3.28718E-02
   38993.555     -3.497   1.850  7.20986E-01  6.90767E-01  3.40897E-02
   38994.269     -2.783   1.900  7.34538E-01  7.03872E-01  3.39125E-02
