# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=57 Rmt= 1.821 Rnm= 1.821 L3 shell
# # Pot 1 Z=57 Rmt= 1.891 Rnm= 1.891
# # Pot 2 Z=14 Rmt= 1.359 Rnm= 1.412
# # Pot 3 Z=26 Rmt= 1.328 Rnm= 1.375
# # Pot 4 Z=26 Rmt= 1.366 Rnm= 1.420
# # Gam_ch=3.160E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.657E+01eV kf=2.103E+00 Vint=-2.544E+01eV Rs_int= 1.725
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      3.00     2   3.3214
#           2       0.00000    682.30     21.00     2   3.3214
#           3       0.00000     10.16     12.00     3   4.5109
#           4       0.00000     31.02     36.00     3   4.5109
#           5       0.00000      8.16     12.00     3   4.5983
#           6       0.00000     21.30     36.00     3   4.5983
#           8       0.00000     10.24     18.00     3   4.6085
#           9       0.00000     97.79      8.00     2   4.9602
#          10       0.00000      9.41     18.00     3   5.0037
#          11       0.00000     23.07      3.00     2   5.2000
#          12       0.00000    218.20     21.00     2   5.2000
#          13       0.00000     10.90      6.00     3   5.3768
#          14       0.00000     41.58     42.00     3   5.3768
#          15       0.00000      8.32     18.00     3   5.3777
#          16       0.00000      5.95     12.00     3   5.4287
#          17       0.00000     16.13     36.00     3   5.4287
#          18       0.00000     12.20      6.00     3   5.5376
#          19       0.00000      4.79      6.00     3   5.5376
#          20       0.00000     38.52     36.00     3   5.5376
#          21       0.00000      7.78      4.00     3   5.5479
#          23       0.00000      4.65      6.00     3   5.5479
#          24       0.00000     34.51     34.00     3   5.5478
#          25       0.00000      5.78     12.00     3   5.5963
#          26       0.00000     15.10     36.00     3   5.5963
#          27       0.00000      5.78     12.00     3   5.6021
#          28       0.00000     15.09     36.00     3   5.6021
#          29       0.00000      7.35      6.00     3   5.6582
#          31       0.00000     24.84     36.00     3   5.6582
#          33       0.00000     14.97     36.00     4   5.7005
#          34       0.00000     70.24      6.00     2   5.7276
#          36       0.00000      7.12     21.00     4   5.7933
#          37       0.00000      5.26     36.00     4   5.7933
#          39       0.00000     15.03      3.00     2   5.8642
#          40       0.00000    151.80     21.00     2   5.8642
#          41       0.00000     61.76      6.00     3   5.8697
#          42       0.00000     36.07      6.00     3   5.8697
#          43       0.00000    322.60     36.00     3   5.8697
#          44       0.00000     44.19      3.00     4   5.8752
#          47       0.00000     23.94      3.00     4   5.8752
#          48       0.00000    230.20     18.00     4   5.8752
#          49       0.00000     12.14     36.00     4   5.8752
#          50       0.00000      6.38     18.00     4   5.8752
#          53       0.00000      5.13     30.00     4   5.8854
#          55       0.00000      5.93     18.00     4   5.8957
#          56       0.00000      6.10     18.00     4   5.8957
#          57       0.00000     21.49     42.00     3   5.9744
#    46/  51 paths used
#  xsedge+50, used to normalize mu           8.5375E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    5487.864    -16.570   0.000  6.53386E-01  1.26125E+00 -2.09987E-01
    5487.873    -16.560   0.050  6.62821E-01  1.27163E+00 -2.08226E-01
    5487.902    -16.532   0.100  6.72751E-01  1.28202E+00 -2.06332E-01
    5487.949    -16.484   0.150  7.04915E-01  1.31343E+00 -2.00164E-01
    5488.016    -16.417   0.200  7.41457E-01  1.34483E+00 -1.92940E-01
    5488.102    -16.332   0.250  8.08395E-01  1.39698E+00 -1.79952E-01
    5488.207    -16.227   0.300  8.86335E-01  1.44913E+00 -1.64833E-01
    5488.330    -16.103   0.350  1.00231E+00  1.51923E+00 -1.43634E-01
    5488.473    -15.960   0.400  1.13409E+00  1.58932E+00 -1.20327E-01
    5488.635    -15.798   0.450  1.30190E+00  1.67030E+00 -9.30168E-02
    5488.816    -15.617   0.500  1.48128E+00  1.75127E+00 -6.52513E-02
    5489.016    -15.417   0.550  1.67719E+00  1.83191E+00 -3.66261E-02
    5489.235    -15.198   0.600  1.86967E+00  1.91255E+00 -9.94793E-03
    5489.473    -14.960   0.650  2.04571E+00  1.98010E+00  1.54515E-02
    5489.731    -14.703   0.700  2.20145E+00  2.04766E+00  3.67766E-02
    5490.007    -14.427   0.750  2.31235E+00  2.09119E+00  5.53596E-02
    5490.302    -14.131   0.800  2.39724E+00  2.13473E+00  6.89349E-02
    5490.616    -13.817   0.850  2.43377E+00  2.14753E+00  8.00922E-02
    5490.950    -13.484   0.900  2.45537E+00  2.16033E+00  8.83406E-02
    5491.302    -13.131   0.950  2.44654E+00  2.14180E+00  9.79114E-02
    5491.674    -12.760   1.000  2.43622E+00  2.12327E+00  1.08475E-01
    5492.064    -12.369   1.050  2.40765E+00  2.07885E+00  1.22414E-01
    5492.474    -11.960   1.100  2.37657E+00  2.03443E+00  1.37576E-01
    5492.902    -11.531   1.150  2.32524E+00  1.97327E+00  1.51681E-01
    5493.350    -11.083   1.200  2.26079E+00  1.91210E+00  1.61876E-01
    5493.817    -10.617   1.250  2.17252E+00  1.84370E+00  1.62934E-01
    5494.303    -10.131   1.300  2.06571E+00  1.77530E+00  1.54295E-01
    5494.807     -9.626   1.350  1.94219E+00  1.70714E+00  1.32584E-01
    5495.331     -9.102   1.400  1.80648E+00  1.63899E+00  1.00687E-01
    5495.874     -8.559   1.450  1.67024E+00  1.57594E+00  5.98210E-02
    5496.436     -7.997   1.500  1.53482E+00  1.51289E+00  1.47300E-02
    5497.017     -7.416   1.550  1.41360E+00  1.45736E+00 -3.08038E-02
    5497.617     -6.816   1.600  1.30354E+00  1.40184E+00 -7.27048E-02
    5498.236     -6.197   1.650  1.21491E+00  1.35469E+00 -1.07633E-01
    5498.875     -5.559   1.700  1.14123E+00  1.30755E+00 -1.33538E-01
    5499.532     -4.902   1.750  1.08903E+00  1.26870E+00 -1.49083E-01
    5500.208     -4.225   1.800  1.04996E+00  1.22984E+00 -1.54436E-01
    5500.903     -3.530   1.850  1.02877E+00  1.20048E+00 -1.50922E-01
    5501.618     -2.816   1.900  1.01623E+00  1.17112E+00 -1.39445E-01
    5502.351     -2.082   1.950  1.01982E+00  1.15230E+00 -1.21592E-01
    5503.104     -1.330   2.000  1.02614E+00  1.13348E+00 -1.00463E-01
    5503.875     -0.558   2.050  1.03611E+00  1.11816E+00 -7.83073E-02
    5504.666      0.232   2.100  1.04374E+00  1.10284E+00 -5.75324E-02
    5505.475      1.042   2.150  1.04817E+00  1.08752E+00 -3.90856E-02
    5506.304      1.871   2.200  1.04941E+00  1.07220E+00 -2.31013E-02
    5507.152      2.718   2.250  1.05024E+00  1.05835E+00 -8.35167E-03
    5508.019      3.585   2.300  1.04918E+00  1.04450E+00  4.90335E-03
    5508.904      4.471   2.350  1.04700E+00  1.03065E+00  1.74300E-02
    5509.809      5.376   2.400  1.04389E+00  1.01680E+00  2.93755E-02
    5510.733      6.300   2.450  1.04422E+00  1.00610E+00  4.17695E-02
    5511.676      7.243   2.500  1.04206E+00  9.95404E-01  5.16848E-02
    5512.638      8.205   2.550  1.03585E+00  9.84705E-01  5.72686E-02
    5513.619      9.186   2.600  1.02473E+00  9.74007E-01  5.74241E-02
    5514.619     10.186   2.650  1.01713E+00  9.68540E-01  5.50510E-02
    5515.639     11.205   2.700  1.00564E+00  9.63073E-01  4.82526E-02
    5516.677     12.243   2.750  9.91444E-01  9.57606E-01  3.83835E-02
    5517.734     13.300   2.800  9.75934E-01  9.52138E-01  2.70081E-02
    5518.810     14.377   2.850  9.63207E-01  9.53168E-01  1.13237E-02
    5519.906     15.472   2.900  9.51941E-01  9.54197E-01 -2.52837E-03
    5521.020     16.587   2.950  9.44791E-01  9.55226E-01 -1.16243E-02
    5522.154     17.720   3.000  9.42060E-01  9.56256E-01 -1.57164E-02
    5523.306     18.873   3.050  9.39835E-01  9.59554E-01 -2.16435E-02
    5524.478     20.044   3.100  9.42742E-01  9.62852E-01 -2.18848E-02
    5525.668     21.235   3.150  9.51051E-01  9.66151E-01 -1.62933E-02
    5526.878     22.444   3.200  9.63523E-01  9.69449E-01 -6.34107E-03
    5528.107     23.673   3.250  9.77554E-01  9.74293E-01  3.45634E-03
    5529.354     24.921   3.300  9.92628E-01  9.79137E-01  1.41709E-02
    5530.621     26.188   3.350  1.00676E+00  9.83981E-01  2.37062E-02
    5531.907     27.474   3.400  1.01811E+00  9.88825E-01  3.02047E-02
    5533.212     28.779   3.450  1.02432E+00  9.92557E-01  3.25247E-02
    5534.536     30.102   3.500  1.02609E+00  9.96290E-01  3.02847E-02
    5535.879     31.446   3.550  1.02354E+00  1.00002E+00  2.37254E-02
    5537.241     32.808   3.600  1.01750E+00  1.00375E+00  1.37736E-02
    5538.622     34.189   3.650  1.00742E+00  1.00549E+00  1.92993E-03
    5540.022     35.589   3.700  9.96664E-01  1.00723E+00 -1.04979E-02
    5541.442     37.008   3.750  9.86452E-01  1.00896E+00 -2.22866E-02
    5542.880     38.446   3.800  9.77692E-01  1.01070E+00 -3.25514E-02
