# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=26 Rmt= 1.408 Rnm= 1.475 K  shell
# # Pot 1 Z=26 Rmt= 1.390 Rnm= 1.453
# # Pot 2 Z=14 Rmt= 1.374 Rnm= 1.434
# # Pot 3 Z=57 Rmt= 1.934 Rnm= 1.945
# # Gam_ch=1.309E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.628E+01 kf=2.009E+00 Vint=-2.394E+01 Rs_int= 1.805
# # PATH  Rmax= 5.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      7.00     2   2.4817
#           2       0.00000     15.06      1.00     2   2.4817
#           3       0.00000      9.84     16.00     3   3.7636
#           4       0.00000     31.12      6.00     2   3.9599
#           5       0.00000      7.99      2.00     2   3.9599
#           6       0.00000      8.76     16.00     3   4.5130
#           7       0.00000      6.08     12.00     3   4.6066
#           8       0.00000     15.91      5.00     2   4.8049
#           9       0.00000     19.08      8.00     3   4.8375
#          10       0.00000      7.90      2.00     3   4.8375
#          11       0.00000      8.31      4.00     4   4.8701
#          12       0.00000      4.66      1.00     4   4.8701
#          13       0.00000      6.97      4.00     3   4.9633
#          14       0.00000      6.43      4.00     4   4.9633
#          15       0.00000      5.22      7.00     4   4.9633
#          16       0.00000     18.41      4.00     2   4.9796
#          17       0.00000     10.82     20.00     3   5.3978
#    17/  17 paths used
#  xsedge+50, used to normalize mu           3.2106E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7119.138    -16.279   0.000  2.48835E-01  2.60136E-01 -2.59164E-02
    7119.147    -16.269   0.050  2.52089E-01  2.64674E-01 -2.87912E-02
    7119.176    -16.240   0.100  2.55347E-01  2.69212E-01 -3.16412E-02
    7119.224    -16.193   0.150  2.65331E-01  2.82748E-01 -3.94540E-02
    7119.290    -16.126   0.200  2.75392E-01  2.96284E-01 -4.69785E-02
    7119.376    -16.040   0.250  2.91176E-01  3.17054E-01 -5.74955E-02
    7119.481    -15.936   0.300  3.07295E-01  3.37825E-01 -6.70278E-02
    7119.605    -15.812   0.350  3.25461E-01  3.61353E-01 -7.75262E-02
    7119.748    -15.669   0.400  3.44411E-01  3.84880E-01 -8.60250E-02
    7119.909    -15.507   0.450  3.61763E-01  4.07077E-01 -9.44215E-02
    7120.090    -15.326   0.500  3.80400E-01  4.29274E-01 -9.98689E-02
    7120.290    -15.126   0.550  3.96452E-01  4.49195E-01 -1.05336E-01
    7120.510    -14.907   0.600  4.14132E-01  4.69116E-01 -1.07380E-01
    7120.748    -14.669   0.650  4.29607E-01  4.87543E-01 -1.10327E-01
    7121.005    -14.412   0.700  4.46740E-01  5.05971E-01 -1.10052E-01
    7121.281    -14.135   0.750  4.62277E-01  5.23788E-01 -1.11263E-01
    7121.576    -13.840   0.800  4.80200E-01  5.41604E-01 -1.08208E-01
    7121.891    -13.526   0.850  5.03297E-01  5.59334E-01 -9.60485E-02
    7122.224    -13.192   0.900  5.29991E-01  5.77064E-01 -7.85353E-02
    7122.576    -12.840   0.950  5.53528E-01  5.94930E-01 -6.71646E-02
    7122.948    -12.469   1.000  5.69884E-01  6.12796E-01 -6.77427E-02
    7123.338    -12.078   1.050  5.74597E-01  6.30808E-01 -8.63117E-02
    7123.748    -11.669   1.100  5.70729E-01  6.48820E-01 -1.16718E-01
