# # Cobalt                                                       FEFF 9.6.4  
# # Wyckoff
# # Second
# # Hexagonal
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.327 Rnm= 1.387 K  shell
# # Pot 1 Z=27 Rmt= 1.445 Rnm= 1.534
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr=-1.000E+00
# # Mu=-1.505E+01 kf=1.801E+00 Vint=-1.864E+01 Rs_int= 2.013
# # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.4967
#           2       0.00000     99.06      6.00     2   2.5071
#           3       0.00000     44.10      6.00     2   3.5382
#           4       0.00000     11.46     12.00     3   3.7502
#           5       0.00000     23.09     24.00     3   3.7503
#           6       0.00000     11.35     12.00     3   3.7606
#           7       0.00000     12.02     24.00     3   4.2710
#           8       0.00000     10.25     24.00     3   4.2710
#           9       0.00000     10.24     24.00     3   4.2710
#          10       0.00000     14.12     24.00     3   4.6701
#          11       0.00000      6.97     12.00     3   4.6783
#          12       0.00000     15.03     12.00     3   4.8862
#          13       0.00000      8.77     12.00     4   4.9934
#          14       0.00000      6.85      6.00     4   4.9934
#    14/  14 paths used
#  xsedge+50, used to normalize mu           2.7661E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7720.176    -14.038   0.050 -2.78628E-01  5.46467E-01 -8.69591E-01
    7720.205    -14.010   0.100 -2.58777E-01  5.55523E-01 -8.55059E-01
    7720.253    -13.962   0.150 -2.01712E-01  5.82464E-01 -8.14704E-01
    7720.319    -13.895   0.200 -1.44935E-01  6.09404E-01 -7.75493E-01
    7720.405    -13.810   0.250 -5.92189E-02  6.51505E-01 -7.18753E-01
    7720.510    -13.705   0.300  2.54174E-02  6.93606E-01 -6.64907E-01
    7720.634    -13.581   0.350  1.24197E-01  7.42811E-01 -6.03154E-01
    7720.777    -13.438   0.400  2.20512E-01  7.92017E-01 -5.46200E-01
    7720.938    -13.276   0.450  3.16344E-01  8.39297E-01 -4.88861E-01
    7721.119    -13.095   0.500  4.08222E-01  8.86578E-01 -4.37596E-01
    7721.319    -12.895   0.550  4.91921E-01  9.27787E-01 -3.90196E-01
    7721.539    -12.676   0.600  5.70869E-01  9.68996E-01 -3.48946E-01
    7721.777    -12.438   0.650  6.39178E-01  1.00355E+00 -3.13310E-01
    7722.034    -12.181   0.700  7.02876E-01  1.03811E+00 -2.82891E-01
    7722.310    -11.905   0.750  7.54824E-01  1.06612E+00 -2.58750E-01
    7722.605    -11.609   0.800  8.02610E-01  1.09413E+00 -2.38730E-01
    7722.920    -11.295   0.850  8.38079E-01  1.11553E+00 -2.24898E-01
    7723.253    -10.962   0.900  8.69531E-01  1.13693E+00 -2.14569E-01
    7723.605    -10.609   0.950  8.88495E-01  1.15165E+00 -2.10096E-01
    7723.977    -10.238   1.000  9.03486E-01  1.16637E+00 -2.08824E-01
    7724.367     -9.847   1.050  9.07836E-01  1.17462E+00 -2.11900E-01
    7724.777     -9.438   1.100  9.09317E-01  1.18287E+00 -2.17253E-01
    7725.206     -9.009   1.150  9.03319E-01  1.18521E+00 -2.24833E-01
    7725.653     -8.561   1.200  8.96699E-01  1.18756E+00 -2.32975E-01
    7726.120     -8.095   1.250  8.87798E-01  1.18491E+00 -2.39848E-01
    7726.606     -7.609   1.300  8.81036E-01  1.18225E+00 -2.45089E-01
    7727.111     -7.104   1.350  8.76405E-01  1.17566E+00 -2.46070E-01
    7727.634     -6.580   1.400  8.75785E-01  1.16906E+00 -2.43739E-01
    7728.177     -6.037   1.450  8.80044E-01  1.15961E+00 -2.35250E-01
    7728.739     -5.475   1.500  8.88692E-01  1.15016E+00 -2.22806E-01
    7729.320     -4.894   1.550  9.03304E-01  1.13889E+00 -2.03488E-01
    7729.920     -4.294   1.600  9.21479E-01  1.12763E+00 -1.80518E-01
    7730.540     -3.675   1.650  9.45473E-01  1.11540E+00 -1.50894E-01
    7731.178     -3.037   1.700  9.71501E-01  1.10317E+00 -1.18592E-01
    7731.835     -2.380   1.750  1.00311E+00  1.09069E+00 -7.99819E-02
    7732.511     -1.704   1.800  1.03486E+00  1.07820E+00 -4.01465E-02
    7733.207     -1.008   1.850  1.07006E+00  1.06604E+00  3.76987E-03
    7733.921     -0.294   1.900  1.10338E+00  1.05388E+00  4.70974E-02
    7734.654      0.440   1.950  1.13688E+00  1.04235E+00  9.10400E-02
    7735.407      1.192   2.000  1.16461E+00  1.03083E+00  1.30458E-01
    7736.178      1.964   2.050  1.18449E+00  1.02441E+00  1.57729E-01
    7736.969      2.754   2.100  1.19522E+00  1.01799E+00  1.76459E-01
    7737.779      3.564   2.150  1.19504E+00  1.01157E+00  1.84613E-01
    7738.607      4.392   2.200  1.18332E+00  1.00515E+00  1.81199E-01
    7739.455      5.240   2.250  1.17181E+00  9.99750E-01  1.76920E-01
    7740.322      6.107   2.300  1.15151E+00  9.94350E-01  1.63403E-01
    7741.208      6.993   2.350  1.12383E+00  9.88951E-01  1.41817E-01
    7742.112      7.898   2.400  1.09072E+00  9.83552E-01  1.13964E-01
    7743.036      8.822   2.450  1.05458E+00  9.77478E-01  8.25663E-02
    7743.979      9.765   2.500  1.01755E+00  9.71404E-01  4.97689E-02
    7744.941     10.727   2.550  9.82310E-01  9.65331E-01  1.84427E-02
    7745.922     11.708   2.600  9.51265E-01  9.59257E-01 -8.74378E-03
    7746.923     12.708   2.650  9.25574E-01  9.56702E-01 -3.40730E-02
    7747.942     13.727   2.700  9.06889E-01  9.54147E-01 -5.17571E-02
    7748.980     14.765   2.750  8.96554E-01  9.51591E-01 -6.03093E-02
    7750.037     15.822   2.800  8.94914E-01  9.49036E-01 -5.93383E-02
    7751.114     16.899   2.850  8.94904E-01  9.49068E-01 -5.92116E-02
    7752.209     17.994   2.900  9.03174E-01  9.49099E-01 -5.00609E-02
    7753.323     19.109   2.950  9.18934E-01  9.49131E-01 -3.28215E-02
    7754.457     20.242   3.000  9.40181E-01  9.49162E-01 -9.73367E-03
    7755.609     21.395   3.050  9.59831E-01  9.51365E-01  9.12872E-03
    7756.781     22.566   3.100  9.82584E-01  9.53567E-01  3.11262E-02
    7757.971     23.757   3.150  1.00672E+00  9.55770E-01  5.43749E-02
