# # Once                                                         FEFF 9.6.4  
# # POT  SCF  30  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.339 Rnm= 1.391 K  shell
# # Pot 1 Z=62 Rmt= 1.642 Rnm= 1.692
# # Pot 2 Z=27 Rmt= 1.346 Rnm= 1.400
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.761E+01 kf=2.043E+00 Vint=-2.598E+01 Rs_int= 1.775
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   2.4133
#           2       0.00000     95.56      4.00     2   2.4686
#           3       0.00000     21.93      1.00     2   2.5745
#           4       0.00000     60.59      3.00     2   3.1586
#           5       0.00000     16.39     16.00     3   3.6752
#           6       0.00000      8.13      1.00     2   3.9912
#           7       0.00000     15.44      2.00     2   4.0755
#           8       0.00000     29.00      4.00     2   4.1800
#           9       0.00000     10.95     12.00     3   4.2069
#          10       0.00000     56.89      8.00     2   4.2121
#          11       0.00000     13.70      2.00     2   4.2751
#          13       0.00000      8.93      8.00     3   4.5033
#          14       0.00000      7.61      8.00     3   4.5063
#          15       0.00000     13.54     16.00     3   4.5470
#          16       0.00000     16.66     16.00     3   4.5470
#          17       0.00000      7.40      8.00     3   4.6315
#          18       0.00000     17.12      2.00     2   4.6503
#          19       0.00000     11.48     16.00     3   4.7337
#          20       0.00000     42.14      8.00     2   4.7364
#          21       0.00000     30.08      6.00     2   4.8267
#          22       0.00000     11.61      4.00     3   4.8267
#          23       0.00000     47.16      8.00     3   4.8267
#          24       0.00000     10.55      4.00     4   4.8267
#          25       0.00000      5.47      4.00     4   4.8266
#          26       0.00000     38.11      4.00     4   4.8266
#          27       0.00000     22.19     16.00     3   4.8368
#          28       0.00000      4.68     16.00     4   4.8819
#          29       0.00000      5.64     16.00     4   4.8819
#          30       0.00000     10.69      4.00     3   4.9371
#          31       0.00000      9.57      4.00     4   4.9371
#          32       0.00000      4.96      4.00     4   4.9371
#          33       0.00000      4.69      8.00     4   4.9371
#          34       0.00000      9.16     12.00     3   5.0787
#          35       0.00000      7.81     12.00     3   5.1111
#          36       0.00000      5.85     12.00     3   5.2486
#          37       0.00000      8.01      2.00     2   5.2515
#          38       0.00000      8.48     12.00     3   5.2821
#          40       0.00000     29.38      8.00     2   5.4213
#          41       0.00000      4.62      4.00     3   5.5035
#          43       0.00000      8.27     12.00     3   5.5268
#          44       0.00000     24.78     12.00     3   5.6833
#          45       0.00000      4.10      2.00     3   5.6909
#          46       0.00000     23.93      8.00     2   5.8380
#          47       0.00000      5.87      6.00     4   5.9452
#    44/  47 paths used
#  xsedge+50, used to normalize mu           2.9068E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7718.938    -17.603   0.050  1.46201E-01  3.10014E-01 -3.07448E-01
    7718.967    -17.574   0.100  1.52204E-01  3.14939E-01 -3.04797E-01
    7719.015    -17.527   0.150  1.70248E-01  3.29641E-01 -2.96712E-01
    7719.081    -17.460   0.200  1.89310E-01  3.44344E-01 -2.86843E-01
    7719.167    -17.374   0.250  2.20415E-01  3.67150E-01 -2.68793E-01
    7719.272    -17.270   0.300  2.51736E-01  3.89955E-01 -2.50706E-01
    7719.396    -17.146   0.350  2.92485E-01  4.16307E-01 -2.21606E-01
    7719.538    -17.003   0.400  3.36511E-01  4.42659E-01 -1.87481E-01
    7719.700    -16.841   0.450  3.88972E-01  4.67768E-01 -1.36917E-01
    7719.881    -16.660   0.500  4.44266E-01  4.92878E-01 -8.31218E-02
    7720.081    -16.460   0.550  5.01329E-01  5.15053E-01 -2.30328E-02
    7720.300    -16.241   0.600  5.55646E-01  5.37228E-01  3.03495E-02
    7720.539    -16.003   0.650  5.98211E-01  5.57009E-01  6.65253E-02
    7720.796    -15.746   0.700  6.31610E-01  5.76789E-01  8.67658E-02
    7721.072    -15.469   0.750  6.46366E-01  5.95094E-01  7.94310E-02
    7721.367    -15.174   0.800  6.48180E-01  6.13399E-01  5.27652E-02
    7721.682    -14.860   0.850  6.30605E-01  6.30848E-01 -3.60458E-04
    7722.015    -14.527   0.900  6.00867E-01  6.48298E-01 -6.89124E-02
    7722.367    -14.174   0.950  5.56957E-01  6.65200E-01 -1.53890E-01
    7722.739    -13.803   1.000  5.07404E-01  6.82102E-01 -2.43150E-01
    7723.129    -13.412   1.050  4.54986E-01  6.98493E-01 -3.31849E-01
    7723.539    -13.003   1.100  4.06685E-01  7.14884E-01 -4.11427E-01
    7723.968    -12.574   1.150  3.68103E-01  7.30687E-01 -4.74420E-01
    7724.415    -12.126   1.200  3.43635E-01  7.46491E-01 -5.16854E-01
    7724.882    -11.659   1.250  3.36072E-01  7.61560E-01 -5.35805E-01
    7725.368    -11.174   1.300  3.48108E-01  7.76630E-01 -5.29834E-01
    7725.873    -10.669   1.350  3.78008E-01  7.90769E-01 -5.01747E-01
    7726.396    -10.145   1.400  4.25483E-01  8.04909E-01 -4.53581E-01
    7726.939     -9.602   1.450  4.87435E-01  8.17943E-01 -3.89143E-01
    7727.501     -9.040   1.500  5.60522E-01  8.30978E-01 -3.13703E-01
    7728.082     -8.459   1.550  6.41205E-01  8.42770E-01 -2.30716E-01
    7728.682     -7.859   1.600  7.23952E-01  8.54562E-01 -1.47556E-01
    7729.301     -7.240   1.650  8.05243E-01  8.64983E-01 -6.67347E-02
    7729.940     -6.602   1.700  8.79300E-01  8.75405E-01  4.30310E-03
    7730.597     -5.945   1.750  9.43462E-01  8.84396E-01  6.46436E-02
    7731.273     -5.268   1.800  9.94288E-01  8.93386E-01  1.09413E-01
    7731.968     -4.573   1.850  1.03064E+00  9.00898E-01  1.39648E-01
    7732.683     -3.859   1.900  1.05304E+00  9.08409E-01  1.54534E-01
    7733.416     -3.125   1.950  1.06197E+00  9.14414E-01  1.56777E-01
    7734.169     -2.373   2.000  1.06119E+00  9.20418E-01  1.48735E-01
    7734.940     -1.601   2.050  1.05272E+00  9.24338E-01  1.35200E-01
    7735.731     -0.811   2.100  1.04050E+00  9.28258E-01  1.17831E-01
    7736.540     -0.001   2.150  1.02634E+00  9.32178E-01  9.85314E-02
    7737.369      0.828   2.200  1.01127E+00  9.36098E-01  7.84076E-02
    7738.217      1.675   2.250  9.92344E-01  9.36922E-01  5.78471E-02
    7739.084      2.542   2.300  9.72648E-01  9.37746E-01  3.64510E-02
    7739.969      3.428   2.350  9.53441E-01  9.38570E-01  1.55412E-02
    7740.874      4.333   2.400  9.36653E-01  9.39393E-01 -2.86576E-03
    7741.798      5.257   2.450  9.29556E-01  9.44274E-01 -1.53694E-02
    7742.741      6.200   2.500  9.28481E-01  9.49155E-01 -2.15590E-02
    7743.703      7.162   2.550  9.33619E-01  9.54036E-01 -2.12618E-02
