# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.359 Rnm= 1.433 K  shell
# # Pot 1 Z=62 Rmt= 1.910 Rnm= 2.006
# # Pot 2 Z=27 Rmt= 1.456 Rnm= 1.570
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.315E+01 kf=1.725E+00 Vint=-1.645E+01 Rs_int= 2.102
# # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.800  Temp= 290.00  Debye_temp= 275.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00965    100.00      6.00     2   2.4522
#           2       0.00866     45.11      3.00     2   2.8879
#           3       0.01166     32.99      3.00     2   2.8879
#           4       0.01095     15.17     12.00     3   3.7027
#           5       0.01176     11.60     12.00     3   3.8961
#           6       0.01473      9.57      2.00     2   3.9640
#           7       0.01030     15.84     24.00     3   4.2656
#           8       0.01411      6.45     12.00     3   4.4342
#           9       0.01526     14.19     12.00     3   4.7957
#          10       0.01611     12.30     12.00     4   4.9044
#          11       0.03860      7.90      6.00     4   4.9044
#    11/  11 paths used
#  xsedge+50, used to normalize mu           2.7440E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7718.148    -13.149   0.000 -1.20101E-01  4.51018E-01 -8.29136E-01
    7718.157    -13.140   0.050 -1.15446E-01  4.58432E-01 -8.27434E-01
    7718.186    -13.111   0.100 -1.10122E-01  4.65846E-01 -8.24797E-01
    7718.234    -13.064   0.150 -9.33404E-02  4.88283E-01 -8.16282E-01
    7718.300    -12.997   0.200 -7.16385E-02  5.10719E-01 -8.01330E-01
    7718.386    -12.911   0.250 -3.48933E-02  5.46774E-01 -7.75605E-01
    7718.491    -12.806   0.300  1.14356E-02  5.82829E-01 -7.39029E-01
    7718.615    -12.683   0.350  6.37623E-02  6.27449E-01 -7.00771E-01
    7718.757    -12.540   0.400  1.27649E-01  6.72068E-01 -6.51536E-01
    7718.919    -12.378   0.450  1.87903E-01  7.19161E-01 -6.08491E-01
    7719.100    -12.197   0.500  2.59491E-01  7.66254E-01 -5.56542E-01
    7719.300    -11.997   0.550  3.21176E-01  8.12480E-01 -5.16258E-01
    7719.519    -11.778   0.600  3.92778E-01  8.58705E-01 -4.69320E-01
    7719.758    -11.540   0.650  4.53438E-01  9.02576E-01 -4.34352E-01
    7720.015    -11.282   0.700  5.21039E-01  9.46447E-01 -3.95613E-01
    7720.291    -11.006   0.750  5.76585E-01  9.86459E-01 -3.68262E-01
    7720.586    -10.711   0.800  6.35032E-01  1.02647E+00 -3.40182E-01
    7720.901    -10.397   0.850  6.79573E-01  1.06077E+00 -3.22658E-01
    7721.234    -10.063   0.900  7.24464E-01  1.09507E+00 -3.05736E-01
    7721.586     -9.711   0.950  7.59668E-01  1.12199E+00 -2.93663E-01
    7721.958     -9.339   1.000  7.95437E-01  1.14891E+00 -2.81557E-01
    7722.348     -8.949   1.050  8.28500E-01  1.16748E+00 -2.67525E-01
    7722.758     -8.539   1.100  8.61537E-01  1.18605E+00 -2.53770E-01
    7723.187     -8.111   1.150  8.91326E-01  1.19625E+00 -2.38011E-01
    7723.634     -7.663   1.200  9.18727E-01  1.20645E+00 -2.24171E-01
    7724.101     -7.196   1.250  9.38329E-01  1.20909E+00 -2.11842E-01
    7724.587     -6.710   1.300  9.54685E-01  1.21172E+00 -2.01958E-01
    7725.092     -6.206   1.350  9.63738E-01  1.20814E+00 -1.93736E-01
    7725.615     -5.682   1.400  9.72076E-01  1.20456E+00 -1.85939E-01
    7726.158     -5.139   1.450  9.78288E-01  1.19634E+00 -1.76521E-01
    7726.720     -4.577   1.500  9.87824E-01  1.18813E+00 -1.64146E-01
    7727.301     -3.996   1.550  1.00135E+00  1.17679E+00 -1.45809E-01
    7727.901     -3.396   1.600  1.02035E+00  1.16544E+00 -1.22328E-01
    7728.521     -2.777   1.650  1.04451E+00  1.15229E+00 -9.22613E-02
    7729.159     -2.138   1.700  1.07150E+00  1.13914E+00 -5.87948E-02
    7729.816     -1.481   1.750  1.10136E+00  1.12526E+00 -2.10960E-02
    7730.492     -0.805   1.800  1.12958E+00  1.11138E+00  1.63172E-02
    7731.188     -0.110   1.850  1.15537E+00  1.09759E+00  5.25801E-02
    7731.902      0.605   1.900  1.17467E+00  1.08379E+00  8.39531E-02
    7732.635      1.338   1.950  1.18694E+00  1.07054E+00  1.09043E-01
    7733.388      2.091   2.000  1.18959E+00  1.05729E+00  1.25699E-01
    7734.159      2.862   2.050  1.18732E+00  1.05046E+00  1.31581E-01
    7734.950      3.653   2.100  1.17575E+00  1.04363E+00  1.28559E-01
    7735.759      4.462   2.150  1.15570E+00  1.03680E+00  1.17118E-01
    7736.588      5.291   2.200  1.12882E+00  1.02996E+00  9.85707E-02
    7737.436      6.139   2.250  1.10097E+00  1.02337E+00  7.83151E-02
    7738.303      7.006   2.300  1.07096E+00  1.01677E+00  5.53532E-02
    7739.188      7.891   2.350  1.04092E+00  1.01017E+00  3.17995E-02
    7740.093      8.796   2.400  1.01286E+00  1.00357E+00  9.73091E-03
    7741.017      9.720   2.450  9.86876E-01  9.95918E-01 -9.54848E-03
    7741.960     10.663   2.500  9.65186E-01  9.88264E-01 -2.45866E-02
    7742.922     11.625   2.550  9.48696E-01  9.80611E-01 -3.42999E-02
    7743.903     12.606   2.600  9.37636E-01  9.72958E-01 -3.82997E-02
    7744.903     13.606   2.650  9.31697E-01  9.69070E-01 -4.05970E-02
    7745.923     14.626   2.700  9.30261E-01  9.65183E-01 -3.80022E-02
    7746.961     15.664   2.750  9.33160E-01  9.61295E-01 -3.06732E-02
    7748.018     16.721   2.800  9.39606E-01  9.57408E-01 -1.94430E-02
    7749.094     17.797   2.850  9.46732E-01  9.56632E-01 -1.07893E-02
    7750.190     18.893   2.900  9.54766E-01  9.55856E-01 -1.18547E-03
    7751.304     20.007   2.950  9.63664E-01  9.55080E-01  9.31465E-03
    7752.438     21.141   3.000  9.73035E-01  9.54304E-01  2.02804E-02
    7753.590     22.293   3.050  9.81247E-01  9.55890E-01  2.73241E-02
    7754.762     23.465   3.100  9.88546E-01  9.57475E-01  3.33224E-02
    7755.952     24.655   3.150  9.94823E-01  9.59060E-01  3.81718E-02
    7757.162     25.865   3.200  9.99983E-01  9.60645E-01  4.17891E-02
    7758.391     27.094   3.250  1.00468E+00  9.63858E-01  4.30680E-02
    7759.639     28.341   3.300  1.00823E+00  9.67071E-01  4.31386E-02
    7760.905     29.608   3.350  1.01077E+00  9.70284E-01  4.21444E-02
    7762.191     30.894   3.400  1.01239E+00  9.73497E-01  4.02279E-02
    7763.496     32.199   3.450  1.01459E+00  9.78273E-01  3.72798E-02
    7764.820     33.523   3.500  1.01584E+00  9.83049E-01  3.34063E-02
    7766.163     34.866   3.550  1.01627E+00  9.87825E-01  2.87561E-02
    7767.525     36.228   3.600  1.01590E+00  9.92600E-01  2.33829E-02
    7768.906     37.609   3.650  1.01425E+00  9.97880E-01  1.62925E-02
    7770.307     39.009   3.700  1.01193E+00  1.00316E+00  8.66050E-03
    7771.726     40.429   3.750  1.00916E+00  1.00844E+00  7.02769E-04
    7773.164     41.867   3.800  1.00616E+00  1.01372E+00 -7.34408E-03
    7774.621     43.324   3.850  1.00347E+00  1.01951E+00 -1.54732E-02
    7776.098     44.801   3.900  1.00149E+00  1.02530E+00 -2.27911E-02
    7777.593     46.296   3.950  1.00058E+00  1.03109E+00 -2.89803E-02
    7779.108     47.810   4.000  1.00104E+00  1.03688E+00 -3.37782E-02
    7780.641     49.344   4.050  1.00304E+00  1.04215E+00 -3.66180E-02
    7782.194     50.897   4.100  1.00693E+00  1.04742E+00 -3.76583E-02
    7783.765     52.468   4.150  1.01263E+00  1.05270E+00 -3.70120E-02
    7785.356     54.059   4.200  1.01994E+00  1.05797E+00 -3.48978E-02
    7786.966     55.669   4.250  1.02797E+00  1.06230E+00 -3.13357E-02
    7788.594     57.297   4.300  1.03689E+00  1.06662E+00 -2.70022E-02
    7790.242     58.945   4.350  1.04630E+00  1.07095E+00 -2.22730E-02
    7791.909     60.612   4.400  1.05584E+00  1.07528E+00 -1.74725E-02
    7793.595     62.298   4.450  1.06408E+00  1.07830E+00 -1.27389E-02
    7795.300     64.003   4.500  1.07195E+00  1.08132E+00 -8.36722E-03
    7797.024     65.727   4.550  1.07940E+00  1.08434E+00 -4.40229E-03
    7798.767     67.470   4.600  1.08646E+00  1.08737E+00 -8.02469E-04
    7800.529     69.232   4.650  1.09160E+00  1.08864E+00  2.62835E-03
    7802.310     71.013   4.700  1.09656E+00  1.08991E+00  5.89203E-03
    7804.111     72.813   4.750  1.10145E+00  1.09118E+00  9.08727E-03
    7805.930     74.633   4.800  1.10632E+00  1.09245E+00  1.22654E-02
    7807.768     76.471   4.850  1.10956E+00  1.09218E+00  1.53826E-02
    7809.626     78.328   4.900  1.11264E+00  1.09191E+00  1.83580E-02
    7811.502     80.205   4.950  1.11539E+00  1.09164E+00  2.10599E-02
    7813.397     82.100   5.000  1.11766E+00  1.09137E+00  2.33290E-02
    7815.312     84.015   5.050  1.11774E+00  1.08974E+00  2.49104E-02
    7817.246     85.948   5.100  1.11699E+00  1.08811E+00  2.57507E-02
    7819.198     87.901   5.150  1.11530E+00  1.08648E+00  2.57636E-02
    7821.170     89.873   5.200  1.11266E+00  1.08485E+00  2.49186E-02
    7823.161     91.863   5.250  1.10809E+00  1.08231E+00  2.31811E-02
    7825.170     93.873   5.300  1.10267E+00  1.07976E+00  2.06730E-02
    7827.199     95.902   5.350  1.09652E+00  1.07722E+00  1.74776E-02
    7829.247     97.950   5.400  1.08973E+00  1.07468E+00  1.36868E-02
    7831.314    100.017   5.450  1.08198E+00  1.07172E+00  9.36563E-03
    7833.400    102.103   5.500  1.07381E+00  1.06876E+00  4.62635E-03
    7835.505    104.208   5.550  1.06532E+00  1.06581E+00 -4.50124E-04
    7837.629    106.332   5.600  1.05660E+00  1.06285E+00 -5.76998E-03
    7839.772    108.475   5.650  1.04785E+00  1.05990E+00 -1.11722E-02
    7841.934    110.637   5.700  1.03923E+00  1.05696E+00 -1.64959E-02
    7844.115    112.818   5.750  1.03096E+00  1.05401E+00 -2.15282E-02
    7846.316    115.019   5.800  1.02331E+00  1.05106E+00 -2.60119E-02
    7848.535    117.238   5.850  1.01706E+00  1.04861E+00 -2.96638E-02
    7850.773    119.476   5.900  1.01205E+00  1.04615E+00 -3.21623E-02
    7853.031    121.734   5.950  1.00856E+00  1.04369E+00 -3.32414E-02
    7855.307    124.010   6.000  1.00677E+00  1.04123E+00 -3.27083E-02
    7857.603    126.306   6.050  1.00793E+00  1.03995E+00 -3.04411E-02
    7859.917    128.620   6.100  1.01073E+00  1.03867E+00 -2.66109E-02
    7862.251    130.954   6.150  1.01502E+00  1.03740E+00 -2.13401E-02
    7864.604    133.307   6.200  1.02055E+00  1.03612E+00 -1.48764E-02
    7866.975    135.678   6.250  1.02691E+00  1.03484E+00 -7.59239E-03
    7869.366    138.069   6.300  1.03361E+00  1.03357E+00  4.12306E-05
    7871.776    140.479   6.350  1.04012E+00  1.03229E+00  7.50981E-03
    7874.205    142.908   6.400  1.04592E+00  1.03102E+00  1.43227E-02
    7876.653    145.356   6.450  1.05060E+00  1.02974E+00  2.00783E-02
    7879.120    147.823   6.500  1.05389E+00  1.02846E+00  2.45083E-02
    7881.606    150.309   6.550  1.05729E+00  1.02869E+00  2.75579E-02
    7884.111    152.814   6.600  1.05923E+00  1.02892E+00  2.91881E-02
    7886.635    155.338   6.650  1.05975E+00  1.02916E+00  2.94564E-02
    7889.178    157.881   6.700  1.05898E+00  1.02939E+00  2.84807E-02
    7891.740    160.443   6.750  1.05708E+00  1.02962E+00  2.64130E-02
    7894.322    163.024   6.800  1.05420E+00  1.02985E+00  2.34155E-02
    7896.922    165.625   6.850  1.05052E+00  1.03008E+00  1.96460E-02
    7899.541    168.244   6.900  1.04619E+00  1.03031E+00  1.52515E-02
    7902.180    170.882   6.950  1.04134E+00  1.03054E+00  1.03723E-02
    7904.837    173.540   7.000  1.03614E+00  1.03077E+00  5.15185E-03
    7907.514    176.216   7.050  1.03089E+00  1.03116E+00 -2.56328E-04
    7910.209    178.912   7.100  1.02557E+00  1.03154E+00 -5.72591E-03
    7912.924    181.627   7.150  1.02039E+00  1.03192E+00 -1.10473E-02
    7915.657    184.360   7.200  1.01563E+00  1.03230E+00 -1.59737E-02
    7918.410    187.113   7.250  1.01155E+00  1.03268E+00 -2.02341E-02
    7921.182    189.885   7.300  1.00845E+00  1.03306E+00 -2.35564E-02
    7923.973    192.676   7.350  1.00658E+00  1.03344E+00 -2.56966E-02
    7926.783    195.485   7.400  1.00614E+00  1.03383E+00 -2.64711E-02
    7929.611    198.314   7.450  1.00723E+00  1.03421E+00 -2.57840E-02
    7932.459    201.162   7.500  1.00983E+00  1.03459E+00 -2.36466E-02
    7935.326    204.029   7.550  1.01260E+00  1.03381E+00 -2.02802E-02
    7938.213    206.915   7.600  1.01655E+00  1.03302E+00 -1.57755E-02
    7941.118    209.821   7.650  1.02136E+00  1.03224E+00 -1.04355E-02
    7944.042    212.745   7.700  1.02664E+00  1.03146E+00 -4.62781E-03
    7946.985    215.688   7.750  1.03197E+00  1.03067E+00  1.25038E-03
    7949.947    218.650   7.800  1.03697E+00  1.02989E+00  6.80996E-03
    7952.929    221.631   7.850  1.04125E+00  1.02911E+00  1.17043E-02
    7955.929    224.632   7.900  1.04455E+00  1.02832E+00  1.56566E-02
    7958.948    227.651   7.950  1.04667E+00  1.02754E+00  1.84779E-02
    7961.987    230.690   8.000  1.04751E+00  1.02676E+00  2.00738E-02
    7965.044    233.747   8.050  1.04577E+00  1.02455E+00  2.05765E-02
    7968.121    236.824   8.100  1.04283E+00  1.02234E+00  1.99116E-02
    7971.217    239.919   8.150  1.03882E+00  1.02014E+00  1.82009E-02
    7974.331    243.034   8.200  1.03392E+00  1.01793E+00  1.56154E-02
    7977.465    246.168   8.250  1.02835E+00  1.01572E+00  1.23589E-02
    7980.618    249.321   8.300  1.02233E+00  1.01352E+00  8.65177E-03
    7983.789    252.492   8.350  1.01611E+00  1.01131E+00  4.71917E-03
    7986.980    255.683   8.400  1.00989E+00  1.00910E+00  7.80805E-04
    7990.190    258.893   8.450  1.00390E+00  1.00689E+00 -2.95656E-03
    7993.419    262.122   8.500  9.98326E-01  1.00469E+00 -6.30571E-03
    7996.667    265.370   8.550  9.94046E-01  1.00323E+00 -9.12571E-03
    7999.934    268.637   8.600  9.90408E-01  1.00178E+00 -1.13185E-02
    8003.220    271.923   8.650  9.87502E-01  1.00033E+00 -1.27904E-02
    8006.526    275.228   8.700  9.85376E-01  9.98871E-01 -1.34878E-02
    8009.850    278.553   8.750  9.84037E-01  9.97417E-01 -1.34015E-02
    8013.193    281.896   8.800  9.83441E-01  9.95963E-01 -1.25685E-02
    8016.555    285.258   8.850  9.83502E-01  9.94509E-01 -1.10714E-02
    8019.937    288.640   8.900  9.84092E-01  9.93055E-01 -9.03429E-03
    8023.337    292.040   8.950  9.85053E-01  9.91601E-01 -6.61441E-03
    8026.757    295.459   9.000  9.86205E-01  9.90147E-01 -3.99023E-03
    8030.195    298.898   9.050  9.87714E-01  9.89062E-01 -1.36556E-03
    8033.653    302.356   9.100  9.89095E-01  9.87977E-01  1.13492E-03
    8037.129    305.832   9.150  9.90196E-01  9.86891E-01  3.35607E-03
    8040.625    309.328   9.200  9.90896E-01  9.85806E-01  5.17423E-03
    8044.140    312.842   9.250  9.91114E-01  9.84720E-01  6.50587E-03
    8047.673    316.376   9.300  9.90812E-01  9.83635E-01  7.31163E-03
    8051.226    319.929   9.350  9.89998E-01  9.82549E-01  7.59560E-03
    8054.798    323.501   9.400  9.88713E-01  9.81464E-01  7.40014E-03
    8058.389    327.092   9.450  9.87030E-01  9.80378E-01  6.79742E-03
    8061.999    330.702   9.500  9.85039E-01  9.79293E-01  5.87896E-03
    8065.628    334.331   9.550  9.83479E-01  9.78803E-01  4.78511E-03
    8069.276    337.979   9.600  9.81791E-01  9.78312E-01  3.56111E-03
    8072.943    341.646   9.650  9.80065E-01  9.77822E-01  2.29626E-03
    8076.629    345.332   9.700  9.78374E-01  9.77332E-01  1.06790E-03
    8080.334    349.037   9.750  9.76781E-01  9.76841E-01 -6.17216E-05
    8084.059    352.762   9.800  9.75330E-01  9.76351E-01 -1.04633E-03
    8087.802    356.505   9.850  9.74051E-01  9.75861E-01 -1.85473E-03
    8091.564    360.267   9.900  9.72961E-01  9.75370E-01 -2.46887E-03
    8095.346    364.049   9.950  9.72069E-01  9.74880E-01 -2.88160E-03
    8099.146    367.849  10.000  9.71371E-01  9.74389E-01 -3.09469E-03
    8102.966    371.669  10.050  9.70304E-01  9.73375E-01 -3.15231E-03
    8106.804    375.507  10.100  9.69396E-01  9.72361E-01 -3.04672E-03
    8110.662    379.365  10.150  9.68627E-01  9.71347E-01 -2.79739E-03
    8114.539    383.241  10.200  9.67973E-01  9.70333E-01 -2.42891E-03
    8118.434    387.137  10.250  9.67406E-01  9.69319E-01 -1.97050E-03
    8122.349    391.052  10.300  9.66894E-01  9.68305E-01 -1.45516E-03
    8126.283    394.986  10.350  9.66402E-01  9.67292E-01 -9.18242E-04
    8130.236    398.939  10.400  9.65895E-01  9.66278E-01 -3.95528E-04
    8134.208    402.911  10.450  9.65340E-01  9.65264E-01  7.92830E-05
    8138.199    406.901  10.500  9.64711E-01  9.64250E-01  4.77276E-04
    8142.209    410.911  10.550  9.63986E-01  9.63236E-01  7.76902E-04
    8146.238    414.941  10.600  9.63154E-01  9.62222E-01  9.66021E-04
    8150.286    418.989  10.650  9.62213E-01  9.61208E-01  1.04305E-03
    8154.353    423.056  10.700  9.61173E-01  9.60194E-01  1.01696E-03
    8158.439    427.142  10.750  9.60051E-01  9.59180E-01  9.06059E-04
    8162.544    431.247  10.800  9.58873E-01  9.58166E-01  7.35643E-04
    8166.669    435.372  10.850  9.57665E-01  9.57152E-01  5.34883E-04
    8170.812    439.515  10.900  9.56457E-01  9.56138E-01  3.33286E-04
    8174.974    443.677  10.950  9.55274E-01  9.55124E-01  1.57270E-04
    8179.156    447.859  11.000  9.54136E-01  9.54110E-01  2.72985E-05
    8183.356    452.059  11.050  9.52505E-01  9.52519E-01 -1.48717E-05
    8187.576    456.279  11.100  9.50928E-01  9.50929E-01 -9.17949E-07
    8191.815    460.517  11.150  9.49399E-01  9.49339E-01  6.33256E-05
    8196.072    464.775  11.200  9.47906E-01  9.47748E-01  1.65395E-04
    8200.349    469.052  11.250  9.46432E-01  9.46158E-01  2.88015E-04
    8204.645    473.348  11.300  9.44958E-01  9.44568E-01  4.11422E-04
    8208.960    477.662  11.350  9.43466E-01  9.42978E-01  5.15874E-04
    8213.293    481.996  11.400  9.41939E-01  9.41387E-01  5.84012E-04
    8217.646    486.349  11.450  9.40365E-01  9.39797E-01  6.02814E-04
    8222.018    490.721  11.500  9.38738E-01  9.38207E-01  5.64915E-04
    8226.409    495.112  11.550  9.37057E-01  9.36616E-01  4.69213E-04
    8230.819    499.522  11.600  9.35327E-01  9.35026E-01  3.20745E-04
    8235.248    503.951  11.650  9.33557E-01  9.33436E-01  1.29937E-04
    8239.697    508.399  11.700  9.31763E-01  9.31845E-01 -8.86476E-05
    8244.164    512.867  11.750  9.29959E-01  9.30255E-01 -3.17845E-04
    8248.650    517.353  11.800  9.28162E-01  9.28665E-01 -5.39558E-04
    8253.155    521.858  11.850  9.26390E-01  9.27074E-01 -7.36370E-04
    8257.680    526.383  11.900  9.24656E-01  9.25484E-01 -8.92974E-04
    8262.223    530.926  11.950  9.22970E-01  9.23894E-01 -9.97349E-04
    8266.786    535.488  12.000  9.21341E-01  9.22304E-01 -1.04160E-03
    8271.367    540.070  12.050  9.20253E-01  9.21210E-01 -1.03660E-03
    8275.968    544.671  12.100  9.19228E-01  9.20117E-01 -9.63489E-04
    8280.587    549.290  12.150  9.18263E-01  9.19024E-01 -8.25854E-04
    8285.226    553.929  12.200  9.17349E-01  9.17930E-01 -6.31980E-04
    8289.884    558.586  12.250  9.16475E-01  9.16837E-01 -3.94288E-04
    8294.560    563.263  12.300  9.15626E-01  9.15744E-01 -1.28448E-04
    8299.256    567.959  12.350  9.14786E-01  9.14651E-01  1.47750E-04
    8303.971    572.674  12.400  9.13938E-01  9.13557E-01  4.15712E-04
    8308.705    577.408  12.450  9.13066E-01  9.12464E-01  6.57428E-04
    8313.458    582.161  12.500  9.12154E-01  9.11371E-01  8.56833E-04
    8318.230    586.933  12.550  9.11191E-01  9.10277E-01  1.00102E-03
    8323.021    591.724  12.600  9.10170E-01  9.09184E-01  1.08120E-03
    8327.831    596.534  12.650  9.09087E-01  9.08091E-01  1.09331E-03
    8332.660    601.363  12.700  9.07942E-01  9.06998E-01  1.03824E-03
    8337.508    606.211  12.750  9.06742E-01  9.05904E-01  9.21627E-04
    8342.376    611.079  12.800  9.05495E-01  9.04811E-01  7.53275E-04
    8347.262    615.965  12.850  9.04213E-01  9.03718E-01  5.46263E-04
    8352.167    620.870  12.900  9.02911E-01  9.02624E-01  3.15802E-04
    8357.092    625.795  12.950  9.01602E-01  9.01531E-01  7.80014E-05
    8362.035    630.738  13.000  9.00301E-01  9.00438E-01 -1.51375E-04
    8366.998    635.701  13.050  8.98620E-01  8.98955E-01 -3.70421E-04
    8371.979    640.682  13.100  8.96966E-01  8.97472E-01 -5.61766E-04
    8376.980    645.683  13.150  8.95346E-01  8.95989E-01 -7.14066E-04
    8381.999    650.702  13.200  8.93770E-01  8.94506E-01 -8.18866E-04
    8387.038    655.741  13.250  8.92242E-01  8.93023E-01 -8.71055E-04
    8392.096    660.799  13.300  8.90762E-01  8.91540E-01 -8.69072E-04
    8397.173    665.876  13.350  8.89329E-01  8.90056E-01 -8.14872E-04
    8402.269    670.971  13.400  8.87937E-01  8.88573E-01 -7.13660E-04
    8407.383    676.086  13.450  8.86580E-01  8.87090E-01 -5.73435E-04
    8412.517    681.220  13.500  8.85248E-01  8.85607E-01 -4.04376E-04
    8417.670    686.373  13.550  8.83931E-01  8.84124E-01 -2.18120E-04
    8422.843    691.545  13.600  8.82617E-01  8.82641E-01 -2.69747E-05
    8428.034    696.736  13.650  8.81297E-01  8.81158E-01  1.56880E-04
    8433.244    701.947  13.700  8.79959E-01  8.79675E-01  3.22172E-04
    8438.473    707.176  13.750  8.78597E-01  8.78192E-01  4.59239E-04
    8443.721    712.424  13.800  8.77202E-01  8.76709E-01  5.60624E-04
    8448.989    717.691  13.850  8.75772E-01  8.75226E-01  6.21524E-04
    8454.275    722.978  13.900  8.74304E-01  8.73743E-01  6.40055E-04
    8459.580    728.283  13.950  8.72800E-01  8.72260E-01  6.17324E-04
    8464.905    733.608  14.000  8.71264E-01  8.70777E-01  5.57279E-04
    8470.248    738.951  14.050  8.69695E-01  8.69279E-01  4.76745E-04
    8475.611    744.314  14.100  8.68103E-01  8.67781E-01  3.69458E-04
    8480.992    749.695  14.150  8.66495E-01  8.66283E-01  2.43389E-04
    8486.393    755.096  14.200  8.64879E-01  8.64786E-01  1.07543E-04
    8491.813    760.516  14.250  8.63263E-01  8.63288E-01 -2.87054E-05
    8497.252    765.954  14.300  8.61655E-01  8.61790E-01 -1.56295E-04
    8502.709    771.412  14.350  8.60062E-01  8.60292E-01 -2.67127E-04
    8508.186    776.889  14.400  8.58489E-01  8.58794E-01 -3.54629E-04
    8513.682    782.385  14.450  8.56940E-01  8.57296E-01 -4.14179E-04
    8519.197    787.900  14.500  8.55418E-01  8.55799E-01 -4.43374E-04
    8524.731    793.434  14.550  8.53922E-01  8.54301E-01 -4.42107E-04
    8530.284    798.987  14.600  8.52450E-01  8.52803E-01 -4.12462E-04
    8535.856    804.559  14.650  8.50999E-01  8.51305E-01 -3.58437E-04
    8541.447    810.150  14.700  8.49564E-01  8.49807E-01 -2.85526E-04
    8547.058    815.760  14.750  8.48139E-01  8.48309E-01 -2.00206E-04
