# # Once                                                         FEFF 9.6.4  
# # POT  SCF  30  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.378 Rnm= 1.432 K  shell
# # Pot 1 Z=62 Rmt= 1.687 Rnm= 1.741
# # Pot 2 Z=27 Rmt= 1.386 Rnm= 1.441
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.657E+01 kf=1.954E+00 Vint=-2.390E+01 Rs_int= 1.856
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   2.4711
#           2       0.00000     93.12      4.00     2   2.5595
#           3       0.00000     21.82      1.00     2   2.6420
#           4       0.00000     60.21      3.00     2   3.2591
#           5       0.00000      7.94      1.00     2   4.1347
#           6       0.00000     14.82      2.00     2   4.2500
#           7       0.00000     29.12      4.00     2   4.2800
#           8       0.00000     56.49      8.00     2   4.3317
#           9       0.00000     13.72      2.00     2   4.3809
#          10       0.00000     16.97      2.00     2   4.7785
#          11       0.00000     40.55      8.00     2   4.9162
#          12       0.00000     29.99      6.00     2   4.9421
#          13       0.00000      7.79      2.00     2   5.4137
#          14       0.00000     28.83      8.00     2   5.5656
#    14/  15 paths used
#  xsedge+50, used to normalize mu           2.9094E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7718.053    -16.569   0.000  4.56400E-01  2.93900E-01  3.23020E-01
    7718.062    -16.560   0.050  4.59794E-01  2.98623E-01  3.19584E-01
    7718.091    -16.531   0.100  4.63156E-01  3.03346E-01  3.16101E-01
    7718.138    -16.484   0.150  4.73263E-01  3.17456E-01  3.05915E-01
    7718.205    -16.417   0.200  4.83093E-01  3.31566E-01  2.95340E-01
    7718.291    -16.331   0.250  4.98327E-01  3.53555E-01  2.78830E-01
    7718.396    -16.226   0.300  5.12900E-01  3.75544E-01  2.61448E-01
    7718.519    -16.103   0.350  5.28867E-01  4.01191E-01  2.39165E-01
    7718.662    -15.960   0.400  5.43740E-01  4.26838E-01  2.15563E-01
    7718.824    -15.798   0.450  5.54844E-01  4.51678E-01  1.86586E-01
    7719.005    -15.617   0.500  5.64390E-01  4.76518E-01  1.55936E-01
    7719.205    -15.417   0.550  5.66480E-01  4.98935E-01  1.17261E-01
    7719.424    -15.198   0.600  5.66558E-01  5.21352E-01  7.68112E-02
    7719.662    -14.960   0.650  5.57202E-01  5.41814E-01  2.55331E-02
    7719.919    -14.702   0.700  5.45564E-01  5.62276E-01 -2.70953E-02
    7720.196    -14.426   0.750  5.23456E-01  5.81572E-01 -9.19206E-02
    7720.491    -14.131   0.800  4.99398E-01  6.00868E-01 -1.56664E-01
    7720.805    -13.817   0.850  4.65401E-01  6.19498E-01 -2.32062E-01
    7721.139    -13.483   0.900  4.31276E-01  6.38129E-01 -3.04025E-01
    7721.491    -13.131   0.950  3.90820E-01  6.56271E-01 -3.80718E-01
    7721.863    -12.759   1.000  3.54462E-01  6.74413E-01 -4.48049E-01
