# # Once                                                         FEFF 9.6.4  
# # POT  SCF  30  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.339 Rnm= 1.391 K  shell
# # Pot 1 Z=62 Rmt= 1.642 Rnm= 1.692
# # Pot 2 Z=27 Rmt= 1.346 Rnm= 1.400
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.761E+01 kf=2.043E+00 Vint=-2.598E+01 Rs_int= 1.775
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   2.4133
#           2       0.00000     95.56      4.00     2   2.4686
#           3       0.00000     21.93      1.00     2   2.5745
#           4       0.00000     60.59      3.00     2   3.1586
#           5       0.00000      8.13      1.00     2   3.9912
#           6       0.00000     15.44      2.00     2   4.0755
#           7       0.00000     29.00      4.00     2   4.1800
#           8       0.00000     56.89      8.00     2   4.2121
#           9       0.00000     13.70      2.00     2   4.2751
#          10       0.00000     17.12      2.00     2   4.6503
#          11       0.00000     42.14      8.00     2   4.7364
#          12       0.00000     30.08      6.00     2   4.8266
#          13       0.00000      8.01      2.00     2   5.2515
#          14       0.00000     29.38      8.00     2   5.4213
#          16       0.00000     23.93      8.00     2   5.8380
#    15/  16 paths used
#  xsedge+50, used to normalize mu           2.9068E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7718.938    -17.603   0.050  4.64881E-01  3.10014E-01  2.90657E-01
    7718.967    -17.574   0.100  4.68526E-01  3.14939E-01  2.87663E-01
    7719.015    -17.527   0.150  4.79491E-01  3.29641E-01  2.78947E-01
    7719.081    -17.460   0.200  4.90344E-01  3.44344E-01  2.70129E-01
    7719.167    -17.374   0.250  5.06764E-01  3.67150E-01  2.55749E-01
    7719.272    -17.270   0.300  5.22861E-01  3.89955E-01  2.41067E-01
    7719.396    -17.146   0.350  5.39654E-01  4.16307E-01  2.20753E-01
    7719.538    -17.003   0.400  5.55880E-01  4.42659E-01  1.99973E-01
    7719.700    -16.841   0.450  5.68433E-01  4.67768E-01  1.74914E-01
    7719.881    -16.660   0.500  5.80147E-01  4.92878E-01  1.49222E-01
    7720.081    -16.460   0.550  5.86360E-01  5.15053E-01  1.19672E-01
    7720.300    -16.241   0.600  5.91000E-01  5.37228E-01  8.86048E-02
    7720.539    -16.003   0.650  5.87524E-01  5.57009E-01  4.92701E-02
    7720.796    -15.746   0.700  5.81367E-01  5.76789E-01  7.24469E-03
    7721.072    -15.469   0.750  5.64568E-01  5.95094E-01 -4.72909E-02
    7721.367    -15.174   0.800  5.44280E-01  6.13399E-01 -1.04857E-01
    7721.682    -14.860   0.850  5.12415E-01  6.30848E-01 -1.75789E-01
    7722.015    -14.527   0.900  4.77773E-01  6.48298E-01 -2.47758E-01
    7722.367    -14.174   0.950  4.33606E-01  6.65200E-01 -3.29260E-01
    7722.739    -13.803   1.000  3.90223E-01  6.82102E-01 -4.06245E-01
    7723.129    -13.412   1.050  3.43996E-01  6.98493E-01 -4.83105E-01
    7723.539    -13.003   1.100  3.05442E-01  7.14884E-01 -5.46581E-01
    7723.968    -12.574   1.150  2.74363E-01  7.30687E-01 -5.97074E-01
    7724.415    -12.126   1.200  2.59211E-01  7.46491E-01 -6.25168E-01
    7724.882    -11.659   1.250  2.61504E-01  7.61560E-01 -6.29706E-01
    7725.368    -11.174   1.300  2.85267E-01  7.76630E-01 -6.07534E-01
    7725.873    -10.669   1.350  3.30982E-01  7.90769E-01 -5.58911E-01
    7726.396    -10.145   1.400  3.97100E-01  8.04909E-01 -4.87511E-01
    7726.939     -9.602   1.450  4.81470E-01  8.17943E-01 -3.96165E-01
    7727.501     -9.040   1.500  5.77496E-01  8.30978E-01 -2.94015E-01
    7728.082     -8.459   1.550  6.80783E-01  8.42770E-01 -1.85414E-01
    7728.682     -7.859   1.600  7.81985E-01  8.54562E-01 -8.19935E-02
    7729.301     -7.240   1.650  8.76356E-01  8.64983E-01  1.27039E-02
    7729.940     -6.602   1.700  9.55508E-01  8.75405E-01  8.84872E-02
