# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.310 Rnm= 1.362 K  shell
# # Pot 1 Z=62 Rmt= 1.665 Rnm= 1.689
# # Pot 2 Z=27 Rmt= 1.337 Rnm= 1.389
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.776E+01 kf=2.078E+00 Vint=-2.683E+01 Rs_int= 1.745
# # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 275.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.01115    100.00      4.00     2   2.3819
#           2       0.01128     98.04      4.00     2   2.4058
#           3       0.01200     43.44      2.00     2   2.5553
#           4       0.01020     41.39      2.00     2   3.1395
#           5       0.01282      7.24      8.00     3   3.6435
#           6       0.01536     33.59      4.00     2   3.9151
#           7       0.01541     16.14      2.00     2   3.9803
#           8       0.01544     15.58      2.00     2   4.0382
#           9       0.01551     28.91      4.00     2   4.1639
#          10       0.01509      9.38      8.00     3   4.3078
#          11       0.01523      8.91      8.00     3   4.4010
#          12       0.01524      6.39      8.00     3   4.4112
#          13       0.01528      6.62      8.00     3   4.4357
#          14       0.01535      9.07      8.00     3   4.4878
#          15       0.01563     23.26      4.00     2   4.5418
#          16       0.01563     23.13      4.00     2   4.5520
#          17       0.01541      5.79      8.00     3   4.5582
#          18       0.01544      5.78      8.00     3   4.5914
#          19       0.01116     35.34      4.00     2   4.6277
#          20       0.01559     10.30      8.00     3   4.7558
#          21       0.01560      9.88      8.00     3   4.7626
#          22       0.01569     11.48      4.00     3   4.7637
#          23       0.01569     10.79      4.00     4   4.7637
#          24       0.04461      5.62      4.00     4   4.7637
#          25       0.01570     10.08      2.00     2   4.8026
#          26       0.01570     11.08      4.00     3   4.8117
#          27       0.01570     10.34      4.00     4   4.8117
#          28       0.04510      5.38      4.00     4   4.8117
#          29       0.01570     20.01      4.00     2   4.8154
#          30       0.01570     39.82      8.00     3   4.8288
#          31       0.01586     24.48      4.00     4   4.8423
#          32       0.01571     19.70      4.00     2   4.8446
#          33       0.01570     36.35      8.00     3   4.8629
#          34       0.01592     19.94      4.00     4   4.8811
#          35       0.01573      4.43      4.00     3   4.9840
#          36       0.01163     10.00      8.00     3   4.9937
#    36/  36 paths used
#  xsedge+50, used to normalize mu           2.8904E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7719.651    -17.750   0.050  3.30761E-01  3.38632E-01 -1.32192E-02
    7719.680    -17.722   0.100  3.34698E-01  3.44083E-01 -1.57349E-02
    7719.727    -17.674   0.150  3.46518E-01  3.60247E-01 -2.29005E-02
    7719.794    -17.607   0.200  3.58624E-01  3.76411E-01 -2.95179E-02
    7719.880    -17.521   0.250  3.77076E-01  4.01388E-01 -4.00114E-02
    7719.985    -17.417   0.300  3.96108E-01  4.26364E-01 -4.93850E-02
    7720.108    -17.293   0.350  4.16666E-01  4.54985E-01 -6.18491E-02
    7720.251    -17.150   0.400  4.38124E-01  4.83605E-01 -7.26011E-02
    7720.413    -16.988   0.450  4.56736E-01  5.10416E-01 -8.45292E-02
    7720.594    -16.807   0.500  4.76365E-01  5.37226E-01 -9.45608E-02
    7720.794    -16.607   0.550  4.90544E-01  5.60326E-01 -1.06752E-01
    7721.013    -16.388   0.600  5.04839E-01  5.83426E-01 -1.18397E-01
    7721.251    -16.150   0.650  5.11218E-01  6.03413E-01 -1.36571E-01
    7721.509    -15.893   0.700  5.16690E-01  6.23399E-01 -1.55468E-01
    7721.785    -15.616   0.750  5.13837E-01  6.41351E-01 -1.82521E-01
    7722.080    -15.321   0.800  5.09716E-01  6.59303E-01 -2.10427E-01
    7722.394    -15.007   0.850  4.98096E-01  6.75939E-01 -2.45720E-01
    7722.728    -14.674   0.900  4.85909E-01  6.92576E-01 -2.80549E-01
    7723.080    -14.321   0.950  4.68697E-01  7.08286E-01 -3.19510E-01
    7723.452    -13.950   1.000  4.53129E-01  7.23997E-01 -3.54966E-01
    7723.842    -13.559   1.050  4.36985E-01  7.38896E-01 -3.88912E-01
    7724.252    -13.150   1.100  4.26268E-01  7.53796E-01 -4.14847E-01
    7724.680    -12.721   1.150  4.21033E-01  7.67882E-01 -4.32263E-01
    7725.128    -12.273   1.200  4.25455E-01  7.81968E-01 -4.37283E-01
    7725.595    -11.807   1.250  4.40520E-01  7.95126E-01 -4.28489E-01
    7726.081    -11.321   1.300  4.67532E-01  8.08284E-01 -4.05728E-01
    7726.585    -10.816   1.350  5.06524E-01  8.20420E-01 -3.68738E-01
    7727.109    -10.292   1.400  5.55762E-01  8.32556E-01 -3.20850E-01
    7727.652     -9.749   1.450  6.13302E-01  8.43542E-01 -2.63724E-01
    7728.214     -9.187   1.500  6.75520E-01  8.54527E-01 -2.02640E-01
    7728.795     -8.606   1.550  7.39200E-01  8.64294E-01 -1.40157E-01
    7729.395     -8.006   1.600  8.00497E-01  8.74061E-01 -8.15859E-02
    7730.014     -7.387   1.650  8.56535E-01  8.82551E-01 -2.86041E-02
    7730.653     -6.749   1.700  9.04666E-01  8.91041E-01  1.48527E-02
