# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.310 Rnm= 1.362 K  shell
# # Pot 1 Z=62 Rmt= 1.665 Rnm= 1.689
# # Pot 2 Z=27 Rmt= 1.337 Rnm= 1.389
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.777E+01 kf=2.078E+00 Vint=-2.683E+01 Rs_int= 1.745
# # PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 275.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.01115    100.00      4.00     2   2.3819
#           2       0.01128     98.04      4.00     2   2.4058
#           3       0.01200     43.44      2.00     2   2.5553
#           4       0.01020     41.41      2.00     2   3.1395
#           5       0.01282      7.24      8.00     3   3.6435
#           6       0.01536     33.59      4.00     2   3.9151
#           7       0.01541     16.14      2.00     2   3.9803
#           8       0.01544     15.58      2.00     2   4.0382
#           9       0.01551     28.91      4.00     2   4.1639
#          10       0.01509      9.38      8.00     3   4.3078
#          11       0.01523      8.91      8.00     3   4.4010
#          12       0.01524      6.39      8.00     3   4.4112
#          13       0.01528      6.62      8.00     3   4.4357
#          14       0.01535      9.07      8.00     3   4.4878
#          15       0.01563     23.26      4.00     2   4.5418
#          16       0.01563     23.13      4.00     2   4.5520
#          17       0.01541      5.79      8.00     3   4.5582
#          18       0.01544      5.78      8.00     3   4.5914
#          19       0.01116     35.34      4.00     2   4.6277
#          20       0.01559     10.29      8.00     3   4.7558
#          21       0.01560      9.88      8.00     3   4.7626
#          22       0.01569     11.48      4.00     3   4.7637
#          23       0.01569     10.79      4.00     4   4.7637
#          24       0.04462      5.62      4.00     4   4.7637
#          25       0.01570     10.08      2.00     2   4.8026
#          26       0.01570     11.08      4.00     3   4.8117
#          27       0.01570     10.34      4.00     4   4.8117
#          28       0.04511      5.38      4.00     4   4.8117
#          29       0.01570     20.01      4.00     2   4.8154
#          30       0.01570     39.82      8.00     3   4.8288
#          31       0.01586     24.48      4.00     4   4.8423
#          32       0.01571     19.70      4.00     2   4.8446
#          33       0.01570     36.35      8.00     3   4.8629
#          34       0.01592     19.94      4.00     4   4.8811
#          35       0.01573      4.43      4.00     3   4.9840
#          36       0.01163     10.00      8.00     3   4.9937
#          37       0.01577     17.77      4.00     2   5.0394
#          38       0.01172      5.15      8.00     3   5.1014
#          39       0.01580      4.46      2.00     3   5.1106
#          40       0.01580      4.00      2.00     4   5.1106
#          41       0.01579     12.73      8.00     3   5.1145
#          42       0.01174      5.04      8.00     3   5.1249
#          44       0.01597      7.16      2.00     2   5.4618
#          45       0.01601     13.77      4.00     2   5.5403
#          46       0.01557      6.87      4.00     3   5.7432
#          47       0.01619     12.14      4.00     2   5.8005
#          48       0.01619     12.14      4.00     2   5.8005
#          49       0.01561     11.59      8.00     3   5.8517
#          50       0.01588      6.61      4.00     3   6.0397
#          51       0.01588      6.61      4.00     3   6.0397
#          52       0.01646      5.14      8.00     3   6.1599
#          54       0.01645      5.12      2.00     2   6.1642
#          55       0.01645     22.73      4.00     3   6.1649
#          56       0.01646     25.27      2.00     4   6.1656
#          57       0.01646     10.19      4.00     2   6.1742
#          58       0.01646      5.89      8.00     3   6.1745
#          59       0.01647      4.79      8.00     3   6.1849
#          60       0.01647     10.13      4.00     2   6.1877
#          61       0.01656      4.22      8.00     3   6.2674
#          62       0.00648      5.70      2.00     3   6.2790
#          65       0.01742      4.09      4.00     4   6.2790
#          66       0.01655      4.41      8.00     3   6.2987
#          67       0.01656      5.64      8.00     3   6.3039
#          68       0.01656      4.51      8.00     3   6.3039
#          69       0.01657      9.53      4.00     2   6.3196
#          72       0.01660      9.36      4.00     2   6.3612
#          73       0.01661      9.32      4.00     2   6.3708
#          74       0.01662      4.63      2.00     2   6.3834
#          75       0.01662      8.08      8.00     3   6.3835
#          76       0.01662      9.23      4.00     2   6.3930
#          77       0.01664      9.12      4.00     2   6.4192
#          78       0.01668      5.44      8.00     3   6.4655
#          79       0.01668      4.42      8.00     3   6.4655
#          80       0.01668      4.60      8.00     3   6.4777
#          81       0.01182      7.25      2.00     2   6.5170
#          82       0.01672      4.61      8.00     3   6.5234
#          83       0.01677      4.37      8.00     3   6.5692
#    77/  82 paths used
#  xsedge+50, used to normalize mu           2.8905E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7719.651    -17.758   0.050  5.30307E-01  3.38459E-01  3.22436E-01
    7719.680    -17.729   0.100  5.36132E-01  3.43881E-01  3.22553E-01
    7719.727    -17.682   0.150  5.52942E-01  3.60035E-01  3.22001E-01
    7719.794    -17.615   0.200  5.69003E-01  3.76188E-01  3.20211E-01
    7719.880    -17.529   0.250  5.91592E-01  4.01149E-01  3.13641E-01
    7719.985    -17.425   0.300  6.11968E-01  4.26110E-01  3.03565E-01
    7720.108    -17.301   0.350  6.29448E-01  4.54713E-01  2.82215E-01
    7720.251    -17.158   0.400  6.43130E-01  4.83317E-01  2.55268E-01
    7720.413    -16.996   0.450  6.47110E-01  5.10113E-01  2.15867E-01
    7720.594    -16.815   0.500  6.47295E-01  5.36909E-01  1.71615E-01
    7720.794    -16.615   0.550  6.37194E-01  5.60000E-01  1.18160E-01
    7721.013    -16.396   0.600  6.23270E-01  5.83091E-01  6.05662E-02
    7721.251    -16.158   0.650  5.95540E-01  6.03082E-01 -1.11776E-02
    7721.509    -15.901   0.700  5.64466E-01  6.23072E-01 -8.54340E-02
    7721.785    -15.624   0.750  5.19683E-01  6.41022E-01 -1.73778E-01
    7722.080    -15.329   0.800  4.75019E-01  6.58972E-01 -2.58904E-01
    7722.394    -15.015   0.850  4.22446E-01  6.75618E-01 -3.49969E-01
    7722.728    -14.681   0.900  3.76293E-01  6.92263E-01 -4.29124E-01
    7723.080    -14.329   0.950  3.31757E-01  7.07977E-01 -5.01928E-01
    7723.452    -13.957   1.000  3.01036E-01  7.23691E-01 -5.54096E-01
    7723.842    -13.567   1.050  2.82503E-01  7.38612E-01 -5.87770E-01
    7724.252    -13.157   1.100  2.83774E-01  7.53533E-01 -5.95224E-01
    7724.680    -12.729   1.150  3.05233E-01  7.67623E-01 -5.76462E-01
    7725.128    -12.281   1.200  3.47702E-01  7.81714E-01 -5.32516E-01
    7725.595    -11.814   1.250  4.10699E-01  7.94888E-01 -4.64376E-01
    7726.081    -11.329   1.300  4.87503E-01  8.08061E-01 -3.81789E-01
    7726.585    -10.824   1.350  5.73895E-01  8.20213E-01 -2.89426E-01
    7727.109    -10.300   1.400  6.59032E-01  8.32365E-01 -2.00968E-01
    7727.652     -9.757   1.450  7.36374E-01  8.43366E-01 -1.22576E-01
    7728.214     -9.195   1.500  7.98271E-01  8.54367E-01 -6.35107E-02
    7728.795     -8.614   1.550  8.41455E-01  8.64150E-01 -2.54310E-02
    7729.395     -8.014   1.600  8.66807E-01  8.73933E-01 -7.90427E-03
    7730.014     -7.395   1.650  8.77585E-01  8.82439E-01 -5.33682E-03
    7730.653     -6.757   1.700  8.81350E-01  8.90944E-01 -1.04597E-02
    7731.310     -6.099   1.750  8.84439E-01  8.98150E-01 -1.48426E-02
    7731.986     -5.423   1.800  8.93568E-01  9.05356E-01 -1.26707E-02
    7732.681     -4.728   1.850  9.11388E-01  9.11294E-01  1.00957E-04
    7733.396     -4.013   1.900  9.37754E-01  9.17232E-01  2.18173E-02
    7734.129     -3.280   1.950  9.68855E-01  9.21882E-01  4.97332E-02
    7734.882     -2.528   2.000  9.98941E-01  9.26532E-01  7.63490E-02
    7735.653     -1.756   2.050  1.02314E+00  9.29619E-01  9.83810E-02
    7736.444     -0.965   2.100  1.03549E+00  9.32707E-01  1.07873E-01
    7737.253     -0.156   2.150  1.03471E+00  9.35794E-01  1.03572E-01
    7738.082      0.673   2.200  1.02299E+00  9.38882E-01  8.78654E-02
    7738.930      1.521   2.250  1.00121E+00  9.39850E-01  6.41282E-02
    7739.797      2.387   2.300  9.77602E-01  9.40819E-01  3.84540E-02
    7740.682      3.273   2.350  9.58755E-01  9.41787E-01  1.77446E-02
    7741.587      4.178   2.400  9.48302E-01  9.42755E-01  5.80325E-03
    7742.511      5.102   2.450  9.49302E-01  9.46074E-01  3.37864E-03
    7743.454      6.045   2.500  9.54321E-01  9.49392E-01  5.16062E-03
    7744.416      7.007   2.550  9.59879E-01  9.52710E-01  7.50939E-03
    7745.397      7.988   2.600  9.63654E-01  9.56029E-01  7.99035E-03
    7746.397      8.988   2.650  9.63997E-01  9.58902E-01  5.32883E-03
    7747.417     10.007   2.700  9.63212E-01  9.61776E-01  1.49986E-03
    7748.455     11.046   2.750  9.62024E-01  9.64649E-01 -2.73537E-03
    7749.512     12.103   2.800  9.61355E-01  9.67523E-01 -6.41545E-03
    7750.588     13.179   2.850  9.59083E-01  9.69446E-01 -1.07519E-02
    7751.684     14.274   2.900  9.58374E-01  9.71369E-01 -1.34496E-02
    7752.798     15.389   2.950  9.59739E-01  9.73292E-01 -1.39928E-02
    7753.932     16.522   3.000  9.63280E-01  9.75215E-01 -1.22923E-02
