# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.354 Rnm= 1.404 L3 shell
# # Pot 1 Z=58 Rmt= 1.687 Rnm= 1.738
# # Pot 2 Z=27 Rmt= 1.358 Rnm= 1.413
# # Gam_ch=4.789E-01 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.712E+01 kf=2.007E+00 Vint=-2.548E+01 Rs_int= 1.807
# # PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.4571
#           2       0.00000     53.53      3.00     2   2.8406
#           3       0.00000     31.46      3.00     2   2.8406
#           4       0.00000     12.00     12.00     3   3.6871
#           5       0.00000      6.50     12.00     3   3.8774
#           6       0.00000     11.16      2.00     2   4.0100
#           7       0.00000     19.66     24.00     3   4.2356
#           8       0.00000     59.96     12.00     2   4.2592
#           9       0.00000      8.61     12.00     3   4.4621
#          10       0.00000     20.29     24.00     3   4.5881
#          11       0.00000     16.34     24.00     3   4.7784
#          12       0.00000     11.98     24.00     3   4.7784
#          13       0.00000     11.38     12.00     3   4.8093
#          14       0.00000     36.51      6.00     2   4.9142
#          15       0.00000     22.58      6.00     2   4.9142
#          16       0.00000     56.56     12.00     3   4.9142
#          17       0.00000      4.68     12.00     4   4.9142
#          18       0.00000      8.28      6.00     4   4.9142
#          19       0.00000     45.20      6.00     4   4.9142
#          20       0.00000     22.52      6.00     2   4.9200
#          21       0.00000     17.39     12.00     3   5.0033
#          22       0.00000     14.75     24.00     3   5.1366
#          23       0.00000     23.49     24.00     3   5.2724
#          25       0.00000     14.18      6.00     3   5.3006
#          26       0.00000     20.74     12.00     3   5.3006
#          27       0.00000     35.43     12.00     2   5.4994
#          28       0.00000     13.95      3.00     2   5.6811
#          29       0.00000      8.23      3.00     2   5.6811
#          30       0.00000     13.27      6.00     3   5.6811
#          31       0.00000     40.43      6.00     3   5.6811
#          32       0.00000     26.32      6.00     3   5.6811
#          33       0.00000      8.48      6.00     4   5.6811
#          34       0.00000      6.82      3.00     4   5.6811
#          35       0.00000     49.18      3.00     4   5.6811
#          36       0.00000      8.33      6.00     4   5.6811
#          37       0.00000     16.44      3.00     4   5.6811
#          38       0.00000     40.51     24.00     3   5.7568
#          40       0.00000      7.52     12.00     3   5.8824
#          41       0.00000      7.59     12.00     4   6.0141
#          42       0.00000      6.47     12.00     4   6.0141
#          43       0.00000      8.60     12.00     4   6.0141
#          44       0.00000     13.56      6.00     2   6.1804
#          45       0.00000      8.21     24.00     3   6.2836
#          46       0.00000      4.79     12.00     3   6.3237
#          47       0.00000      4.78     12.00     3   6.3237
#          48       0.00000      5.13     12.00     3   6.3237
#          49       0.00000     25.45     12.00     2   6.3472
#          50       0.00000     23.98     12.00     2   6.5074
#          51       0.00000      8.29     24.00     3   6.5317
#          52       0.00000      8.41     24.00     3   6.5317
#          53       0.00000      9.16     24.00     3   6.5317
#          54       0.00000     10.25     24.00     3   6.6133
#          57       0.00000      4.30     12.00     3   6.7208
#          58       0.00000      5.89     24.00     3   6.8036
#          59       0.00000      6.06     24.00     3   6.8036
#          60       0.00000      7.51     24.00     4   6.8188
#          61       0.00000     12.29     24.00     3   6.9349
#          62       0.00000      6.26     24.00     3   6.9423
#          64       0.00000     18.09      6.00     2   6.9538
#          65       0.00000     10.20      6.00     2   6.9538
#          66       0.00000     11.86     24.00     3   6.9550
#    61/  63 paths used
#  xsedge+50, used to normalize mu           8.3926E-03
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
     785.511    -17.115   0.050  1.09298E+01  2.31042E+00  1.61753E+00
     785.540    -17.086   0.100  1.08938E+01  2.42674E+00  1.60928E+00
     785.587    -17.038   0.150  1.07521E+01  2.70071E+00  1.58521E+00
     785.654    -16.972   0.200  1.05591E+01  2.97468E+00  1.54889E+00
     785.740    -16.886   0.250  1.00924E+01  3.15576E+00  1.49412E+00
     785.844    -16.781   0.300  9.55299E+00  3.33685E+00  1.41646E+00
     785.968    -16.657   0.350  8.76821E+00  3.32006E+00  1.32524E+00
     786.111    -16.515   0.400  7.93511E+00  3.30326E+00  1.20822E+00
     786.273    -16.353   0.450  7.04772E+00  3.17474E+00  1.08516E+00
     786.454    -16.172   0.500  6.14996E+00  3.04622E+00  9.39256E-01
     786.654    -15.972   0.550  5.27705E+00  2.88340E+00  7.79109E-01
     786.873    -15.753   0.600  4.41603E+00  2.72057E+00  5.96965E-01
     787.111    -15.514   0.650  3.40708E+00  2.56220E+00  3.19237E-01
     787.368    -15.257   0.700  2.35297E+00  2.40383E+00 -2.07330E-02
     787.645    -14.981   0.750  2.81382E+00  2.26508E+00  2.38943E-01
     787.940    -14.686   0.800  4.07805E+00  2.12633E+00  9.11977E-01
     788.254    -14.371   0.850  3.34792E+00  2.01087E+00  6.63258E-01
     788.588    -14.038   0.900  2.33048E+00  1.89541E+00  2.29993E-01
     788.940    -13.686   0.950  1.84706E+00  1.80200E+00  2.51126E-02
     789.312    -13.314   1.000  1.45470E+00  1.70860E+00 -1.49685E-01
     789.702    -12.924   1.050  1.18067E+00  1.63411E+00 -2.79946E-01
     790.112    -12.514   1.100  1.00655E+00  1.55962E+00 -3.58378E-01
     790.540    -12.085   1.150  8.89133E-01  1.50075E+00 -4.12225E-01
     790.988    -11.638   1.200  8.44130E-01  1.44187E+00 -4.19732E-01
     791.455    -11.171   1.250  8.47684E-01  1.39569E+00 -3.97697E-01
     791.940    -10.685   1.300  8.99578E-01  1.34950E+00 -3.37837E-01
     792.445    -10.180   1.350  9.71587E-01  1.31353E+00 -2.63818E-01
     792.969     -9.657   1.400  1.05391E+00  1.27756E+00 -1.77435E-01
     793.512     -9.114   1.450  1.12828E+00  1.24971E+00 -9.84575E-02
     794.074     -8.552   1.500  1.18713E+00  1.22186E+00 -2.87938E-02
     794.655     -7.971   1.550  1.22564E+00  1.20059E+00  2.11314E-02
     795.255     -7.371   1.600  1.24052E+00  1.17931E+00  5.25239E-02
     795.874     -6.751   1.650  1.23979E+00  1.16326E+00  6.65148E-02
     796.512     -6.113   1.700  1.22316E+00  1.14722E+00  6.68779E-02
     797.170     -5.456   1.750  1.20178E+00  1.13535E+00  5.90515E-02
     797.846     -4.780   1.800  1.17563E+00  1.12348E+00  4.68039E-02
     798.541     -4.084   1.850  1.15205E+00  1.11494E+00  3.35143E-02
     799.256     -3.370   1.900  1.12945E+00  1.10640E+00  2.09481E-02
     799.989     -2.637   1.950  1.11129E+00  1.10090E+00  9.48560E-03
     800.742     -1.884   2.000  1.09472E+00  1.09540E+00 -6.21421E-04
     801.513     -1.113   2.050  1.07730E+00  1.09166E+00 -1.31874E-02
     802.304     -0.322   2.100  1.06226E+00  1.08792E+00 -2.36007E-02
     803.113      0.488   2.150  1.05118E+00  1.08418E+00 -3.04145E-02
     803.942      1.316   2.200  1.04520E+00  1.08044E+00 -3.25325E-02
     804.790      2.164   2.250  1.04769E+00  1.07594E+00 -2.61152E-02
     805.656      3.031   2.300  1.05500E+00  1.07145E+00 -1.52253E-02
     806.542      3.917   2.350  1.06172E+00  1.06696E+00 -4.85053E-03
     807.447      4.821   2.400  1.06299E+00  1.06247E+00  4.79878E-04
     808.371      5.745   2.450  1.05756E+00  1.05462E+00  2.72503E-03
     809.314      6.688   2.500  1.04386E+00  1.04678E+00 -2.70956E-03
     810.276      7.650   2.550  1.02458E+00  1.03893E+00 -1.33405E-02
     811.257      8.631   2.600  1.00546E+00  1.03108E+00 -2.38382E-02
     812.257      9.632   2.650  9.96880E-01  1.02850E+00 -2.94157E-02
     813.276     10.651   2.700  9.91925E-01  1.02591E+00 -3.16150E-02
     814.315     11.689   2.750  9.89997E-01  1.02333E+00 -3.09989E-02
     815.372     12.746   2.800  9.88964E-01  1.02074E+00 -2.95502E-02
     816.448     13.822   2.850  9.91040E-01  1.01793E+00 -2.50594E-02
     817.544     14.918   2.900  9.92657E-01  1.01512E+00 -2.09769E-02
     818.658     16.032   2.950  9.92491E-01  1.01231E+00 -1.85459E-02
     819.791     17.166   3.000  9.89922E-01  1.00949E+00 -1.83577E-02
     820.944     18.318   3.050  9.84410E-01  1.00583E+00 -2.01686E-02
     822.116     19.490   3.100  9.76294E-01  1.00216E+00 -2.44548E-02
     823.306     20.680   3.150  9.67239E-01  9.98500E-01 -2.96661E-02
     824.516     21.890   3.200  9.59271E-01  9.94836E-01 -3.38823E-02
     825.745     23.119   3.250  9.54060E-01  9.90687E-01 -3.50753E-02
     826.992     24.367   3.300  9.52541E-01  9.86538E-01 -3.27265E-02
     828.259     25.633   3.350  9.55302E-01  9.82389E-01 -2.62117E-02
     829.545     26.919   3.400  9.61994E-01  9.78240E-01 -1.58035E-02
     830.850     28.224   3.450  9.70555E-01  9.73219E-01 -2.60809E-03
     832.174     29.548   3.500  9.79808E-01  9.68199E-01  1.14328E-02
     833.517     30.891   3.550  9.88329E-01  9.63179E-01  2.49218E-02
     834.879     32.253   3.600  9.95010E-01  9.58158E-01  3.67448E-02
     836.260     33.634   3.650  9.98508E-01  9.52747E-01  4.59304E-02
     837.660     35.035   3.700  9.99657E-01  9.47337E-01  5.28653E-02
     839.079     36.454   3.750  9.98978E-01  9.41926E-01  5.80333E-02
     840.518     37.892   3.800  9.96760E-01  9.36515E-01  6.16960E-02
     841.975     39.349   3.850  9.92773E-01  9.30885E-01  6.38129E-02
     843.451     40.826   3.900  9.87203E-01  9.25256E-01  6.43141E-02
     844.947     42.321   3.950  9.79181E-01  9.19626E-01  6.22606E-02
     846.461     43.836   4.000  9.67813E-01  9.13996E-01  5.66540E-02
     847.995     45.369   4.050  9.53000E-01  9.08460E-01  4.72020E-02
     849.547     46.922   4.100  9.34678E-01  9.02923E-01  3.38787E-02
     851.119     48.493   4.150  9.13663E-01  8.97386E-01  1.74822E-02
     852.710     50.084   4.200  8.91497E-01  8.91850E-01 -3.81079E-04
     854.319     51.694   4.250  8.69850E-01  8.86502E-01 -1.81220E-02
     855.948     53.323   4.300  8.50729E-01  8.81154E-01 -3.33250E-02
     857.596     54.970   4.350  8.35634E-01  8.75806E-01 -4.42865E-02
     859.263     56.637   4.400  8.25297E-01  8.70459E-01 -5.01113E-02
     860.949     58.323   4.450  8.19647E-01  8.65466E-01 -5.11572E-02
     862.654     60.028   4.500  8.17805E-01  8.60474E-01 -4.79380E-02
     864.378     61.752   4.550  8.18115E-01  8.55482E-01 -4.22460E-02
     866.121     63.495   4.600  8.18662E-01  8.50489E-01 -3.62122E-02
     867.883     65.257   4.650  8.18404E-01  8.45800E-01 -3.13553E-02
     869.664     67.038   4.700  8.15675E-01  8.41111E-01 -2.92866E-02
     871.464     68.839   4.750  8.10212E-01  8.36422E-01 -3.03598E-02
     873.284     70.658   4.800  8.02734E-01  8.31733E-01 -3.37938E-02
     875.122     72.496   4.850  7.95086E-01  8.27181E-01 -3.76237E-02
     876.979     74.354   4.900  7.88740E-01  8.22629E-01 -3.99623E-02
     878.856     76.230   4.950  7.85501E-01  8.18077E-01 -3.86446E-02
     880.751     78.125   5.000  7.86564E-01  8.13525E-01 -3.21762E-02
     882.666     80.040   5.050  7.92295E-01  8.08984E-01 -2.00359E-02
     884.599     81.974   5.100  8.01711E-01  8.04442E-01 -3.29919E-03
     886.552     83.926   5.150  8.13109E-01  7.99901E-01  1.60502E-02
     888.524     85.898   5.200  8.24305E-01  7.95359E-01  3.53883E-02
     890.514     87.889   5.250  8.33217E-01  7.90853E-01  5.21167E-02
     892.524     89.898   5.300  8.38095E-01  7.86348E-01  6.40627E-02
     894.553     91.927   5.350  8.38140E-01  7.81842E-01  7.01392E-02
     896.601     93.975   5.400  8.33465E-01  7.77337E-01  7.03746E-02
     898.668     96.042   5.450  8.24545E-01  7.72614E-01  6.55461E-02
     900.754     98.128   5.500  8.12872E-01  7.67892E-01  5.71539E-02
     902.859    100.233   5.550  7.99661E-01  7.63169E-01  4.66824E-02
     904.983    102.357   5.600  7.85869E-01  7.58447E-01  3.53182E-02
