# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  4.9750   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.304 Rnm= 1.355 K  shell
# # Pot 1 Z=62 Rmt= 1.656 Rnm= 1.681
# # Pot 2 Z=27 Rmt= 1.330 Rnm= 1.382
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.796E+01 kf=2.093E+00 Vint=-2.721E+01 Rs_int= 1.732
# # PATH  Rmax= 7.960,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 332.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00779    100.00      4.00     2   2.3700
#           2       0.00787     98.05      4.00     2   2.3938
#           3       0.00837     43.46      2.00     2   2.5425
#           4       0.00711     41.36      2.00     2   3.1238
#           5       0.00895      7.26      8.00     3   3.6253
#           6       0.01069     33.66      4.00     2   3.8955
#           7       0.01072     16.17      2.00     2   3.9604
#           8       0.01075     15.62      2.00     2   4.0180
#           9       0.01079     28.98      4.00     2   4.1431
#          10       0.01051      9.53      8.00     3   4.2863
#          11       0.01061      9.07      8.00     3   4.3790
#          12       0.01061      6.44      8.00     3   4.3891
#          13       0.01064      6.67      8.00     3   4.4135
#          14       0.01069      9.25      8.00     3   4.4654
#          15       0.01087     23.33      4.00     2   4.5191
#          16       0.01087     23.19      4.00     2   4.5292
#          17       0.01073      5.83      8.00     3   4.5354
#          18       0.01075      5.82      8.00     3   4.5684
#          19       0.00775     35.33      4.00     2   4.6045
#          20       0.01085     10.51      8.00     3   4.7320
#          21       0.01085     10.09      8.00     3   4.7388
#          22       0.01091     11.54      4.00     3   4.7399
#          23       0.01091     10.98      4.00     4   4.7399
#          24       0.03114      5.69      4.00     4   4.7399
#          25       0.01091     10.11      2.00     2   4.7786
#          26       0.01091     11.13      4.00     3   4.7876
#          27       0.01091     10.52      4.00     4   4.7876
#          28       0.03148      5.44      4.00     4   4.7876
#          29       0.01092     20.08      4.00     2   4.7913
#          30       0.01091     40.24      8.00     3   4.8047
#          31       0.01102     24.82      4.00     4   4.8181
#          32       0.01092     19.76      4.00     2   4.8204
#          33       0.01092     36.76      8.00     3   4.8386
#          34       0.01107     20.24      4.00     4   4.8567
#          35       0.01094      4.53      4.00     3   4.9591
#          36       0.00809     10.18      8.00     3   4.9687
#          37       0.01096     17.83      4.00     2   5.0142
#          38       0.00815      5.16      8.00     3   5.0759
#          39       0.01098      4.49      2.00     3   5.0850
#          40       0.01098      4.07      2.00     4   5.0850
#          42       0.01098     13.00      8.00     3   5.0889
#          43       0.00816      5.05      8.00     3   5.0993
#          45       0.01110      7.19      2.00     2   5.4345
#          46       0.01113     13.83      4.00     2   5.5126
#          47       0.01082      6.92      4.00     3   5.7145
#          48       0.01125     24.38      8.00     2   5.7715
#          49       0.01085     11.70      8.00     3   5.8225
#          50       0.01103     13.32      8.00     3   6.0095
#          52       0.01139      4.44      8.00     3   6.0185
#          53       0.01144      5.18      8.00     3   6.1291
#          55       0.01143      5.14      2.00     2   6.1334
#          56       0.01143     22.77      4.00     3   6.1341
#          57       0.01143     25.27      2.00     4   6.1347
#          58       0.01144     10.24      4.00     2   6.1433
#          59       0.01144      5.93      8.00     3   6.1436
#          60       0.01145      4.82      8.00     3   6.1540
#          61       0.01144     10.17      4.00     2   6.1568
#          62       0.01151      4.25      8.00     3   6.2360
#          63       0.00450      5.69      2.00     3   6.2475
#          66       0.01212      4.12      4.00     4   6.2476
#          67       0.01150      4.54      8.00     3   6.2673
#          68       0.01151      5.68      8.00     3   6.2724
#          69       0.01151      4.63      8.00     3   6.2724
#          70       0.01151      9.58      4.00     2   6.2880
#          73       0.01153      9.40      4.00     2   6.3294
#          74       0.01154      9.36      4.00     2   6.3390
#          75       0.01154      4.66      2.00     2   6.3514
#          76       0.01155      8.25      8.00     3   6.3515
#          77       0.01155      9.27      4.00     2   6.3610
#          78       0.01156      9.16      4.00     2   6.3871
#          79       0.01159      5.48      8.00     3   6.4332
#          80       0.01159      4.53      8.00     3   6.4332
#          81       0.01159      4.73      8.00     3   6.4453
#          82       0.00821      7.26      2.00     2   6.4844
#          83       0.01162      4.74      8.00     3   6.4908
#          84       0.01165      4.41      8.00     3   6.5364
#    76/  82 paths used
#  xsedge+50, used to normalize mu           2.8903E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7719.825    -17.949   0.050  5.48089E-01  3.40333E-01  3.46164E-01
    7719.854    -17.921   0.100  5.53326E-01  3.45826E-01  3.45151E-01
    7719.902    -17.873   0.150  5.68310E-01  3.62076E-01  3.41345E-01
    7719.968    -17.806   0.200  5.82565E-01  3.78326E-01  3.36377E-01
    7720.054    -17.721   0.250  6.02314E-01  4.03427E-01  3.24924E-01
    7720.159    -17.616   0.300  6.19947E-01  4.28527E-01  3.10226E-01
    7720.283    -17.492   0.350  6.33678E-01  4.57246E-01  2.82850E-01
    7720.425    -17.349   0.400  6.43809E-01  4.85965E-01  2.50350E-01
    7720.587    -17.187   0.450  6.43093E-01  5.12814E-01  2.03923E-01
    7720.768    -17.006   0.500  6.39177E-01  5.39662E-01  1.53754E-01
    7720.968    -16.806   0.550  6.25349E-01  5.62716E-01  9.53219E-02
    7721.187    -16.587   0.600  6.08896E-01  5.85770E-01  3.46764E-02
    7721.426    -16.349   0.650  5.79698E-01  6.05644E-01 -3.82733E-02
    7721.683    -16.092   0.700  5.48318E-01  6.25518E-01 -1.12052E-01
    7721.959    -15.816   0.750  5.03920E-01  6.43298E-01 -1.98847E-01
    7722.254    -15.520   0.800  4.60531E-01  6.61078E-01 -2.81310E-01
    7722.569    -15.206   0.850  4.09770E-01  6.77516E-01 -3.69042E-01
    7722.902    -14.873   0.900  3.65878E-01  6.93954E-01 -4.44469E-01
    7723.254    -14.520   0.950  3.23847E-01  7.09441E-01 -5.13406E-01
    7723.626    -14.149   1.000  2.95490E-01  7.24928E-01 -5.62111E-01
    7724.016    -13.758   1.050  2.78968E-01  7.39615E-01 -5.92920E-01
    7724.426    -13.349   1.100  2.81486E-01  7.54302E-01 -5.98612E-01
    7724.855    -12.920   1.150  3.03331E-01  7.68186E-01 -5.79260E-01
    7725.302    -12.472   1.200  3.45134E-01  7.82071E-01 -5.36023E-01
    7725.769    -12.006   1.250  4.06535E-01  7.95044E-01 -4.69666E-01
    7726.255    -11.520   1.300  4.81101E-01  8.08017E-01 -3.89528E-01
    7726.760    -11.015   1.350  5.65079E-01  8.19998E-01 -2.99727E-01
    7727.283    -10.491   1.400  6.48133E-01  8.31979E-01 -2.13341E-01
    7727.826     -9.948   1.450  7.24190E-01  8.42851E-01 -1.36083E-01
    7728.388     -9.386   1.500  7.85838E-01  8.53723E-01 -7.69496E-02
    7728.969     -8.805   1.550  8.29834E-01  8.63410E-01 -3.76731E-02
    7729.569     -8.205   1.600  8.56860E-01  8.73098E-01 -1.80353E-02
    7730.189     -7.586   1.650  8.69828E-01  8.81533E-01 -1.28896E-02
    7730.827     -6.948   1.700  8.75909E-01  8.89968E-01 -1.53493E-02
    7731.484     -6.291   1.750  8.81202E-01  8.97157E-01 -1.72970E-02
    7732.160     -5.614   1.800  8.92150E-01  9.04345E-01 -1.31284E-02
    7732.856     -4.919   1.850  9.11476E-01  9.10290E-01  1.26907E-03
    7733.570     -4.205   1.900  9.38984E-01  9.16236E-01  2.42175E-02
    7734.303     -3.471   1.950  9.71112E-01  9.20927E-01  5.32034E-02
    7735.056     -2.719   2.000  1.00201E+00  9.25617E-01  8.06455E-02
    7735.827     -1.947   2.050  1.02688E+00  9.28783E-01  1.03314E-01
    7736.618     -1.157   2.100  1.03954E+00  9.31948E-01  1.13038E-01
    7737.428     -0.347   2.150  1.03859E+00  9.35114E-01  1.08450E-01
    7738.256      0.482   2.200  1.02617E+00  9.38280E-01  9.18889E-02
    7739.104      1.329   2.250  1.00350E+00  9.39356E-01  6.70750E-02
    7739.971      2.196   2.300  9.78425E-01  9.40431E-01  3.97377E-02
    7740.857      3.082   2.350  9.57973E-01  9.41507E-01  1.72245E-02
    7741.761      3.987   2.400  9.46317E-01  9.42583E-01  3.90657E-03
    7742.685      4.911   2.450  9.46817E-01  9.45687E-01  1.18257E-03
    7743.628      5.854   2.500  9.52332E-01  9.48792E-01  3.70736E-03
    7744.590      6.816   2.550  9.58764E-01  9.51896E-01  7.19590E-03
    7745.571      7.797   2.600  9.63195E-01  9.55000E-01  8.59061E-03
    7746.572      8.797   2.650  9.63824E-01  9.57987E-01  6.10672E-03
    7747.591      9.816   2.700  9.62963E-01  9.60974E-01  2.07727E-03
    7748.629     10.854   2.750  9.61436E-01  9.63961E-01 -2.63207E-03
    7749.686     11.912   2.800  9.60329E-01  9.66948E-01 -6.88736E-03
    7750.762     12.988   2.850  9.57595E-01  9.68940E-01 -1.17764E-02
    7751.858     14.083   2.900  9.56442E-01  9.70931E-01 -1.50029E-02
    7752.972     15.198   2.950  9.57512E-01  9.72923E-01 -1.59181E-02
    7754.106     16.331   3.000  9.61006E-01  9.74915E-01 -1.43315E-02
    7755.258     17.484   3.050  9.64436E-01  9.76668E-01 -1.25700E-02
    7756.430     18.655   3.100  9.69321E-01  9.78421E-01 -9.32639E-03
    7757.620     19.846   3.150  9.75294E-01  9.80174E-01 -4.98867E-03
    7758.830     21.055   3.200  9.82051E-01  9.81927E-01  1.26520E-04
    7760.059     22.284   3.250  9.87071E-01  9.83102E-01  4.03591E-03
    7761.307     23.532   3.300  9.92541E-01  9.84278E-01  8.38088E-03
    7762.573     24.799   3.350  9.98902E-01  9.85454E-01  1.36064E-02
    7763.859     26.085   3.400  1.00652E+00  9.86630E-01  2.00698E-02
    7765.164     27.390   3.450  1.01497E+00  9.87953E-01  2.72049E-02
    7766.488     28.714   3.500  1.02464E+00  9.89276E-01  3.55437E-02
    7767.831     30.057   3.550  1.03488E+00  9.90599E-01  4.44126E-02
    7769.193     31.419   3.600  1.04459E+00  9.91923E-01  5.27133E-02
    7770.574     32.800   3.650  1.05162E+00  9.92811E-01  5.87379E-02
    7771.975     34.200   3.700  1.05569E+00  9.93698E-01  6.17862E-02
    7773.394     35.619   3.750  1.05586E+00  9.94586E-01  6.09422E-02
    7774.832     37.057   3.800  1.05174E+00  9.95474E-01  5.58455E-02
    7776.289     38.515   3.850  1.04360E+00  9.96687E-01  4.64774E-02
    7777.766     39.991   3.900  1.03237E+00  9.97900E-01  3.40840E-02
    7779.261     41.487   3.950  1.01924E+00  9.99113E-01  1.98656E-02
    7780.776     43.001   4.000  1.00548E+00  1.00033E+00  5.07560E-03
    7782.309     44.535   4.050  9.91904E-01  1.00130E+00 -9.24475E-03
    7783.862     46.087   4.100  9.79485E-01  1.00228E+00 -2.23822E-02
    7785.433     47.659   4.150  9.68366E-01  1.00326E+00 -3.42007E-02
    7787.024     49.249   4.200  9.58366E-01  1.00423E+00 -4.48836E-02
    7788.634     50.859   4.250  9.49310E-01  1.00520E+00 -5.46166E-02
    7790.263     52.488   4.300  9.41216E-01  1.00617E+00 -6.33832E-02
    7791.910     54.136   4.350  9.34471E-01  1.00714E+00 -7.08107E-02
    7793.577     55.803   4.400  9.29886E-01  1.00811E+00 -7.61152E-02
    7795.263     57.488   4.450  9.28726E-01  1.00898E+00 -7.80098E-02
    7796.968     59.193   4.500  9.31970E-01  1.00985E+00 -7.56252E-02
    7798.692     60.917   4.550  9.40163E-01  1.01072E+00 -6.84435E-02
    7800.435     62.660   4.600  9.53112E-01  1.01159E+00 -5.66683E-02
    7802.197     64.423   4.650  9.69806E-01  1.01206E+00 -4.09222E-02
    7803.978     66.204   4.700  9.88207E-01  1.01253E+00 -2.35413E-02
    7805.779     68.004   4.750  1.00606E+00  1.01300E+00 -6.70890E-03
    7807.598     69.823   4.800  1.02129E+00  1.01347E+00  7.55953E-03
    7809.436     71.662   4.850  1.03222E+00  1.01369E+00  1.79075E-02
    7811.294     73.519   4.900  1.03865E+00  1.01392E+00  2.39048E-02
    7813.170     75.395   4.950  1.04138E+00  1.01414E+00  2.63286E-02
    7815.066     77.291   5.000  1.04213E+00  1.01436E+00  2.68286E-02
    7816.980     79.205   5.050  1.04262E+00  1.01423E+00  2.74444E-02
    7818.914     81.139   5.100  1.04522E+00  1.01409E+00  3.00966E-02
    7820.866     83.092   5.150  1.05107E+00  1.01395E+00  3.58923E-02
    7822.838     85.063   5.200  1.06016E+00  1.01382E+00  4.48275E-02
