# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  4.9750   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.304 Rnm= 1.355 K  shell
# # Pot 1 Z=62 Rmt= 1.656 Rnm= 1.681
# # Pot 2 Z=27 Rmt= 1.330 Rnm= 1.382
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.795E+01 kf=2.094E+00 Vint=-2.721E+01 Rs_int= 1.732
# # PATH  Rmax= 4.975,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 331.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00783    100.00      2.00     2   2.3700
#           2       0.00783      9.95      2.00     2   2.3700
#           3       0.00792     71.61      2.00     2   2.3938
#           4       0.00792     10.51      2.00     2   2.3938
#           5       0.00842      7.37      2.00     2   2.5425
#           6       0.00715     52.34      2.00     2   3.1238
#           7       0.00886      4.55      4.00     3   3.5728
#           8       0.00895      4.46      4.00     3   3.6060
#           9       0.00900      4.73      4.00     3   3.6253
#          10       0.00900      5.08      4.00     3   3.6253
#          12       0.01076     11.03      2.00     2   3.8955
#          13       0.01079      4.41      2.00     2   3.9604
#          14       0.01081     19.16      2.00     2   4.0180
#          16       0.01085     12.42      2.00     2   4.1431
#          18       0.01057      5.27      4.00     3   4.2863
#          19       0.01067      6.85      4.00     3   4.3790
#          20       0.01067      5.25      4.00     3   4.3790
#          21       0.01067      7.62      4.00     3   4.3891
#          24       0.01070      4.72      4.00     3   4.4135
#          27       0.01075      5.02      4.00     3   4.4654
#          29       0.01093     24.42      2.00     2   4.5191
#          31       0.01093     26.86      2.00     2   4.5292
#          32       0.01093      4.49      2.00     2   4.5292
#          37       0.00780     30.80      2.00     2   4.6045
#          39       0.01091     12.75      4.00     3   4.7320
#          42       0.01091     10.68      4.00     3   4.7388
#          44       0.01097     10.31      2.00     3   4.7399
#          46       0.01097      9.66      2.00     4   4.7399
#          47       0.03132      4.88      2.00     4   4.7399
#          51       0.01098      7.56      2.00     3   4.7876
#          53       0.01098      7.01      2.00     4   4.7876
#          56       0.01098     10.88      2.00     2   4.7913
#          58       0.01098     22.31      4.00     3   4.8047
#          59       0.01098      6.54      4.00     3   4.8047
#          60       0.01109     15.82      2.00     4   4.8181
#          62       0.01098     15.04      2.00     2   4.8204
#          64       0.01098     27.95      4.00     3   4.8386
#          66       0.01114     17.36      2.00     4   4.8567
#          70       0.00814     10.20      4.00     3   4.9687
#    39/  48 paths used
#  xsedge+50, used to normalize mu           2.8903E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7719.825    -17.943   0.050  3.46660E-01  3.40419E-01  1.03952E-02
    7719.854    -17.915   0.100  3.52910E-01  3.45881E-01  1.16873E-02
    7719.902    -17.867   0.150  3.71118E-01  3.62138E-01  1.48577E-02
    7719.968    -17.801   0.200  3.89154E-01  3.78396E-01  1.77132E-02
    7720.054    -17.715   0.250  4.15842E-01  4.03505E-01  2.01502E-02
    7720.159    -17.610   0.300  4.41981E-01  4.28614E-01  2.16585E-02
    7720.283    -17.486   0.350  4.69631E-01  4.57332E-01  1.97115E-02
    7720.425    -17.343   0.400  4.96421E-01  4.86051E-01  1.64429E-02
    7720.587    -17.181   0.450  5.19095E-01  5.12905E-01  9.68561E-03
    7720.768    -17.001   0.500  5.40891E-01  5.39760E-01  1.74672E-03
    7720.968    -16.800   0.550  5.57033E-01  5.62809E-01 -8.78868E-03
    7721.187    -16.581   0.600  5.71283E-01  5.85858E-01 -2.18509E-02
    7721.426    -16.343   0.650  5.77736E-01  6.05724E-01 -4.12773E-02
    7721.683    -16.086   0.700  5.80982E-01  6.25590E-01 -6.47366E-02
    7721.959    -15.810   0.750  5.75451E-01  6.43361E-01 -9.68722E-02
    7722.254    -15.515   0.800  5.66320E-01  6.61131E-01 -1.32979E-01
    7722.569    -15.200   0.850  5.49078E-01  6.77567E-01 -1.77086E-01
    7722.902    -14.867   0.900  5.29266E-01  6.94002E-01 -2.23170E-01
    7723.254    -14.515   0.950  5.04101E-01  7.09487E-01 -2.73453E-01
    7723.626    -14.143   1.000  4.79405E-01  7.24972E-01 -3.21420E-01
    7724.016    -13.753   1.050  4.54711E-01  7.39648E-01 -3.66747E-01
    7724.426    -13.343   1.100  4.35542E-01  7.54324E-01 -4.03596E-01
    7724.855    -12.914   1.150  4.23605E-01  7.68187E-01 -4.29395E-01
    7725.302    -12.467   1.200  4.22741E-01  7.82051E-01 -4.40811E-01
    7725.769    -12.000   1.250  4.35160E-01  7.95030E-01 -4.35072E-01
    7726.255    -11.514   1.300  4.61657E-01  8.08010E-01 -4.12721E-01
    7726.760    -11.009   1.350  5.02545E-01  8.19980E-01 -3.73262E-01
    7727.283    -10.485   1.400  5.55452E-01  8.31950E-01 -3.20882E-01
    7727.826     -9.943   1.450  6.17800E-01  8.42821E-01 -2.58079E-01
    7728.388     -9.381   1.500  6.85260E-01  8.53691E-01 -1.90937E-01
    7728.969     -8.800   1.550  7.53428E-01  8.63368E-01 -1.23366E-01
    7729.569     -8.199   1.600  8.17939E-01  8.73045E-01 -6.12140E-02
    7730.189     -7.580   1.650  8.74905E-01  8.81480E-01 -7.24029E-03
    7730.827     -6.942   1.700  9.21520E-01  8.89914E-01  3.45116E-02
    7731.484     -6.285   1.750  9.56199E-01  8.97102E-01  6.40749E-02
    7732.160     -5.609   1.800  9.78600E-01  9.04290E-01  8.00061E-02
    7732.856     -4.913   1.850  9.89527E-01  9.10227E-01  8.49036E-02
    7733.570     -4.199   1.900  9.91126E-01  9.16163E-01  7.98140E-02
    7734.303     -3.466   1.950  9.85568E-01  9.20865E-01  6.86011E-02
    7735.056     -2.713   2.000  9.76510E-01  9.25566E-01  5.37879E-02
    7735.827     -1.942   2.050  9.66931E-01  9.28734E-01  4.02304E-02
    7736.618     -1.151   2.100  9.59249E-01  9.31903E-01  2.87317E-02
    7737.428     -0.341   2.150  9.55100E-01  9.35071E-01  2.09933E-02
    7738.256      0.487   2.200  9.55094E-01  9.38240E-01  1.76227E-02
    7739.104      1.335   2.250  9.57373E-01  9.39329E-01  1.88701E-02
    7739.971      2.202   2.300  9.61296E-01  9.40418E-01  2.18380E-02
    7740.857      3.088   2.350  9.65621E-01  9.41507E-01  2.52272E-02
    7741.761      3.992   2.400  9.69151E-01  9.42596E-01  2.77850E-02
    7742.685      4.916   2.450  9.72865E-01  9.45696E-01  2.84415E-02
    7743.628      5.859   2.500  9.74102E-01  9.48795E-01  2.65037E-02
    7744.590      6.821   2.550  9.73231E-01  9.51894E-01  2.23556E-02
    7745.571      7.802   2.600  9.71170E-01  9.54994E-01  1.69564E-02
    7746.572      8.803   2.650  9.68740E-01  9.57981E-01  1.12574E-02
    7747.591      9.822   2.700  9.65780E-01  9.60967E-01  5.02603E-03
    7748.629     10.860   2.750  9.63158E-01  9.63954E-01 -8.29670E-04
    7749.686     11.917   2.800  9.61690E-01  9.66941E-01 -5.46391E-03
    7750.762     12.994   2.850  9.59348E-01  9.68934E-01 -9.95080E-03
    7751.858     14.089   2.900  9.58556E-01  9.70927E-01 -1.28098E-02
    7752.972     15.203   2.950  9.59572E-01  9.72920E-01 -1.37885E-02
    7754.106     16.337   3.000  9.62392E-01  9.74914E-01 -1.29026E-02
    7755.258     17.489   3.050  9.64962E-01  9.76667E-01 -1.20290E-02
    7756.430     18.661   3.100  9.68769E-01  9.78421E-01 -9.89230E-03
    7757.620     19.852   3.150  9.73640E-01  9.80174E-01 -6.67926E-03
    7758.830     21.061   3.200  9.79375E-01  9.81928E-01 -2.60333E-03
