# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=57 Rmt= 1.821 Rnm= 1.821 L3 shell
# # Pot 1 Z=57 Rmt= 1.833 Rnm= 1.833
# # Pot 2 Z=14 Rmt= 1.357 Rnm= 1.411
# # Pot 3 Z=26 Rmt= 1.367 Rnm= 1.423
# # Gam_ch=3.160E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.636E+01 kf=2.094E+00 Vint=-2.524E+01 Rs_int= 1.732
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      3.00     2   3.3214
#           2       0.00000    680.10     21.00     2   3.3214
#           3       0.00000     10.16     12.00     3   4.5109
#           4       0.00000     30.83     36.00     3   4.5109
#           5       0.00000      8.15     12.00     3   4.5983
#           6       0.00000     21.18     36.00     3   4.5983
#           8       0.00000     10.18     18.00     3   4.6085
#           9       0.00000     95.02      8.00     2   4.9602
#          10       0.00000      9.36     18.00     3   5.0037
#          11       0.00000     23.06      3.00     2   5.2000
#          12       0.00000    217.60     21.00     2   5.2000
#          13       0.00000     10.49      6.00     3   5.3768
#          14       0.00000     39.76     42.00     3   5.3768
#          15       0.00000      8.28     18.00     3   5.3777
#          16       0.00000      5.96     12.00     3   5.4287
#          17       0.00000     16.05     36.00     3   5.4287
#          18       0.00000     12.33      6.00     3   5.5376
#          19       0.00000      4.79      6.00     3   5.5376
#          20       0.00000     38.33     36.00     3   5.5376
#          21       0.00000      7.86      4.00     3   5.5478
#          23       0.00000      4.66      6.00     3   5.5478
#          24       0.00000     34.34     34.00     3   5.5478
#          25       0.00000      5.79     12.00     3   5.5963
#          26       0.00000     15.03     36.00     3   5.5963
#          27       0.00000      5.78     12.00     3   5.6021
#          28       0.00000     15.02     36.00     3   5.6021
#          29       0.00000      7.42      6.00     3   5.6582
#          31       0.00000     24.70     36.00     3   5.6582
#          33       0.00000     14.86     36.00     4   5.7005
#          34       0.00000     70.77      6.00     2   5.7276
#          36       0.00000      6.68     21.00     4   5.7933
#          37       0.00000      4.93     36.00     4   5.7933
#          39       0.00000     15.02      3.00     2   5.8642
#          40       0.00000    151.40     21.00     2   5.8642
#          41       0.00000     61.98      6.00     3   5.8697
#          42       0.00000     36.01      6.00     3   5.8697
#          43       0.00000    321.70     36.00     3   5.8697
#          44       0.00000     44.56      3.00     4   5.8752
#          47       0.00000     23.90      3.00     4   5.8752
#          48       0.00000    229.80     18.00     4   5.8752
#          49       0.00000     12.05     36.00     4   5.8752
#          50       0.00000      6.31     18.00     4   5.8752
#          53       0.00000      5.06     30.00     4   5.8854
#          55       0.00000      5.89     18.00     4   5.8957
#          56       0.00000      6.03     18.00     4   5.8957
#          57       0.00000     21.38     42.00     3   5.9744
#    46/  51 paths used
#  xsedge+50, used to normalize mu           8.5346E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    5487.864    -16.360   0.000  6.66413E-01  1.26996E+00 -1.98668E-01
    5487.873    -16.350   0.050  6.76742E-01  1.28037E+00 -1.96794E-01
    5487.902    -16.322   0.100  6.87557E-01  1.29078E+00 -1.94797E-01
    5487.949    -16.274   0.150  7.22381E-01  1.32230E+00 -1.88426E-01
    5488.016    -16.208   0.200  7.61433E-01  1.35383E+00 -1.81103E-01
    5488.102    -16.122   0.250  8.32093E-01  1.40605E+00 -1.68250E-01
    5488.207    -16.017   0.300  9.13037E-01  1.45827E+00 -1.53516E-01
    5488.330    -15.893   0.350  1.03195E+00  1.52815E+00 -1.33244E-01
    5488.473    -15.750   0.400  1.16488E+00  1.59802E+00 -1.11169E-01
    5488.635    -15.588   0.450  1.33188E+00  1.67812E+00 -8.55646E-02
    5488.816    -15.408   0.500  1.50797E+00  1.75823E+00 -5.96292E-02
    5489.016    -15.207   0.550  1.69757E+00  1.83709E+00 -3.28569E-02
    5489.235    -14.988   0.600  1.88224E+00  1.91595E+00 -7.84798E-03
    5489.473    -14.750   0.650  2.04874E+00  1.98074E+00  1.61796E-02
    5489.731    -14.493   0.700  2.19599E+00  2.04552E+00  3.66090E-02
    5490.007    -14.217   0.750  2.30037E+00  2.08567E+00  5.48520E-02
    5490.302    -13.922   0.800  2.38222E+00  2.12582E+00  6.89604E-02
    5490.616    -13.607   0.850  2.42068E+00  2.13543E+00  8.17860E-02
    5490.950    -13.274   0.900  2.44681E+00  2.14503E+00  9.26363E-02
    5491.302    -12.921   0.950  2.44453E+00  2.12429E+00  1.05396E-01
    5491.674    -12.550   1.000  2.43862E+00  2.10354E+00  1.18855E-01
    5492.064    -12.159   1.050  2.41104E+00  2.05821E+00  1.34251E-01
    5492.474    -11.750   1.100  2.37632E+00  2.01288E+00  1.49134E-01
    5492.902    -11.321   1.150  2.31775E+00  1.95200E+00  1.60607E-01
    5493.350    -10.874   1.200  2.24429E+00  1.89112E+00  1.66784E-01
    5493.817    -10.407   1.250  2.14764E+00  1.82382E+00  1.62989E-01
    5494.303     -9.921   1.300  2.03482E+00  1.75652E+00  1.49945E-01
    5494.807     -9.416   1.350  1.90882E+00  1.68989E+00  1.25067E-01
    5495.331     -8.892   1.400  1.77405E+00  1.62325E+00  9.16724E-02
    5495.874     -8.350   1.450  1.64136E+00  1.56179E+00  5.09759E-02
    5496.436     -7.788   1.500  1.51120E+00  1.50033E+00  7.36003E-03
    5497.017     -7.207   1.550  1.39560E+00  1.44628E+00 -3.59353E-02
    5497.617     -6.606   1.600  1.29094E+00  1.39222E+00 -7.53708E-02
    5498.236     -5.987   1.650  1.20673E+00  1.34635E+00 -1.08051E-01
    5498.875     -5.349   1.700  1.13634E+00  1.30048E+00 -1.32312E-01
    5499.532     -4.692   1.750  1.08615E+00  1.26266E+00 -1.46942E-01
    5500.208     -4.016   1.800  1.04795E+00  1.22485E+00 -1.52230E-01
    5500.903     -3.320   1.850  1.02671E+00  1.19619E+00 -1.49223E-01
    5501.618     -2.606   1.900  1.01363E+00  1.16753E+00 -1.38708E-01
    5502.351     -1.873   1.950  1.01598E+00  1.14888E+00 -1.21986E-01
    5503.104     -1.120   2.000  1.02128E+00  1.13024E+00 -1.01881E-01
    5503.875     -0.349   2.050  1.03133E+00  1.11552E+00 -8.02235E-02
    5504.666      0.442   2.100  1.03975E+00  1.10080E+00 -5.93107E-02
    5505.475      1.252   2.150  1.04567E+00  1.08609E+00 -4.00375E-02
    5506.304      2.080   2.200  1.04891E+00  1.07137E+00 -2.27013E-02
    5507.152      2.928   2.250  1.05149E+00  1.05788E+00 -6.55880E-03
    5508.019      3.795   2.300  1.05204E+00  1.04439E+00  7.98885E-03
    5508.904      4.681   2.350  1.05099E+00  1.03090E+00  2.13357E-02
    5509.809      5.586   2.400  1.04829E+00  1.01741E+00  3.33528E-02
    5510.733      6.509   2.450  1.04785E+00  1.00682E+00  4.47793E-02
    5511.676      7.452   2.500  1.04439E+00  9.96231E-01  5.31246E-02
    5512.638      8.414   2.550  1.03675E+00  9.85642E-01  5.69773E-02
    5513.619      9.395   2.600  1.02444E+00  9.75054E-01  5.56620E-02
    5514.619     10.396   2.650  1.01621E+00  9.69701E-01  5.24467E-02
    5515.639     11.415   2.700  1.00458E+00  9.64347E-01  4.53903E-02
    5516.677     12.453   2.750  9.90669E-01  9.58994E-01  3.57526E-02
    5517.734     13.510   2.800  9.75714E-01  9.53641E-01  2.49276E-02
    5518.810     14.587   2.850  9.63550E-01  9.54687E-01  9.94799E-03
    5519.906     15.682   2.900  9.52931E-01  9.55734E-01 -3.12785E-03
    5521.020     16.796   2.950  9.46405E-01  9.56781E-01 -1.15087E-02
    5522.154     17.930   3.000  9.44220E-01  9.57828E-01 -1.50029E-02
    5523.306     19.082   3.050  9.42301E-01  9.61020E-01 -2.04661E-02
    5524.478     20.254   3.100  9.45325E-01  9.64211E-01 -2.04798E-02
    5525.668     21.445   3.150  9.53536E-01  9.67403E-01 -1.49132E-02
    5526.878     22.654   3.200  9.65699E-01  9.70594E-01 -5.22254E-03
    5528.107     23.883   3.250  9.79163E-01  9.75288E-01  4.09703E-03
    5529.354     25.131   3.300  9.93595E-01  9.79983E-01  1.42666E-02
    5530.621     26.398   3.350  1.00712E+00  9.84677E-01  2.33187E-02
    5531.907     27.683   3.400  1.01801E+00  9.89371E-01  2.94970E-02
    5533.212     28.988   3.450  1.02394E+00  9.92927E-01  3.17131E-02
