# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=24 Rmt= 1.265 Rnm= 1.321 K  shell
# # Pot 1 Z=24 Rmt= 1.272 Rnm= 1.332
# # Pot 2 Z= 6 Rmt= 1.059 Rnm= 1.111
# # Gam_ch=1.087E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.690E+01 kf=2.354E+00 Vint=-2.987E+01 Rs_int= 1.541
# # PATH  Rmax= 4.469,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      2.00     2   2.0314
#           2       0.00000     47.98      1.00     2   2.0694
#           3       0.00000     90.46      2.00     2   2.1251
#           4       0.00000     35.20      1.00     2   2.5001
#           5       0.00000     66.86      2.00     2   2.5655
#           6       0.00000     33.30      1.00     2   2.5704
#           7       0.00000     66.02      2.00     2   2.5816
#           8       0.00000     29.34      1.00     2   2.7354
#           9       0.00000     54.73      2.00     2   2.8290
#          10       0.00000     10.22      4.00     3   3.3331
#          11       0.00000     10.36      4.00     3   3.3331
#          12       0.00000     10.03      4.00     3   3.3576
#          13       0.00000      8.98      4.00     3   3.3682
#          14       0.00000     15.40      1.00     2   3.3999
#          15       0.00000     11.50      4.00     3   3.4033
#          16       0.00000      8.26      4.00     3   3.4365
#          17       0.00000      5.50      2.00     3   3.4459
#          18       0.00000     12.80      4.00     3   3.4459
#          19       0.00000     14.49      1.00     2   3.4877
#          20       0.00000     28.63      2.00     2   3.5051
#          21       0.00000      5.30      2.00     3   3.5396
#          22       0.00000      9.60      4.00     3   3.5396
#          23       0.00000      8.93      4.00     3   3.5810
#          24       0.00000      9.04      4.00     3   3.5863
#          25       0.00000      9.05      4.00     3   3.6500
#          26       0.00000      5.70      4.00     3   3.6622
#          27       0.00000     30.49      2.00     2   3.6802
#          28       0.00000     30.13      2.00     2   3.6984
#          29       0.00000     28.70      2.00     2   3.7754
#          30       0.00000     27.87      2.00     2   3.8223
#          31       0.00000     19.47      4.00     3   3.8990
#          32       0.00000     20.01      4.00     3   3.9038
#          33       0.00000     21.76      2.00     2   3.9234
#          34       0.00000     25.99      2.00     2   3.9352
#          35       0.00000      6.55      4.00     3   3.9800
#          36       0.00000     22.03      4.00     3   3.9836
#          37       0.00000      5.41      4.00     3   3.9932
#          38       0.00000      6.38      4.00     3   3.9961
#          39       0.00000     41.78      4.00     3   4.0032
#          40       0.00000     17.66      4.00     3   4.0059
#          41       0.00000      5.53      4.00     3   4.0453
#          42       0.00000     14.86      4.00     3   4.0453
#          43       0.00000      5.88      4.00     3   4.0510
#          44       0.00000     16.65      4.00     3   4.0510
#          45       0.00000     16.25      4.00     3   4.0546
#          46       0.00000     12.04      1.00     2   4.0613
#          47       0.00000     11.13      2.00     4   4.0627
#          48       0.00000     22.00      2.00     4   4.0712
#          49       0.00000      5.86      2.00     4   4.1092
#          50       0.00000      5.79      4.00     3   4.1169
#          51       0.00000      5.41      2.00     4   4.1178
#          52       0.00000     23.21      2.00     2   4.1222
#          53       0.00000      5.15      1.00     4   4.1387
#          54       0.00000     33.72      4.00     3   4.1420
#          55       0.00000      8.28      2.00     4   4.1449
#          56       0.00000     41.39      4.00     4   4.1565
#          57       0.00000     18.79      2.00     2   4.1624
#          59       0.00000     11.59      2.00     3   4.1953
#          60       0.00000      8.27      4.00     3   4.2017
#          61       0.00000     12.34      4.00     3   4.2017
#          62       0.00000     10.97      1.00     2   4.2169
#          63       0.00000      4.72      2.00     4   4.2363
#          64       0.00000      9.24      2.00     4   4.2503
#          65       0.00000     20.51      4.00     3   4.2686
#          66       0.00000      5.69      4.00     3   4.2805
#          67       0.00000      7.05      4.00     3   4.2821
#          68       0.00000     15.06      4.00     3   4.3025
#          69       0.00000      5.15      1.00     4   4.3293
#          71       0.00000     19.38      4.00     3   4.3411
#          72       0.00000     10.79      4.00     3   4.3435
#          73       0.00000      6.36      4.00     3   4.3729
#          74       0.00000     12.65      4.00     3   4.3974
#          75       0.00000      8.88      2.00     4   4.4150
#          76       0.00000      8.08      1.00     2   4.4194
#          77       0.00000      6.04      4.00     3   4.4193
#          78       0.00000     16.13      2.00     2   4.4229
#          79       0.00000      7.87      1.00     2   4.4671
#    77/  78 paths used
#  xsedge+50, used to normalize mu           3.9195E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    5991.501    -23.839  -1.350 -2.38108E-02  1.97877E-02  6.01050E-01
    5992.006    -23.334  -1.300 -2.61561E-02  2.11764E-02  7.39922E-01
    5992.492    -22.849  -1.250 -2.82775E-02  2.26661E-02  9.46208E-01
    5992.958    -22.382  -1.200 -2.95034E-02  2.45598E-02  1.03817E+00
    5993.406    -21.934  -1.150 -3.07293E-02  2.64534E-02  1.07208E+00
    5993.835    -21.506  -1.100 -3.14194E-02  2.86630E-02  1.01955E+00
    5994.244    -21.096  -1.050 -3.13059E-02  3.13464E-02  8.64545E-01
    5994.635    -20.706  -1.000 -3.11924E-02  3.40298E-02  6.29403E-01
    5995.006    -20.334  -0.950 -3.00058E-02  3.74964E-02  3.25625E-01
    5995.359    -19.982  -0.900 -2.81037E-02  4.14851E-02 -1.58062E-02
    5995.692    -19.648  -0.850 -2.62015E-02  4.54739E-02 -3.51970E-01
    5996.006    -19.334  -0.800 -2.21271E-02  5.12991E-02 -6.11630E-01
    5996.302    -19.039  -0.750 -1.75097E-02  5.75835E-02 -7.82998E-01
    5996.578    -18.762  -0.700 -1.28922E-02  6.38680E-02 -8.59626E-01
    5996.835    -18.505  -0.650 -3.64319E-03  7.44149E-02 -8.07874E-01
    5997.073    -18.267  -0.600  5.60584E-03  8.49619E-02 -7.06894E-01
    5997.292    -18.048  -0.550  1.64658E-02  9.70538E-02 -5.79943E-01
    5997.492    -17.848  -0.500  3.37693E-02  1.15325E-01 -4.68855E-01
    5997.673    -17.667  -0.450  5.10728E-02  1.33597E-01 -3.65204E-01
    5997.835    -17.505  -0.400  7.22812E-02  1.55655E-01 -2.86857E-01
    5997.978    -17.362  -0.350  9.93471E-02  1.83392E-01 -2.37198E-01
    5998.102    -17.238  -0.300  1.26413E-01  2.11130E-01 -1.97146E-01
    5998.207    -17.134  -0.250  1.52668E-01  2.37890E-01 -1.74158E-01
    5998.292    -17.048  -0.200  1.78382E-01  2.63998E-01 -1.60488E-01
    5998.359    -16.981  -0.150  2.04097E-01  2.90106E-01 -1.50170E-01
    5998.407    -16.934  -0.100  2.16982E-01  3.03174E-01 -1.46543E-01
    5998.435    -16.905  -0.050  2.26661E-01  3.12983E-01 -1.44395E-01
    5998.445    -16.896   0.000  2.36312E-01  3.22765E-01 -1.42588E-01
    5998.454    -16.886   0.050  2.43851E-01  3.29752E-01 -1.41533E-01
    5998.483    -16.857   0.100  2.51294E-01  3.36740E-01 -1.40640E-01
    5998.530    -16.810   0.150  2.72622E-01  3.57242E-01 -1.38858E-01
    5998.597    -16.743   0.200  2.93146E-01  3.77745E-01 -1.38403E-01
    5998.683    -16.657   0.250  3.21305E-01  4.07382E-01 -1.40122E-01
    5998.788    -16.553   0.300  3.47432E-01  4.37019E-01 -1.45116E-01
    5998.911    -16.429   0.350  3.69910E-01  4.66812E-01 -1.55901E-01
    5999.054    -16.286   0.400  3.89027E-01  4.96605E-01 -1.71912E-01
    5999.216    -16.124   0.450  3.96978E-01  5.20819E-01 -1.96238E-01
    5999.397    -15.943   0.500  4.00670E-01  5.45033E-01 -2.26850E-01
    5999.597    -15.743   0.550  3.92710E-01  5.63814E-01 -2.66228E-01
    5999.816    -15.524   0.600  3.80462E-01  5.82594E-01 -3.11446E-01
    6000.054    -15.286   0.650  3.59178E-01  5.97870E-01 -3.63724E-01
    6000.312    -15.029   0.700  3.34614E-01  6.13145E-01 -4.19804E-01
    6000.588    -14.752   0.750  3.04155E-01  6.26436E-01 -4.79921E-01
    6000.883    -14.457   0.800  2.72419E-01  6.39726E-01 -5.40494E-01
    6001.197    -14.143   0.850  2.37991E-01  6.51962E-01 -6.01416E-01
    6001.531    -13.809   0.900  2.05107E-01  6.64198E-01 -6.58593E-01
    6001.883    -13.457   0.950  1.72779E-01  6.75881E-01 -7.12200E-01
    6002.255    -13.086   1.000  1.45392E-01  6.87563E-01 -7.57509E-01
    6002.645    -12.695   1.050  1.21921E-01  6.98926E-01 -7.95334E-01
    6003.055    -12.285   1.100  1.07020E-01  7.10290E-01 -8.20500E-01
    6003.483    -11.857   1.150  9.94790E-02  7.21435E-01 -8.34505E-01
    6003.931    -11.409   1.200  1.03880E-01  7.32580E-01 -8.32327E-01
    6004.398    -10.942   1.250  1.18777E-01  7.43517E-01 -8.16045E-01
    6004.884    -10.457   1.300  1.48093E-01  7.54454E-01 -7.81606E-01
    6005.388     -9.952   1.350  1.90252E-01  7.65142E-01 -7.31395E-01
    6005.912     -9.428   1.400  2.47537E-01  7.75830E-01 -6.63476E-01
    6006.455     -8.885   1.450  3.18338E-01  7.86211E-01 -5.80233E-01
    6007.017     -8.323   1.500  4.02418E-01  7.96591E-01 -4.82785E-01
