# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=24 Rmt= 1.295 Rnm= 1.355 K  shell
# # Pot 1 Z=24 Rmt= 1.274 Rnm= 1.331
# # Pot 2 Z= 6 Rmt= 1.058 Rnm= 1.111
# # Gam_ch=1.087E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.723E+01 kf=2.355E+00 Vint=-3.007E+01 Rs_int= 1.540
# # PATH  Rmax= 4.488,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      2.00     2   2.0399
#           2       0.00000     39.80      1.00     2   2.2599
#           3       0.00000     38.65      1.00     2   2.2898
#           4       0.00000     66.99      2.00     2   2.5816
#           5       0.00000     28.58      1.00     2   2.6176
#           6       0.00000     64.04      2.00     2   2.6401
#           7       0.00000     62.63      2.00     2   2.6693
#           8       0.00000     61.73      2.00     2   2.6885
#           9       0.00000     29.79      1.00     2   2.7354
#          10       0.00000     55.58      2.00     2   2.8290
#          11       0.00000     10.57      4.00     3   3.3832
#          12       0.00000     12.06      4.00     3   3.4033
#          13       0.00000      9.13      4.00     3   3.4364
#          14       0.00000     14.94      1.00     2   3.4543
#          15       0.00000      5.57      2.00     3   3.4544
#          16       0.00000     13.00      4.00     3   3.4544
#          17       0.00000      8.92      4.00     3   3.4748
#          18       0.00000      8.69      4.00     3   3.4845
#          19       0.00000      8.88      4.00     3   3.4845
#          20       0.00000      8.01      4.00     3   3.5448
#          21       0.00000     26.67      2.00     2   3.6208
#          22       0.00000     26.34      2.00     2   3.6396
#          23       0.00000      8.59      4.00     3   3.6622
#          24       0.00000      8.11      4.00     3   3.6629
#          25       0.00000     30.65      2.00     2   3.6984
#          26       0.00000      7.15      4.00     3   3.8093
#          27       0.00000      7.76      4.00     3   3.8389
#          28       0.00000     22.90      2.00     2   3.8542
#          29       0.00000     20.59      4.00     3   3.9038
#          30       0.00000      6.76      4.00     3   3.9203
#          31       0.00000     26.44      2.00     2   3.9352
#          32       0.00000      6.72      4.00     3   3.9932
#          33       0.00000      6.66      4.00     3   3.9961
#          34       0.00000     42.79      4.00     3   4.0032
#          35       0.00000      5.73      4.00     3   4.0546
#          36       0.00000      6.07      4.00     3   4.0546
#          37       0.00000     12.25      1.00     2   4.0613
#          38       0.00000     22.73      2.00     4   4.0712
#          39       0.00000     10.52      2.00     4   4.0797
#          40       0.00000      5.79      4.00     3   4.0838
#          41       0.00000      5.39      4.00     3   4.0976
#          42       0.00000     14.39      4.00     3   4.1028
#          43       0.00000      6.36      2.00     4   4.1092
#          44       0.00000     16.75      4.00     3   4.1169
#          45       0.00000     23.62      2.00     2   4.1222
#          46       0.00000      5.14      4.00     3   4.1457
#          47       0.00000     16.16      4.00     3   4.1497
#          48       0.00000     11.53      1.00     2   4.1633
#          49       0.00000      5.22      4.00     3   4.1650
#          50       0.00000     15.45      4.00     3   4.1650
#          51       0.00000     11.55      2.00     3   4.1953
#          52       0.00000     14.16      4.00     3   4.2196
#          53       0.00000     14.81      2.00     3   4.2549
#          54       0.00000     20.61      4.00     3   4.2686
#          55       0.00000     15.06      4.00     3   4.2805
#          56       0.00000     15.46      4.00     3   4.2812
#          57       0.00000     17.17      2.00     2   4.3269
#          58       0.00000      4.99      1.00     4   4.3293
#          59       0.00000      8.53      1.00     2   4.3390
#          60       0.00000      7.20      1.00     4   4.3464
#          61       0.00000     10.60      4.00     3   4.3549
#          62       0.00000      6.96      4.00     3   4.3549
#          63       0.00000     10.27      1.00     2   4.3619
#          64       0.00000     20.53      2.00     2   4.3633
#          65       0.00000     10.34      4.00     3   4.3792
#          66       0.00000      6.77      4.00     3   4.3792
#          67       0.00000      5.22      4.00     3   4.3974
#          68       0.00000      8.70      2.00     4   4.4150
#          69       0.00000      6.04      4.00     3   4.4193
#          70       0.00000     19.59      2.00     2   4.4452
#          71       0.00000      4.73      4.00     3   4.4555
#          72       0.00000     15.92      2.00     2   4.4586
#          73       0.00000     15.87      2.00     2   4.4649
#          74       0.00000     10.63      2.00     3   4.4674
#    74/  74 paths used
#  xsedge+50, used to normalize mu           3.9683E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    5990.999    -24.697  -1.400 -5.98955E-02  1.78262E-02  2.06917E-01
    5991.523    -24.174  -1.350 -6.61100E-02  1.91560E-02  3.26008E-01
    5992.028    -23.669  -1.300 -7.23246E-02  2.04859E-02  5.06617E-01
    5992.513    -23.183  -1.250 -7.82037E-02  2.19117E-02  7.50969E-01
    5992.980    -22.716  -1.200 -8.27408E-02  2.37213E-02  8.91111E-01
    5993.428    -22.269  -1.150 -8.72779E-02  2.55309E-02  9.90414E-01
    5993.856    -21.840  -1.100 -9.10811E-02  2.76402E-02  1.01142E+00
    5994.266    -21.430  -1.050 -9.37833E-02  3.01992E-02  9.35085E-01
    5994.657    -21.040  -1.000 -9.64856E-02  3.27581E-02  7.65618E-01
    5995.028    -20.668  -0.950 -9.78697E-02  3.60592E-02  5.13832E-01
    5995.380    -20.316  -0.900 -9.83751E-02  3.98552E-02  1.89598E-01
    5995.714    -19.983  -0.850 -9.88805E-02  4.36511E-02 -1.82976E-01
    5996.028    -19.668  -0.800 -9.69691E-02  4.91857E-02 -5.33916E-01
    5996.323    -19.373  -0.750 -9.44536E-02  5.51549E-02 -8.35886E-01
    5996.600    -19.097  -0.700 -9.19380E-02  6.11241E-02 -1.05626E+00
    5996.857    -18.840  -0.650 -8.46412E-02  7.11253E-02 -1.11127E+00
    5997.095    -18.601  -0.600 -7.73444E-02  8.11265E-02 -1.08386E+00
    5997.314    -18.382  -0.550 -6.84521E-02  9.25881E-02 -9.85657E-01
    5997.514    -18.182  -0.500 -5.31778E-02  1.09891E-01 -8.60060E-01
    5997.695    -18.001  -0.450 -3.79036E-02  1.27195E-01 -7.24853E-01
    5997.857    -17.839  -0.400 -1.88032E-02  1.48076E-01 -6.07337E-01
    5998.000    -17.697  -0.350  6.03621E-03  1.74323E-01 -5.22134E-01
    5998.124    -17.573  -0.300  3.08757E-02  2.00571E-01 -4.45834E-01
    5998.228    -17.468  -0.250  5.51344E-02  2.25892E-01 -3.96014E-01
    5998.314    -17.382  -0.200  7.90060E-02  2.50595E-01 -3.62163E-01
    5998.381    -17.316  -0.150  1.02878E-01  2.75298E-01 -3.32310E-01
    5998.428    -17.268  -0.100  1.14862E-01  2.87668E-01 -3.19909E-01
    5998.457    -17.239  -0.050  1.23874E-01  2.96955E-01 -3.11650E-01
    5998.467    -17.230   0.000  1.32860E-01  3.06214E-01 -3.03832E-01
    5998.476    -17.220   0.050  1.42176E-01  3.12823E-01 -2.98767E-01
    5998.505    -17.192   0.100  1.51385E-01  3.19433E-01 -2.93898E-01
    5998.552    -17.144   0.150  1.77919E-01  3.38837E-01 -2.80528E-01
    5998.619    -17.077   0.200  2.03525E-01  3.58242E-01 -2.68855E-01
    5998.705    -16.992   0.250  2.39973E-01  3.86318E-01 -2.52978E-01
    5998.809    -16.887   0.300  2.74052E-01  4.14395E-01 -2.41341E-01
    5998.933    -16.763   0.350  3.07567E-01  4.42686E-01 -2.30698E-01
    5999.076    -16.620   0.400  3.37193E-01  4.70978E-01 -2.26799E-01
    5999.238    -16.458   0.450  3.58599E-01  4.94074E-01 -2.27628E-01
    5999.419    -16.277   0.500  3.75249E-01  5.17170E-01 -2.36361E-01
    5999.619    -16.077   0.550  3.83117E-01  5.35204E-01 -2.50657E-01
    5999.838    -15.858   0.600  3.86465E-01  5.53238E-01 -2.72033E-01
    6000.076    -15.620   0.650  3.83439E-01  5.68039E-01 -2.97581E-01
    6000.333    -15.363   0.700  3.77121E-01  5.82840E-01 -3.27785E-01
    6000.610    -15.087   0.750  3.66988E-01  5.95862E-01 -3.60024E-01
    6000.905    -14.791   0.800  3.55380E-01  6.08884E-01 -3.93741E-01
    6001.219    -14.477   0.850  3.41923E-01  6.20995E-01 -4.27572E-01
    6001.553    -14.144   0.900  3.29097E-01  6.33106E-01 -4.59541E-01
    6001.905    -13.791   0.950  3.16036E-01  6.44780E-01 -4.89886E-01
    6002.277    -13.420   1.000  3.05956E-01  6.56453E-01 -5.15002E-01
    6002.667    -13.029   1.050  2.97416E-01  6.67926E-01 -5.36511E-01
    6003.077    -12.620   1.100  2.94503E-01  6.79400E-01 -5.49374E-01
    6003.505    -12.191   1.150  2.95350E-01  6.90761E-01 -5.56120E-01
    6003.953    -11.743   1.200  3.04608E-01  7.02121E-01 -5.51012E-01
    6004.420    -11.277   1.250  3.20261E-01  7.13388E-01 -5.36988E-01
    6004.905    -10.791   1.300  3.46780E-01  7.24655E-01 -5.08738E-01
    6005.410    -10.286   1.350  3.82283E-01  7.35776E-01 -4.69093E-01
