# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=31 Rmt= 1.474 Rnm= 1.505 K  shell
# # Pot 1 Z=31 Rmt= 1.457 Rnm= 1.485
# # Pot 2 Z=24 Rmt= 1.303 Rnm= 1.379
# # Pot 3 Z= 6 Rmt= 1.021 Rnm= 1.110
# # Gam_ch=2.082E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.432E+01 kf=2.267E+00 Vint=-2.538E+01 Rs_int= 1.600
# # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.6711
#           2       0.00000     69.33      6.00     2   2.9008
#           3       0.00000     41.98      6.00     2   3.5746
#           4       0.00000     39.30      6.00     2   3.9433
#           5       0.00000     42.94     24.00     3   4.1184
#           6       0.00000      8.34     24.00     3   4.1215
#           7       0.00000     10.89      2.00     2   4.2351
#           8       0.00000     21.15      6.00     2   4.6035
#           9       0.00000     49.33     12.00     3   4.6329
#          10       0.00000     29.74      6.00     4   4.6624
#          11       0.00000      7.68     24.00     3   4.7576
#          12       0.00000     11.40     24.00     3   4.7576
#          13       0.00000     44.32     12.00     2   4.8953
#    13/  13 paths used
#  xsedge+50, used to normalize mu           1.9974E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   10379.169    -14.321   0.000  8.67023E-02  6.47552E-01 -4.48559E-01
   10379.179    -14.312   0.050  9.38778E-02  6.55133E-01 -4.48261E-01
   10379.207    -14.283   0.100  1.01240E-01  6.62715E-01 -4.47815E-01
   10379.255    -14.236   0.150  1.24452E-01  6.85278E-01 -4.45484E-01
   10379.322    -14.169   0.200  1.49283E-01  7.07842E-01 -4.41890E-01
   10379.407    -14.083   0.250  1.93238E-01  7.44148E-01 -4.33026E-01
   10379.512    -13.978   0.300  2.41192E-01  7.80453E-01 -4.21152E-01
   10379.636    -13.855   0.350  3.09099E-01  8.25939E-01 -4.00215E-01
   10379.779    -13.712   0.400  3.83089E-01  8.71424E-01 -3.74959E-01
   10379.941    -13.550   0.450  4.73107E-01  9.18828E-01 -3.38831E-01
   10380.122    -13.369   0.500  5.69168E-01  9.66231E-01 -2.98868E-01
   10380.322    -13.169   0.550  6.73770E-01  1.00953E+00 -2.49997E-01
   10380.541    -12.950   0.600  7.80986E-01  1.05284E+00 -2.00246E-01
   10380.779    -12.712   0.650  8.87982E-01  1.08981E+00 -1.47032E-01
   10381.036    -12.454   0.700  9.91401E-01  1.12678E+00 -9.75521E-02
   10381.312    -12.178   0.750  1.08591E+00  1.15755E+00 -5.10866E-02
   10381.608    -11.883   0.800  1.17024E+00  1.18832E+00 -1.27590E-02
   10381.922    -11.569   0.850  1.23895E+00  1.21362E+00  1.77090E-02
   10382.255    -11.235   0.900  1.29345E+00  1.23893E+00  3.77812E-02
   10382.608    -10.883   0.950  1.32975E+00  1.25933E+00  4.84350E-02
   10382.979    -10.511   1.000  1.35242E+00  1.27972E+00  4.96348E-02
   10383.370    -10.121   1.050  1.35949E+00  1.29545E+00  4.35062E-02
   10383.779     -9.711   1.100  1.35851E+00  1.31117E+00  3.20001E-02
   10384.208     -9.283   1.150  1.34898E+00  1.32234E+00  1.79671E-02
