# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=24 Rmt= 1.262 Rnm= 1.322 K  shell
# # Pot 1 Z=24 Rmt= 1.273 Rnm= 1.331
# # Pot 2 Z= 6 Rmt= 1.067 Rnm= 1.117
# # Gam_ch=1.087E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.710E+01 kf=2.353E+00 Vint=-2.997E+01 Rs_int= 1.541
# # PATH  Rmax= 4.443,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      2.00     2   2.0197
#           2       0.00000     46.51      1.00     2   2.0865
#           3       0.00000     90.61      2.00     2   2.1112
#           4       0.00000     35.03      1.00     2   2.5001
#           5       0.00000     33.14      1.00     2   2.5704
#           6       0.00000     62.82      2.00     2   2.6401
#           7       0.00000     60.55      2.00     2   2.6885
#           8       0.00000     54.94      2.00     2   2.8185
#           9       0.00000     54.52      2.00     2   2.8290
#          10       0.00000      9.91      4.00     3   3.3576
#          11       0.00000      9.04      4.00     3   3.3682
#          12       0.00000     10.52      4.00     3   3.3832
#          13       0.00000      5.48      2.00     3   3.4342
#          14       0.00000     13.68      4.00     3   3.4342
#          15       0.00000     11.57      4.00     3   3.4747
#          16       0.00000      8.38      4.00     3   3.4748
#          17       0.00000     11.73      4.00     3   3.4747
#          18       0.00000     28.03      2.00     2   3.5152
#          19       0.00000      5.29      2.00     3   3.5257
#          20       0.00000     10.27      4.00     3   3.5257
#          21       0.00000      9.46      4.00     3   3.5375
#          22       0.00000      7.73      4.00     3   3.5448
#          23       0.00000     13.56      1.00     2   3.5631
#          24       0.00000      8.95      4.00     3   3.5879
#          25       0.00000     30.42      2.00     2   3.6802
#          26       0.00000      9.73      4.00     3   3.6975
#          27       0.00000     28.64      2.00     2   3.7754
#          28       0.00000     27.81      2.00     2   3.8223
#          29       0.00000     19.89      4.00     3   3.8990
#          30       0.00000      6.50      4.00     3   3.9202
#          31       0.00000     20.92      2.00     2   3.9625
#          32       0.00000     22.67      4.00     3   3.9836
#          33       0.00000     50.07      4.00     2   3.9934
#          34       0.00000     17.80      4.00     3   4.0059
#          35       0.00000     10.86      2.00     4   4.0395
#          36       0.00000      9.95      1.00     2   4.0429
#          37       0.00000      5.96      4.00     3   4.0546
#          38       0.00000     40.47      4.00     3   4.0622
#          39       0.00000     39.65      4.00     3   4.0622
#          40       0.00000      5.99      4.00     3   4.0736
#          41       0.00000     15.32      4.00     3   4.0976
#          42       0.00000      5.07      4.00     3   4.1028
#          43       0.00000     33.22      4.00     3   4.1070
#          44       0.00000      5.39      2.00     4   4.1178
#          45       0.00000     38.31      4.00     4   4.1309
#          46       0.00000     21.43      2.00     4   4.1309
#          47       0.00000     20.85      2.00     4   4.1309
#          49       0.00000      9.14      2.00     4   4.1449
#          50       0.00000     14.74      4.00     3   4.1457
#          51       0.00000      5.36      4.00     3   4.1497
#          52       0.00000     18.59      2.00     2   4.1555
#          53       0.00000     11.31      1.00     2   4.1633
#          54       0.00000      4.74      1.00     4   4.1729
#          55       0.00000      8.03      4.00     3   4.2153
#          56       0.00000     12.02      4.00     3   4.2153
#          57       0.00000     10.96      1.00     2   4.2169
#          58       0.00000      4.81      4.00     3   4.2196
#          59       0.00000      9.03      2.00     4   4.2224
#          60       0.00000     17.75      2.00     2   4.2334
#          61       0.00000      4.98      2.00     4   4.2363
#          62       0.00000     15.06      2.00     3   4.2549
#          63       0.00000      5.38      4.00     3   4.2812
#          64       0.00000     16.06      4.00     3   4.2821
#          65       0.00000      6.12      4.00     3   4.3025
#          66       0.00000     11.39      4.00     3   4.3411
#          67       0.00000      7.70      2.00     3   4.3413
#          68       0.00000     18.54      4.00     3   4.3435
#          69       0.00000      7.46      1.00     4   4.3464
#          70       0.00000     10.08      1.00     2   4.3619
#          71       0.00000     20.14      2.00     2   4.3633
#          72       0.00000      6.63      4.00     3   4.3729
#    71/  71 paths used
#  xsedge+50, used to normalize mu           3.9365E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    5991.346    -24.047  -1.350 -6.88237E-02  1.95476E-02  5.23537E-01
    5991.851    -23.542  -1.300 -7.52260E-02  2.09132E-02  6.43230E-01
    5992.337    -23.057  -1.250 -8.12779E-02  2.23779E-02  8.68029E-01
    5992.803    -22.590  -1.200 -8.59282E-02  2.42383E-02  1.00715E+00
    5993.251    -22.142  -1.150 -9.05784E-02  2.60987E-02  1.10912E+00
    5993.680    -21.714  -1.100 -9.44655E-02  2.82685E-02  1.13605E+00
    5994.089    -21.304  -1.050 -9.72080E-02  3.09024E-02  1.05407E+00
    5994.480    -20.913  -1.000 -9.99505E-02  3.35363E-02  8.82412E-01
    5994.851    -20.542  -0.950 -1.01330E-01  3.69367E-02  6.20076E-01
    5995.204    -20.190  -0.900 -1.01800E-01  4.08481E-02  2.92794E-01
    5995.537    -19.856  -0.850 -1.02270E-01  4.47596E-02 -6.21381E-02
    5995.851    -19.542  -0.800 -1.00245E-01  5.04676E-02 -3.81493E-01
    5996.147    -19.247  -0.750 -9.75978E-02  5.66247E-02 -6.41583E-01
    5996.423    -18.970  -0.700 -9.49502E-02  6.27819E-02 -8.24123E-01
    5996.680    -18.713  -0.650 -8.73610E-02  7.31071E-02 -8.63865E-01
    5996.918    -18.475  -0.600 -7.97717E-02  8.34324E-02 -8.39459E-01
    5997.137    -18.256  -0.550 -7.05346E-02  9.52678E-02 -7.63948E-01
    5997.337    -18.056  -0.500 -5.47058E-02  1.13144E-01 -6.70002E-01
    5997.518    -17.875  -0.450 -3.88771E-02  1.31020E-01 -5.71384E-01
    5997.680    -17.713  -0.400 -1.90964E-02  1.52596E-01 -4.88431E-01
    5997.823    -17.570  -0.350  6.61220E-03  1.79723E-01 -4.30564E-01
    5997.947    -17.446  -0.300  3.23208E-02  2.06851E-01 -3.80563E-01
    5998.052    -17.342  -0.250  5.74216E-02  2.33021E-01 -3.49870E-01
    5998.137    -17.256  -0.200  8.21173E-02  2.58553E-01 -3.30507E-01
    5998.204    -17.189  -0.150  1.06813E-01  2.84085E-01 -3.14565E-01
    5998.252    -17.142  -0.100  1.19168E-01  2.96827E-01 -3.08489E-01
    5998.280    -17.113  -0.050  1.28437E-01  3.06373E-01 -3.04689E-01
    5998.290    -17.103   0.000  1.37707E-01  3.15918E-01 -3.01271E-01
    5998.299    -17.094   0.050  1.45646E-01  3.22813E-01 -2.99189E-01
    5998.328    -17.065   0.100  1.53476E-01  3.29695E-01 -2.97276E-01
    5998.375    -17.018   0.150  1.75688E-01  3.49751E-01 -2.92723E-01
    5998.442    -16.951   0.200  1.97044E-01  3.69807E-01 -2.89633E-01
    5998.528    -16.865   0.250  2.26308E-01  3.98806E-01 -2.87714E-01
    5998.633    -16.761   0.300  2.53360E-01  4.27805E-01 -2.89484E-01
    5998.756    -16.637   0.350  2.76572E-01  4.56997E-01 -2.97320E-01
    5998.899    -16.494   0.400  2.96089E-01  4.86189E-01 -3.11096E-01
    5999.061    -16.332   0.450  3.03844E-01  5.09968E-01 -3.34398E-01
    5999.242    -16.151   0.500  3.07009E-01  5.33746E-01 -3.64681E-01
    5999.442    -15.951   0.550  2.97968E-01  5.52261E-01 -4.04860E-01
    5999.661    -15.732   0.600  2.84660E-01  5.70776E-01 -4.50957E-01
    5999.899    -15.494   0.650  2.62495E-01  5.85888E-01 -5.03919E-01
    6000.157    -15.237   0.700  2.37776E-01  6.00999E-01 -5.59626E-01
    6000.433    -14.960   0.750  2.08657E-01  6.14229E-01 -6.17145E-01
    6000.728    -14.665   0.800  1.79830E-01  6.27459E-01 -6.72818E-01
    6001.042    -14.351   0.850  1.51150E-01  6.39698E-01 -7.24667E-01
    6001.376    -14.017   0.900  1.26225E-01  6.51938E-01 -7.69672E-01
    6001.728    -13.665   0.950  1.05646E-01  6.63670E-01 -8.05828E-01
    6002.100    -13.293   1.000  9.23021E-02  6.75401E-01 -8.30702E-01
    6002.490    -12.903   1.050  8.67634E-02  6.86865E-01 -8.43011E-01
    6002.900    -12.493   1.100  9.13278E-02  6.98329E-01 -8.40984E-01
    6003.328    -12.065   1.150  1.06077E-01  7.09622E-01 -8.24472E-01
    6003.776    -11.617   1.200  1.32630E-01  7.20915E-01 -7.92515E-01
    6004.243    -11.150   1.250  1.70380E-01  7.32037E-01 -7.46125E-01
    6004.729    -10.665   1.300  2.20010E-01  7.43160E-01 -6.85440E-01
