# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=24 Rmt= 1.210 Rnm= 1.324 K  shell
# # Pot 1 Z=24 Rmt= 1.212 Rnm= 1.331
# # Pot 2 Z= 8 Rmt= 0.979 Rnm= 1.074
# # Gam_ch=1.087E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.160E+01 kf=2.277E+00 Vint=-2.037E+01 Rs_int= 1.593
# # PATH  Rmax= 4.141,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      2.00     2   1.8823
#           2       0.00000    191.20      4.00     2   1.9177
#           3       0.00000     32.78      2.00     2   2.9182
#           4       0.00000     16.77      4.00     3   3.1621
#           5       0.00000     51.13     16.00     3   3.2435
#           6       0.00000     47.88      4.00     2   3.3652
#           7       0.00000      9.09      4.00     3   3.3768
#           8       0.00000     29.50      8.00     3   3.3768
#           9       0.00000     92.05      8.00     2   3.4504
#          10       0.00000     44.20      4.00     2   3.4726
#          11       0.00000     40.04      8.00     3   3.6252
#          12       0.00000     39.98      8.00     3   3.6252
#          13       0.00000     20.07      2.00     3   3.7645
#          14       0.00000     23.45      2.00     4   3.7645
#          15       0.00000     12.94      2.00     4   3.7645
#          16       0.00000     14.58      4.00     4   3.8000
#          17       0.00000     14.09      4.00     4   3.8000
#          19       0.00000     37.34      4.00     3   3.8354
#          20       0.00000     42.96      4.00     4   3.8354
#          21       0.00000     23.60      4.00     4   3.8354
#          22       0.00000     14.66      4.00     4   3.8354
#          23       0.00000      4.83      4.00     4   3.8354
#          24       0.00000     64.24      8.00     2   3.9304
#          25       0.00000     38.21     16.00     3   3.9850
#          26       0.00000     38.11     16.00     3   4.0387
#          27       0.00000      6.23      8.00     3   4.1365
#          28       0.00000     16.56      8.00     3   4.1365
#          29       0.00000     17.07      8.00     3   4.1365
#    28/  29 paths used
#  xsedge+50, used to normalize mu           3.8785E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    5987.555    -18.549  -1.350 -5.11405E-02  2.03883E-02  6.00079E+00
    5988.060    -18.044  -1.300 -7.43487E-02  2.17958E-02  7.42001E+00
    5988.546    -17.558  -1.250 -9.74077E-02  2.33026E-02  7.85797E+00
    5989.013    -17.091  -1.200 -1.19870E-01  2.52062E-02  3.85985E+00
    5989.460    -16.644  -1.150 -1.42332E-01  2.71099E-02  1.10584E+00
    5989.889    -16.215  -1.100 -1.63365E-01  2.93207E-02  4.39107E-01
    5990.299    -15.805  -1.050 -1.82252E-01  3.19924E-02  4.26298E-01
    5990.689    -15.415  -1.000 -2.01140E-01  3.46641E-02  3.80786E-01
    5991.061    -15.043  -0.950 -2.17224E-01  3.80894E-02  2.10689E-01
    5991.413    -14.691  -0.900 -2.31440E-01  4.20171E-02 -1.01298E-03
    5991.746    -14.358  -0.850 -2.45655E-01  4.59448E-02 -2.09876E-01
    5992.061    -14.043  -0.800 -2.55402E-01  5.16213E-02 -3.51243E-01
    5992.356    -13.748  -0.750 -2.64033E-01  5.77350E-02 -4.46908E-01
    5992.632    -13.472  -0.700 -2.72663E-01  6.38487E-02 -5.22104E-01
    5992.889    -13.215  -0.650 -2.74092E-01  7.39823E-02 -5.11125E-01
    5993.128    -12.977  -0.600 -2.75522E-01  8.41160E-02 -5.20657E-01
    5993.347    -12.757  -0.550 -2.74925E-01  9.56951E-02 -5.44957E-01
    5993.547    -12.557  -0.500 -2.66228E-01  1.13056E-01 -5.71044E-01
    5993.728    -12.376  -0.450 -2.57530E-01  1.30417E-01 -6.05813E-01
    5993.890    -12.215  -0.400 -2.44242E-01  1.51302E-01 -6.40634E-01
    5994.032    -12.072  -0.350 -2.24067E-01  1.77473E-01 -6.70528E-01
    5994.156    -11.948  -0.300 -2.03893E-01  2.03643E-01 -6.99038E-01
    5994.261    -11.843  -0.250 -1.83171E-01  2.28879E-01 -7.19499E-01
    5994.347    -11.757  -0.200 -1.62084E-01  2.53492E-01 -7.34838E-01
    5994.413    -11.691  -0.150 -1.40997E-01  2.78105E-01 -7.49140E-01
    5994.461    -11.643  -0.100 -1.30295E-01  2.90444E-01 -7.55518E-01
    5994.490    -11.614  -0.050 -1.22190E-01  2.99714E-01 -7.59967E-01
    5994.499    -11.605   0.000 -1.14104E-01  3.08961E-01 -7.64288E-01
