# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=24 Rmt= 1.283 Rnm= 1.360 K  shell
# # Pot 1 Z=24 Rmt= 1.286 Rnm= 1.367
# # Pot 2 Z= 8 Rmt= 0.998 Rnm= 1.064
# # Gam_ch=1.087E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.179E+01 kf=2.290E+00 Vint=-2.190E+01 Rs_int= 1.584
# # PATH  Rmax= 4.336,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      3.00     2   1.9707
#           2       0.00000     97.18      3.00     2   1.9948
#           3       0.00000     17.14      1.00     2   2.5766
#           4       0.00000     41.50      3.00     2   2.8725
#           5       0.00000      9.91      6.00     3   3.2831
#           6       0.00000     13.67      6.00     3   3.3139
#           7       0.00000     12.09      6.00     3   3.3498
#           8       0.00000     26.93      3.00     2   3.3786
#           9       0.00000     10.45      6.00     3   3.4012
#          10       0.00000     12.36      6.00     3   3.4190
#          11       0.00000     12.43      6.00     3   3.4190
#          12       0.00000     27.96      3.00     2   3.4539
#          13       0.00000      8.83      6.00     3   3.4554
#          14       0.00000     49.55      6.00     2   3.6413
#          15       0.00000     22.04      3.00     2   3.6564
#          16       0.00000     22.00      3.00     2   3.6586
#          17       0.00000     19.22      6.00     3   3.6976
#          18       0.00000     21.10      6.00     3   3.8035
#          19       0.00000     21.03      6.00     3   3.8035
#          20       0.00000     18.18      3.00     2   3.9409
#          21       0.00000     11.46      3.00     4   3.9414
#          22       0.00000      5.53      3.00     4   3.9414
#          23       0.00000     34.96      6.00     3   3.9563
#          24       0.00000     40.14      6.00     4   3.9656
#          25       0.00000      6.74      3.00     4   3.9656
#          26       0.00000      8.76      3.00     4   3.9656
#          27       0.00000      6.82      3.00     4   3.9656
#          28       0.00000      8.62      3.00     4   3.9656
#          29       0.00000     10.84      3.00     4   3.9897
#          31       0.00000      9.80      6.00     3   3.9937
#          32       0.00000      8.30      6.00     3   4.1052
#          33       0.00000      8.57      6.00     3   4.1230
#          34       0.00000      7.78      6.00     3   4.1594
#          35       0.00000      5.86      1.00     2   4.2039
#          36       0.00000      8.41      6.00     3   4.2320
#          37       0.00000     16.83     12.00     3   4.2331
#          38       0.00000      6.27      6.00     3   4.2441
#          39       0.00000     12.62      6.00     3   4.2441
#          40       0.00000     10.10      6.00     3   4.2498
#          41       0.00000     14.76     12.00     3   4.3103
#          42       0.00000     10.36      6.00     3   4.3349
#    41/  42 paths used
#  xsedge+50, used to normalize mu           3.9011E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    5988.279    -18.729  -1.350 -6.97906E-02  2.02948E-02  4.92148E+00
    5988.784    -18.224  -1.300 -8.57496E-02  2.17147E-02  2.64341E+00
    5989.270    -17.738  -1.250 -1.01219E-01  2.32365E-02  1.87010E+00
    5989.737    -17.272  -1.200 -1.14731E-01  2.51661E-02  1.57403E+00
    5990.184    -16.824  -1.150 -1.28242E-01  2.70958E-02  1.05942E+00
    5990.613    -16.395  -1.100 -1.40479E-01  2.93429E-02  4.08982E-01
    5991.022    -15.986  -1.050 -1.50804E-01  3.20661E-02 -1.55678E-01
    5991.413    -15.595  -1.000 -1.61129E-01  3.47893E-02 -6.67572E-01
    5991.784    -15.224  -0.950 -1.69263E-01  3.82955E-02 -1.04440E+00
    5992.137    -14.871  -0.900 -1.75936E-01  4.23236E-02 -1.31576E+00
    5992.470    -14.538  -0.850 -1.82609E-01  4.63517E-02 -1.51096E+00
    5992.785    -14.224  -0.800 -1.85740E-01  5.22061E-02 -1.61756E+00
    5993.080    -13.928  -0.750 -1.87986E-01  5.85172E-02 -1.66699E+00
    5993.356    -13.652  -0.700 -1.90231E-01  6.48283E-02 -1.66153E+00
    5993.613    -13.395  -0.650 -1.86343E-01  7.53577E-02 -1.56312E+00
    5993.851    -13.157  -0.600 -1.82455E-01  8.58871E-02 -1.42989E+00
    5994.070    -12.938  -0.550 -1.76703E-01  9.79392E-02 -1.27105E+00
    5994.270    -12.738  -0.500 -1.63498E-01  1.16082E-01 -1.12957E+00
    5994.451    -12.557  -0.450 -1.50293E-01  1.34225E-01 -9.85139E-01
    5994.613    -12.395  -0.400 -1.32754E-01  1.56090E-01 -8.62774E-01
    5994.756    -12.252  -0.350 -1.08713E-01  1.83537E-01 -7.75562E-01
    5994.880    -12.128  -0.300 -8.46732E-02  2.10985E-01 -6.92207E-01
    5994.985    -12.023  -0.250 -6.07583E-02  2.37460E-01 -6.34508E-01
    5995.071    -11.938  -0.200 -3.69267E-02  2.63286E-01 -5.93135E-01
    5995.137    -11.871  -0.150 -1.30951E-02  2.89113E-01 -5.53634E-01
    5995.185    -11.823  -0.100 -1.07777E-03  3.02057E-01 -5.36291E-01
    5995.213    -11.795  -0.050  7.98648E-03  3.11781E-01 -5.24380E-01
    5995.223    -11.785   0.000  1.70211E-02  3.21473E-01 -5.12684E-01
    5995.232    -11.776   0.050  2.81421E-02  3.28384E-01 -5.04858E-01
    5995.261    -11.747   0.100  3.92050E-02  3.35295E-01 -4.97153E-01
    5995.309    -11.700   0.150  7.14731E-02  3.55655E-01 -4.75094E-01
    5995.375    -11.633   0.200  1.03304E-01  3.76016E-01 -4.53953E-01
    5995.461    -11.547   0.250  1.50484E-01  4.05628E-01 -4.21704E-01
    5995.566    -11.442   0.300  1.96386E-01  4.35240E-01 -3.92007E-01
    5995.690    -11.319   0.350  2.46495E-01  4.65437E-01 -3.55890E-01
    5995.833    -11.176   0.400  2.93995E-01  4.95634E-01 -3.24661E-01
    5995.994    -11.014   0.450  3.37111E-01  5.20862E-01 -2.92384E-01
    5996.175    -10.833   0.500  3.75898E-01  5.46091E-01 -2.67666E-01
    5996.375    -10.633   0.550  4.07566E-01  5.66450E-01 -2.46496E-01
    5996.595    -10.414   0.600  4.32959E-01  5.86809E-01 -2.35497E-01
    5996.833    -10.176   0.650  4.49714E-01  6.04098E-01 -2.32771E-01
    5997.090     -9.918   0.700  4.58407E-01  6.21387E-01 -2.42101E-01
    5997.366     -9.642   0.750  4.57350E-01  6.37028E-01 -2.62634E-01
    5997.661     -9.347   0.800  4.47304E-01  6.52668E-01 -2.95454E-01
    5997.976     -9.033   0.850  4.26711E-01  6.67452E-01 -3.40578E-01
    5998.309     -8.699   0.900  3.97798E-01  6.82236E-01 -3.95801E-01
    5998.661     -8.347   0.950  3.59209E-01  6.96552E-01 -4.61486E-01
    5999.033     -7.975   1.000  3.15279E-01  7.10868E-01 -5.32171E-01
    5999.423     -7.585   1.050  2.65151E-01  7.24848E-01 -6.08014E-01
    5999.833     -7.175   1.100  2.15349E-01  7.38828E-01 -6.80924E-01
    6000.262     -6.747   1.150  1.65880E-01  7.52473E-01 -7.50470E-01
    6000.709     -6.299   1.200  1.24642E-01  7.66117E-01 -8.07406E-01
    6001.176     -5.832   1.250  9.26302E-02  7.79337E-01 -8.50697E-01
    6001.662     -5.346   1.300  7.75131E-02  7.92557E-01 -8.72038E-01
    6002.167     -4.842   1.350  8.08821E-02  8.05218E-01 -8.70204E-01
    6002.690     -4.318   1.400  1.08153E-01  8.17880E-01 -8.40130E-01
    6003.233     -3.775   1.450  1.60639E-01  8.29847E-01 -7.81215E-01
    6003.795     -3.213   1.500  2.39538E-01  8.41813E-01 -6.93492E-01
    6004.376     -2.632   1.550  3.44847E-01  8.52938E-01 -5.77670E-01
    6004.976     -2.032   1.600  4.72419E-01  8.64063E-01 -4.39734E-01
    6005.596     -1.413   1.650  6.20312E-01  8.74219E-01 -2.81870E-01
    6006.234     -0.774   1.700  7.79262E-01  8.84374E-01 -1.15388E-01
    6006.891     -0.117   1.750  9.45355E-01  8.93449E-01  5.64197E-02
    6007.567      0.559   1.800  1.10628E+00  9.02525E-01  2.19316E-01
    6008.263      1.254   1.850  1.25750E+00  9.10425E-01  3.70465E-01
    6008.977      1.969   1.900  1.38681E+00  9.18326E-01  4.95917E-01
    6009.710      2.702   1.950  1.49081E+00  9.24943E-01  5.94918E-01
    6010.463      3.455   2.000  1.56115E+00  9.31559E-01  6.57433E-01
    6011.234      4.226   2.050  1.59883E+00  9.36311E-01  6.88688E-01
    6012.025      5.017   2.100  1.60029E+00  9.41062E-01  6.82174E-01
    6012.835      5.826   2.150  1.56779E+00  9.45813E-01  6.40740E-01
    6013.663      6.655   2.200  1.50746E+00  9.50565E-01  5.71131E-01
    6014.511      7.503   2.250  1.42578E+00  9.52333E-01  4.84939E-01
    6015.378      8.369   2.300  1.33301E+00  9.54100E-01  3.87628E-01
    6016.264      9.255   2.350  1.24019E+00  9.55868E-01  2.90500E-01
    6017.168     10.160   2.400  1.15715E+00  9.57636E-01  2.03597E-01
    6018.092     11.084   2.450  1.08049E+00  9.55649E-01  1.27632E-01
    6019.035     12.027   2.500  1.02744E+00  9.53662E-01  7.55756E-02
    6019.997     12.989   2.550  1.00004E+00  9.51674E-01  4.96332E-02
    6020.978     13.970   2.600  9.96179E-01  9.49687E-01  4.78017E-02
    6021.979     14.970   2.650  1.01430E+00  9.52447E-01  6.34539E-02
    6022.998     15.989   2.700  1.03939E+00  9.55207E-01  8.61726E-02
    6024.036     17.028   2.750  1.06444E+00  9.57968E-01  1.08743E-01
    6025.093     18.085   2.800  1.08296E+00  9.60728E-01  1.24566E-01
    6026.170     19.161   2.850  1.08751E+00  9.64345E-01  1.25112E-01
    6027.265     20.257   2.900  1.08334E+00  9.67963E-01  1.16826E-01
    6028.379     21.371   2.950  1.06938E+00  9.71581E-01  9.87050E-02
    6029.513     22.505   3.000  1.04569E+00  9.75199E-01  7.09203E-02
    6030.665     23.657   3.050  1.01256E+00  9.76774E-01  3.59563E-02
    6031.837     24.829   3.100  9.73317E-01  9.78349E-01 -5.05032E-03
    6033.027     26.019   3.150  9.30179E-01  9.79923E-01 -4.98665E-02
    6034.237     27.229   3.200  8.85773E-01  9.81498E-01 -9.58440E-02
    6035.466     28.458   3.250  8.42072E-01  9.82057E-01 -1.40105E-01
    6036.714     29.705   3.300  8.02293E-01  9.82615E-01 -1.80409E-01
    6037.980     30.972   3.350  7.68732E-01  9.83174E-01 -2.14464E-01
    6039.266     32.258   3.400  7.43228E-01  9.83732E-01 -2.40439E-01
    6040.571     33.563   3.450  7.25715E-01  9.83524E-01 -2.57743E-01
    6041.895     34.887   3.500  7.17941E-01  9.83315E-01 -2.65311E-01
    6043.238     36.230   3.550  7.19919E-01  9.83107E-01 -2.63131E-01
    6044.600     37.592   3.600  7.31074E-01  9.82899E-01 -2.51775E-01
    6045.981     38.973   3.650  7.49058E-01  9.82344E-01 -2.33344E-01
    6047.382     40.373   3.700  7.73685E-01  9.81788E-01 -2.08249E-01
    6048.801     41.793   3.750  8.03698E-01  9.81233E-01 -1.77739E-01
    6050.239     43.231   3.800  8.37498E-01  9.80678E-01 -1.43409E-01
    6051.696     44.688   3.850  8.72703E-01  9.80022E-01 -1.07539E-01
    6053.173     46.165   3.900  9.08659E-01  9.79366E-01 -7.08834E-02
    6054.668     47.660   3.950  9.44095E-01  9.78710E-01 -3.47167E-02
    6056.183     49.174   4.000  9.77911E-01  9.78054E-01 -1.43995E-04
    6057.716     50.708   4.050  1.00975E+00  9.77478E-01  3.23924E-02
    6059.269     52.261   4.100  1.03856E+00  9.76901E-01  6.18984E-02
    6060.840     53.832   4.150  1.06373E+00  9.76324E-01  8.77767E-02
    6062.431     55.423   4.200  1.08484E+00  9.75747E-01  1.09576E-01
    6064.041     57.033   4.250  1.10224E+00  9.75397E-01  1.27425E-01
    6065.670     58.661   4.300  1.11493E+00  9.75046E-01  1.40547E-01
    6067.317     60.309   4.350  1.12274E+00  9.74696E-01  1.48774E-01
    6068.984     61.976   4.400  1.12565E+00  9.74345E-01  1.52067E-01
    6070.670     63.662   4.450  1.12396E+00  9.74169E-01  1.50543E-01
    6072.375     65.367   4.500  1.11768E+00  9.73993E-01  1.44393E-01
    6074.099     67.091   4.550  1.10725E+00  9.73817E-01  1.34079E-01
    6075.842     68.834   4.600  1.09329E+00  9.73641E-01  1.20222E-01
    6077.604     70.596   4.650  1.07704E+00  9.73619E-01  1.03912E-01
    6079.385     72.377   4.700  1.05891E+00  9.73597E-01  8.57222E-02
