# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=26 Rmt= 1.409 Rnm= 1.478 L3 shell
# # Pot 1 Z=26 Rmt= 1.405 Rnm= 1.465
# # Pot 2 Z=14 Rmt= 1.373 Rnm= 1.434
# # Pot 3 Z=57 Rmt= 1.933 Rnm= 1.947
# # Gam_ch=4.170E-01 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.513E+01 kf=1.979E+00 Vint=-2.264E+01 Rs_int= 1.833
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.800  Temp=  20.00  Debye_temp= 370.00  Global_sig2= 0.00150
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00427    100.00      7.00     2   2.4817
#           2       0.00570     18.98      1.00     2   2.4817
#           3       0.00465     19.36     16.00     3   3.7636
#           4       0.00503     26.04      6.00     2   3.9599
#           5       0.00677      9.52      2.00     2   3.9599
#           6       0.00505      9.85     16.00     3   4.5130
#           7       0.00503     12.66     12.00     3   4.6066
#           8       0.00493     15.51      5.00     2   4.8049
#           9       0.00493     20.20      8.00     3   4.8375
#          11       0.00497      9.33      2.00     3   4.8375
#          12       0.00504     12.59      4.00     4   4.8701
#          13       0.00519      6.36      1.00     4   4.8701
#          14       0.00491      9.10      4.00     3   4.9633
#          15       0.00491     10.41      4.00     4   4.9633
#          16       0.01257     12.50      7.00     4   4.9633
#          17       0.00390     16.55      4.00     2   4.9796
#          18       0.00409     16.63     20.00     3   5.3978
#          19       0.00453      5.50      4.00     3   5.3978
#          20       0.00486     15.24      7.00     2   5.7104
#          21       0.00487      8.58      4.00     2   5.7500
#          22       0.00490      9.66     12.00     3   5.7849
#          23       0.00498      4.22      2.00     3   5.7849
#    22/  23 paths used
#  xsedge+50, used to normalize mu           9.1393E-03
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
     712.608    -15.135   0.000  1.33780E+01  2.91853E+00  1.40491E+00
     712.618    -15.125   0.050  1.34005E+01  3.09408E+00  1.40919E+00
     712.646    -15.097   0.100  1.33983E+01  3.26963E+00  1.41019E+00
     712.694    -15.049   0.150  1.32571E+01  3.65300E+00  1.40515E+00
     712.761    -14.983   0.200  1.29745E+01  4.03637E+00  1.37778E+00
     712.846    -14.897   0.250  1.22077E+01  4.20525E+00  1.32722E+00
     712.951    -14.792   0.300  1.12915E+01  4.37414E+00  1.24153E+00
     713.075    -14.668   0.350  1.00759E+01  4.24528E+00  1.14197E+00
     713.218    -14.525   0.400  8.81869E+00  4.11643E+00  1.01343E+00
     713.380    -14.363   0.450  7.63108E+00  3.86312E+00  8.91133E-01
     713.561    -14.182   0.500  6.48608E+00  3.60982E+00  7.53622E-01
     713.761    -13.982   0.550  5.54173E+00  3.34552E+00  6.30923E-01
     713.980    -13.763   0.600  4.66407E+00  3.08122E+00  5.03241E-01
     714.218    -13.525   0.650  3.97003E+00  2.85045E+00  3.88259E-01
     714.475    -13.268   0.700  3.34063E+00  2.61969E+00  2.74974E-01
     714.751    -12.992   0.750  2.85784E+00  2.43276E+00  1.75496E-01
     715.047    -12.697   0.800  2.43394E+00  2.24584E+00  8.46345E-02
     715.361    -12.382   0.850  2.08444E+00  2.09959E+00 -7.31247E-03
     715.694    -12.049   0.900  1.77223E+00  1.95334E+00 -9.43104E-02
     716.047    -11.696   0.950  1.54295E+00  1.84060E+00 -1.64780E-01
     716.418    -11.325   1.000  1.38227E+00  1.72785E+00 -2.04215E-01
     716.809    -10.934   1.050  1.28669E+00  1.64147E+00 -2.20909E-01
     717.218    -10.525   1.100  1.24108E+00  1.55508E+00 -2.06622E-01
     717.647    -10.096   1.150  1.23240E+00  1.48904E+00 -1.76464E-01
     718.095     -9.649   1.200  1.24888E+00  1.42300E+00 -1.25359E-01
     718.561     -9.182   1.250  1.27787E+00  1.37258E+00 -7.07084E-02
     719.047     -8.696   1.300  1.30635E+00  1.32217E+00 -1.22589E-02
     719.552     -8.191   1.350  1.33052E+00  1.28382E+00  3.72761E-02
     720.076     -7.667   1.400  1.33859E+00  1.24548E+00  7.66035E-02
     720.619     -7.124   1.450  1.33627E+00  1.21651E+00  1.00824E-01
     721.181     -6.562   1.500  1.31822E+00  1.18755E+00  1.12651E-01
     721.762     -5.981   1.550  1.29273E+00  1.16597E+00  1.11232E-01
     722.362     -5.381   1.600  1.25868E+00  1.14438E+00  1.02111E-01
     722.981     -4.762   1.650  1.22477E+00  1.12859E+00  8.70401E-02
     723.619     -4.124   1.700  1.19120E+00  1.11280E+00  7.18890E-02
     724.276     -3.467   1.750  1.16439E+00  1.10162E+00  5.80670E-02
     724.953     -2.791   1.800  1.14258E+00  1.09045E+00  4.86617E-02
     725.648     -2.095   1.850  1.12786E+00  1.08295E+00  4.21481E-02
     726.362     -1.381   1.900  1.11664E+00  1.07545E+00  3.88781E-02
     727.096     -0.647   1.950  1.10811E+00  1.07123E+00  3.49125E-02
     727.848      0.105   2.000  1.09834E+00  1.06701E+00  2.97442E-02
     728.620      0.877   2.050  1.08555E+00  1.06525E+00  1.92673E-02
     729.410      1.667   2.100  1.06802E+00  1.06348E+00  4.30640E-03
