# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=31 Rmt= 1.305 Rnm= 1.401 K  shell
# # Pot 1 Z=31 Rmt= 1.297 Rnm= 1.382
# # Pot 2 Z= 8 Rmt= 1.003 Rnm= 1.073
# # Gam_ch=2.082E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-4.789E+00 kf=2.252E+00 Vint=-1.702E+01 Rs_int= 1.611
# # PATH  Rmax=10.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      3.00     2   1.9521
#           2       0.00000     83.42      3.00     2   2.1058
#           3       0.00000     12.39      1.00     2   2.8860
#           4       0.00000     34.29      3.00     2   2.9852
#           5       0.00000     25.81      3.00     2   3.3577
#           6       0.00000     24.82      3.00     2   3.4015
#           7       0.00000      9.27      6.00     3   3.4054
#           8       0.00000      9.96      6.00     3   3.4340
#           9       0.00000      7.86      6.00     3   3.4679
#          10       0.00000      7.56      6.00     3   3.4831
#          11       0.00000      7.13      6.00     3   3.5216
#          12       0.00000      7.11      6.00     3   3.5216
#          13       0.00000      6.51      6.00     3   3.5488
#          14       0.00000     21.83      3.00     2   3.5674
#          15       0.00000     14.11      6.00     3   3.6309
#          16       0.00000     40.59      6.00     2   3.6999
#          17       0.00000     18.25      3.00     2   3.8097
#          18       0.00000     13.16      6.00     3   3.8789
#          19       0.00000     13.49      6.00     3   3.8789
#          20       0.00000      8.08      3.00     4   3.9042
#          22       0.00000      5.82      1.00     2   3.9264
#          23       0.00000      7.57      6.00     3   4.0050
#          24       0.00000     25.91      6.00     3   4.0316
#          25       0.00000     29.83      6.00     4   4.0579
#          26       0.00000      5.16      3.00     4   4.0579
#          27       0.00000      5.19      3.00     4   4.0579
#          28       0.00000     14.75      3.00     2   4.1131
#          29       0.00000     12.57     12.00     3   4.1987
#          30       0.00000      5.67      3.00     4   4.2116
#          31       0.00000      6.52      6.00     3   4.3198
#          32       0.00000     12.21      3.00     2   4.3966
#          34       0.00000      4.55      6.00     3   4.4756
#          35       0.00000      7.62      6.00     3   4.4860
#          36       0.00000      9.33     12.00     3   4.4888
#          37       0.00000     18.78      6.00     3   4.5025
#          38       0.00000     11.23      3.00     2   4.5262
#          39       0.00000      6.32      6.00     3   4.5484
#          40       0.00000      9.41      3.00     4   4.6085
#          41       0.00000     18.54      6.00     3   4.6156
#          42       0.00000     10.36      3.00     2   4.6529
#          43       0.00000      9.49      3.00     4   4.7050
#          44       0.00000     19.89      6.00     2   4.7195
#          47       0.00000      5.37      6.00     4   4.7623
#          48       0.00000      6.06      6.00     3   4.8284
#          49       0.00000      7.20      6.00     3   4.8284
#          50       0.00000     11.10      6.00     3   4.8335
#          52       0.00000      4.19      6.00     4   4.9373
#          53       0.00000     17.76     12.00     3   4.9437
#          54       0.00000      8.55      3.00     2   4.9676
#          55       0.00000     19.80      6.00     3   4.9757
#          57       0.00000     11.58      3.00     4   4.9837
#          58       0.00000      6.57      6.00     4   5.0141
#          59       0.00000      4.74      3.00     4   5.0141
#          61       0.00000     17.69      6.00     2   5.0595
#          63       0.00000      6.88      6.00     4   5.1679
#          65       0.00000      6.98      6.00     3   5.2066
#          66       0.00000      6.27      6.00     3   5.2066
#          67       0.00000      6.02      6.00     3   5.2066
#          68       0.00000      6.99      3.00     2   5.3147
#          69       0.00000      4.40      6.00     4   5.3536
#          72       0.00000      4.63      6.00     3   5.3891
#          73       0.00000      6.18      6.00     3   5.3891
#          74       0.00000     14.71      6.00     2   5.3999
#          78       0.00000      5.31      6.00     3   5.5038
#          79       0.00000      4.05      6.00     3   5.5142
#          82       0.00000      6.20      3.00     2   5.5286
#          83       0.00000      5.75      6.00     3   5.5366
#          84       0.00000      5.49      6.00     3   5.5366
#          85       0.00000      5.16      6.00     3   5.5366
#          86       0.00000      6.01      3.00     2   5.5841
#          87       0.00000      4.40      6.00     3   5.5903
#          88       0.00000      6.15      6.00     3   5.5903
#          89       0.00000      4.32      6.00     3   5.6360
#          96       0.00000      5.66      3.00     2   5.6954
#         100       0.00000      5.66      6.00     3   5.7430
#         102       0.00000      5.79      6.00     3   5.7506
#         110       0.00000     11.81      6.00     2   5.8248
#    77/ 101 paths used
#  xsedge+50, used to normalize mu           2.0821E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   10376.237     -4.779   0.050 -1.79930E-01  6.71955E-01 -6.14119E-01
   10376.266     -4.751   0.100 -1.63074E-01  6.79820E-01 -6.07838E-01
   10376.313     -4.703   0.150 -1.12587E-01  7.03098E-01 -5.88799E-01
   10376.380     -4.636   0.200 -6.14922E-02  7.26377E-01 -5.69282E-01
   10376.466     -4.551   0.250  2.26905E-02  7.63242E-01 -5.36004E-01
   10376.571     -4.446   0.300  1.08372E-01  8.00106E-01 -5.01524E-01
   10376.694     -4.322   0.350  2.22934E-01  8.44801E-01 -4.51971E-01
   10376.837     -4.179   0.400  3.39880E-01  8.89495E-01 -4.00437E-01
   10376.999     -4.017   0.450  4.78107E-01  9.33255E-01 -3.32682E-01
   10377.180     -3.836   0.500  6.19060E-01  9.77015E-01 -2.62488E-01
   10377.380     -3.636   0.550  7.74256E-01  1.01297E+00 -1.75762E-01
   10377.599     -3.417   0.600  9.31355E-01  1.04893E+00 -8.69214E-02
   10377.837     -3.179   0.650  1.09828E+00  1.07499E+00  1.73067E-02
   10378.095     -2.922   0.700  1.26459E+00  1.10104E+00  1.22109E-01
   10378.371     -2.646   0.750  1.43673E+00  1.11820E+00  2.39181E-01
   10378.666     -2.350   0.800  1.60385E+00  1.13537E+00  3.53821E-01
   10378.980     -2.036   0.850  1.77107E+00  1.14555E+00  4.75524E-01
   10379.314     -1.703   0.900  1.92729E+00  1.15573E+00  5.90428E-01
   10379.666     -1.350   0.950  2.07609E+00  1.16068E+00  7.05616E-01
   10380.038     -0.979   1.000  2.20719E+00  1.16562E+00  8.08754E-01
   10380.428     -0.588   1.050  2.32246E+00  1.16670E+00  9.04539E-01
   10380.838     -0.179   1.100  2.41380E+00  1.16779E+00  9.82978E-01
   10381.266      0.250   1.150  2.48187E+00  1.16605E+00  1.04681E+00
   10381.714      0.698   1.200  2.52146E+00  1.16431E+00  1.08888E+00
   10382.181      1.164   1.250  2.53245E+00  1.16052E+00  1.11049E+00
   10382.667      1.650   1.300  2.51312E+00  1.15672E+00  1.10771E+00
   10383.171      2.155   1.350  2.46310E+00  1.15148E+00  1.08089E+00
   10383.695      2.679   1.400  2.38424E+00  1.14625E+00  1.02959E+00
   10384.238      3.222   1.450  2.27637E+00  1.14004E+00  9.53758E-01
   10384.800      3.784   1.500  2.14498E+00  1.13384E+00  8.56589E-01
   10385.381      4.365   1.550  1.99043E+00  1.12705E+00  7.38133E-01
   10385.981      4.965   1.600  1.82169E+00  1.12025E+00  6.05238E-01
   10386.600      5.584   1.650  1.63979E+00  1.11318E+00  4.58497E-01
   10387.239      6.222   1.700  1.45677E+00  1.10611E+00  3.08099E-01
   10387.896      6.879   1.750  1.27445E+00  1.09899E+00  1.55514E-01
   10388.572      7.556   1.800  1.10618E+00  1.09187E+00  1.27967E-02
   10389.267      8.251   1.850  9.53919E-01  1.08490E+00 -1.18105E-01
   10389.982      8.965   1.900  8.29621E-01  1.07793E+00 -2.25794E-01
   10390.715      9.699   1.950  7.33989E-01  1.07121E+00 -3.09059E-01
   10391.468     10.451   2.000  6.74250E-01  1.06449E+00 -3.60490E-01
   10392.239     11.223   2.050  6.47913E-01  1.05852E+00 -3.81927E-01
   10393.030     12.013   2.100  6.56311E-01  1.05256E+00 -3.71129E-01
   10393.839     12.823   2.150  6.92818E-01  1.04659E+00 -3.33668E-01
   10394.668     13.652   2.200  7.48658E-01  1.04062E+00 -2.77315E-01
   10395.516     14.499   2.250  8.18678E-01  1.03582E+00 -2.07398E-01
   10396.383     15.366   2.300  8.88928E-01  1.03101E+00 -1.36475E-01
   10397.268     16.252   2.350  9.48867E-01  1.02621E+00 -7.47098E-02
   10398.173     17.157   2.400  9.90489E-01  1.02141E+00 -3.00380E-02
   10399.097     18.081   2.450  1.01394E+00  1.02164E+00 -7.51182E-03
   10400.040     19.024   2.500  1.00890E+00  1.02187E+00 -1.27061E-02
   10401.002     19.986   2.550  9.80150E-01  1.02210E+00 -4.12466E-02
   10401.983     20.967   2.600  9.36034E-01  1.02234E+00 -8.51876E-02
   10402.983     21.967   2.650  8.87377E-01  1.02227E+00 -1.33535E-01
   10404.003     22.986   2.700  8.43852E-01  1.02220E+00 -1.77069E-01
   10405.041     24.024   2.750  8.10899E-01  1.02213E+00 -2.10331E-01
   10406.098     25.082   2.800  7.91108E-01  1.02207E+00 -2.30642E-01
   10407.174     26.158   2.850  7.79134E-01  1.01980E+00 -2.41052E-01
   10408.270     27.253   2.900  7.77856E-01  1.01753E+00 -2.40778E-01
   10409.384     28.368   2.950  7.86683E-01  1.01526E+00 -2.30321E-01
   10410.518     29.501   3.000  8.04306E-01  1.01299E+00 -2.10910E-01
