# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=57 Rmt= 1.827 Rnm= 1.827 K  shell
# # Pot 1 Z=57 Rmt= 1.838 Rnm= 1.838
# # Pot 2 Z=14 Rmt= 1.346 Rnm= 1.398
# # Pot 3 Z=26 Rmt= 1.369 Rnm= 1.421
# # Gam_ch=1.706E+01 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.680E+01 kf=2.090E+00 Vint=-2.565E+01 Rs_int= 1.735
# # PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      3.00     2   3.2805
#           2       0.00000     96.76      3.00     2   3.3109
#           3       0.00000     95.61      3.00     2   3.3221
#           4       0.00000     95.39      3.00     2   3.3242
#           5       0.00000     95.02      3.00     2   3.3278
#           6       0.00000     92.78      3.00     2   3.3501
#           7       0.00000     91.07      3.00     2   3.3675
#           8       0.00000     66.47      3.00     2   3.4030
#          24       0.00000      7.29      1.00     2   4.8843
#          25       0.00000      7.14      1.00     2   4.9090
#          26       0.00000     20.51      3.00     2   4.9613
#          27       0.00000     20.37      3.00     2   4.9695
#          28       0.00000     18.89      3.00     2   5.0616
#          29       0.00000     10.97      3.00     2   5.0946
#          30       0.00000     18.24      3.00     2   5.1042
#          31       0.00000     18.08      3.00     2   5.1150
#          32       0.00000     17.95      3.00     2   5.1239
#          33       0.00000     17.29      3.00     2   5.1709
#          34       0.00000     17.26      3.00     2   5.1730
#          35       0.00000     16.80      3.00     2   5.2067
#          53       0.00000     19.64      3.00     2   5.6973
#          54       0.00000     19.21      3.00     2   5.7305
#          55       0.00000      5.73      3.00     2   5.8224
#          56       0.00000     18.98      6.00     3   5.8276
#          57       0.00000     15.39      3.00     4   5.8328
#          58       0.00000     10.21      3.00     2   5.8568
#          59       0.00000     32.82      6.00     3   5.8639
#          60       0.00000     25.92      3.00     4   5.8710
#          61       0.00000     10.01      3.00     2   5.8835
#          62       0.00000     35.15      6.00     3   5.8848
#          63       0.00000     10.43      1.00     4   5.8861
#          64       0.00000     20.85      2.00     4   5.8862
#          65       0.00000      9.95      3.00     2   5.8921
#          66       0.00000      9.94      3.00     2   5.8932
#          67       0.00000     35.34      6.00     3   5.8937
#          68       0.00000     31.97      3.00     4   5.8942
#          69       0.00000     32.66      6.00     3   5.8977
#          70       0.00000     26.50      3.00     4   5.9034
#          71       0.00000      9.84      3.00     2   5.9075
#          72       0.00000     33.67      6.00     3   5.9104
#          73       0.00000     28.94      3.00     4   5.9134
#          74       0.00000      9.77      3.00     2   5.9164
#          75       0.00000     31.64      6.00     3   5.9199
#          76       0.00000      8.53      1.00     4   5.9234
#          77       0.00000     17.05      2.00     4   5.9234
#          78       0.00000      9.60      3.00     2   5.9417
#          79       0.00000     32.37      6.00     3   5.9451
#          80       0.00000     27.34      3.00     4   5.9485
#          93       0.00000      4.62      3.00     2   7.0182
#          94       0.00000      4.61      3.00     2   7.0240
#          96       0.00000      4.51      3.00     2   7.0592
#          97       0.00000      4.50      3.00     2   7.0597
#          98       0.00000      4.47      3.00     2   7.0711
#          99       0.00000      4.41      3.00     2   7.0917
#         100       0.00000      4.32      3.00     2   7.1262
#         101       0.00000      4.11      3.00     2   7.2046
#         102       0.00000      4.10      3.00     2   7.2110
#    57/  90 paths used
#  xsedge+50, used to normalize mu           5.2496E-05
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   38980.525    -16.789   0.050  3.54254E-01  3.69666E-01 -2.80939E-02
   38980.553    -16.760   0.100  3.54676E-01  3.70225E-01 -2.83286E-02
   38980.601    -16.712   0.150  3.55891E-01  3.71852E-01 -2.90263E-02
   38980.668    -16.646   0.200  3.57107E-01  3.73479E-01 -2.97213E-02
   38980.753    -16.560   0.250  3.59110E-01  3.76165E-01 -3.08687E-02
   38980.858    -16.455   0.300  3.61115E-01  3.78850E-01 -3.20064E-02
   38980.982    -16.331   0.350  3.63919E-01  3.82600E-01 -3.35699E-02
   38981.125    -16.188   0.400  3.66730E-01  3.86349E-01 -3.51076E-02
   38981.287    -16.027   0.450  3.70374E-01  3.91177E-01 -3.70193E-02
   38981.468    -15.846   0.500  3.74039E-01  3.96005E-01 -3.88729E-02
   38981.668    -15.646   0.550  3.78580E-01  4.01917E-01 -4.10098E-02
   38981.887    -15.426   0.600  3.83171E-01  4.07829E-01 -4.30317E-02
   38982.125    -15.188   0.650  3.88706E-01  4.14824E-01 -4.51923E-02
   38982.382    -14.931   0.700  3.94339E-01  4.21819E-01 -4.71487E-02
   38982.658    -14.655   0.750  4.00986E-01  4.29856E-01 -4.90352E-02
   38982.954    -14.360   0.800  4.07806E-01  4.37894E-01 -5.05922E-02
   38983.268    -14.045   0.850  4.15745E-01  4.46923E-01 -5.18083E-02
   38983.601    -13.712   0.900  4.23961E-01  4.55953E-01 -5.25421E-02
   38983.954    -13.360   0.950  4.33429E-01  4.65912E-01 -5.26257E-02
   38984.325    -12.988   1.000  4.43294E-01  4.75870E-01 -5.20724E-02
   38984.716    -12.598   1.050  4.54521E-01  4.86653E-01 -5.05740E-02
   38985.125    -12.188   1.100  4.66257E-01  4.97436E-01 -4.83300E-02
   38985.554    -11.759   1.150  4.79439E-01  5.08937E-01 -4.49378E-02
   38986.002    -11.312   1.200  4.93196E-01  5.20438E-01 -4.07982E-02
   38986.468    -10.845   1.250  5.08394E-01  5.32545E-01 -3.54813E-02
   38986.954    -10.359   1.300  5.24137E-01  5.44651E-01 -2.95758E-02
   38987.459     -9.854   1.350  5.41177E-01  5.57250E-01 -2.26920E-02
   38987.983     -9.330   1.400  5.58603E-01  5.69848E-01 -1.55538E-02
   38988.526     -8.788   1.450  5.77024E-01  5.82831E-01 -7.85459E-03
   38989.088     -8.226   1.500  5.95535E-01  5.95814E-01 -3.69281E-04
   38989.669     -7.645   1.550  6.14586E-01  6.09073E-01  7.12597E-03
   38990.269     -7.045   1.600  6.33334E-01  6.22332E-01  1.38996E-02
   38990.888     -6.425   1.650  6.52082E-01  6.35768E-01  2.01279E-02
   38991.526     -5.787   1.700  6.70116E-01  6.49204E-01  2.52107E-02
   38992.183     -5.130   1.750  6.87652E-01  6.62765E-01  2.93243E-02
   38992.860     -4.454   1.800  7.04131E-01  6.76326E-01  3.20372E-02
   38993.555     -3.758   1.850  7.19279E-01  6.89499E-01  3.36102E-02
   38994.269     -3.044   1.900  7.33128E-01  7.02672E-01  3.36821E-02
   38995.003     -2.311   1.950  7.40888E-01  7.11653E-01  3.11964E-02
   38995.755     -1.558   2.000  7.47351E-01  7.20633E-01  2.75433E-02
   38996.527     -0.787   2.050  7.52588E-01  7.29102E-01  2.35590E-02
   38997.317      0.004   2.100  7.57137E-01  7.37571E-01  1.91123E-02
   38998.127      0.814   2.150  7.61296E-01  7.46040E-01  1.45209E-02
   38998.956      1.642   2.200  7.65345E-01  7.54509E-01  1.00571E-02
   38999.803      2.490   2.250  7.69514E-01  7.63296E-01  5.66068E-03
   39000.670      3.357   2.300  7.74024E-01  7.72082E-01  1.73429E-03
   39001.556      4.243   2.350  7.79032E-01  7.80869E-01 -1.61094E-03
   39002.461      5.147   2.400  7.84643E-01  7.89656E-01 -4.31556E-03
