# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  4.9750   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.331 Rnm= 1.373 K  shell
# # Pot 1 Z=62 Rmt= 1.658 Rnm= 1.681
# # Pot 2 Z=27 Rmt= 1.341 Rnm= 1.382
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.790E+01 kf=2.072E+00 Vint=-2.783E+01 Rs_int= 1.750
# # PATH  Rmax= 4.975,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 331.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00755    100.00      1.00     2   2.2947
#           2       0.00842    134.80      1.00     2   2.5425
#           3       0.00842     10.21      1.00     2   2.5425
#           4       0.00842      9.93      1.00     2   2.5425
#           5       0.00860     14.40      1.00     2   2.5970
#           6       0.00860     54.53      1.00     2   2.5970
#           7       0.00860     51.09      1.00     2   2.5970
#           8       0.00867    115.60      1.00     2   2.6210
#           9       0.00867    112.90      1.00     2   2.6210
#          10       0.00867      8.63      1.00     2   2.6210
#          11       0.00867      8.73      1.00     2   2.6210
#          12       0.00867      9.88      1.00     2   2.6210
#          13       0.00867     10.65      1.00     2   2.6210
#          14       0.00681     86.15      1.00     2   2.8707
#          17       0.00937     14.49      2.00     3   3.7667
#          18       0.00937     14.08      2.00     3   3.7667
#          21       0.00937      5.76      2.00     3   3.7667
#          22       0.00937      5.96      2.00     3   3.7667
#          27       0.00940     20.60      2.00     3   3.7746
#          30       0.00951      7.01      2.00     3   3.8239
#          31       0.00951      6.53      2.00     3   3.8239
#          33       0.01079     34.98      1.00     2   3.9604
#          35       0.01079     33.96      1.00     2   3.9604
#          36       0.01084     51.63      1.00     2   4.0917
#          37       0.01084      6.24      1.00     2   4.0917
#          38       0.01084      6.68      1.00     2   4.0917
#          39       0.01086     46.72      1.00     2   4.1584
#          40       0.01086     46.12      1.00     2   4.1584
#          43       0.01086      8.41      1.00     2   4.1584
#          44       0.01086      9.09      1.00     2   4.1584
#          47       0.01087     25.31      1.00     2   4.2006
#          48       0.01087     24.56      1.00     2   4.2006
#          49       0.01087     10.38      1.00     2   4.2006
#          50       0.01087     10.89      1.00     2   4.2006
#          51       0.01067      9.43      2.00     3   4.3988
#          55       0.01067      9.65      2.00     3   4.3988
#          56       0.01067      9.45      2.00     3   4.3988
#          57       0.01075      6.47      2.00     3   4.4917
#          58       0.01075      6.23      2.00     3   4.4917
#          59       0.01075      6.40      2.00     3   4.4917
#          60       0.01075     13.47      2.00     3   4.4917
#          63       0.01079     14.01      2.00     3   4.5354
#          64       0.01079     13.88      2.00     3   4.5354
#          69       0.01081      9.35      2.00     3   4.5684
#          70       0.01081      9.18      2.00     3   4.5684
#          75       0.03020      5.40      1.00     4   4.5894
#          76       0.00784     35.43      1.00     2   4.9197
#          79       0.00784     12.39      1.00     2   4.9197
#          80       0.00784     12.42      1.00     2   4.9197
#          81       0.00784     11.50      1.00     2   4.9197
#          82       0.01100      6.96      2.00     3   4.9591
#    51/  61 paths used
#  xsedge+50, used to normalize mu           2.9273E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7719.439    -17.889   0.050  3.69853E-01  3.13307E-01  1.02688E-01
    7719.468    -17.860   0.100  3.79681E-01  3.18304E-01  1.11277E-01
    7719.515    -17.813   0.150  4.08249E-01  3.33194E-01  1.35418E-01
    7719.582    -17.746   0.200  4.36175E-01  3.48084E-01  1.58173E-01
    7719.668    -17.660   0.250  4.78449E-01  3.71073E-01  1.91285E-01
    7719.772    -17.556   0.300  5.18710E-01  3.94062E-01  2.20324E-01
    7719.896    -17.432   0.350  5.63690E-01  4.20375E-01  2.50635E-01
    7720.039    -17.289   0.400  6.04291E-01  4.46688E-01  2.72730E-01
    7720.201    -17.127   0.450  6.37648E-01  4.71311E-01  2.84107E-01
    7720.382    -16.946   0.500  6.63819E-01  4.95934E-01  2.83076E-01
    7720.582    -16.746   0.550  6.77354E-01  5.17129E-01  2.66106E-01
    7720.801    -16.527   0.600  6.82294E-01  5.38324E-01  2.35574E-01
    7721.039    -16.289   0.650  6.75450E-01  5.56710E-01  1.91081E-01
    7721.296    -16.032   0.700  6.60257E-01  5.75097E-01  1.34817E-01
    7721.573    -15.755   0.750  6.33677E-01  5.91720E-01  6.52511E-02
    7721.868    -15.460   0.800  6.00476E-01  6.08344E-01 -1.20257E-02
    7722.182    -15.146   0.850  5.57588E-01  6.23953E-01 -9.95740E-02
    7722.516    -14.812   0.900  5.12071E-01  6.39562E-01 -1.87860E-01
    7722.868    -14.460   0.950  4.61879E-01  6.54555E-01 -2.78665E-01
    7723.239    -14.088   1.000  4.15449E-01  6.69548E-01 -3.60834E-01
    7723.630    -13.698   1.050  3.72318E-01  6.84098E-01 -4.34647E-01
    7724.040    -13.288   1.100  3.40342E-01  6.98648E-01 -4.90538E-01
    7724.468    -12.860   1.150  3.20002E-01  7.12771E-01 -5.28172E-01
    7724.916    -12.412   1.200  3.16361E-01  7.26894E-01 -5.42428E-01
    7725.383    -11.945   1.250  3.29316E-01  7.40517E-01 -5.34091E-01
    7725.868    -11.460   1.300  3.59940E-01  7.54141E-01 -5.03464E-01
    7726.373    -10.955   1.350  4.06416E-01  7.67151E-01 -4.53404E-01
    7726.897    -10.431   1.400  4.66578E-01  7.80162E-01 -3.87976E-01
    7727.440     -9.888   1.450  5.37149E-01  7.92427E-01 -3.11209E-01
    7728.002     -9.326   1.500  6.13888E-01  8.04693E-01 -2.29249E-01
    7728.583     -8.745   1.550  6.93906E-01  8.16090E-01 -1.44858E-01
    7729.183     -8.145   1.600  7.72628E-01  8.27487E-01 -6.41894E-02
    7729.802     -7.526   1.650  8.48096E-01  8.37898E-01  1.17928E-02
    7730.440     -6.888   1.700  9.16557E-01  8.48309E-01  7.80006E-02
    7731.098     -6.230   1.750  9.77014E-01  8.57639E-01  1.35040E-01
    7731.774     -5.554   1.800  1.02700E+00  8.66970E-01  1.79202E-01
    7732.469     -4.859   1.850  1.06592E+00  8.75156E-01  2.11772E-01
    7733.184     -4.144   1.900  1.09282E+00  8.83342E-01  2.30565E-01
    7733.917     -3.411   1.950  1.10720E+00  8.90290E-01  2.37053E-01
    7734.669     -2.658   2.000  1.10981E+00  8.97238E-01  2.30680E-01
    7735.441     -1.887   2.050  1.09984E+00  9.02428E-01  2.13176E-01
    7736.232     -1.096   2.100  1.08003E+00  9.07617E-01  1.85276E-01
    7737.041     -0.287   2.150  1.05278E+00  9.12807E-01  1.49684E-01
    7737.870      0.542   2.200  1.02085E+00  9.17997E-01  1.09457E-01
