# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=57 Rmt= 1.821 Rnm= 1.821 L3 shell
# # Pot 1 Z=57 Rmt= 1.891 Rnm= 1.891
# # Pot 2 Z=14 Rmt= 1.358 Rnm= 1.412
# # Pot 3 Z=26 Rmt= 1.368 Rnm= 1.424
# # Gam_ch=3.160E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.646E+01 kf=2.084E+00 Vint=-2.527E+01 Rs_int= 1.741
# # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      3.00     2   3.3214
#           2       0.00000    617.90     21.00     2   3.3214
#           3       0.00000     10.53     12.00     3   4.5109
#           4       0.00000     32.14     36.00     3   4.5109
#           5       0.00000      8.42     12.00     3   4.5983
#           6       0.00000     22.17     36.00     3   4.5983
#           7       0.00000      4.12      6.00     3   4.6085
#           8       0.00000     10.66     18.00     3   4.6085
#           9       0.00000     85.92      8.00     2   4.9602
#     9/   9 paths used
#  xsedge+50, used to normalize mu           8.5355E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    5487.873    -16.455   0.050  1.20420E+00  1.28754E+00 -2.71647E-02
    5487.902    -16.426   0.100  1.21748E+00  1.29796E+00 -2.59789E-02
    5487.949    -16.378   0.150  1.25676E+00  1.32968E+00 -2.28699E-02
    5488.016    -16.312   0.200  1.29506E+00  1.36140E+00 -2.02306E-02
    5488.102    -16.226   0.250  1.35580E+00  1.41400E+00 -1.69915E-02
    5488.207    -16.121   0.300  1.41401E+00  1.46661E+00 -1.47240E-02
    5488.330    -15.997   0.350  1.48770E+00  1.53704E+00 -1.31410E-02
    5488.473    -15.855   0.400  1.55771E+00  1.60746E+00 -1.26393E-02
    5488.635    -15.693   0.450  1.63369E+00  1.68828E+00 -1.33233E-02
    5488.816    -15.512   0.500  1.70721E+00  1.76909E+00 -1.45315E-02
    5489.016    -15.312   0.550  1.77765E+00  1.84870E+00 -1.64705E-02
    5489.235    -15.093   0.600  1.85051E+00  1.92831E+00 -1.78083E-02
    5489.473    -14.854   0.650  1.91531E+00  1.99378E+00 -1.83668E-02
    5489.731    -14.597   0.700  1.98936E+00  2.05926E+00 -1.67382E-02
    5490.007    -14.321   0.750  2.05341E+00  2.09973E+00 -1.16639E-02
    5490.302    -14.026   0.800  2.13014E+00  2.14020E+00 -2.67354E-03
    5490.616    -13.712   0.850  2.19409E+00  2.14960E+00  1.26142E-02
    5490.950    -13.378   0.900  2.26594E+00  2.15899E+00  3.25238E-02
    5491.302    -13.026   0.950  2.31717E+00  2.13745E+00  5.86799E-02
    5491.674    -12.654   1.000  2.36408E+00  2.11592E+00  8.74650E-02
    5492.064    -12.264   1.050  2.38066E+00  2.06947E+00  1.17781E-01
    5492.474    -11.854   1.100  2.38005E+00  2.02302E+00  1.45906E-01
    5492.902    -11.426   1.150  2.34498E+00  1.96089E+00  1.68118E-01
    5493.350    -10.978   1.200  2.28658E+00  1.89876E+00  1.82734E-01
    5493.817    -10.511   1.250  2.19940E+00  1.83031E+00  1.85470E-01
    5494.303    -10.025   1.300  2.09157E+00  1.76186E+00  1.77477E-01
    5494.807     -9.521   1.350  1.96827E+00  1.69427E+00  1.56448E-01
    5495.331     -8.997   1.400  1.83293E+00  1.62667E+00  1.25386E-01
    5495.874     -8.454   1.450  1.69732E+00  1.56447E+00  8.51402E-02
    5496.436     -7.892   1.500  1.56064E+00  1.50227E+00  3.95531E-02
    5497.017     -7.311   1.550  1.43590E+00  1.44772E+00 -8.39298E-03
    5497.617     -6.711   1.600  1.31919E+00  1.39318E+00 -5.51186E-02
    5498.236     -6.092   1.650  1.22156E+00  1.34694E+00 -9.71541E-02
    5498.875     -5.453   1.700  1.13710E+00  1.30069E+00 -1.32064E-01
    5499.532     -4.796   1.750  1.07390E+00  1.26267E+00 -1.57366E-01
    5500.208     -4.120   1.800  1.02494E+00  1.22465E+00 -1.72106E-01
    5500.903     -3.425   1.850  9.96193E-01  1.19603E+00 -1.76178E-01
    5501.618     -2.710   1.900  9.79796E-01  1.16742E+00 -1.69296E-01
    5502.351     -1.977   1.950  9.83578E-01  1.14914E+00 -1.52208E-01
    5503.104     -1.224   2.000  9.94672E-01  1.13086E+00 -1.27612E-01
    5503.875     -0.453   2.050  1.01273E+00  1.11590E+00 -9.85384E-02
    5504.666      0.338   2.100  1.03111E+00  1.10094E+00 -6.79981E-02
    5505.475      1.147   2.150  1.04728E+00  1.08598E+00 -3.84443E-02
    5506.304      1.976   2.200  1.05942E+00  1.07102E+00 -1.17531E-02
    5507.152      2.824   2.250  1.06992E+00  1.05738E+00  1.29194E-02
    5508.019      3.691   2.300  1.07436E+00  1.04374E+00  3.20723E-02
    5508.904      4.576   2.350  1.07296E+00  1.03010E+00  4.56538E-02
    5509.809      5.481   2.400  1.06633E+00  1.01647E+00  5.40370E-02
    5510.733      6.405   2.450  1.05838E+00  1.00587E+00  5.74815E-02
    5511.676      7.348   2.500  1.04715E+00  9.95267E-01  5.73824E-02
    5512.638      8.310   2.550  1.03296E+00  9.84668E-01  5.39682E-02
    5513.619      9.291   2.600  1.01610E+00  9.74069E-01  4.74727E-02
    5514.619     10.291   2.650  1.00498E+00  9.68844E-01  4.08209E-02
    5515.639     11.311   2.700  9.92275E-01  9.63619E-01  3.23831E-02
    5516.677     12.349   2.750  9.78843E-01  9.58394E-01  2.31160E-02
    5517.734     13.406   2.800  9.65584E-01  9.53169E-01  1.40386E-02
    5518.810     14.482   2.850  9.56887E-01  9.54271E-01  2.93979E-03
    5519.906     15.578   2.900  9.50327E-01  9.55373E-01 -5.63614E-03
    5521.020     16.692   2.950  9.47165E-01  9.56475E-01 -1.03358E-02
    5522.154     17.826   3.000  9.47388E-01  9.57577E-01 -1.12443E-02
    5523.306     18.978   3.050  9.47847E-01  9.60832E-01 -1.42096E-02
