# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  4.9750   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.331 Rnm= 1.373 K  shell
# # Pot 1 Z=62 Rmt= 1.658 Rnm= 1.681
# # Pot 2 Z=27 Rmt= 1.341 Rnm= 1.382
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.790E+01 kf=2.072E+00 Vint=-2.783E+01 Rs_int= 1.750
# # PATH  Rmax= 4.975,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 332.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00751    100.00      1.00     2   2.2947
#           2       0.00837    163.40      2.00     2   2.5425
#           3       0.00837     81.70      1.00     2   2.5425
#           4       0.00855    234.80      3.00     2   2.5970
#           5       0.00862    460.80      6.00     2   2.6210
#           6       0.00677     90.49      1.00     2   2.8707
#           7       0.00932     50.17     12.00     3   3.7667
#           8       0.00931     48.32     12.00     3   3.7667
#           9       0.00933     21.56      8.00     3   3.7684
#          10       0.00933     10.78      4.00     3   3.7684
#          11       0.00934     27.58      6.00     3   3.7746
#          12       0.00945     23.50      6.00     3   3.8239
#          13       0.00952     41.17     12.00     3   3.8524
#          14       0.01072     91.34      3.00     2   3.9604
#          15       0.01077     84.38      3.00     2   4.0917
#          16       0.01079    162.20      6.00     2   4.1584
#          17       0.01081    158.20      6.00     2   4.2006
#          18       0.00825     12.19      6.00     3   4.2393
#          19       0.01061     10.81      4.00     3   4.3988
#          20       0.01061      5.41      2.00     3   4.3988
#          21       0.01061     24.01      6.00     3   4.3988
#          22       0.01067     40.26     12.00     3   4.4757
#          23       0.01069     16.20      6.00     3   4.4917
#          24       0.01069     22.89      6.00     3   4.4917
#          25       0.01074     22.83     12.00     3   4.5295
#          26       0.01073     46.09     12.00     3   4.5354
#          27       0.01075     45.55     12.00     3   4.5684
#          28       0.03003      5.99      1.00     4   4.5894
#          29       0.01079     37.07     12.00     3   4.5998
#          30       0.01078     41.35     12.00     3   4.6109
#          31       0.01079     13.06      6.00     3   4.6141
#          32       0.01082     22.09     12.00     3   4.6163
#          33       0.01083     35.72     12.00     3   4.6601
#          34       0.01084     11.59      6.00     3   4.6613
#          35       0.01085     21.86     12.00     3   4.6619
#          36       0.01086     35.18     12.00     3   4.6932
#          37       0.01396      5.56      6.00     4   4.8917
#          38       0.01942      8.70      6.00     4   4.9158
#          39       0.01942      9.78      8.00     4   4.9158
#          40       0.00779    167.10      6.00     2   4.9197
#          41       0.01950      9.26      6.00     4   4.9281
#          42       0.01094     24.88      6.00     3   4.9591
#    42/  42 paths used
#  xsedge+50, used to normalize mu           2.9273E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7719.439    -17.889   0.050  1.71243E-01  3.13314E-01 -2.57998E-01
    7719.468    -17.860   0.100  1.83892E-01  3.18305E-01 -2.43693E-01
    7719.515    -17.813   0.150  2.20880E-01  3.33195E-01 -2.02643E-01
    7719.582    -17.746   0.200  2.57571E-01  3.48085E-01 -1.62522E-01
    7719.668    -17.660   0.250  3.14394E-01  3.71082E-01 -1.00988E-01
    7719.772    -17.556   0.300  3.69821E-01  3.94080E-01 -4.28803E-02
    7719.896    -17.432   0.350  4.35835E-01  4.20392E-01  2.70071E-02
    7720.039    -17.289   0.400  4.97782E-01  4.46705E-01  8.83877E-02
    7720.201    -17.127   0.450  5.57009E-01  4.71327E-01  1.46346E-01
    7720.382    -16.946   0.500  6.07717E-01  4.95949E-01  1.88456E-01
    7720.582    -16.746   0.550  6.46013E-01  5.17143E-01  2.14032E-01
    7720.801    -16.527   0.600  6.72390E-01  5.38337E-01  2.19348E-01
    7721.039    -16.289   0.650  6.84897E-01  5.56722E-01  2.06264E-01
    7721.296    -16.032   0.700  6.84721E-01  5.75108E-01  1.73529E-01
    7721.573    -15.755   0.750  6.71348E-01  5.91731E-01  1.23821E-01
    7721.868    -15.460   0.800  6.46599E-01  6.08354E-01  5.84506E-02
    7722.182    -15.146   0.850  6.10345E-01  6.23961E-01 -2.04293E-02
    7722.516    -14.812   0.900  5.66919E-01  6.39569E-01 -1.07050E-01
    7722.868    -14.460   0.950  5.17193E-01  6.54560E-01 -1.98673E-01
    7723.239    -14.088   1.000  4.67632E-01  6.69551E-01 -2.86735E-01
    7723.630    -13.698   1.050  4.20262E-01  6.84099E-01 -3.67810E-01
    7724.040    -13.288   1.100  3.81932E-01  6.98647E-01 -4.33598E-01
    7724.468    -12.860   1.150  3.54742E-01  7.12769E-01 -4.81453E-01
    7724.916    -12.412   1.200  3.43656E-01  7.26890E-01 -5.06359E-01
    7725.383    -11.945   1.250  3.49058E-01  7.40513E-01 -5.08443E-01
    7725.868    -11.460   1.300  3.72623E-01  7.54135E-01 -4.87258E-01
    7726.373    -10.955   1.350  4.12180E-01  7.67144E-01 -4.46150E-01
    7726.897    -10.431   1.400  4.66356E-01  7.80153E-01 -3.88240E-01
    7727.440     -9.888   1.450  5.31366E-01  7.92417E-01 -3.18247E-01
    7728.002     -9.326   1.500  6.04161E-01  8.04682E-01 -2.40923E-01
    7728.583     -8.745   1.550  6.81251E-01  8.16077E-01 -1.59846E-01
    7729.183     -8.145   1.600  7.59087E-01  8.27473E-01 -8.00169E-02
    7729.802     -7.526   1.650  8.35473E-01  8.37883E-01 -2.78667E-03
    7730.440     -6.888   1.700  9.07029E-01  8.48292E-01  6.71302E-02
    7731.098     -6.230   1.750  9.72553E-01  8.57622E-01  1.30014E-01
    7731.774     -5.554   1.800  1.02914E+00  8.66952E-01  1.81624E-01
    7732.469     -4.859   1.850  1.07571E+00  8.75136E-01  2.22663E-01
    7733.184     -4.144   1.900  1.11021E+00  8.83321E-01  2.49730E-01
    7733.917     -3.411   1.950  1.13150E+00  8.90267E-01  2.63639E-01
    7734.669     -2.658   2.000  1.13903E+00  8.97212E-01  2.62415E-01
    7735.441     -1.887   2.050  1.13171E+00  9.02396E-01  2.47626E-01
    7736.232     -1.096   2.100  1.11120E+00  9.07579E-01  2.18805E-01
    7737.041     -0.287   2.150  1.07990E+00  9.12763E-01  1.78728E-01
    7737.870      0.542   2.200  1.04114E+00  9.17947E-01  1.31097E-01
    7738.718      1.390   2.250  9.92255E-01  9.20249E-01  7.65436E-02
    7739.584      2.256   2.300  9.44501E-01  9.22551E-01  2.33075E-02
    7740.470      3.142   2.350  9.02879E-01  9.24853E-01 -2.33074E-02
    7741.375      4.047   2.400  8.71199E-01  9.27155E-01 -5.92862E-02
    7742.299      4.971   2.450  8.54594E-01  9.32285E-01 -8.21212E-02
    7743.242      5.914   2.500  8.49810E-01  9.37415E-01 -9.23849E-02
    7744.204      6.876   2.550  8.55372E-01  9.42545E-01 -9.17150E-02
    7745.185      7.857   2.600  8.68469E-01  9.47675E-01 -8.31388E-02
    7746.185      8.857   2.650  8.81540E-01  9.52169E-01 -7.38512E-02
