# # Once                                                         FEFF 9.6.4  
# # POT  SCF  30  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.357 Rnm= 1.405 K  shell
# # Pot 1 Z=62 Rmt= 1.642 Rnm= 1.693
# # Pot 2 Z=27 Rmt= 1.346 Rnm= 1.400
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.761E+01 kf=2.042E+00 Vint=-2.600E+01 Rs_int= 1.776
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.4686
#           2       0.00000     35.07      2.00     2   2.7867
#           3       0.00000     38.90      3.00     2   2.7867
#           4       0.00000     21.92      2.00     2   3.0113
#           5       0.00000      9.35     12.00     3   3.6752
#           6       0.00000      8.12     12.00     3   3.8619
#           7       0.00000     10.96      2.00     2   4.0467
#           8       0.00000     10.77      2.00     2   4.0755
#           9       0.00000     59.52     12.00     2   4.2121
#          10       0.00000      7.96     12.00     3   4.5063
#          11       0.00000     17.50     24.00     3   4.5470
#          12       0.00000      8.98     24.00     3   4.7337
#          13       0.00000     11.72     24.00     3   4.7337
#          14       0.00000     20.98      6.00     2   4.8266
#          15       0.00000     15.20     12.00     3   4.8368
#          16       0.00000     20.55      4.00     2   4.9371
#          17       0.00000     19.76      6.00     2   4.9371
#          18       0.00000     45.77     12.00     3   4.9371
#          20       0.00000      5.16      6.00     4   4.9371
#          21       0.00000     36.52      6.00     4   4.9371
#          22       0.00000      5.00      8.00     3   4.9527
#          23       0.00000      9.02     16.00     3   5.0787
#          24       0.00000     11.24      8.00     3   5.2000
#          25       0.00000     11.42     16.00     3   5.2821
#          28       0.00000     30.73     12.00     2   5.4213
#          29       0.00000      6.22      8.00     3   5.5035
#          30       0.00000      7.51      2.00     2   5.5733
#          31       0.00000      7.12      3.00     2   5.5733
#          32       0.00000      7.29      4.00     3   5.5733
#          33       0.00000     22.90      4.00     3   5.5733
#          34       0.00000     12.39      4.00     3   5.5733
#          35       0.00000      4.40      4.00     4   5.5733
#          37       0.00000     27.40      2.00     4   5.5733
#          38       0.00000      7.58      2.00     4   5.5733
#          39       0.00000     22.36     16.00     3   5.6833
#          40       0.00000      4.49      2.00     2   5.6889
#          42       0.00000      4.28      4.00     3   5.7434
#          43       0.00000      4.02      2.00     2   5.9143
#          44       0.00000      5.62      8.00     4   5.9452
#    39/  43 paths used
#  xsedge+50, used to normalize mu           2.9267E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7718.699    -17.601   0.050  1.08333E-01  2.94994E-01 -3.70467E-01
    7718.727    -17.572   0.100  1.13550E-01  2.99710E-01 -3.68680E-01
    7718.775    -17.525   0.150  1.28974E-01  3.13645E-01 -3.63447E-01
    7718.842    -17.458   0.200  1.45157E-01  3.27582E-01 -3.56792E-01
    7718.927    -17.372   0.250  1.69864E-01  3.49233E-01 -3.47254E-01
    7719.032    -17.267   0.300  1.96023E-01  3.70884E-01 -3.35124E-01
    7719.156    -17.144   0.350  2.25305E-01  3.95936E-01 -3.22551E-01
    7719.299    -17.001   0.400  2.56619E-01  4.20988E-01 -3.06525E-01
    7719.461    -16.839   0.450  2.89000E-01  4.44949E-01 -2.85976E-01
    7719.642    -16.658   0.500  3.24640E-01  4.68910E-01 -2.60223E-01
    7719.842    -16.458   0.550  3.63559E-01  4.90187E-01 -2.24038E-01
    7720.061    -16.239   0.600  4.04529E-01  5.11464E-01 -1.85650E-01
    7720.299    -16.001   0.650  4.43620E-01  5.30596E-01 -1.47846E-01
    7720.556    -15.743   0.700  4.81120E-01  5.49728E-01 -1.14238E-01
    7720.832    -15.467   0.750  5.11393E-01  5.67584E-01 -9.14972E-02
    7721.128    -15.172   0.800  5.36867E-01  5.85441E-01 -7.73829E-02
    7721.442    -14.858   0.850  5.53648E-01  6.02641E-01 -7.62829E-02
    7721.775    -14.524   0.900  5.64178E-01  6.19842E-01 -8.47480E-02
    7722.128    -14.172   0.950  5.67243E-01  6.36667E-01 -1.03299E-01
    7722.499    -13.800   1.000  5.64714E-01  6.53492E-01 -1.29165E-01
    7722.890    -13.410   1.050  5.57730E-01  6.69997E-01 -1.59702E-01
    7723.299    -13.000   1.100  5.47286E-01  6.86501E-01 -1.93725E-01
    7723.728    -12.572   1.150  5.35520E-01  7.02613E-01 -2.27558E-01
    7724.176    -12.124   1.200  5.23659E-01  7.18724E-01 -2.60104E-01
    7724.642    -11.657   1.250  5.12877E-01  7.34275E-01 -2.89279E-01
    7725.128    -11.171   1.300  5.06595E-01  7.49826E-01 -3.11539E-01
    7725.633    -10.667   1.350  5.05032E-01  7.64640E-01 -3.26332E-01
    7726.157    -10.143   1.400  5.12819E-01  7.79454E-01 -3.29046E-01
    7726.700     -9.600   1.450  5.30475E-01  7.93326E-01 -3.18917E-01
    7727.262     -9.038   1.500  5.61225E-01  8.07199E-01 -2.93499E-01
    7727.843     -8.457   1.550  6.04937E-01  8.19941E-01 -2.52713E-01
    7728.443     -7.857   1.600  6.61388E-01  8.32683E-01 -1.98374E-01
    7729.062     -7.238   1.650  7.28311E-01  8.44137E-01 -1.32403E-01
    7729.700     -6.599   1.700  8.01856E-01  8.55592E-01 -6.06424E-02
    7730.357     -5.942   1.750  8.77656E-01  8.65660E-01  1.33906E-02
    7731.034     -5.266   1.800  9.50210E-01  8.75727E-01  8.22448E-02
    7731.729     -4.571   1.850  1.01455E+00  8.84318E-01  1.42534E-01
    7732.443     -3.856   1.900  1.06648E+00  8.92908E-01  1.88295E-01
    7733.177     -3.123   1.950  1.10241E+00  8.99926E-01  2.18145E-01
    7733.929     -2.370   2.000  1.12165E+00  9.06943E-01  2.29736E-01
    7734.701     -1.599   2.050  1.12243E+00  9.11466E-01  2.24851E-01
    7735.491     -0.808   2.100  1.10865E+00  9.15988E-01  2.04553E-01
    7736.301      0.001   2.150  1.08367E+00  9.20510E-01  1.72569E-01
    7737.130      0.830   2.200  1.05134E+00  9.25032E-01  1.33074E-01
    7737.977      1.678   2.250  1.00897E+00  9.26065E-01  8.73431E-02
    7738.844      2.545   2.300  9.67991E-01  9.27097E-01  4.30794E-02
    7739.730      3.430   2.350  9.32149E-01  9.28130E-01  4.23400E-03
    7740.635      4.335   2.400  9.03915E-01  9.29162E-01 -2.65932E-02
    7741.559      5.259   2.450  8.90558E-01  9.35479E-01 -4.71375E-02
    7742.502      6.202   2.500  8.84839E-01  9.41796E-01 -5.95419E-02
    7743.464      7.164   2.550  8.86275E-01  9.48113E-01 -6.44017E-02
    7744.445      8.145   2.600  8.93588E-01  9.54429E-01 -6.31280E-02
    7745.445      9.145   2.650  8.99690E-01  9.59115E-01 -6.14264E-02
    7746.464     10.164   2.700  9.09720E-01  9.63801E-01 -5.56921E-02
    7747.502     11.203   2.750  9.22494E-01  9.68488E-01 -4.71864E-02
    7748.560     12.260   2.800  9.36939E-01  9.73174E-01 -3.70362E-02
    7749.636     13.336   2.850  9.48796E-01  9.75595E-01 -2.73285E-02
    7750.731     14.432   2.900  9.60770E-01  9.78017E-01 -1.75478E-02
    7751.846     15.546   2.950  9.72372E-01  9.80438E-01 -8.18778E-03
    7752.979     16.680   3.000  9.83443E-01  9.82860E-01  5.90795E-04
    7754.132     17.832   3.050  9.91049E-01  9.84300E-01  6.82501E-03
    7755.303     19.004   3.100  9.98597E-01  9.85741E-01  1.29807E-02
    7756.494     20.194   3.150  1.00668E+00  9.87182E-01  1.96614E-02
    7757.704     21.404   3.200  1.01560E+00  9.88623E-01  2.71535E-02
    7758.932     22.633   3.250  1.02237E+00  9.88896E-01  3.36631E-02
    7760.180     23.880   3.300  1.03040E+00  9.89169E-01  4.14170E-02
    7761.447     25.147   3.350  1.03898E+00  9.89442E-01  4.97079E-02
    7762.733     26.433   3.400  1.04687E+00  9.89715E-01  5.72947E-02
    7764.038     27.738   3.450  1.05314E+00  9.89982E-01  6.32754E-02
    7765.362     29.062   3.500  1.05665E+00  9.90249E-01  6.64927E-02
    7766.705     30.405   3.550  1.05604E+00  9.90516E-01  6.55806E-02
    7768.067     31.767   3.600  1.05042E+00  9.90783E-01  5.96534E-02
    7769.448     33.148   3.650  1.03987E+00  9.90567E-01  4.92867E-02
    7770.848     34.548   3.700  1.02489E+00  9.90352E-01  3.45056E-02
