# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=26 Rmt= 1.290 Rnm= 1.337 K  shell
# # Pot 1 Z=57 Rmt= 1.885 Rnm= 1.885
# # Pot 2 Z=14 Rmt= 1.351 Rnm= 1.400
# # Pot 3 Z=26 Rmt= 1.358 Rnm= 1.407
# # Gam_ch=1.309E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.663E+01 kf=2.123E+00 Vint=-2.554E+01 Rs_int= 1.708
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.800  Temp=  20.00  Debye_temp= 370.00  Global_sig2= 0.00250
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00528    100.00      3.00     2   2.3893
#           2       0.00679    105.60      3.00     2   2.4278
#           3       0.00534     95.97      3.00     2   2.4398
#           4       0.00536     94.43      3.00     2   2.4600
#           5       0.00602     35.28      3.00     2   3.8874
#           6       0.00602     35.24      3.00     2   3.8892
#           7       0.00602     35.01      3.00     2   3.8997
#           8       0.00602     34.79      3.00     2   3.9103
#           9       0.00605      9.77      6.00     3   4.3754
#          10       0.00605      9.83      6.00     3   4.3797
#          11       0.00660     13.44      6.00     3   4.3847
#          12       0.00658     13.84      6.00     3   4.3853
#          13       0.00606      9.77      6.00     3   4.3891
#          14       0.00606      9.34      6.00     3   4.3923
#          15       0.00606      9.18      6.00     3   4.3971
#          16       0.00659     13.42      6.00     3   4.4027
#          17       0.00603      7.50      6.00     3   4.4255
#          18       0.00604      6.97      6.00     3   4.4743
#          19       0.00603      7.27      6.00     3   4.4771
#          20       0.00604      7.11      6.00     3   4.4900
#          21       0.00760      5.65      6.00     3   4.4930
#          22       0.00917      6.31      6.00     3   4.4962
#          23       0.00761      5.85      6.00     3   4.5078
#          24       0.00761      5.78      6.00     3   4.5285
#          25       0.00604      4.52      4.00     3   4.5308
#          26       0.00604      6.80      6.00     3   4.5328
#          27       0.01362      6.96      3.00     4   4.7786
#          28       0.00590     20.95      3.00     2   4.7891
#          29       0.00590     20.83      3.00     2   4.7989
#          30       0.00591     42.93      6.00     3   4.8037
#          31       0.00593     58.44      6.00     3   4.8154
#          32       0.00760     18.01      6.00     3   4.8171
#          33       0.00760     17.59      6.00     4   4.8171
#          34       0.00596     26.20      3.00     4   4.8183
#          35       0.00604     39.84      3.00     4   4.8320
#          36       0.00590     20.36      3.00     2   4.8414
#          37       0.00590     20.27      3.00     2   4.8494
#          38       0.01964      4.79      3.00     4   4.8556
#          39       0.00590     37.91      6.00     3   4.8619
#          40       0.00590     38.38      6.00     3   4.8690
#          41       0.01385      6.36      3.00     4   4.8796
#          42       0.00597     20.32      3.00     4   4.8825
#          43       0.00597     21.07      3.00     4   4.8885
#          44       0.00589     23.84      6.00     3   4.8999
#          45       0.00589     21.68      6.00     4   4.8999
#          46       0.01395      6.13      3.00     4   4.9201
#          47       0.00489      9.63      1.00     2   4.9376
#          48       0.00489      9.62      1.00     2   4.9414
#          49       0.00489     28.68      3.00     2   4.9522
#          50       0.00489     28.67      3.00     2   4.9534
#          51       0.00508      8.37      6.00     3   5.3523
#          52       0.00553     14.37      6.00     3   5.3640
#          53       0.00555     13.92      6.00     3   5.3783
#          54       0.00587     13.12      3.00     2   5.6995
#          55       0.00587     13.09      3.00     2   5.7045
#          56       0.00588     12.95      3.00     2   5.7264
#          57       0.00588     12.92      3.00     2   5.7309
#          58       0.00756      8.62      3.00     2   5.7426
#          59       0.00588     12.62      3.00     2   5.7795
#          60       0.00592      8.20      6.00     3   5.8050
#          61       0.00592      8.15      6.00     3   5.8260
#          62       0.00759      5.93      6.00     3   5.8446
#          63       0.00604     15.85      6.00     3   5.8823
#          64       0.00599      4.32      6.00     3   5.9848
#          65       0.00674      6.13      3.00     4   5.9851
#    65/  65 paths used
#  xsedge+50, used to normalize mu           3.0886E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7121.441    -16.624   0.050  3.30535E-01  3.79298E-01 -7.03726E-02
    7121.470    -16.595   0.100  3.31173E-01  3.86058E-01 -7.90786E-02
    7121.518    -16.548   0.150  3.34552E-01  4.05943E-01 -1.02362E-01
    7121.584    -16.481   0.200  3.39275E-01  4.25828E-01 -1.23507E-01
    7121.670    -16.395   0.250  3.48956E-01  4.56031E-01 -1.51599E-01
    7121.775    -16.291   0.300  3.61881E-01  4.86234E-01 -1.74701E-01
    7121.899    -16.167   0.350  3.77838E-01  5.19580E-01 -1.97061E-01
    7122.041    -16.024   0.400  3.98608E-01  5.52927E-01 -2.12337E-01
    7122.203    -15.862   0.450  4.18508E-01  5.82907E-01 -2.23372E-01
    7122.384    -15.681   0.500  4.43389E-01  6.12888E-01 -2.27449E-01
    7122.584    -15.481   0.550  4.64990E-01  6.37918E-01 -2.28766E-01
    7122.803    -15.262   0.600  4.90007E-01  6.62947E-01 -2.25589E-01
    7123.042    -15.024   0.650  5.09996E-01  6.84168E-01 -2.23741E-01
    7123.299    -14.767   0.700  5.30642E-01  7.05388E-01 -2.21118E-01
    7123.575    -14.490   0.750  5.44616E-01  7.24119E-01 -2.23569E-01
    7123.870    -14.195   0.800  5.55403E-01  7.42850E-01 -2.29854E-01
    7124.185    -13.881   0.850  5.50339E-01  7.59908E-01 -2.52949E-01
    7124.518    -13.547   0.900  5.35661E-01  7.76967E-01 -2.86755E-01
    7124.870    -13.195   0.950  4.97671E-01  7.92750E-01 -3.45328E-01
    7125.242    -12.824   1.000  4.61004E-01  8.08532E-01 -4.00623E-01
    7125.632    -12.433   1.050  4.35254E-01  8.23143E-01 -4.40757E-01
    7126.042    -12.023   1.100  4.22615E-01  8.37753E-01 -4.65074E-01
    7126.471    -11.595   1.150  4.20193E-01  8.51157E-01 -4.76487E-01
    7126.918    -11.147   1.200  4.33480E-01  8.64562E-01 -4.70462E-01
    7127.385    -10.680   1.250  4.60384E-01  8.76669E-01 -4.49029E-01
    7127.871    -10.195   1.300  5.01571E-01  8.88775E-01 -4.12860E-01
    7128.376     -9.690   1.350  5.53376E-01  8.99472E-01 -3.65333E-01
    7128.899     -9.166   1.400  6.11528E-01  9.10169E-01 -3.12115E-01
    7129.442     -8.623   1.450  6.70576E-01  9.19383E-01 -2.57869E-01
    7130.004     -8.061   1.500  7.26601E-01  9.28598E-01 -2.07626E-01
    7130.585     -7.480   1.550  7.75641E-01  9.36290E-01 -1.64034E-01
    7131.185     -6.880   1.600  8.17300E-01  9.43983E-01 -1.28502E-01
    7131.805     -6.261   1.650  8.50703E-01  9.50158E-01 -1.00385E-01
    7132.443     -5.623   1.700  8.78589E-01  9.56334E-01 -7.80848E-02
    7133.100     -4.965   1.750  9.02206E-01  9.61039E-01 -5.88917E-02
    7133.776     -4.289   1.800  9.24440E-01  9.65745E-01 -4.12066E-02
    7134.472     -3.594   1.850  9.48364E-01  9.69079E-01 -2.06255E-02
    7135.186     -2.879   1.900  9.73784E-01  9.72413E-01  1.36321E-03
    7135.919     -2.146   1.950  1.00179E+00  9.74408E-01  2.71920E-02
    7136.672     -1.394   2.000  1.02946E+00  9.76404E-01  5.26569E-02
    7137.443     -0.622   2.050  1.05837E+00  9.76975E-01  8.08581E-02
    7138.234      0.169   2.100  1.08277E+00  9.77545E-01  1.04636E-01
    7139.044      0.978   2.150  1.10092E+00  9.78116E-01  1.22227E-01
    7139.872      1.807   2.200  1.11167E+00  9.78687E-01  1.32481E-01
    7140.720      2.655   2.250  1.11531E+00  9.77634E-01  1.37506E-01
    7141.587      3.521   2.300  1.10829E+00  9.76581E-01  1.31883E-01
    7142.472      4.407   2.350  1.09300E+00  9.75529E-01  1.17928E-01
    7143.377      5.312   2.400  1.07288E+00  9.74476E-01  9.90442E-02
    7144.301      6.236   2.450  1.04807E+00  9.74681E-01  7.41768E-02
    7145.244      7.179   2.500  1.02664E+00  9.74886E-01  5.25217E-02
    7146.206      8.141   2.550  1.01268E+00  9.75092E-01  3.83071E-02
    7147.187      9.122   2.600  1.00728E+00  9.75297E-01  3.27341E-02
    7148.187     10.122   2.650  1.00304E+00  9.76089E-01  2.76293E-02
    7149.207     11.141   2.700  1.00248E+00  9.76880E-01  2.62887E-02
    7150.245     12.179   2.750  1.00457E+00  9.77672E-01  2.76653E-02
    7151.302     13.237   2.800  1.00717E+00  9.78463E-01  2.95696E-02
    7152.378     14.313   2.850  1.00597E+00  9.79103E-01  2.76546E-02
    7153.474     15.408   2.900  1.00291E+00  9.79742E-01  2.38312E-02
    7154.588     16.523   2.950  9.97527E-01  9.80381E-01  1.76192E-02
    7155.722     17.656   3.000  9.89691E-01  9.81021E-01  8.90307E-03
    7156.874     18.809   3.050  9.78712E-01  9.81885E-01 -3.25176E-03
    7158.046     19.980   3.100  9.66493E-01  9.82749E-01 -1.66328E-02
    7159.236     21.171   3.150  9.54793E-01  9.83613E-01 -2.94359E-02
    7160.446     22.381   3.200  9.45489E-01  9.84477E-01 -3.97510E-02
    7161.675     23.609   3.250  9.38789E-01  9.85618E-01 -4.76477E-02
    7162.923     24.857   3.300  9.37027E-01  9.86758E-01 -5.04973E-02
    7164.189     26.124   3.350  9.41080E-01  9.87899E-01 -4.74423E-02
    7165.475     27.410   3.400  9.51035E-01  9.89040E-01 -3.84322E-02
    7166.780     28.715   3.450  9.65366E-01  9.90348E-01 -2.51989E-02
    7168.104     30.039   3.500  9.83733E-01  9.91656E-01 -7.97188E-03
    7169.447     31.382   3.550  1.00434E+00  9.92964E-01  1.14154E-02
    7170.809     32.744   3.600  1.02503E+00  9.94272E-01  3.07924E-02
    7172.190     34.125   3.650  1.04391E+00  9.95901E-01  4.79384E-02
    7173.591     35.525   3.700  1.05886E+00  9.97529E-01  6.10830E-02
    7175.010     36.944   3.750  1.06861E+00  9.99157E-01  6.89921E-02
    7176.448     38.383   3.800  1.07259E+00  1.00079E+00  7.11458E-02
    7177.905     39.840   3.850  1.06992E+00  1.00267E+00  6.64523E-02
    7179.382     41.316   3.900  1.06119E+00  1.00455E+00  5.58103E-02
    7180.877     42.812   3.950  1.04738E+00  1.00643E+00  4.02358E-02
    7182.392     44.326   4.000  1.02989E+00  1.00831E+00  2.11486E-02
    7183.925     45.860   4.050  1.01019E+00  1.01037E+00 -1.71021E-04
    7185.478     47.412   4.100  9.90522E-01  1.01243E+00 -2.13412E-02
    7187.049     48.984   4.150  9.72586E-01  1.01449E+00 -4.07014E-02
    7188.640     50.575   4.200  9.57818E-01  1.01655E+00 -5.68829E-02
    7190.250     52.184   4.250  9.47784E-01  1.01869E+00 -6.84777E-02
    7191.878     53.813   4.300  9.43023E-01  1.02082E+00 -7.49312E-02
    7193.526     55.461   4.350  9.43690E-01  1.02295E+00 -7.61352E-02
    7195.193     57.128   4.400  9.49526E-01  1.02508E+00 -7.23809E-02
    7196.879     58.814   4.450  9.60249E-01  1.02695E+00 -6.37380E-02
    7198.584     60.519   4.500  9.74510E-01  1.02881E+00 -5.17641E-02
    7200.308     62.243   4.550  9.91030E-01  1.03067E+00 -3.76989E-02
    7202.051     63.986   4.600  1.00843E+00  1.03254E+00 -2.28679E-02
    7203.813     65.748   4.650  1.02536E+00  1.03401E+00 -8.19024E-03
    7205.594     67.529   4.700  1.04031E+00  1.03548E+00  4.56751E-03
    7207.395     69.329   4.750  1.05232E+00  1.03695E+00  1.45124E-02
    7209.214     71.149   4.800  1.06092E+00  1.03841E+00  2.12024E-02
    7211.052     72.987   4.850  1.06543E+00  1.03938E+00  2.45181E-02
    7212.910     74.844   4.900  1.06704E+00  1.04034E+00  2.51017E-02
    7214.786     76.721   4.950  1.06687E+00  1.04130E+00  2.40153E-02
    7216.681     78.616   5.000  1.06628E+00  1.04226E+00  2.25361E-02
    7218.596     80.531   5.050  1.06581E+00  1.04262E+00  2.17583E-02
    7220.530     82.464   5.100  1.06736E+00  1.04297E+00  2.28739E-02
    7222.482     84.417   5.150  1.07139E+00  1.04333E+00  2.63182E-02
    7224.454     86.388   5.200  1.07766E+00  1.04368E+00  3.18578E-02
    7226.445     88.379   5.250  1.08437E+00  1.04325E+00  3.85770E-02
    7228.454     90.389   5.300  1.09085E+00  1.04282E+00  4.50980E-02
    7230.483     92.418   5.350  1.09539E+00  1.04239E+00  4.97990E-02
    7232.531     94.466   5.400  1.09641E+00  1.04196E+00  5.11909E-02
    7234.598     96.533   5.450  1.09206E+00  1.04095E+00  4.81198E-02
    7236.684     98.619   5.500  1.08275E+00  1.03994E+00  4.03633E-02
    7238.789    100.724   5.550  1.06895E+00  1.03892E+00  2.83530E-02
    7240.913    102.848   5.600  1.05188E+00  1.03791E+00  1.32047E-02
    7243.056    104.991   5.650  1.03281E+00  1.03641E+00 -3.41593E-03
    7245.218    107.153   5.700  1.01410E+00  1.03492E+00 -1.97631E-02
    7247.399    109.334   5.750  9.97354E-01  1.03342E+00 -3.43046E-02
    7249.600    111.534   5.800  9.83740E-01  1.03192E+00 -4.59217E-02
    7251.819    113.754   5.850  9.73639E-01  1.03000E+00 -5.38437E-02
    7254.057    115.992   5.900  9.67199E-01  1.02808E+00 -5.82969E-02
    7256.315    118.249   5.950  9.63955E-01  1.02616E+00 -5.97047E-02
    7258.591    120.526   6.000  9.63255E-01  1.02424E+00 -5.86704E-02
    7260.887    122.821   6.050  9.64720E-01  1.02230E+00 -5.55259E-02
    7263.201    125.136   6.100  9.67603E-01  1.02036E+00 -5.09953E-02
    7265.535    127.470   6.150  9.71776E-01  1.01842E+00 -4.51942E-02
    7267.888    129.822   6.200  9.77369E-01  1.01648E+00 -3.79845E-02
    7270.259    132.194   6.250  9.84632E-01  1.01454E+00 -2.91151E-02
    7272.650    134.585   6.300  9.93730E-01  1.01259E+00 -1.84115E-02
    7275.060    136.995   6.350  1.00456E+00  1.01065E+00 -5.95697E-03
    7277.489    139.423   6.400  1.01665E+00  1.00871E+00  7.78987E-03
    7279.937    141.871   6.450  1.02913E+00  1.00677E+00  2.19782E-02
    7282.404    144.338   6.500  1.04081E+00  1.00483E+00  3.54574E-02
    7284.890    146.824   6.550  1.05104E+00  1.00340E+00  4.70341E-02
    7287.395    149.329   6.600  1.05798E+00  1.00197E+00  5.53894E-02
    7289.919    151.854   6.650  1.06071E+00  1.00054E+00  5.96092E-02
    7292.462    154.397   6.700  1.05887E+00  9.99108E-01  5.93007E-02
    7295.024    156.959   6.750  1.05268E+00  9.97678E-01  5.46738E-02
    7297.606    159.540   6.800  1.04294E+00  9.96247E-01  4.64953E-02
    7300.206    162.140   6.850  1.03084E+00  9.94817E-01  3.59316E-02
    7302.825    164.760   6.900  1.01772E+00  9.93386E-01  2.43179E-02
    7305.464    167.398   6.950  1.00485E+00  9.91956E-01  1.29124E-02
    7308.121    170.056   7.000  9.93210E-01  9.90525E-01  2.69246E-03
    7310.798    172.732   7.050  9.83988E-01  9.89845E-01 -5.87796E-03
    7313.493    175.428   7.100  9.76779E-01  9.89164E-01 -1.24413E-02
    7316.208    178.142   7.150  9.71428E-01  9.88484E-01 -1.71475E-02
    7318.941    180.876   7.200  9.67561E-01  9.87803E-01 -2.03696E-02
    7321.694    183.629   7.250  9.64744E-01  9.87122E-01 -2.25390E-02
    7324.466    186.401   7.300  9.62631E-01  9.86442E-01 -2.40021E-02
    7327.257    189.191   7.350  9.61047E-01  9.85761E-01 -2.49346E-02
    7330.067    192.001   7.400  9.59996E-01  9.85081E-01 -2.53302E-02
    7332.896    194.830   7.450  9.59608E-01  9.84400E-01 -2.50575E-02
    7335.743    197.678   7.500  9.60033E-01  9.83720E-01 -2.39602E-02
    7338.610    200.545   7.550  9.61574E-01  9.83342E-01 -2.20328E-02
    7341.497    203.431   7.600  9.63914E-01  9.82964E-01 -1.92938E-02
    7344.402    206.336   7.650  9.66809E-01  9.82586E-01 -1.59891E-02
    7347.326    209.260   7.700  9.69902E-01  9.82209E-01 -1.24799E-02
    7350.269    212.204   7.750  9.72820E-01  9.81831E-01 -9.14285E-03
    7353.231    215.166   7.800  9.75293E-01  9.81453E-01 -6.25433E-03
    7356.213    218.147   7.850  9.77242E-01  9.81076E-01 -3.89469E-03
    7359.213    221.148   7.900  9.78822E-01  9.80698E-01 -1.90743E-03
    7362.232    224.167   7.950  9.80388E-01  9.80320E-01  6.90149E-05
    7365.271    227.205   8.000  9.82398E-01  9.79943E-01  2.49928E-03
    7368.328    230.263   8.050  9.84977E-01  9.79183E-01  5.90159E-03
    7371.405    233.340   8.100  9.88648E-01  9.78423E-01  1.04225E-02
    7374.501    236.435   8.150  9.93275E-01  9.77664E-01  1.59260E-02
    7377.615    239.550   8.200  9.98360E-01  9.76904E-01  2.19057E-02
    7380.749    242.684   8.250  1.00310E+00  9.76144E-01  2.75410E-02
    7383.902    245.836   8.300  1.00652E+00  9.75384E-01  3.18398E-02
    7387.073    249.008   8.350  1.00769E+00  9.74625E-01  3.38403E-02
    7390.264    252.199   8.400  1.00592E+00  9.73865E-01  3.28262E-02
    7393.474    255.409   8.450  1.00092E+00  9.73105E-01  2.85049E-02
    7396.703    258.638   8.500  9.92922E-01  9.72345E-01  2.11061E-02
    7399.951    261.886   8.550  9.82160E-01  9.71066E-01  1.13964E-02
    7403.218    265.153   8.600  9.70259E-01  9.69787E-01  4.85833E-04
    7406.504    268.439   8.650  9.58552E-01  9.68508E-01 -1.02604E-02
    7409.810    271.744   8.700  9.48327E-01  9.67229E-01 -1.95097E-02
    7413.134    275.068   8.750  9.40615E-01  9.65950E-01 -2.61909E-02
    7416.477    278.412   8.800  9.36018E-01  9.64670E-01 -2.96669E-02
    7419.839    281.774   8.850  9.34640E-01  9.63391E-01 -2.98166E-02
    7423.221    285.155   8.900  9.36102E-01  9.62112E-01 -2.70167E-02
    7426.621    288.556   8.950  9.39653E-01  9.60833E-01 -2.20337E-02
    7430.041    291.975   9.000  9.44338E-01  9.59554E-01 -1.58545E-02
    7433.479    295.414   9.050  9.48911E-01  9.58061E-01 -9.54864E-03
    7436.937    298.871   9.100  9.52810E-01  9.56569E-01 -3.92837E-03
    7440.413    302.348   9.150  9.55464E-01  9.55077E-01  4.05805E-04
    7443.909    305.844   9.200  9.56625E-01  9.53584E-01  3.18764E-03
    7447.424    309.358   9.250  9.56353E-01  9.52092E-01  4.47330E-03
    7450.957    312.892   9.300  9.54947E-01  9.50600E-01  4.57150E-03
    7454.510    316.445   9.350  9.52848E-01  9.49107E-01  3.93898E-03
    7458.082    320.017   9.400  9.50523E-01  9.47615E-01  3.06763E-03
    7461.673    323.608   9.450  9.48382E-01  9.46123E-01  2.38660E-03
    7465.283    327.218   9.500  9.46705E-01  9.44630E-01  2.19461E-03
    7468.912    330.847   9.550  9.45879E-01  9.43329E-01  2.70148E-03
    7472.560    334.495   9.600  9.45621E-01  9.42027E-01  3.81238E-03
    7476.227    338.162   9.650  9.45768E-01  9.40726E-01  5.35586E-03
    7479.913    341.848   9.700  9.46077E-01  9.39425E-01  7.07509E-03
    7483.618    345.553   9.750  9.46272E-01  9.38123E-01  8.67794E-03
    7487.343    349.277   9.800  9.46089E-01  9.36822E-01  9.88267E-03
    7491.086    353.021   9.850  9.45312E-01  9.35520E-01  1.04553E-02
    7494.848    356.783   9.900  9.43793E-01  9.34219E-01  1.02373E-02
    7498.630    360.564   9.950  9.41478E-01  9.32918E-01  9.16507E-03
    7502.430    364.365  10.000  9.38406E-01  9.31616E-01  7.27918E-03
    7506.250    368.184  10.050  9.35023E-01  9.30602E-01  4.74443E-03
    7510.088    372.023  10.100  9.31237E-01  9.29587E-01  1.77271E-03
    7513.946    375.881  10.150  9.27319E-01  9.28572E-01 -1.34692E-03
    7517.823    379.757  10.200  9.23561E-01  9.27558E-01 -4.30160E-03
    7521.718    383.653  10.250  9.20234E-01  9.26543E-01 -6.79681E-03
    7525.633    387.568  10.300  9.17552E-01  9.25528E-01 -8.60042E-03
    7529.567    391.502  10.350  9.15638E-01  9.24514E-01 -9.58004E-03
    7533.520    395.454  10.400  9.14498E-01  9.23499E-01 -9.72505E-03
    7537.492    399.426  10.450  9.14027E-01  9.22484E-01 -9.14595E-03
    7541.483    403.417  10.500  9.14034E-01  9.21470E-01 -8.04874E-03
    7545.493    407.427  10.550  9.14283E-01  9.20455E-01 -6.68799E-03
    7549.522    411.456  10.600  9.14546E-01  9.19440E-01 -5.30852E-03
    7553.570    415.504  10.650  9.14659E-01  9.18426E-01 -4.08939E-03
    7557.637    419.572  10.700  9.14554E-01  9.17411E-01 -3.10498E-03
    7561.723    423.658  10.750  9.14269E-01  9.16396E-01 -2.31408E-03
    7565.828    427.763  10.800  9.13929E-01  9.15382E-01 -1.58143E-03
    7569.953    431.887  10.850  9.13700E-01  9.14367E-01 -7.27221E-04
    7574.096    436.031  10.900  9.13726E-01  9.13353E-01  4.07767E-04
    7578.258    440.193  10.950  9.14077E-01  9.12338E-01  1.89903E-03
    7582.440    444.375  11.000  9.14704E-01  9.11323E-01  3.69527E-03
    7586.640    448.575  11.050  9.15204E-01  9.09988E-01  5.70938E-03
    7590.860    452.795  11.100  9.15538E-01  9.08654E-01  7.54754E-03
    7595.099    457.033  11.150  9.15375E-01  9.07319E-01  8.84521E-03
    7599.356    461.291  11.200  9.14424E-01  9.05984E-01  9.28072E-03
    7603.633    465.568  11.250  9.12514E-01  9.04650E-01  8.66063E-03
    7607.929    469.863  11.300  9.09645E-01  9.03315E-01  6.98107E-03
    7612.244    474.178  11.350  9.06007E-01  9.01980E-01  4.44747E-03
    7616.577    478.512  11.400  9.01952E-01  9.00645E-01  1.44547E-03
    7620.930    482.865  11.450  8.97927E-01  8.99311E-01 -1.53272E-03
    7625.302    487.237  11.500  8.94379E-01  8.97976E-01 -3.99026E-03
    7629.693    491.628  11.550  8.91662E-01  8.96641E-01 -5.53255E-03
    7634.103    496.038  11.600  8.89956E-01  8.95306E-01 -5.95332E-03
    7638.532    500.467  11.650  8.89235E-01  8.93972E-01 -5.27918E-03
    7642.981    504.915  11.700  8.89267E-01  8.92637E-01 -3.76147E-03
    7647.448    509.382  11.750  8.89677E-01  8.91302E-01 -1.81703E-03
    7651.934    513.869  11.800  8.90028E-01  8.89967E-01  6.81099E-05
    7656.439    518.374  11.850  8.89925E-01  8.88633E-01  1.44916E-03
    7660.964    522.898  11.900  8.89098E-01  8.87298E-01  2.02118E-03
    7665.507    527.442  11.950  8.87460E-01  8.85963E-01  1.68286E-03
    7670.070    532.004  12.000  8.85118E-01  8.84628E-01  5.51731E-04
    7674.651    536.586  12.050  8.82175E-01  8.83146E-01 -1.09536E-03
