# # Once                                                         FEFF 9.6.4  
# # POT  SCF  30  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.362 Rnm= 1.416 K  shell
# # Pot 1 Z=62 Rmt= 1.684 Rnm= 1.728
# # Pot 2 Z=27 Rmt= 1.371 Rnm= 1.428
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.659E+01 kf=1.986E+00 Vint=-2.437E+01 Rs_int= 1.826
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.4522
#           2       0.00000     48.64      3.00     2   2.8879
#           3       0.00000     35.81      3.00     2   2.8879
#           4       0.00000      8.56     12.00     3   3.7027
#           5       0.00000      8.23     12.00     3   3.8961
#           6       0.00000     11.62      2.00     2   3.9640
#           7       0.00000     56.81     12.00     2   4.3038
#           8       0.00000      7.90     12.00     3   4.4342
#           9       0.00000     15.91     24.00     3   4.6285
#          10       0.00000     15.37     12.00     3   4.7957
#          11       0.00000      5.82     16.00     3   4.8220
#          12       0.00000      6.99     16.00     3   4.8220
#          13       0.00000     31.02      6.00     2   4.9044
#          14       0.00000     20.21      6.00     2   4.9044
#          15       0.00000     46.31     12.00     3   4.9044
#          17       0.00000      5.49      6.00     4   4.9044
#          18       0.00000     37.00      6.00     4   4.9044
#          19       0.00000     19.17      6.00     2   5.0020
#          20       0.00000      7.70     12.00     3   5.0519
#          21       0.00000     12.76     24.00     3   5.1914
#          22       0.00000     15.64     24.00     3   5.2739
#          23       0.00000      4.32      6.00     3   5.3889
#          24       0.00000     14.39     12.00     3   5.3889
#          25       0.00000     28.52     12.00     2   5.5707
#          26       0.00000     10.13      3.00     2   5.7758
#          27       0.00000      6.44      3.00     2   5.7758
#          28       0.00000      9.89      6.00     3   5.7758
#          29       0.00000     30.92      6.00     3   5.7758
#          30       0.00000     15.68      6.00     3   5.7758
#          31       0.00000      5.24      6.00     4   5.7758
#          33       0.00000     36.72      3.00     4   5.7758
#          34       0.00000      9.61      3.00     4   5.7758
#          35       0.00000     31.84     24.00     3   5.8249
#    33/  35 paths used
#  xsedge+50, used to normalize mu           2.8972E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7718.438    -16.582   0.050  3.31203E-01  3.14626E-01  3.08975E-02
    7718.466    -16.554   0.100  3.33544E-01  3.19662E-01  2.58164E-02
    7718.514    -16.506   0.150  3.40219E-01  3.34587E-01  1.04032E-02
    7718.581    -16.440   0.200  3.47257E-01  3.49513E-01 -4.14061E-03
    7718.666    -16.354   0.250  3.57392E-01  3.72718E-01 -2.78216E-02
    7718.771    -16.249   0.300  3.68776E-01  3.95923E-01 -4.87547E-02
    7718.895    -16.125   0.350  3.82768E-01  4.22834E-01 -7.09186E-02
    7719.038    -15.982   0.400  3.99845E-01  4.49745E-01 -8.70707E-02
    7719.200    -15.820   0.450  4.19943E-01  4.75539E-01 -9.53219E-02
    7719.381    -15.639   0.500  4.44298E-01  5.01333E-01 -9.61170E-02
    7719.581    -15.439   0.550  4.68427E-01  5.24295E-01 -9.22885E-02
    7719.800    -15.220   0.600  4.95997E-01  5.47258E-01 -8.30345E-02
    7720.038    -14.982   0.650  5.19339E-01  5.67888E-01 -7.69603E-02
    7720.295    -14.725   0.700  5.43989E-01  5.88517E-01 -6.91118E-02
    7720.571    -14.449   0.750  5.62411E-01  6.07685E-01 -6.87048E-02
    7720.867    -14.154   0.800  5.79169E-01  6.26853E-01 -7.07855E-02
    7721.181    -13.839   0.850  5.87755E-01  6.45135E-01 -8.32637E-02
    7721.514    -13.506   0.900  5.91309E-01  6.63418E-01 -1.02336E-01
    7721.867    -13.153   0.950  5.84341E-01  6.81052E-01 -1.34215E-01
    7722.238    -12.782   1.000  5.70533E-01  6.98685E-01 -1.74003E-01
    7722.629    -12.391   1.050  5.46934E-01  7.15670E-01 -2.24257E-01
    7723.038    -11.982   1.100  5.19592E-01  7.32654E-01 -2.77298E-01
    7723.467    -11.553   1.150  4.89884E-01  7.48853E-01 -3.30360E-01
    7723.914    -11.106   1.200  4.65194E-01  7.65053E-01 -3.75082E-01
    7724.381    -10.639   1.250  4.49530E-01  7.80277E-01 -4.06212E-01
    7724.867    -10.153   1.300  4.48459E-01  7.95501E-01 -4.18630E-01
    7725.372     -9.648   1.350  4.63987E-01  8.09561E-01 -4.10081E-01
    7725.896     -9.124   1.400  4.97895E-01  8.23622E-01 -3.80344E-01
    7726.439     -8.581   1.450  5.47582E-01  8.36334E-01 -3.32387E-01
    7727.001     -8.019   1.500  6.11384E-01  8.49047E-01 -2.69751E-01
    7727.582     -7.438   1.550  6.83457E-01  8.60269E-01 -1.98265E-01
    7728.182     -6.838   1.600  7.60272E-01  8.71491E-01 -1.23228E-01
    7728.801     -6.219   1.650  8.35852E-01  8.81145E-01 -4.96849E-02
    7729.439     -5.581   1.700  9.06438E-01  8.90799E-01  1.69872E-02
    7730.096     -4.924   1.750  9.67939E-01  8.98853E-01  7.44485E-02
    7730.772     -4.248   1.800  1.01805E+00  9.06907E-01  1.18838E-01
    7731.468     -3.552   1.850  1.05502E+00  9.13370E-01  1.50551E-01
    7732.182     -2.838   1.900  1.07878E+00  9.19834E-01  1.67940E-01
    7732.916     -2.104   1.950  1.08806E+00  9.24708E-01  1.71879E-01
    7733.668     -1.352   2.000  1.08737E+00  9.29581E-01  1.65337E-01
    7734.440     -0.580   2.050  1.07832E+00  9.32259E-01  1.52793E-01
    7735.230      0.210   2.100  1.06512E+00  9.34936E-01  1.35952E-01
    7736.040      1.020   2.150  1.04957E+00  9.37613E-01  1.16721E-01
    7736.868      1.848   2.200  1.03236E+00  9.40291E-01  9.58279E-02
    7737.716      2.696   2.250  1.01083E+00  9.40815E-01  7.29827E-02
    7738.583      3.563   2.300  9.87928E-01  9.41339E-01  4.86296E-02
    7739.469      4.449   2.350  9.63966E-01  9.41863E-01  2.31044E-02
    7740.374      5.354   2.400  9.40087E-01  9.42388E-01 -2.40882E-03
    7741.298      6.277   2.450  9.24666E-01  9.47338E-01 -2.36983E-02
    7742.241      7.220   2.500  9.12325E-01  9.52289E-01 -4.17116E-02
    7743.203      8.182   2.550  9.04639E-01  9.57240E-01 -5.48203E-02
    7744.184      9.164   2.600  9.02822E-01  9.62190E-01 -6.17830E-02
    7745.184     10.164   2.650  9.01800E-01  9.65099E-01 -6.57151E-02
    7746.203     11.183   2.700  9.06888E-01  9.68008E-01 -6.33016E-02
    7747.241     12.221   2.750  9.17685E-01  9.70917E-01 -5.49999E-02
    7748.298     13.278   2.800  9.33105E-01  9.73825E-01 -4.19729E-02
    7749.375     14.355   2.850  9.47608E-01  9.75510E-01 -2.86964E-02
    7750.470     15.450   2.900  9.63940E-01  9.77194E-01 -1.36013E-02
    7751.585     16.564   2.950  9.80671E-01  9.78879E-01  1.83490E-03
    7752.718     17.698   3.000  9.96386E-01  9.80563E-01  1.61657E-02
    7753.870     18.850   3.050  1.00739E+00  9.81917E-01  2.59763E-02
    7755.042     20.022   3.100  1.01666E+00  9.83270E-01  3.39895E-02
    7756.233     21.213   3.150  1.02418E+00  9.84623E-01  4.01890E-02
    7757.442     22.422   3.200  1.03001E+00  9.85976E-01  4.46467E-02
    7758.671     23.651   3.250  1.03304E+00  9.86528E-01  4.70808E-02
    7759.919     24.899   3.300  1.03566E+00  9.87080E-01  4.90777E-02
    7761.186     26.166   3.350  1.03744E+00  9.87632E-01  5.02288E-02
    7762.472     27.451   3.400  1.03799E+00  9.88184E-01  5.01356E-02
    7763.776     28.756   3.450  1.03857E+00  9.89060E-01  4.97660E-02
    7765.100     30.080   3.500  1.03750E+00  9.89937E-01  4.77346E-02
    7766.443     31.423   3.550  1.03418E+00  9.90814E-01  4.34601E-02
    7767.806     32.785   3.600  1.02839E+00  9.91691E-01  3.67231E-02
    7769.187     34.167   3.650  1.01999E+00  9.92172E-01  2.77944E-02
    7770.587     35.567   3.700  1.00943E+00  9.92653E-01  1.67348E-02
    7772.006     36.986   3.750  9.97329E-01  9.93134E-01  4.17727E-03
    7773.444     38.424   3.800  9.84582E-01  9.93615E-01 -8.98003E-03
    7774.902     39.882   3.850  9.72369E-01  9.94599E-01 -2.20651E-02
    7776.378     41.358   3.900  9.61420E-01  9.95583E-01 -3.38565E-02
    7777.873     42.853   3.950  9.52692E-01  9.96567E-01 -4.34153E-02
    7779.388     44.368   4.000  9.46891E-01  9.97551E-01 -5.00522E-02
    7780.921     45.901   4.050  9.44037E-01  9.98375E-01 -5.36024E-02
    7782.474     47.454   4.100  9.44455E-01  9.99199E-01 -5.39189E-02
    7784.046     49.026   4.150  9.47639E-01  1.00002E+00 -5.15142E-02
    7785.636     50.616   4.200  9.52653E-01  1.00085E+00 -4.73198E-02
    7787.246     52.226   4.250  9.58917E-01  1.00178E+00 -4.20336E-02
    7788.875     53.855   4.300  9.64913E-01  1.00272E+00 -3.70238E-02
    7790.523     55.502   4.350  9.69642E-01  1.00366E+00 -3.32668E-02
    7792.189     57.169   4.400  9.72587E-01  1.00460E+00 -3.12617E-02
    7793.875     58.855   4.450  9.74486E-01  1.00550E+00 -3.02616E-02
    7795.580     60.560   4.500  9.75454E-01  1.00641E+00 -3.01718E-02
    7797.304     62.284   4.550  9.76729E-01  1.00732E+00 -2.97830E-02
    7799.047     64.027   4.600  9.79850E-01  1.00823E+00 -2.75996E-02
    7800.810     65.789   4.650  9.85738E-01  1.00878E+00 -2.23906E-02
    7802.591     67.571   4.700  9.95351E-01  1.00932E+00 -1.35699E-02
    7804.391     69.371   4.750  1.00884E+00  1.00987E+00 -1.00292E-03
    7806.210     71.190   4.800  1.02546E+00  1.01042E+00  1.45895E-02
    7808.048     73.028   4.850  1.04315E+00  1.01074E+00  3.14327E-02
    7809.906     74.886   4.900  1.06019E+00  1.01107E+00  4.76323E-02
    7811.782     76.762   4.950  1.07444E+00  1.01139E+00  6.11218E-02
    7813.678     78.658   5.000  1.08413E+00  1.01172E+00  7.01769E-02
    7815.592     80.572   5.050  1.08763E+00  1.01169E+00  7.36196E-02
    7817.526     82.506   5.100  1.08564E+00  1.01165E+00  7.17302E-02
    7819.478     84.458   5.150  1.07913E+00  1.01162E+00  6.54569E-02
    7821.450     86.430   5.200  1.06976E+00  1.01159E+00  5.64139E-02
    7823.441     88.421   5.250  1.05893E+00  1.01119E+00  4.63257E-02
    7825.451     90.431   5.300  1.04885E+00  1.01080E+00  3.69508E-02
    7827.479     92.459   5.350  1.04046E+00  1.01040E+00  2.92018E-02
    7829.527     94.507   5.400  1.03379E+00  1.01001E+00  2.31173E-02
    7831.594     96.574   5.450  1.02754E+00  1.00932E+00  1.77233E-02
    7833.680     98.660   5.500  1.02078E+00  1.00864E+00  1.18289E-02
    7835.785    100.765   5.550  1.01211E+00  1.00795E+00  4.05381E-03
    7837.909    102.889   5.600  1.00055E+00  1.00726E+00 -6.55087E-03
    7840.052    105.032   5.650  9.85769E-01  1.00632E+00 -2.00822E-02
    7842.215    107.194   5.700  9.69014E-01  1.00539E+00 -3.55742E-02
    7844.396    109.376   5.750  9.52004E-01  1.00445E+00 -5.13503E-02
    7846.596    111.576   5.800  9.36892E-01  1.00351E+00 -6.53014E-02
    7848.815    113.795   5.850  9.25893E-01  1.00248E+00 -7.51707E-02
    7851.054    116.034   5.900  9.20295E-01  1.00145E+00 -7.97576E-02
    7853.311    118.291   5.950  9.20460E-01  1.00042E+00 -7.86856E-02
    7855.588    120.567   6.000  9.25663E-01  9.99395E-01 -7.26470E-02
    7857.883    122.863   6.050  9.34309E-01  9.98345E-01 -6.31723E-02
    7860.198    125.178   6.100  9.44300E-01  9.97294E-01 -5.23458E-02
    7862.531    127.511   6.150  9.53909E-01  9.96244E-01 -4.18695E-02
    7864.884    129.864   6.200  9.62124E-01  9.95194E-01 -3.27468E-02
    7867.256    132.236   6.250  9.68946E-01  9.94144E-01 -2.49836E-02
    7869.646    134.626   6.300  9.75381E-01  9.93093E-01 -1.75838E-02
    7872.056    137.036   6.350  9.83130E-01  9.92043E-01 -8.85937E-03
    7874.485    139.465   6.400  9.94022E-01  9.90993E-01  3.01464E-03
    7876.933    141.913   6.450  1.00935E+00  9.89942E-01  1.93403E-02
    7879.400    144.380   6.500  1.02929E+00  9.88892E-01  4.03111E-02
    7881.886    146.866   6.550  1.05287E+00  9.88046E-01  6.47442E-02
    7884.391    149.371   6.600  1.07690E+00  9.87199E-01  8.96896E-02
    7886.915    151.895   6.650  1.09762E+00  9.86352E-01  1.11376E-01
    7889.458    154.438   6.700  1.11105E+00  9.85506E-01  1.25794E-01
    7892.021    157.000   6.750  1.11383E+00  9.84659E-01  1.29564E-01
    7894.602    159.582   6.800  1.10405E+00  9.83813E-01  1.20737E-01
    7897.202    162.182   6.850  1.08179E+00  9.82966E-01  9.93350E-02
    7899.821    164.801   6.900  1.04918E+00  9.82120E-01  6.74830E-02
    7902.460    167.440   6.950  1.01016E+00  9.81273E-01  2.91014E-02
    7905.117    170.097   7.000  9.69721E-01  9.80427E-01 -1.07962E-02
    7907.794    172.774   7.050  9.33200E-01  9.79722E-01 -4.69615E-02
    7910.489    175.469   7.100  9.04757E-01  9.79018E-01 -7.50374E-02
    7913.204    178.184   7.150  8.87039E-01  9.78313E-01 -9.23239E-02
    7915.938    180.918   7.200  8.80678E-01  9.77609E-01 -9.81460E-02
    7918.690    183.670   7.250  8.84324E-01  9.76904E-01 -9.38370E-02
    7921.462    186.442   7.300  8.95078E-01  9.76200E-01 -8.23069E-02
    7924.253    189.233   7.350  9.09227E-01  9.75495E-01 -6.73059E-02
    7927.063    192.043   7.400  9.23098E-01  9.74791E-01 -5.25556E-02
    7929.892    194.872   7.450  9.33856E-01  9.74086E-01 -4.09442E-02
    7932.740    197.720   7.500  9.40046E-01  9.73382E-01 -3.39621E-02
    7935.607    200.587   7.550  9.41523E-01  9.72527E-01 -3.16289E-02
    7938.493    203.473   7.600  9.40052E-01  9.71673E-01 -3.22993E-02
    7941.398    206.378   7.650  9.38136E-01  9.70818E-01 -3.34276E-02
    7944.322    209.302   7.700  9.38537E-01  9.69964E-01 -3.21858E-02
    7947.265    212.245   7.750  9.43578E-01  9.69109E-01 -2.61821E-02
    7950.228    215.207   7.800  9.54563E-01  9.68254E-01 -1.40592E-02
    7953.209    218.189   7.850  9.71439E-01  9.67400E-01  4.15281E-03
    7956.209    221.189   7.900  9.92766E-01  9.66545E-01  2.69972E-02
    7959.229    224.209   7.950  1.01599E+00  9.65691E-01  5.18587E-02
    7962.267    227.247   8.000  1.03794E+00  9.64836E-01  7.54671E-02
    7965.325    230.305   8.050  1.05523E+00  9.63766E-01  9.45674E-02
    7968.401    233.381   8.100  1.06544E+00  9.62695E-01  1.06389E-01
    7971.497    236.477   8.150  1.06690E+00  9.61624E-01  1.09163E-01
    7974.611    239.591   8.200  1.05911E+00  9.60554E-01  1.02355E-01
    7977.745    242.725   8.250  1.04283E+00  9.59483E-01  8.66849E-02
    7980.898    245.878   8.300  1.01978E+00  9.58413E-01  6.39261E-02
    7984.070    249.050   8.350  9.92390E-01  9.57342E-01  3.65620E-02
    7987.261    252.241   8.400  9.63328E-01  9.56272E-01  7.37201E-03
    7990.471    255.450   8.450  9.35170E-01  9.55201E-01 -2.09598E-02
    7993.699    258.679   8.500  9.10098E-01  9.54130E-01 -4.61434E-02
    7996.947    261.927   8.550  8.89623E-01  9.52969E-01 -6.64744E-02
    8000.215    265.194   8.600  8.74943E-01  9.51808E-01 -8.07714E-02
    8003.501    268.481   8.650  8.66584E-01  9.50647E-01 -8.84565E-02
    8006.806    271.786   8.700  8.64576E-01  9.49486E-01 -8.94704E-02
    8010.130    275.110   8.750  8.68530E-01  9.48325E-01 -8.41967E-02
    8013.473    278.453   8.800  8.77695E-01  9.47164E-01 -7.34016E-02
    8016.836    281.816   8.850  8.91003E-01  9.46004E-01 -5.81937E-02
    8020.217    285.197   8.900  9.07102E-01  9.44843E-01 -3.99869E-02
    8023.617    288.597   8.950  9.24416E-01  9.43682E-01 -2.04404E-02
    8027.037    292.017   9.000  9.41251E-01  9.42521E-01 -1.34872E-03
    8030.475    295.455   9.050  9.55920E-01  9.41439E-01  1.54012E-02
