# # Once                                                         FEFF 9.6.4  
# # POT  SCF  30  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.363 Rnm= 1.419 K  shell
# # Pot 1 Z=62 Rmt= 1.706 Rnm= 1.756
# # Pot 2 Z=27 Rmt= 1.375 Rnm= 1.432
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.637E+01 kf=1.953E+00 Vint=-2.446E+01 Rs_int= 1.857
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 300.00  Debye_temp= 330.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00796    100.00      2.00     2   2.4522
#           2       0.00796     94.89      2.00     2   2.4522
#           3       0.00813     27.84      2.00     2   2.5010
#           4       0.00813     30.52      2.00     2   2.5010
#           5       0.00729    267.70      2.00     2   3.1911
#           6       0.00729     15.76      2.00     2   3.1911
#           7       0.00902     10.95      4.00     3   3.7027
#           8       0.00902     11.21      4.00     3   3.7027
#           9       0.00902      9.55      4.00     3   3.7027
#          10       0.00902      8.77      4.00     3   3.7027
#          11       0.00915      6.76      4.00     3   3.7515
#          12       0.01108     53.67      2.00     2   3.9640
#          15       0.01124     47.44      2.00     2   4.3039
#          16       0.01124     45.57      2.00     2   4.3039
#          17       0.01125     31.12      2.00     2   4.3319
#          18       0.01125     29.99      2.00     2   4.3319
#          19       0.01085     11.82      4.00     3   4.4342
#          20       0.01085     11.70      4.00     3   4.4342
#          21       0.01110     11.06      4.00     3   4.6285
#          22       0.01110     11.28      4.00     3   4.6285
#          23       0.01110      7.01      4.00     3   4.6285
#          24       0.01110      7.49      4.00     3   4.6285
#          25       0.01110     11.71      4.00     3   4.6286
#          26       0.01110     12.18      4.00     3   4.6285
#          29       0.01112      5.45      4.00     3   4.6669
#          30       0.01112      7.18      4.00     3   4.6669
#          31       0.01112      7.47      4.00     3   4.6669
#          32       0.01133     43.60      2.00     2   4.6870
#          33       0.01133     42.50      2.00     2   4.6870
#          34       0.01133     10.72      2.00     2   4.6870
#          35       0.01133     11.29      2.00     2   4.6870
#          36       0.00809      5.85      2.00     2   4.7638
#          37       0.00809      7.04      2.00     2   4.7638
#          38       0.01128     26.64      4.00     3   4.7957
#          39       0.01128     26.09      4.00     3   4.7957
#          40       0.01128      5.59      4.00     3   4.7957
#          41       0.01128      5.38      4.00     3   4.7957
#          42       0.01137     11.46      2.00     3   4.9044
#          43       0.01137     11.95      2.00     3   4.9044
#          44       0.01137      9.71      2.00     4   4.9044
#          45       0.01137     10.12      2.00     4   4.9044
#          46       0.03183      5.45      2.00     4   4.9044
#          47       0.03183      5.25      2.00     4   4.9044
#          48       0.01138     28.23      2.00     2   5.0020
#          49       0.01138      5.98      2.00     2   5.0020
#          50       0.01138      6.74      2.00     2   5.0020
#          51       0.01138      4.56      2.00     3   5.0020
#          52       0.01138      4.16      2.00     3   5.0020
#          53       0.01138     15.97      4.00     3   5.0020
#          54       0.01138     17.55      4.00     3   5.0020
#          55       0.01138      4.04      2.00     4   5.0020
#          59       0.01138     12.49      2.00     4   5.0020
#          60       0.01138     13.72      2.00     4   5.0020
#          63       0.01032     15.06      4.00     3   5.1915
#          64       0.01032     14.71      4.00     3   5.1915
#          67       0.00850      9.46      4.00     3   5.2279
#          68       0.00850      9.50      4.00     3   5.2279
#          71       0.00843     13.65      4.00     3   5.2739
#          72       0.00843     13.86      4.00     3   5.2739
#          73       0.00843      4.07      4.00     3   5.2739
#          75       0.01153     33.78      2.00     2   5.5708
#          76       0.01153     33.36      2.00     2   5.5707
#          77       0.01153      5.53      2.00     2   5.5707
#          78       0.01153      5.71      2.00     2   5.5708
#          79       0.01125     41.51      4.00     3   5.8249
#          80       0.01125     41.92      4.00     3   5.8249
#          81       0.01125      5.15      4.00     3   5.8249
#          82       0.01125      4.99      4.00     3   5.8249
#          83       0.01164     32.27      2.00     2   5.8718
#          84       0.01164     31.73      2.00     2   5.8718
#    70/  74 paths used
#  xsedge+50, used to normalize mu           2.8982E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7718.293    -16.363   0.050  4.35907E-01  3.12276E-01  2.31184E-01
    7718.322    -16.334   0.100  4.43575E-01  3.17231E-01  2.35749E-01
    7718.370    -16.287   0.150  4.65749E-01  3.32035E-01  2.47913E-01
    7718.436    -16.220   0.200  4.87884E-01  3.46840E-01  2.59849E-01
    7718.522    -16.134   0.250  5.20992E-01  3.69839E-01  2.75599E-01
    7718.627    -16.030   0.300  5.53683E-01  3.92838E-01  2.90276E-01
    7718.751    -15.906   0.350  5.91815E-01  4.19448E-01  3.06779E-01
    7718.893    -15.763   0.400  6.28678E-01  4.46058E-01  3.20608E-01
    7719.055    -15.601   0.450  6.65405E-01  4.71489E-01  3.34732E-01
    7719.236    -15.420   0.500  6.98508E-01  4.96920E-01  3.42238E-01
    7719.436    -15.220   0.550  7.23086E-01  5.19447E-01  3.39125E-01
    7719.655    -15.001   0.600  7.39924E-01  5.41974E-01  3.23479E-01
    7719.894    -14.763   0.650  7.38883E-01  5.62139E-01  2.82845E-01
    7720.151    -14.506   0.700  7.26428E-01  5.82304E-01  2.25963E-01
    7720.427    -14.229   0.750  6.90342E-01  6.00999E-01  1.37040E-01
    7720.722    -13.934   0.800  6.42835E-01  6.19693E-01  3.47445E-02
    7721.037    -13.620   0.850  5.73620E-01  6.37518E-01 -9.38187E-02
    7721.370    -13.286   0.900  4.99933E-01  6.55342E-01 -2.23269E-01
    7721.722    -12.934   0.950  4.17553E-01  6.72566E-01 -3.58388E-01
    7722.094    -12.563   1.000  3.45230E-01  6.89789E-01 -4.73915E-01
    7722.484    -12.172   1.050  2.85887E-01  7.06444E-01 -5.66296E-01
    7722.894    -11.763   1.100  2.53132E-01  7.23099E-01 -6.19812E-01
    7723.323    -11.334   1.150  2.51614E-01  7.39081E-01 -6.30159E-01
    7723.770    -10.886   1.200  2.84278E-01  7.55063E-01 -5.96776E-01
    7724.237    -10.419   1.250  3.49649E-01  7.70191E-01 -5.23336E-01
    7724.723     -9.934   1.300  4.40797E-01  7.85319E-01 -4.21032E-01
    7725.228     -9.429   1.350  5.48820E-01  7.99419E-01 -3.01184E-01
    7725.751     -8.905   1.400  6.62657E-01  8.13519E-01 -1.78363E-01
    7726.294     -8.362   1.450  7.72138E-01  8.26407E-01 -6.32248E-02
    7726.856     -7.800   1.500  8.67967E-01  8.39296E-01  3.29213E-02
    7727.437     -7.219   1.550  9.44772E-01  8.50830E-01  1.06507E-01
    7728.037     -6.619   1.600  9.98535E-01  8.62364E-01  1.52461E-01
    7728.657     -6.000   1.650  1.02982E+00  8.72451E-01  1.74327E-01
    7729.295     -5.362   1.700  1.04037E+00  8.82538E-01  1.73006E-01
    7729.952     -4.705   1.750  1.03427E+00  8.91130E-01  1.55551E-01
    7730.628     -4.028   1.800  1.01731E+00  8.99723E-01  1.26694E-01
    7731.324     -3.333   1.850  9.93565E-01  9.06824E-01  9.28250E-02
    7732.038     -2.619   1.900  9.69945E-01  9.13925E-01  5.95470E-02
    7732.771     -1.885   1.950  9.47880E-01  9.19499E-01  3.00164E-02
    7733.524     -1.133   2.000  9.33605E-01  9.25073E-01  8.97858E-03
    7734.295     -0.361   2.050  9.27101E-01  9.28710E-01 -1.68851E-03
    7735.086      0.429   2.100  9.28181E-01  9.32346E-01 -4.35899E-03
    7735.896      1.239   2.150  9.33496E-01  9.35983E-01 -2.59561E-03
    7736.724      2.068   2.200  9.39346E-01  9.39620E-01 -2.85296E-04
    7737.572      2.915   2.250  9.40779E-01  9.42190E-01 -1.46903E-03
    7738.439      3.782   2.300  9.36547E-01  9.44759E-01 -8.55907E-03
    7739.325      4.668   2.350  9.28340E-01  9.47329E-01 -1.98060E-02
    7740.229      5.573   2.400  9.20296E-01  9.49899E-01 -3.08999E-02
    7741.153      6.497   2.450  9.20466E-01  9.53742E-01 -3.47111E-02
    7742.096      7.440   2.500  9.25465E-01  9.57585E-01 -3.34828E-02
    7743.058      8.402   2.550  9.35704E-01  9.61428E-01 -2.67974E-02
    7744.039      9.383   2.600  9.50256E-01  9.65272E-01 -1.56316E-02
    7745.040     10.383   2.650  9.62941E-01  9.67551E-01 -4.78799E-03
    7746.059     11.402   2.700  9.76650E-01  9.69830E-01  7.06857E-03
    7747.097     12.440   2.750  9.89798E-01  9.72110E-01  1.82930E-02
    7748.154     13.498   2.800  1.00083E+00  9.74389E-01  2.72890E-02
