# # Once                                                         FEFF 9.6.4  
# # POT  SCF  30  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.333 Rnm= 1.383 K  shell
# # Pot 1 Z=62 Rmt= 1.624 Rnm= 1.669
# # Pot 2 Z=27 Rmt= 1.347 Rnm= 1.400
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.766E+01 kf=2.050E+00 Vint=-2.612E+01 Rs_int= 1.769
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   2.4133
#           2       0.00000     95.57      4.00     2   2.4686
#           3       0.00000     43.88      2.00     2   2.5745
#           4       0.00000     40.26      2.00     2   3.1586
#           5       0.00000     16.28      2.00     2   3.9912
#           6       0.00000     15.46      2.00     2   4.0755
#           7       0.00000     29.03      4.00     2   4.1800
#           8       0.00000     56.96      8.00     2   4.2121
#           9       0.00000     34.78      4.00     2   4.6503
#          10       0.00000     42.19      8.00     2   4.7364
#          11       0.00000     30.12      6.00     2   4.8266
#          12       0.00000     29.42      8.00     2   5.4213
#          13       0.00000      6.98      2.00     2   5.5268
#          14       0.00000     23.97      8.00     2   5.8380
#    14/  14 paths used
#  xsedge+50, used to normalize mu           2.9018E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7719.125    -17.655   0.000  3.80501E-01  3.13978E-01  1.20803E-01
    7719.134    -17.646   0.050  3.84679E-01  3.19097E-01  1.18854E-01
    7719.163    -17.617   0.100  3.88867E-01  3.24216E-01  1.16933E-01
    7719.210    -17.570   0.150  4.01486E-01  3.39380E-01  1.11669E-01
    7719.277    -17.503   0.200  4.14200E-01  3.54544E-01  1.06635E-01
    7719.363    -17.417   0.250  4.34323E-01  3.78051E-01  9.96252E-02
    7719.468    -17.312   0.300  4.54666E-01  4.01559E-01  9.31337E-02
    7719.591    -17.189   0.350  4.78532E-01  4.28671E-01  8.63219E-02
    7719.734    -17.046   0.400  5.02628E-01  4.55784E-01  8.00741E-02
    7719.896    -16.884   0.450  5.25416E-01  4.81499E-01  7.39015E-02
    7720.077    -16.703   0.500  5.47786E-01  5.07214E-01  6.72256E-02
    7720.277    -16.503   0.550  5.64929E-01  5.29793E-01  5.71860E-02
    7720.496    -16.284   0.600  5.80172E-01  5.52372E-01  4.44598E-02
    7720.734    -16.046   0.650  5.87026E-01  5.72350E-01  2.30194E-02
    7720.992    -15.788   0.700  5.90070E-01  5.92327E-01 -3.47288E-03
    7721.268    -15.512   0.750  5.81717E-01  6.10659E-01 -4.36347E-02
    7721.563    -15.217   0.800  5.67804E-01  6.28991E-01 -9.04187E-02
    7721.877    -14.903   0.850  5.40298E-01  6.46337E-01 -1.53475E-01
    7722.211    -14.569   0.900  5.07213E-01  6.63683E-01 -2.21900E-01
    7722.563    -14.217   0.950  4.61620E-01  6.80344E-01 -3.03866E-01
    7722.935    -13.845   1.000  4.14195E-01  6.97005E-01 -3.85054E-01
    7723.325    -13.455   1.050  3.61414E-01  7.13048E-01 -4.69314E-01
    7723.735    -13.045   1.100  3.15146E-01  7.29091E-01 -5.41788E-01
    7724.163    -12.617   1.150  2.75692E-01  7.44441E-01 -6.02059E-01
    7724.611    -12.169   1.200  2.53181E-01  7.59791E-01 -6.38755E-01
    7725.078    -11.702   1.250  2.49678E-01  7.74311E-01 -6.50027E-01
    7725.564    -11.216   1.300  2.70327E-01  7.88831E-01 -6.31499E-01
    7726.068    -10.712   1.350  3.15783E-01  8.02352E-01 -5.83290E-01
    7726.592    -10.188   1.400  3.84447E-01  8.15873E-01 -5.09182E-01
    7727.135     -9.645   1.450  4.73799E-01  8.28232E-01 -4.12483E-01
    7727.697     -9.083   1.500  5.76053E-01  8.40591E-01 -3.03632E-01
    7728.278     -8.502   1.550  6.86095E-01  8.51679E-01 -1.87753E-01
    7728.878     -7.902   1.600  7.93016E-01  8.62767E-01 -7.81424E-02
    7729.497     -7.283   1.650  8.91543E-01  8.72477E-01  2.11412E-02
    7730.136     -6.645   1.700  9.72259E-01  8.82187E-01  9.88663E-02
    7730.793     -5.987   1.750  1.03261E+00  8.90471E-01  1.54714E-01
    7731.469     -5.311   1.800  1.06888E+00  8.98755E-01  1.83641E-01
    7732.164     -4.616   1.850  1.08272E+00  9.05614E-01  1.89919E-01
    7732.879     -3.901   1.900  1.07753E+00  9.12472E-01  1.75839E-01
    7733.612     -3.168   1.950  1.05814E+00  9.17876E-01  1.48690E-01
    7734.365     -2.415   2.000  1.03260E+00  9.23281E-01  1.15316E-01
    7735.136     -1.644   2.050  1.00569E+00  9.26761E-01  8.30326E-02
    7735.927     -0.853   2.100  9.84731E-01  9.30242E-01  5.71672E-02
    7736.736     -0.044   2.150  9.72949E-01  9.33723E-01  4.10432E-02
    7737.565      0.785   2.200  9.70721E-01  9.37204E-01  3.49753E-02
    7738.413      1.633   2.250  9.72544E-01  9.37830E-01  3.62552E-02
    7739.280      2.499   2.300  9.78312E-01  9.38457E-01  4.16599E-02
    7740.165      3.385   2.350  9.83687E-01  9.39083E-01  4.66622E-02
    7741.070      4.290   2.400  9.85335E-01  9.39709E-01  4.77717E-02
    7741.994      5.214   2.450  9.85115E-01  9.44167E-01  4.28365E-02
    7742.937      6.157   2.500  9.80577E-01  9.48624E-01  3.33967E-02
    7743.899      7.119   2.550  9.74322E-01  9.53082E-01  2.21809E-02
    7744.880      8.100   2.600  9.69146E-01  9.57539E-01  1.21098E-02
    7745.880      9.100   2.650  9.63655E-01  9.60896E-01  2.87084E-03
    7746.900     10.119   2.700  9.59980E-01  9.64253E-01 -4.43445E-03
    7747.938     11.158   2.750  9.58892E-01  9.67610E-01 -9.02433E-03
    7748.995     12.215   2.800  9.60580E-01  9.70967E-01 -1.07247E-02
    7750.071     13.291   2.850  9.59558E-01  9.72939E-01 -1.37831E-02
    7751.167     14.387   2.900  9.60802E-01  9.74911E-01 -1.44991E-02
    7752.281     15.501   2.950  9.64220E-01  9.76883E-01 -1.29829E-02
    7753.415     16.634   3.000  9.69477E-01  9.78855E-01 -9.59284E-03
    7754.567     17.787   3.050  9.72619E-01  9.80443E-01 -7.98582E-03
    7755.739     18.959   3.100  9.77194E-01  9.82031E-01 -4.92700E-03
    7756.929     20.149   3.150  9.83332E-01  9.83619E-01 -2.91789E-04
    7758.139     21.359   3.200  9.91043E-01  9.85207E-01  5.91895E-03
    7759.368     22.588   3.250  9.96927E-01  9.85937E-01  1.11260E-02
    7760.615     23.835   3.300  1.00455E+00  9.86666E-01  1.80729E-02
    7761.882     25.102   3.350  1.01385E+00  9.87395E-01  2.66826E-02
    7763.168     26.388   3.400  1.02437E+00  9.88124E-01  3.64829E-02
    7764.473     27.693   3.450  1.03494E+00  9.89046E-01  4.61261E-02
    7765.797     29.017   3.500  1.04538E+00  9.89968E-01  5.56151E-02
    7767.140     30.360   3.550  1.05442E+00  9.90890E-01  6.36654E-02
    7768.502     31.722   3.600  1.06060E+00  9.91812E-01  6.88382E-02
    7769.883     33.103   3.650  1.06210E+00  9.92266E-01  6.97731E-02
    7771.283     34.503   3.700  1.05888E+00  9.92719E-01  6.59950E-02
    7772.703     35.923   3.750  1.05031E+00  9.93172E-01  5.69111E-02
    7774.141     37.361   3.800  1.03639E+00  9.93625E-01  4.25280E-02
    7775.598     38.818   3.850  1.01845E+00  9.94522E-01  2.37608E-02
    7777.075     40.294   3.900  9.97308E-01  9.95418E-01  1.87458E-03
    7778.570     41.790   3.950  9.74667E-01  9.96314E-01 -2.14345E-02
    7780.084     43.304   4.000  9.52519E-01  9.97211E-01 -4.41908E-02
    7781.618     44.838   4.050  9.33109E-01  9.97908E-01 -6.39830E-02
    7783.171     46.390   4.100  9.17945E-01  9.98605E-01 -7.95316E-02
    7784.742     47.962   4.150  9.08202E-01  9.99303E-01 -8.96997E-02
    7786.333     49.553   4.200  9.04409E-01  1.00000E+00 -9.39884E-02
    7787.943     51.162   4.250  9.06624E-01  1.00082E+00 -9.25058E-02
    7789.571     52.791   4.300  9.13659E-01  1.00164E+00 -8.62987E-02
    7791.219     54.439   4.350  9.24130E-01  1.00247E+00 -7.67413E-02
    7792.886     56.106   4.400  9.36350E-01  1.00329E+00 -6.54961E-02
    7794.572     57.792   4.450  9.48712E-01  1.00409E+00 -5.41363E-02
    7796.277     59.497   4.500  9.59796E-01  1.00490E+00 -4.40455E-02
    7798.001     61.221   4.550  9.68731E-01  1.00570E+00 -3.60713E-02
    7799.744     62.964   4.600  9.75351E-01  1.00651E+00 -3.03675E-02
    7801.506     64.726   4.650  9.80328E-01  1.00698E+00 -2.59663E-02
    7803.287     66.507   4.700  9.84948E-01  1.00746E+00 -2.19187E-02
    7805.087     68.307   4.750  9.90993E-01  1.00794E+00 -1.64881E-02
    7806.907     70.127   4.800  1.00038E+00  1.00842E+00 -7.81920E-03
    7808.745     71.965   4.850  1.01465E+00  1.00872E+00  5.77206E-03
    7810.602     73.822   4.900  1.03464E+00  1.00901E+00  2.49023E-02
    7812.479     75.699   4.950  1.06005E+00  1.00931E+00  4.93066E-02
    7814.374     77.594   5.000  1.08936E+00  1.00961E+00  7.74801E-02
    7816.289     79.509   5.050  1.11934E+00  1.00959E+00  1.06642E-01
    7818.222     81.442   5.100  1.14656E+00  1.00956E+00  1.33129E-01
    7820.175     83.395   5.150  1.16691E+00  1.00954E+00  1.52941E-01
    7822.147     85.367   5.200  1.17657E+00  1.00951E+00  1.62370E-01
    7824.137     87.357   5.250  1.17197E+00  1.00916E+00  1.58336E-01
    7826.147     89.367   5.300  1.15266E+00  1.00881E+00  1.39980E-01
    7828.176     91.396   5.350  1.11957E+00  1.00846E+00  1.08178E-01
    7830.224     93.444   5.400  1.07561E+00  1.00811E+00  6.57616E-02
    7832.291     95.511   5.450  1.02489E+00  1.00747E+00  1.69797E-02
    7834.377     97.597   5.500  9.73573E-01  1.00684E+00 -3.24610E-02
    7836.482     99.702   5.550  9.27240E-01  1.00620E+00 -7.71208E-02
    7838.606    101.826   5.600  8.90561E-01  1.00557E+00 -1.12420E-01
    7840.749    103.969   5.650  8.66531E-01  1.00469E+00 -1.35189E-01
    7842.911    106.131   5.700  8.56263E-01  1.00381E+00 -1.44525E-01
    7845.092    108.312   5.750  8.58573E-01  1.00294E+00 -1.41548E-01
    7847.293    110.513   5.800  8.70607E-01  1.00206E+00 -1.29021E-01
    7849.512    112.732   5.850  8.88656E-01  1.00107E+00 -1.10475E-01
    7851.750    114.970   5.900  9.08666E-01  1.00009E+00 -8.99542E-02
    7854.008    117.228   5.950  9.27445E-01  9.99103E-01 -7.05951E-02
    7856.284    119.504   6.000  9.43095E-01  9.98118E-01 -5.42735E-02
    7858.580    121.800   6.050  9.55337E-01  9.97076E-01 -4.12226E-02
    7860.894    124.114   6.100  9.64961E-01  9.96034E-01 -3.07269E-02
    7863.228    126.448   6.150  9.73748E-01  9.94992E-01 -2.10335E-02
    7865.581    128.800   6.200  9.83612E-01  9.93950E-01 -1.02489E-02
    7867.952    131.172   6.250  9.95957E-01  9.92908E-01  3.02569E-03
    7870.343    133.563   6.300  1.01123E+00  9.91867E-01  1.92445E-02
    7872.753    135.973   6.350  1.02877E+00  9.90825E-01  3.77596E-02
    7875.182    138.402   6.400  1.04697E+00  9.89783E-01  5.69772E-02
    7877.630    140.850   6.450  1.06369E+00  9.88741E-01  7.47672E-02
    7880.097    143.316   6.500  1.07680E+00  9.87699E-01  8.89975E-02
    7882.583    145.802   6.550  1.08458E+00  9.86813E-01  9.77662E-02
    7885.088    148.308   6.600  1.08622E+00  9.85928E-01  1.00408E-01
    7887.612    150.832   6.650  1.08200E+00  9.85042E-01  9.71779E-02
    7890.155    153.375   6.700  1.07295E+00  9.84157E-01  8.90960E-02
    7892.717    155.937   6.750  1.06049E+00  9.83271E-01  7.75605E-02
    7895.298    158.518   6.800  1.04594E+00  9.82385E-01  6.39058E-02
    7897.899    161.119   6.850  1.03022E+00  9.81500E-01  4.90484E-02
    7900.518    163.738   6.900  1.01368E+00  9.80614E-01  3.33302E-02
    7903.156    166.376   6.950  9.96184E-01  9.79729E-01  1.66030E-02
    7905.814    169.034   7.000  9.77380E-01  9.78843E-01 -1.47857E-03
    7908.490    171.710   7.050  9.57136E-01  9.78099E-01 -2.11989E-02
    7911.186    174.406   7.100  9.35945E-01  9.77355E-01 -4.19198E-02
    7913.901    177.121   7.150  9.15018E-01  9.76611E-01 -6.24188E-02
    7916.634    179.854   7.200  8.96268E-01  9.75868E-01 -8.07533E-02
    7919.387    182.607   7.250  8.81984E-01  9.75124E-01 -9.45915E-02
    7922.159    185.379   7.300  8.74312E-01  9.74380E-01 -1.01737E-01
    7924.950    188.170   7.350  8.74689E-01  9.73636E-01 -1.00706E-01
    7927.759    190.979   7.400  8.83387E-01  9.72892E-01 -9.11943E-02
    7930.588    193.808   7.450  8.99315E-01  9.72148E-01 -7.42879E-02
    7933.436    196.656   7.500  9.20145E-01  9.71404E-01 -5.23396E-02
    7936.303    199.523   7.550  9.42777E-01  9.70550E-01 -2.83955E-02
    7939.189    202.409   7.600  9.63893E-01  9.69697E-01 -5.94121E-03
    7942.095    205.314   7.650  9.80756E-01  9.68843E-01  1.22115E-02
    7945.019    208.239   7.700  9.91773E-01  9.67989E-01  2.44115E-02
    7947.962    211.182   7.750  9.96784E-01  9.67136E-01  3.04717E-02
    7950.924    214.144   7.800  9.96990E-01  9.66282E-01  3.16016E-02
    7953.905    217.125   7.850  9.94533E-01  9.65428E-01  2.99906E-02
    7956.906    220.126   7.900  9.91862E-01  9.64575E-01  2.81547E-02
    7959.925    223.145   7.950  9.91038E-01  9.63721E-01  2.82231E-02
    7962.964    226.184   8.000  9.93178E-01  9.62868E-01  3.13565E-02
    7966.021    229.241   8.050  9.97954E-01  9.61826E-01  3.74295E-02
    7969.098    232.318   8.100  1.00426E+00  9.60784E-01  4.51065E-02
    7972.193    235.413   8.150  1.01005E+00  9.59742E-01  5.22699E-02
    7975.308    238.528   8.200  1.01311E+00  9.58701E-01  5.66156E-02
    7978.442    241.662   8.250  1.01169E+00  9.57659E-01  5.63054E-02
    7981.595    244.814   8.300  1.00498E+00  9.56617E-01  5.04756E-02
    7984.766    247.986   8.350  9.93340E-01  9.55576E-01  3.94685E-02
    7987.957    251.177   8.400  9.78160E-01  9.54534E-01  2.47291E-02
    7991.167    254.387   8.450  9.61515E-01  9.53492E-01  8.40954E-03
    7994.396    257.616   8.500  9.45592E-01  9.52451E-01 -7.19991E-03
    7997.644    260.864   8.550  9.32126E-01  9.51322E-01 -2.01773E-02
    8000.911    264.131   8.600  9.22088E-01  9.50193E-01 -2.95813E-02
    8004.197    267.417   8.650  9.15414E-01  9.49064E-01 -3.54651E-02
    8007.502    270.722   8.700  9.11239E-01  9.47935E-01 -3.87273E-02
    8010.827    274.047   8.750  9.08293E-01  9.46806E-01 -4.06998E-02
    8014.170    277.390   8.800  9.05396E-01  9.45677E-01 -4.26252E-02
    8017.532    280.752   8.850  9.01908E-01  9.44548E-01 -4.51823E-02
    8020.914    284.133   8.900  8.97986E-01  9.43419E-01 -4.82063E-02
    8024.314    287.534   8.950  8.94582E-01  9.42290E-01 -5.06886E-02
    8027.733    290.953   9.000  8.93168E-01  9.41161E-01 -5.10604E-02
    8031.172    294.392   9.050  8.95241E-01  9.40075E-01 -4.77492E-02
    8034.630    297.849   9.100  9.01956E-01  9.38988E-01 -3.94811E-02
    8038.106    301.326   9.150  9.13537E-01  9.37902E-01 -2.60031E-02
    8041.602    304.822   9.200  9.29114E-01  9.36816E-01 -8.22790E-03
    8045.116    308.336   9.250  9.46805E-01  9.35729E-01  1.18451E-02
    8048.650    311.870   9.300  9.64068E-01  9.34643E-01  3.15015E-02
    8052.203    315.423   9.350  9.78238E-01  9.33557E-01  4.78846E-02
    8055.775    318.995   9.400  9.87114E-01  9.32470E-01  5.86228E-02
    8059.366    322.586   9.450  9.89442E-01  9.31384E-01  6.23516E-02
    8062.976    326.196   9.500  9.85176E-01  9.30298E-01  5.89986E-02
    8066.605    329.825   9.550  9.75677E-01  9.29346E-01  4.98537E-02
    8070.253    333.473   9.600  9.62698E-01  9.28394E-01  3.69449E-02
    8073.920    337.140   9.650  9.48671E-01  9.27442E-01  2.28839E-02
    8077.606    340.826   9.700  9.35898E-01  9.26490E-01  1.01502E-02
    8081.311    344.531   9.750  9.26062E-01  9.25538E-01  5.66416E-04
    8085.036    348.256   9.800  9.19929E-01  9.24586E-01 -5.03305E-03
    8088.779    351.999   9.850  9.17281E-01  9.23634E-01 -6.87331E-03
    8092.541    355.761   9.900  9.17093E-01  9.22682E-01 -6.05164E-03
    8096.323    359.543   9.950  9.17893E-01  9.21730E-01 -4.15847E-03
    8100.123    363.343  10.000  9.18182E-01  9.20778E-01 -2.81611E-03
    8103.943    367.163  10.050  9.16739E-01  9.19721E-01 -3.23820E-03
    8107.781    371.001  10.100  9.13091E-01  9.18664E-01 -6.05789E-03
    8111.639    374.859  10.150  9.07401E-01  9.17607E-01 -1.11067E-02
    8115.515    378.735  10.200  9.00443E-01  9.16549E-01 -1.75466E-02
    8119.411    382.631  10.250  8.93373E-01  9.15492E-01 -2.41232E-02
    8123.326    386.546  10.300  8.87421E-01  9.14435E-01 -2.94934E-02
    8127.260    390.480  10.350  8.83607E-01  9.13378E-01 -3.25391E-02
    8131.213    394.433  10.400  8.82533E-01  9.12321E-01 -3.25926E-02
    8135.185    398.404  10.450  8.84301E-01  9.11263E-01 -2.95328E-02
    8139.175    402.395  10.500  8.88548E-01  9.10206E-01 -2.37491E-02
    8143.185    406.405  10.550  8.94570E-01  9.09149E-01 -1.60042E-02
    8147.215    410.434  10.600  9.01496E-01  9.08092E-01 -7.24778E-03
    8151.263    414.483  10.650  9.08458E-01  9.07035E-01  1.56625E-03
    8155.330    418.550  10.700  9.14709E-01  9.05977E-01  9.61680E-03
    8159.416    422.636  10.750  9.19695E-01  9.04920E-01  1.62892E-02
    8163.521    426.741  10.800  9.23061E-01  9.03863E-01  2.11894E-02
    8167.646    430.865  10.850  9.24635E-01  9.02806E-01  2.41200E-02
    8171.789    435.009  10.900  9.24389E-01  9.01749E-01  2.50443E-02
    8175.951    439.171  10.950  9.22419E-01  9.00691E-01  2.40608E-02
    8180.133    443.353  11.000  9.18933E-01  8.99634E-01  2.13942E-02
    8184.333    447.553  11.050  9.14146E-01  8.98382E-01  1.74990E-02
    8188.553    451.773  11.100  9.08548E-01  8.97130E-01  1.26927E-02
    8192.791    456.011  11.150  9.02675E-01  8.95879E-01  7.56552E-03
    8197.049    460.269  11.200  8.97112E-01  8.94627E-01  2.76987E-03
    8201.326    464.546  11.250  8.92408E-01  8.93375E-01 -1.07893E-03
    8205.622    468.842  11.300  8.88975E-01  8.92123E-01 -3.51901E-03
    8209.936    473.156  11.350  8.86989E-01  8.90871E-01 -4.34613E-03
    8214.270    477.490  11.400  8.86342E-01  8.89619E-01 -3.67356E-03
    8218.623    481.843  11.450  8.86653E-01  8.88368E-01 -1.92484E-03
    8222.995    486.215  11.500  8.87335E-01  8.87116E-01  2.46426E-04
    8227.386    490.606  11.550  8.87725E-01  8.85864E-01  2.09476E-03
    8231.796    495.016  11.600  8.87227E-01  8.84612E-01  2.94719E-03
    8236.225    499.445  11.650  8.85445E-01  8.83360E-01  2.35328E-03
    8240.673    503.893  11.700  8.82270E-01  8.82108E-01  1.83262E-04
    8245.141    508.361  11.750  8.77898E-01  8.80856E-01 -3.34897E-03
    8249.627    512.847  11.800  8.72775E-01  8.79605E-01 -7.74136E-03
    8254.132    517.352  11.850  8.67500E-01  8.78353E-01 -1.23197E-02
    8258.657    521.876  11.900  8.62690E-01  8.77101E-01 -1.63808E-02
    8263.200    526.420  11.950  8.58871E-01  8.75849E-01 -1.93262E-02
    8267.762    530.982  12.000  8.56392E-01  8.74597E-01 -2.07526E-02
    8272.344    535.564  12.050  8.55362E-01  8.73357E-01 -2.05417E-02
    8276.945    540.164  12.100  8.55843E-01  8.72116E-01 -1.86022E-02
    8281.564    544.784  12.150  8.57676E-01  8.70876E-01 -1.51095E-02
    8286.203    549.423  12.200  8.60617E-01  8.69635E-01 -1.03378E-02
    8290.860    554.080  12.250  8.64383E-01  8.68395E-01 -4.60583E-03
    8295.537    558.757  12.300  8.68673E-01  8.67154E-01  1.74595E-03
    8300.233    563.453  12.350  8.73165E-01  8.65914E-01  8.34769E-03
    8304.948    568.168  12.400  8.77490E-01  8.64673E-01  1.47743E-02
    8309.682    572.902  12.450  8.81214E-01  8.63433E-01  2.05264E-02
    8314.435    577.655  12.500  8.83854E-01  8.62192E-01  2.50418E-02
    8319.207    582.427  12.550  8.84924E-01  8.60952E-01  2.77520E-02
    8323.998    587.218  12.600  8.84020E-01  8.59711E-01  2.81811E-02
    8328.808    592.028  12.650  8.80923E-01  8.58471E-01  2.60661E-02
    8333.637    596.857  12.700  8.75692E-01  8.57231E-01  2.14638E-02
    8338.485    601.705  12.750  8.68708E-01  8.55990E-01  1.48072E-02
    8343.353    606.572  12.800  8.60653E-01  8.54750E-01  6.88339E-03
    8348.239    611.459  12.850  8.52416E-01  8.53509E-01 -1.27629E-03
    8353.144    616.364  12.900  8.44933E-01  8.52269E-01 -8.57694E-03
