# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=26 Rmt= 1.314 Rnm= 1.359 K  shell
# # Pot 1 Z=57 Rmt= 1.877 Rnm= 1.877
# # Pot 2 Z=14 Rmt= 1.359 Rnm= 1.412
# # Pot 3 Z=26 Rmt= 1.369 Rnm= 1.423
# # Gam_ch=1.309E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.677E+01 kf=2.088E+00 Vint=-2.528E+01 Rs_int= 1.737
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.800  Temp=  20.00  Debye_temp= 370.00  Global_sig2= 0.00250
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00682    100.00      3.00     2   2.4720
#           2       0.00535    278.20      9.00     2   2.4720
#           3       0.00687     29.71     24.00     3   3.7489
#           4       0.00574     32.30     24.00     3   3.7489
#           5       0.00705      6.06      6.00     3   3.8695
#           6       0.00602    135.60     12.00     2   3.9444
#           7       0.00654     15.04      6.00     3   4.3978
#           8       0.00604     29.54     18.00     3   4.3978
#           9       0.00666     21.83     12.00     3   4.4954
#          10       0.00608     46.32     36.00     3   4.4954
#          11       0.00760      4.79      6.00     3   4.5110
#          12       0.00605      6.25      6.00     3   4.5110
#          13       0.00917      6.01      6.00     3   4.5886
#          14       0.00761     11.30     12.00     3   4.5886
#          15       0.00604     33.94     30.00     3   4.5886
#          16       0.00591     83.56     12.00     2   4.7861
#          17       0.00595     50.43      6.00     3   4.8186
#          18       0.00592     96.88     18.00     3   4.8186
#          19       0.00618     28.58      3.00     4   4.8511
#          21       0.00603     40.27      9.00     4   4.8511
#          22       0.00758     16.35      6.00     3   4.9440
#          23       0.00589     23.24      6.00     3   4.9440
#          24       0.00758     15.33      6.00     4   4.9439
#          25       0.00589     20.43      6.00     4   4.9439
#          26       0.01979      4.30      3.00     4   4.9439
#          28       0.01390     17.99      9.00     4   4.9440
#          29       0.00717     13.71     30.00     4   4.9439
#          30       0.01094      9.75     24.00     4   4.9440
#          31       0.00949     13.39     24.00     4   4.9440
#          32       0.00489     76.45      8.00     2   4.9602
#          33       0.01432      8.80     12.00     4   5.0258
#          34       0.01133      6.11     12.00     4   5.0258
#          35       0.00981     16.38     24.00     4   5.0258
#          36       0.01013      4.20      6.00     4   5.0463
#          37       0.00780      4.36     18.00     4   5.0463
#          38       0.00741      4.09     12.00     3   5.3155
#          39       0.00625      9.35     36.00     3   5.3155
#          40       0.00634      7.07     12.00     3   5.3420
#          41       0.00554     28.77     12.00     3   5.3768
#          42       0.00509     46.70     36.00     3   5.3768
#          43       0.00618     16.69     48.00     3   5.6422
#          44       0.00613      6.31     12.00     4   5.6747
#          45       0.00608     10.99     36.00     4   5.6747
#          46       0.00700      6.61     12.00     3   5.6854
#          47       0.00617     13.45     36.00     3   5.6854
#          48       0.00756      8.82      3.00     2   5.6881
#          49       0.00587     39.39      9.00     2   5.6881
#          50       0.00617      6.58     18.00     3   5.6941
#          51       0.00618      6.53     12.00     4   5.7179
#          52       0.00614      7.93     24.00     4   5.7179
#          53       0.00587     25.76      6.00     2   5.7276
#          55       0.00611     14.03     36.00     3   5.7368
#          56       0.00599     20.80      6.00     3   5.7624
#          57       0.00757      8.24      6.00     3   5.7624
#          58       0.00590     21.44     12.00     3   5.7624
#          59       0.00610      7.13     18.00     3   5.7714
#          60       0.00822      5.24      6.00     4   5.7933
#          61       0.00647      5.73     18.00     4   5.7933
#          62       0.00650      8.95      3.00     4   5.8366
#          65       0.00616      6.96     36.00     3   5.9040
#          66       0.00633      5.01     12.00     4   5.9365
#          67       0.00630      6.38     24.00     4   5.9365
#    62/  66 paths used
#  xsedge+50, used to normalize mu           3.1358E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7120.905    -16.760   0.050  4.94039E-02  3.64319E-01 -4.87336E-01
    7120.934    -16.732   0.100  4.67720E-02  3.70782E-01 -5.00532E-01
    7120.982    -16.684   0.150  4.19967E-02  3.89859E-01 -5.34614E-01
    7121.048    -16.617   0.200  4.12837E-02  4.08937E-01 -5.62136E-01
    7121.134    -16.532   0.250  4.56176E-02  4.37943E-01 -5.94871E-01
    7121.239    -16.427   0.300  5.91349E-02  4.66950E-01 -6.13257E-01
    7121.363    -16.303   0.350  7.98001E-02  4.99053E-01 -6.23476E-01
    7121.505    -16.160   0.400  1.12843E-01  5.31157E-01 -6.15267E-01
    7121.667    -15.998   0.450  1.50004E-01  5.60143E-01 -5.95188E-01
    7121.848    -15.817   0.500  1.98793E-01  5.89129E-01 -5.58987E-01
    7122.048    -15.617   0.550  2.48054E-01  6.13478E-01 -5.15451E-01
    7122.267    -15.398   0.600  3.05125E-01  6.37828E-01 -4.62348E-01
    7122.506    -15.160   0.650  3.58998E-01  6.58601E-01 -4.09624E-01
    7122.763    -14.903   0.700  4.15500E-01  6.79374E-01 -3.55040E-01
    7123.039    -14.627   0.750  4.65697E-01  6.97822E-01 -3.07122E-01
    7123.334    -14.331   0.800  5.13841E-01  7.16269E-01 -2.63446E-01
    7123.649    -14.017   0.850  5.56109E-01  7.33152E-01 -2.26582E-01
    7123.982    -13.684   0.900  5.95154E-01  7.50034E-01 -1.94979E-01
    7124.334    -13.331   0.950  6.27845E-01  7.65691E-01 -1.70744E-01
    7124.706    -12.960   1.000  6.46758E-01  7.81347E-01 -1.64073E-01
    7125.096    -12.569   1.050  6.48142E-01  7.95867E-01 -1.77356E-01
    7125.506    -12.160   1.100  6.37035E-01  8.10387E-01 -2.05015E-01
    7125.935    -11.731   1.150  6.19311E-01  8.23729E-01 -2.38397E-01
    7126.382    -11.283   1.200  5.99725E-01  8.37072E-01 -2.73007E-01
    7126.849    -10.817   1.250  5.84275E-01  8.49147E-01 -3.00888E-01
    7127.335    -10.331   1.300  5.77985E-01  8.61223E-01 -3.17808E-01
    7127.839     -9.826   1.350  5.84199E-01  8.71913E-01 -3.19350E-01
    7128.363     -9.302   1.400  6.05190E-01  8.82602E-01 -3.04633E-01
    7128.906     -8.759   1.450  6.39005E-01  8.91852E-01 -2.75137E-01
    7129.468     -8.197   1.500  6.84299E-01  9.01102E-01 -2.33794E-01
    7130.049     -7.616   1.550  7.34780E-01  9.08866E-01 -1.86345E-01
    7130.649     -7.016   1.600  7.87948E-01  9.16630E-01 -1.36737E-01
    7131.268     -6.397   1.650  8.36866E-01  9.22935E-01 -9.09318E-02
    7131.907     -5.759   1.700  8.80967E-01  9.29240E-01 -5.07105E-02
    7132.564     -5.102   1.750  9.15874E-01  9.34135E-01 -1.91033E-02
    7133.240     -4.425   1.800  9.43610E-01  9.39030E-01  4.77103E-03
    7133.935     -3.730   1.850  9.64527E-01  9.42623E-01  2.27557E-02
    7134.650     -3.016   1.900  9.79962E-01  9.46215E-01  3.49619E-02
    7135.383     -2.282   1.950  9.94220E-01  9.48540E-01  4.72532E-02
    7136.136     -1.530   2.000  1.00677E+00  9.50865E-01  5.77463E-02
    7136.907     -0.758   2.050  1.02242E+00  9.51819E-01  7.29152E-02
    7137.698      0.032   2.100  1.03652E+00  9.52772E-01  8.65005E-02
    7138.507      0.842   2.150  1.04846E+00  9.53726E-01  9.78385E-02
    7139.336      1.671   2.200  1.05725E+00  9.54680E-01  1.05933E-01
    7140.184      2.518   2.250  1.05953E+00  9.53931E-01  1.09276E-01
    7141.051      3.385   2.300  1.05362E+00  9.53181E-01  1.04136E-01
    7141.936      4.271   2.350  1.04146E+00  9.52432E-01  9.24924E-02
    7142.841      5.176   2.400  1.02590E+00  9.51683E-01  7.72540E-02
    7143.765      6.100   2.450  1.00890E+00  9.53229E-01  5.80828E-02
    7144.708      7.043   2.500  9.94059E-01  9.54775E-01  4.10804E-02
    7145.670      8.005   2.550  9.84421E-01  9.56321E-01  2.94523E-02
