# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=57 Rmt= 1.763 Rnm= 1.763 L3 shell
# # Pot 1 Z=57 Rmt= 1.831 Rnm= 1.831
# # Pot 2 Z=14 Rmt= 1.322 Rnm= 1.375
# # Pot 3 Z=26 Rmt= 1.326 Rnm= 1.380
# # Gam_ch=3.160E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.780E+01 kf=2.174E+00 Vint=-2.764E+01 Rs_int= 1.668
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.800  Temp= 300.00  Debye_temp= 350.00  Global_sig2= 0.00250
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.01529    100.00      3.00     2   3.2217
#           2       0.00963    578.10     21.00     2   3.2217
#           3       0.01400     11.65     12.00     3   4.3756
#           4       0.01052     36.31     36.00     3   4.3756
#           5       0.01430      9.38     12.00     3   4.4603
#           6       0.01071     24.48     36.00     3   4.4603
#           7       0.01433      4.60      6.00     3   4.4703
#           8       0.01073     11.74     18.00     3   4.4703
#           9       0.01020     82.50      8.00     2   4.8114
#          11       0.01159     10.83     18.00     3   4.8536
#          12       0.01613     22.54      3.00     2   5.0440
#          13       0.01023    189.00     21.00     2   5.0440
#          14       0.01197     11.07      6.00     3   5.2155
#          15       0.01058     42.81     42.00     3   5.2155
#          16       0.01219      8.80     18.00     3   5.2164
#          17       0.01678      6.28     12.00     3   5.2658
#          18       0.01226     16.79     36.00     3   5.2658
#          19       0.01170     12.89      6.00     3   5.3715
#          20       0.01589      5.35      6.00     3   5.3715
#          21       0.01057     42.32     36.00     3   5.3715
#          22       0.01174     12.36      6.00     3   5.3814
#          23       0.01589      5.22      6.00     3   5.3814
#          24       0.01059     40.09     36.00     3   5.3814
#          25       0.01712      6.04     12.00     3   5.4285
#          26       0.01245     14.98     36.00     3   5.4285
#          27       0.01713      6.03     12.00     3   5.4340
#          28       0.01245     14.95     36.00     3   5.4340
#          29       0.01221      7.74      6.00     3   5.4885
#          30       0.01597      4.03      6.00     3   5.4885
#          31       0.01075     26.63     36.00     3   5.4885
#          33       0.02334      4.26      6.00     4   5.5295
#          34       0.01972     17.71     36.00     4   5.5295
#          36       0.00691     49.07      6.00     2   5.5557
#          37       0.01190      8.23     30.00     4   5.6142
#          39       0.01412      8.42     21.00     4   5.6195
#          40       0.01063      6.89     36.00     4   5.6195
#          41       0.01190      7.97     30.00     4   5.6241
#          43       0.01634     14.57      3.00     2   5.6883
#          44       0.01037    131.20     21.00     2   5.6882
#          45       0.01040     50.86      6.00     3   5.6936
#          46       0.01634     33.69      6.00     3   5.6936
#          47       0.01038    254.70     36.00     3   5.6936
#          48       0.01051     23.73      2.00     4   5.6989
#          49       0.01051     11.86      1.00     4   5.6989
#          52       0.01638     14.22      2.00     4   5.6990
#          53       0.01638      7.11      1.00     4   5.6990
#          54       0.01043    152.10     16.00     4   5.6989
#          55       0.01043     19.02      2.00     4   5.6989
#          56       0.02073     14.40     36.00     4   5.6990
#          57       0.01350      7.68     18.00     4   5.6990
#          60       0.01052      6.94     30.00     4   5.7089
#          62       0.02085      7.03     18.00     4   5.7188
#          63       0.01361      7.31     18.00     4   5.7188
#          64       0.01285     22.86     42.00     3   5.7952
#          65       0.01071      4.73     30.00     4   5.8159
#          66       0.01073      4.58     30.00     4   5.8259
#          67       0.01173      4.84     42.00     3   5.9296
#          68       0.01477      4.50     18.00     4   5.9329
#          69       0.01835      4.02     12.00     3   5.9979
#          70       0.01313     21.31     36.00     3   5.9979
#          71       0.00932      7.87      6.00     3   5.9996
#          72       0.00787     31.95     42.00     3   5.9996
#    62/  66 paths used
#  xsedge+50, used to normalize mu           8.5181E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    5488.388    -17.791   0.050  6.91764E-01  1.11686E+00 -1.99935E-01
    5488.416    -17.763   0.100  7.00604E-01  1.12594E+00 -1.98379E-01
    5488.464    -17.715   0.150  7.28436E-01  1.15360E+00 -1.93371E-01
    5488.530    -17.648   0.200  7.58475E-01  1.18126E+00 -1.87627E-01
    5488.616    -17.563   0.250  8.11716E-01  1.22755E+00 -1.77232E-01
    5488.721    -17.458   0.300  8.70615E-01  1.27383E+00 -1.65310E-01
    5488.845    -17.334   0.350  9.56344E-01  1.33715E+00 -1.48173E-01
    5488.988    -17.191   0.400  1.05092E+00  1.40047E+00 -1.29423E-01
    5489.150    -17.029   0.450  1.17122E+00  1.47618E+00 -1.06621E-01
    5489.331    -16.848   0.500  1.30007E+00  1.55190E+00 -8.33955E-02
    5489.531    -16.648   0.550  1.44501E+00  1.63210E+00 -5.88517E-02
    5489.750    -16.429   0.600  1.59228E+00  1.71230E+00 -3.59542E-02
    5489.988    -16.191   0.650  1.73850E+00  1.78744E+00 -1.42052E-02
    5490.245    -15.934   0.700  1.87707E+00  1.86258E+00  4.07944E-03
    5490.521    -15.658   0.750  1.99435E+00  1.92309E+00  2.00240E-02
    5490.816    -15.362   0.800  2.09650E+00  1.98360E+00  3.16657E-02
    5491.131    -15.048   0.850  2.16272E+00  2.02121E+00  4.08046E-02
    5491.464    -14.715   0.900  2.21444E+00  2.05882E+00  4.61669E-02
    5491.817    -14.362   0.950  2.22917E+00  2.06840E+00  5.00711E-02
    5492.188    -13.991   1.000  2.23993E+00  2.07797E+00  5.30813E-02
    5492.579    -13.600   1.050  2.22820E+00  2.05951E+00  5.87012E-02
    5492.988    -13.191   1.100  2.22373E+00  2.04105E+00  6.77570E-02
    5493.417    -12.762   1.150  2.20607E+00  1.99952E+00  8.16973E-02
    5493.864    -12.314   1.200  2.19093E+00  1.95800E+00  9.86899E-02
    5494.331    -11.848   1.250  2.15635E+00  1.90154E+00  1.15131E-01
    5494.817    -11.362   1.300  2.10976E+00  1.84509E+00  1.28102E-01
    5495.322    -10.857   1.350  2.03897E+00  1.78212E+00  1.32218E-01
    5495.846    -10.333   1.400  1.94849E+00  1.71916E+00  1.26071E-01
    5496.389     -9.790   1.450  1.84105E+00  1.65634E+00  1.07514E-01
    5496.950     -9.228   1.500  1.72101E+00  1.59352E+00  7.88468E-02
    5497.532     -8.647   1.550  1.60057E+00  1.53520E+00  4.25684E-02
    5498.132     -8.047   1.600  1.48192E+00  1.47688E+00  3.46098E-03
    5498.751     -7.428   1.650  1.37815E+00  1.42540E+00 -3.39945E-02
    5499.389     -6.790   1.700  1.28706E+00  1.37392E+00 -6.55209E-02
    5500.046     -6.133   1.750  1.21716E+00  1.33010E+00 -8.85362E-02
    5500.722     -5.457   1.800  1.16147E+00  1.28629E+00 -1.01828E-01
    5501.418     -4.761   1.850  1.12457E+00  1.25050E+00 -1.05953E-01
    5502.132     -4.047   1.900  1.09688E+00  1.21472E+00 -1.02350E-01
    5502.865     -3.313   1.950  1.08437E+00  1.18954E+00 -9.33130E-02
    5503.618     -2.561   2.000  1.07474E+00  1.16437E+00 -8.12733E-02
    5504.389     -1.789   2.050  1.07438E+00  1.14704E+00 -6.72341E-02
    5505.180     -0.999   2.100  1.07227E+00  1.12972E+00 -5.42627E-02
    5505.990     -0.189   2.150  1.06762E+00  1.11239E+00 -4.31890E-02
    5506.818      0.639   2.200  1.06068E+00  1.09506E+00 -3.38888E-02
    5507.666      1.487   2.250  1.05436E+00  1.08009E+00 -2.58265E-02
    5508.533      2.354   2.300  1.04722E+00  1.06511E+00 -1.83031E-02
    5509.419      3.240   2.350  1.04006E+00  1.05013E+00 -1.05057E-02
    5510.324      4.145   2.400  1.03307E+00  1.03516E+00 -2.21674E-03
    5511.247      5.069   2.450  1.03031E+00  1.02320E+00  7.66390E-03
    5512.190      6.012   2.500  1.02687E+00  1.01124E+00  1.70756E-02
    5513.152      6.974   2.550  1.02113E+00  9.99278E-01  2.41904E-02
